material_id,condition_group_id,centroid_similarity,assignment_margin,assignment_status,observation_count,exact_recipe_id_count,condition_display,parse_warnings
CMAT1:0020811d5e460149612aad9f7200eb9b2c6ea6d8141fd8ff9594d9557f97a6ea,CGPOC1:dedcb068aec02b77e922ad830b96af5114115e6b121982ffc7b6a9ac23cc5d90,0.914373,0.07076,supported,1,1,K3PO4 [base]; Cu(MeCN)4BF4 [catalyst]; 8-Quinolol [ligand]; DMSO [solvent],
CMAT1:0023125fae64abbba7c50a1c459c377bebdca7b8be229de34d65baba3efc1e8a,CGPOC1:13080393c6a5e2957f82b3c1ac3fe42c3c1c32cf2ca7c8886a6807bad7786044,0.977846,0.061369,supported,1,1,CsOH.H2O [base]; EtOH [solvent]; No ligand,
CMAT1:002315fa60fc6e4b2d4ce11221979365d2fa93164cb30e8d6c31e318ac74a128,CGPOC1:69d567895a18e9ccf6564c6b6e9ba09ae46bc7e56c2c3b0399b79f004ed7dfe0,0.947736,0.08028,supported,1,1,CsOH.H2O [base]; JosiphosSL-J009-1 Pd G3 [catalyst]; JosiphosSL-J009-1 [ligand]; MeTHF [solvent],
CMAT1:0023f08add543b01519cf25d22ea0842f567274a87a99946ed87e61f9f8afaef,CGPOC1:ae683d0f2f1e05a90c5a7ea1f6f4685b5b39a93e2a5caeac9760894a788a0c5b,0.981016,0.041053,provisional,1,1,NMM [base]; PivCl [coupling_reagent]; iPrOH [solvent]; No ligand,
CMAT1:0027add477302576b32b02ba08b5a1ff37897b2369baba15f9a90ff4667ea944,CGPOC1:969d4870164072fe4ff55d41c7e2c0e4c2fe174cd3783c8540b4be49361664ba,0.896497,0.03541,provisional,1,1,LiCl [additive]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand]; DMI [solvent],
CMAT1:0029169e5cea4f2eb74c1908854ec50dc331b9f717c34a414c2e04a060b84270,CGPOC1:e26a207071de017717710d40a5770248ddaebd2d2d1cc0c95eb7ac486bb700aa,0.967489,0.076733,supported,2,1,CuF2 [additive]; MeTHF [solvent]; No ligand,
CMAT1:003078dc539755cf77951172ba349b3182e01ee07ef28167634ee579e1e20b8a,CGPOC1:090be7860dab8fc6ba23730339fdf6da5a530e8f57dddf12d830aadbbf0f5f7f,0.897943,0.103399,provisional,1,1,Na2CO3 [base]; MorDalPhos Pd G6 Br [catalyst]; MorDalphos [ligand]; PhMe [solvent],
CMAT1:003297aabc2adae37d365ada2c8703ece823be821694b7942415be1785723ddb,CGPOC1:3fead769a712dfb061449f245db761216b08554d20eb5df0a183b8a70a25066b,0.995537,0.132702,supported,1,1,K3PO4 [base]; CuO [catalyst]; DL-Proline [ligand]; anisole [solvent]; water [solvent],
CMAT1:0032fc483479c628a4d4278be0e738d650d2a9b51aa39157060e96b533586943,CGPOC1:ca1a4a4506f8e491f6fdc438ea84b181a3539275833ccfc73bfa0419245d07a3,0.938949,0.010953,review,1,1,Na2CO3 [base]; dtbpfPdCl2 [catalyst]; dtbpf [ligand]; MeOH [solvent],
CMAT1:0033ddfa90b76dbb56b205dd14f7e3b943045da9ea7a0900015eb6fe05ab8ba4,CGPOC1:549505353c483621782c2b65eda6b33642b05128be757eab2355987d2e52bb1d,0.940022,0.080187,supported,1,1,Sodium trifluoroacetate [additive]; Cs2CO3 [base]; XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; tAmOH [solvent],
CMAT1:00362ac8860e88d63f88a2c6798c0853add5c51e41ac227280e5f2e49f29d404,CGPOC1:78a5bc21ecc3bde80a6e5f1d53e623154433be7deb944996e3b8cedfa819081f,0.984072,0.188701,supported,2,1,LiHMDS [base]; CuI [catalyst]; MNBO [ligand]; PhMe [solvent],
CMAT1:003eb81af7d6d997df145b60fe284f404d6febd2b3c9a9f44a55d980a2ff880f,CGPOC1:162361fec52435410c44a92131c17425cfb1f24cc3b94483cf9b3f20e18eff2a,0.938319,0.065363,supported,3,3,LiHMDS [base]; MorDalPhos Pd G6 Br [catalyst]; MorDalphos [ligand]; DMAc [solvent],
CMAT1:0041ea58c5cbc7a6566318450c0c7473abb016835dcd8920aa387394bc9ace3b,CGPOC1:969d4870164072fe4ff55d41c7e2c0e4c2fe174cd3783c8540b4be49361664ba,0.963815,0.103314,supported,1,1,Potassium 2-ethylhexanoate [base]; meCgPPh Pd G3 [catalyst]; meCgPPh [ligand]; PhMe [solvent],
CMAT1:00430d76fb3f5209a193d258006eb86fc0841fe32ace263d1e18e0bdcfca2dc1,CGPOC1:5067d80107465bb4d11047a3cae8e678c86dd3c8fadf3f8c490dc258d492aeca,0.998234,0.133304,supported,1,1,TMPMgCl.LiCl [base]; MeCN [solvent]; No ligand,
CMAT1:00452d3e7ed98933403ceea56423cc02f178082d8f48de7132e228ab05e7bdae,CGPOC1:328eb6ea3a6a3efe1fd667b7813413f9c1a0b1e8a6edb25d87ce9991a7d50f15,0.988069,0.134503,supported,1,1,K2CO3 [base]; CuI [catalyst]; 2-mphen [ligand]; BuOH [solvent],
CMAT1:0045cbb36a052b6b426542f902043de25f4a653506b3102670606d048a275cc2,CGPOC1:cbca5ce2c035a46ab46876fddc761e0c725c6192db0a25230adda4e59db2b4fd,0.964107,0.085214,supported,6,3,Cs2CO3 [base]; TrixiePhos Pd G3 [catalyst]; TrixiePhos [ligand]; DMF [solvent],
CMAT1:004cae75b570e0767356fbef345c706f796af53f4784fcb5ac66d8655eaa810e,CGPOC1:3f17c86e4b473256f73d03c5ee5de9d616eee17afc055e0d00e7fc6a8a20b7c3,0.95741,0.098979,supported,1,1,Sodium trifluoroacetate [additive]; Cs2CO3 [base]; PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; DMI [solvent],
CMAT1:004dcd33c5dc3c4de089fe710124938ebaafd9344bc681d8d4cd6ebc74dd2e7e,CGPOC1:4a096b3e74e3fa650005e560d963a6cea4c9e1538a63a9995cf797adb35d5ca5,0.890867,0.030372,provisional,1,1,COMU [coupling_reagent]; DMF [solvent]; No ligand,
CMAT1:0050e2c8d8cae7b3efa4a9885d8b9415ede62f19b9c9141c64d9fc2a9427df50,CGPOC1:5b539267824a79bd55df299a913decc210df9c528a649ed07f64137e03215cd0,0.867805,0.002352,review,1,1,Brij 35 [additive]; DIPEA [base]; SPhos Pd(crotyl)Cl [catalyst]; SPhos [ligand]; tAmOH [solvent]; water [solvent],
CMAT1:0050fead9194d456b5a44a4915a73246f138f8e8189dba21d28279067d3cad86,CGPOC1:82ac41fd619448bdb5d6f7d89ceabcdb8586f4d1d87cf3a00df6daf606693fdd,0.918152,0.072383,supported,1,1,Na2CO3 [base]; AlphosPd)2cod [catalyst]; AlPhos [ligand]; PhMe [solvent],
CMAT1:0056a67470ace225121ca1a1b5a0a03f9442d2964341daba9d68d05befb00e59,CGPOC1:5280193fedcebbd1bceca23a1d262adfb9b88ec03a3f5207d83d5a6a25c07e57,0.916351,0.140668,supported,2,2,KHMDS [base]; RuPhos Pd G4 [catalyst]; RuPhos [ligand]; PhMe [solvent],
CMAT1:005a2809b0721b8ae5bd62097c6474de9202091d2293ffb54a55b9fa55ca68e0,CGPOC1:26a4b9e3635f66a47539592ac9ed33cffa94b9e35353b447b2d8860cdfb99d1b,0.940722,0.162061,supported,1,1,"AgF [additive]; K2CO3 [base]; Pd(OAc)2 [catalyst]; dppbenz, Missing [ligand]; DMI [solvent]",
CMAT1:005c54621b22c12c0008a021cdb410a9e8a8c3187625e0387cc70900647b1b60,CGPOC1:3dca00745aac2793f7abbf379b77e1fb0c666c875ad154b1a295d105bc6c1f75,0.969827,0.056903,supported,5,5,TMEDA [additive]; XPhos Pd(crotyl)Cl [catalyst]; XPhos [ligand]; TPGS-750M [solvent],
CMAT1:005ce7ae4f6492c49c0fd693a2ab7d43338f7071a9e7e318c34d4ad5808b77af,CGPOC1:bc8ab1fb328f70b87f0c12b8e1412c5c9ec68044bda9de57a0dc89d24018fded,0.997262,0.127166,supported,2,2,Cs2CO3 [base]; CuI [catalyst]; NN-Dibenzyloxamide [ligand]; MeCN [solvent],
CMAT1:005df4a4db65cb095fc3a6a4c02dd84a743cb7613be7ad75d19633979a5b8083,CGPOC1:2a97f72836ffd837e23ac83e46525ad062510932cf3e6978dc115ee7b9ff87e1,0.904579,0.076344,supported,2,2,DIPEA [base]; cataCXiumA Pd G6 Br)2 [catalyst]; CataCXiumA [ligand]; PhMe [solvent],
CMAT1:005ef9366bad824f350f2715b16f15103b2e7a4a101bba67d5590024ff93e1c7,CGPOC1:f25ada27b91bb52008934d8b71fe858aebbddeb3b33b34338fc0298789d68321,0.934052,0.139411,supported,1,1,K3PO4 [base]; Piperidinyl-amino-pincer PdCl [catalyst]; Piperidinyl-amino-pincer [ligand]; EtOH [solvent]; water [solvent],
