reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,predicted_reaction_type,predicted_reaction_confidence,predicted_reaction_key,predicted_reaction_key_quality_level,predicted_reaction_key_quality_score,predicted_mapping_warning,prediction_error
31-006-CAS-12426456,Reduction LAH (LiAlH4),54,,,CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2[C@@H](O)CO.CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2[C@H](O)CO>>OCC(O)C(O)C(O)C(O)C(O)CO,"Carbohydrate Research (1986), 15035-51",340013-74-3,276250-73-8,"76-05-1, 16940-66-2",,7732-18-5,,,,,,,2,1,54,,,,,,,,Unknown,0.0,|R2CH-OR|R3C-OR -> R2CH-OH | spectators: R2CH-OH|RCH2-OH,high,0.85,1,
31-010-CAS-21082102,Reduction LAH (LiAlH4),89,,,CC[SiH2]CC.CCc1ccccc1OC(=O)CBr>>CCc1ccccc1OC(CBr)O[SiH](CC)CC,"Journal of the American Chemical Society (2016), 138(25), 7982-7991",1813567-96-2,1813567-97-3,,12246-51-4,109-99-9,,,,,,,1,1,89,,,,,,,,Claisen_condensation,0.0,|RCH2-CO2R|R_acidic-H -> Ar-OR | spectators: Alkyl-Si*|Ar-Alkyl|RCH2-Br,high,0.85,1,
31-010-CAS-21082512,Reduction LAH (LiAlH4),99,,,CC[SiH2]CC.CCc1ccccc1OC(=O)CCl>>CCc1ccccc1OC(CCl)O[SiH](CC)CC,"Journal of the American Chemical Society (2016), 138(25), 7982-7991",395656-75-4,395656-82-3,,12246-51-4,109-99-9,,,,,,,1,1,99,,,,,,,,Claisen_condensation,0.0,|RCH2-CO2R|R_acidic-H -> Ar-OR | spectators: Alkyl-Si*|Ar-Alkyl|RCH2-Cl,high,0.85,1,
31-049-CAS-415068,Reduction LAH (LiAlH4),58,,,COc1cc2c3c(c1)C(=O)CCC3N(S(=O)(=O)C(F)(F)F)CC2>>O=S(=O)(N1CCc2cc(O)cc3c2C1CCC3O)C(F)(F)F,"Journal of Organic Chemistry (2000), 65(20), 6743-6748",2102410-17-1,2846094-84-4,"16853-85-3, 1310-73-2, 10294-33-4, 7761-88-8",,"60-29-7, 109-99-9, 141-78-6, 75-09-2, 7732-18-5",,,,,,"3-(N-Trifluoromethanesulfonyl)-7,9-dihydroxy-2,3,6,7- tetrahydro-1H,5H-benzo[ij]quinoline (15). To a solution of 14 (5.1 g, 14.6 mmol) in anhydrous ether (150 mL) was added LiAlH4 solution (1 M in THF) (14.3 mL) at 0 °C. The mixture was stirred at room temperature for 30 min and then quenched with 1 N NaOH at 0 °C. The product was extracted with EtOAc. The combined organic layers were washed with brine and dried over MgSO4. Solvent was evaporated to give the alcohol intermediate (5.1 g) in quantitative yield:To a solution of this intermediate (5.0 g, 14.2 mmol) in anhydrous CH2Cl2 (200 mL) at -78 °C was added BBr3 solution (1 M in CH2Cl2) (130 mL). The mixture was stirred at -78 °C for 30 min, at -20 to -10 °C for 2 h, and at room temperature for additional 2 h. After being cooled to -20 °C, the mixture was quenched carefully with excess ether, warmed to room temperature, stirred for 30 min, and concentrated. The residue was taken up with 200 mL of H2O followed by the addition of THF so as to make the mixture becoming a clear solution. The resulting mixture was stirred at room temperature for 18 h. AgNO3 solid (excess) was added and, after 30 min of stirring, was filtered off. The product was extracted with CH2Cl2. The combined organic layer was washed with brine, dried over MgSO4, filtered, and concentrated. The residue was purified by flash chromatography over silica gel (1/1 EtOAc-hexanes) to afford 15 (2.8 g, 8.2 mmol) as a gummy solid in 58% yield. (two diastereomers): 1H NMR (CDCl3) δ 6.94 (d, J = 2.4 Hz, 0.5 H), 6.75 (d, J = 2.5 Hz, 0.5 H), 6.58 (d, J = 2.3 Hz, 1 H), 5.15 (m, 0.5 H), 4.79-4.36 (m, 1.5 H), 4.05 (m, 1 H), 3.20 (m, 1 H), 2.97 (m, 1 H), 2.70 (m, 1 H), 2.48-2.24 (m, 2 H), 1.80-1.54 (m, 2 H); 13C NMR (CDCl3) δ 155.1, 154.8, 142.2, 140.4, 134.2, 122.4, 115.1, 114.1, 113.5, 110.3, 69.4, 66.3, 60.5, 53.1, 52.7, 42.4, 41.9, 29.7, 29.4; IR: 3416, 2945, 1618, 1471, 1385, 1280, 1224, 1190, 1149 cm-1; MS 337 (M+), 319, 309, 186, 149.",8,1,58,,,,,,,,Reduction_carbonyl_to_alcohol,0.0,|Ar-COR|Ar-OR -> Ar-OH|R2CH-OH | bond_broken: C-O | spectators: Alkyl-F|Alkyl-SO2NR2|Ar-Alkyl,high,1.0,0,
31-080-CAS-14872976,Reduction LAH (LiAlH4),100,,,NCC(=O)c1ccccc1>>C[C@H](O)c1ccccc1N,"Bulletin of the Chemical Society of Japan (1999), 72(5), 1109-1113",1802894-78-5,1802894-87-6,"214000-21-2, 16949-15-8, 1310-73-2",,"109-99-9, 7732-18-5",,,,,,,3,1,100,,,,,,,stereoselective,Reduction_carbonyl_to_alcohol,0.0,|Ar-COR|RCH2-NH2 -> R2CH-OH | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N | bond_broken: C-N,high,1.0,0,
31-116-CAS-17275138,Reduction LAH (LiAlH4),83,,,O=Cc1ccccc1>>[2H]C(O)c1ccccc1,"ACS Central Science (2017), 3(4), 314-321",1192-62-7,4208-64-4,"15681-89-7, 12125-02-9",,"1455-13-6, 7732-18-5",,,,,,,2,1,83,,,,,,,regioselective,Reduction_carbonyl_to_alcohol,0.0,|Ar-CHO -> Bn-OH | bond_formed: C-H | bond_formed_labeled: C-H,high,1.0,0,
31-214-CAS-10951558,Reduction LAH (LiAlH4),80,,,CCC[C@@H]1[C@@H]2[C@H]1[C@]1(C)O[C@H]2C(=O)C12CC2>>C[C@]12O[C@H]([C@@H]3[C@@H](C4CC4)[C@@H]31)[C@H](O)C21CC1,"Russian Journal of Organic Chemistry (2009), 45(8), 1164-1167",135099-98-8,1394051-49-0,"16853-85-3, 12125-02-9",,"60-29-7, 109-99-9, 7732-18-5",,,,,,"General/Typical Procedure: (1RS,2SR,3SR,4RS,5SR,6SR)-1-Methyl-2,3,4-triphenyl-7-spiro[1'-cyclopropane]-8-oxatricyclo-[3.2.1.02,4]octan-6-ol (IIIa). To a solution of 154 mg (0.39 mmol) of ketone Ia in 3 ml of anhydrous THF was added under an aron atmosphere 3 equiv of 1 M ether solution of lithium aluminum hydride, the mixture was stirred at room temperature for 3 h, THF was distilled off in a vacuum, 10 ml of ethyl ether was added and the mixture was quenched with a water solution of ammonium chloride. The organic layer was separated, the water layer was thrice extracted with ether. The combined organic solution were dried with magnesium sulfate. The residue after removing the solvent was subjected to chromatography on a column packed with silica gel, eluent hexane-ethyl acetate. (1RS,2SR,3SR,4RS,5SR,6SR)-1-Methyl-3-spiro-[1'-cyclobutane]-7-spiro[1''-cyclopropane]-8-oxatricyclo[3.2.1.02,4]octan-6-ol (IIIe) was obtained from 400 mg of ketone Ie. Yield 330 mg (80%). mp 88-90 °C. IR spectrum (CCl4), ν, cm-1: 3500 br, 2980 s, 2940, 1380, 1270, 1170. 1H NMR spectrum (CDCl3), δ, ppm: 0.20 m (1H), 0.34 m (1H), 0.67 m (1H), 0.87 m (1H), 0.99 d (1H, J 6.9 Hz), 1.09 s (3H), 1.36 d (1H, J 6.9 Hz), 1.50 br.s (1H), 1.97-2.10 (4H), 2.20-2.30 (2H), 3.98 d.d (1H, J 9.4, 4.4 Hz), 4.40 d (1H, J 4.4 Hz). 13C NMR spectrum (CDCl3), δ, ppm: 2.65 (CH2), 9.83 (CH2), 15.6 (CH), 19.0 (CH2), 23.0 (CH3), 25.2 (C), 26.5 (CH2), 29.7 (CH), 30.1 (CH2), 35.72 (C), 78.2 (CH), 79.5 (CH). 85.8 (C). Found, %: C 75.24; H 8.57. C13H18O2. Calculated, %: C 75.69; H 8.80.",2,1,80,,,,,,,stereoselective,Reduction_carbonyl_to_alcohol,0.0,|R3C-COR -> R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | spectators: R3C-OR | events: Ann+C-C,high,0.85,0,
31-234-CAS-11970911,Reduction LAH (LiAlH4),56,,,CC(C)C1=CC[C@@H](C)CC1=O>>CC(C)[C@H]1[C@H](O)C[C@H](C)C[C@@H]1O.CC(C)[C@H]1[C@H](O)C[C@H](C)C[C@H]1O,"Chemistry of Natural Compounds (2013), 48(6), 978-980",1802894-80-9,"1802894-93-4, 1802894-94-5","109-63-7, 16940-66-2, 7732-18-5, 1310-73-2, 7722-84-1",,"109-99-9, 7732-18-5",,,,,,"Hydroboration-Oxidation of (R)-4-Menthen-3-one (1). A suspension of 1 (0.70 g, 4.6 mmol) and NaBH4 (0.63 g, 16.6 mmol) in anhydrous THF (40 mL) under Ar at 20°C was treated dropwise with a solution of BF3·Et2O (0.8 mL) in anhydrous THF (15 mL), stirred for 3.5 h at 20°C, treated dropwise with H2O (1.5 mL), stirred for 10 min, treated sequentially with NaOH solution (1.6 mL, 3 N) and H2O2 (1.6 mL, 30%), stirred for 16 h, diluted with t-BuOMe (70 mL), washed with saturated NaCl solution (2 5 mL), dried over Na2SO4, and evaporated to afford a mixture (3:2) of diastereomeric diols 3a and 3b that were separated by column chromatography (SiO2, PE PE:EtOAc (5:1) EtOAc). (1R,3S)-5-Methyl-2-(1-methylethyl)cyclohexane-1,3-diol (3a). Yield 0.73 g, 93%; (1R,3R)-5-Methyl-2-(1-methylethyl)cyclohexane-1,3-diol (3b). Yield 0.73 g, 93%. 3a: Rf 0.35 (PE:EtOAc, 2:1). PMR spectrum (300.13 MHz, CDCl3, δ, ppm, J/Hz): 1.09 [6H, d, J= 7.2, CH(CH3)2], 1.13 (3H, d, J= 6.9, 5-CH3), 1.25-1.60 (4H, m, 2H-4, 2H-6), 1.80-1.95 (2H, br.s, 2OH), 1.91 (1H, dd, 2J= 3.4, 3J= 10.6, Ha-2), 1.93-2.02 (1H, m, Ha-5), 2.23-2.38 [1H, m, CH(CH3)2], 3.41 (2H, dt, 2J= 10.6, 3J= 4.2, Ha-3, Ha-1). 13C NMR spectrum (75.47 MHz, CDCl3, δ, ppm): 21.62 [q, 2 (CH3)-i-Pr], 25.31 (q, 5-CH3), 26.00 (d, C-5), 27.17 [d, CH(CH3)2], 44.36 (d, C-4, C-6), 56.67 (d, C-2), 69.88 (d, C-1, C-3). 3b: [α]D20 -1.2° (c 1.6, CH2Cl2), Rf 0.25 (PE:EtOAc, 2:1). PMR spectrum (300.13 MHz, CDCl3, δ, ppm, J/Hz): 0.94 (3H, d, J= 6.9, 5-CH3), 0.96 [3H, d, J= 6.5, CH(CH3)2], 1.02 [3H, d, J= 6.5, CH(CH3)2], 1.22-1.37 (1H, m, Ha-6), 1.37-1.52 (1H, m, Ha-4), 1.60-1.72 (1H, m, Ha-2), 1.69 (1H, dt, 2J= 12.9, 3J= 4.9, He-4), 1.80-1.95 (2H, br.s, 2OH), 1.85-1.95 (1H, m, He-6), 1.90-2.00 (1H, m, Ha-5), 2.05-2.16 [1H, m, CH(CH3)2], 4.12 (1H, dt, 2J= 4.9, 3J= 3.1, He-1), 4.25 (1H, dt, 2J= 9.9, 3J= 4.1, Ha-3). 13C NMR spectrum (75.47 MHz, CDCl3, δ, ppm): 20.20 [q, 2(CH3)-i-Pr], 21.91 (q, 5-CH3), 25.01 [d, CH(CH3)2], 25.31 (d, C-5), 37.62 (t, C-6), 38.70 (t, C-4), 51.70 (d, C-2), 68.68 (d, C-3), 69.63 (d, C-1).",3,1,56,37,,,,,,"regioselective, stereoselective, alternative preparation decreased yield",Reduction_carbonyl_to_alcohol,0.0,|Alkenyl-COR -> R2CH-OH | bond_formed: C-C; C-C; C-C; C-O | bond_formed_labeled: C-C; C-C; C-C; C-O | events: Ann+C-O+C-C,high,0.85,0,
31-234-CAS-9685971,Reduction LAH (LiAlH4),78,,,CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2>>CC1(C)[C@H]2C[C@H](O)[C@@H](CO)[C@@H]1C2,"Tetrahedron: Asymmetry (2007), 18(23), 2727-2737",1394051-65-0,1394051-57-0,"109-63-7, 7732-18-5, 1310-73-2, 7722-84-1",,"109-99-9, 7732-18-5",,,,,,,3,1,78,,,,,,,stereoselective,Reduction_carbonyl_to_alcohol,0.0,|Alkenyl-CHO -> R2CH-OH|RCH2-OH | bond_formed: C-O | bond_formed_labeled: C-O,high,1.0,0,
31-242-CAS-18902630,Reduction LAH (LiAlH4),91,,,O=C(C#Cc1ccccc1)c1ccccc1>>OC(C=Cc1ccccc1)c1ccccc1,"Chemical Communications (Cambridge, United Kingdom) (2018), 54(40), 5134-5137",1753-40-8,22472-78-2,"16853-85-3, 67-56-1",,60-29-7,,,,,,,2,1,91,,,,,,,,Reduction_carbonyl_to_alcohol,0.0,|Alkynyl-COR|Ar-Alkynyl -> R2CH-OH,high,0.75,0,
31-244-CAS-15806523,Reduction LAH (LiAlH4),64,,,CC1=C(C#C[Si](C)(C)C)CCCC1=O>>C[C@@H]1C(=C=C[Si](C)(C)C)CCC[C@H]1O.C[C@H]1[C@H](O)CCC[C@@H]1C#C[Si](C)(C)C,"Tetrahedron (2016), 72(40), 6052-6063",185450-25-3,"188124-57-4, 188124-59-6","22722-98-1, 12125-02-9",,"108-88-3, 109-99-9, 60-29-7, 7732-18-5",,,,,,,2,1,64,14,,,,,,"stereoselective, alternate reaction conditions may be used",Reduction_carbonyl_to_alcohol,0.0,|Alkenyl-COR|R_acidic-H -> R2CH-OH | spectators: Alkyl-Si*|Alkynyl-Si* | events: Ann+C-C,medium,0.7,1,
31-338-CAS-22707027,Reduction LAH (LiAlH4),70,,,C=O.COc1cccc(OC)c1OCC(=O)c1ccccc1>>COc1cccc(OC)c1OC(CO)C(O)c1ccccc1,"ChemSusChem (2020), 13(17), 4528-4536",697744-83-5,920959-06-4,"584-08-7, 16940-66-2, 12125-02-9",,"64-17-5, 7732-18-5",,,,,,,3,1,70,,,,,,,,Reduction_carbonyl_to_alcohol,0.0,|Ar-COR|Unclassified-Reactant -> R2CH-OH|RCH2-OH | bond_formed: C-C | bond_formed_labeled: C-C | spectators: Ar-OR,high,1.0,0,
31-352-CAS-512159,Reduction LAH (LiAlH4),55,,,COc1ccc(C(=O)COC(C)=O)cc1OC>>COc1ccc(C(O)CO)cc1OC,"Journal of Organic Chemistry (2010), 75(19), 6549-6562",2951717-52-3,2951717-60-3,16853-85-3,,109-99-9,,,,,,"(3,4-Dimethoxyphenyl)ethyleneglycol (5). A solution of dry THF (50 mL) containing 1.0 M LiAlH4 (4.0 mL, 4.0 mmol) and 9S (0.5 g, 2.0 mmol) was stirred for 3 h at room temperature, diluted with H2O and extracted with EtOAc and 1 N HCl. The organic extract was dried and concentrated in vacuo to give a residue which was subjected to column chromatography (EtOAc:hexane 1:1) to give 5 (0.22 g, 55%). 1H-NMR 3.65-3.74 (m, 2H), 3.85 (s, 3H), 3.87 (s, 3H), 4.76 (m, 1H), 6.82-6.91(m, 3H).",1,1,55,,,,,,,,Reduction_ester_to_alcohol,0.0,|Alkyl-CO2R|Ar-COR -> R2CH-OH|RCH2-OH | bond_broken: C-O | spectators: Ar-OR,high,1.0,0,
31-352-CAS-5171261,Reduction LAH (LiAlH4),72,,,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)[C@@H](OC(C)=O)C[C@@H]32)C1>>C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC(=O)[C@@H]2O,"Bioorganic & Medicinal Chemistry (2006), 14(17), 5933-5947",4805-31-6,4805-42-9,"1310-73-2, 64-19-7",,"67-56-1, 7732-18-5",,,,,,,2,1,72,,,,,,,,Reduction_ester_to_alcohol,0.0,|Alkyl-CO2R|R3C-COR -> R2CH-OH | bond_broken: C-O | spectators: R_acidic-H,high,1.0,0,
31-353-CAS-13273954,Reduction LAH (LiAlH4),70,,,COc1ccc(N(C(C)=O)[C@H](C(=O)c2ccccc2)c2ccccc2)cc1>>COc1ccc(N[C@@H](c2ccccc2)[C@@H](O)c2ccccc2)cc1,"Journal of the American Chemical Society (2014), 136(40), 13971-13974",1394051-66-1,1394051-61-6,"22560-16-3, 12125-02-9, 1310-58-3",,"109-99-9, 7732-18-5, 67-56-1",,,,,,"(1S,2S)-2-((4-methoxyphenyl)amino)-1,2-diphenylethan-1-ol 27: To a flame-dried 10 mL round bottom flask was added the acylated amino ketone (S)-33 (0.17g, 0.47 mmol, 1 equiv) prepared above and 5 mL THF. The solution was cooled in an ice bath for 5 min under a N2 atmosphere and lithium triethylborohydride (1.9 mL, 1M in THF, 1.90 mmol, 4 equiv) was added dropwise via a syringe. The resulting mixture was stirred in an ice bath for 30 min before being quenched with 4 mL saturated NH4Cl solution. The solution was then gradually warmed up to room temperature, and extracted with ether (5 mL x 3), dried over MgSO4, filtered through filter paper in a Büchner funnel and concentrated under rotary evaporation. The product was subjected to the next step without purification. The crude product was transferred to a 25 mL Schlenk flask with 5 mL MeOH and KOH (0.078 g, 1.4 mmol, 3 equiv) was added. The flask was sealed and heated in a 65 °C oil bath for 30 min. Thereafter the solution was cooled to room temperature, which was followed by addition of 5 mL water. The mixture was extracted with ether (5 mL x 3). The syn:anti ratio was greater than 50:1 by 1H NMR analysis of the crude reaction mixture. The combined ether layer was washed with brine and dried over MgSO4, filtered through filter paper in a Büchner funnel and concentrated with rotary evaporation. The product was purified by silica gel column chromatography with 4:1 hexane:EtOAc as eluent. The product (1S,2S)-27 as a white solid (70% over two steps, 0.10 g, 0.32 mmol). The optical purity was determined to be 92% ee by Chiralcel OD-H column, 95:5 Hexane:iPrOH, 1 mL/min flow rate, 220 nm, 18.7 min for the major peak and 22.6 min for the minor peak. Spectral data for (1S,2S)-27: 1H NMR (CDCl3, 500 MHz) δ 2.90 (br s, 1H), 3.69 (s, 3H), 4.23 (br s, 1H), 4.42 (d, J = 7.0 Hz, 1H), 4.82 (d, J = 6.5 Hz, 1H), 6.53 (d, J = 9.0 Hz, 2H), 6.68 (d, J = 9.0 Hz, 2H), 7.17-7.18 (m, 2H), 7.22-7.28 (m, 8H); 13C NMR (CDCl3, 125 MHz) δ 55.70, 66.17, 78.13, 114.64, 115.75, 126.70, 127.35, 127.46, 127.83, 128.17, 128.47, 140.21, 140.58, 141.30, 152.49; [α]20 D = -35.5° (c = 0.9, CH2Cl2) on 92% ee (lit13 +30.7 (c=1, CHCl3) on 78% ee (1R,2R)-27). The NMR data are in agreement with those reported in the literature.13",3,1,70,,,,,,,"stereoselective, syn:anti >50:1 and purified ee >99%, sealed flask used in stage 2",Reduction_carbonyl_to_alcohol,0.0,|Alkyl-NRCOR|Ar-COR|Ar-NRCOR -> R2CH-OH | bond_broken: C-N | spectators: Ar-Alkyl|Ar-OR,high,1.0,0,
31-355-CAS-14510418,Reduction LAH (LiAlH4),68,,,COc1ccc(CN2C(=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C2=O)cc1.CC(=O)OC(C)=O>>COc1ccc(CN2C(=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)cc1,"Tetrahedron (2004), 60(37), 8089-8092",52-78-8,7253-95-4,"70981-93-0, 7647-01-0",,"64-17-5, 109-99-9, 7732-18-5, 110-86-1",,,,,,,3,1,68,,,,,,,"stereoselective, key step",Claisen_condensation,0.0,|Alkyl-CO2R|R2CH-CONR2|R_acidic-H -> [] | spectators: Ar-OR|Bn-LactamN,low,0.15,1,
31-355-CAS-832742,Reduction LAH (LiAlH4),61,,,COc1ccc(CN2C(=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C2=O)cc1.CC(=O)OC(C)=O>>COc1ccc(CN2C(=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O)cc1,"Tetrahedron (2004), 60(37), 8089-8092",93-89-0,72360-60-2,"70945-91-4, 7647-01-0",,"64-17-5, 109-99-9, 7732-18-5, 110-86-1",,,,,,,3,1,61,,,,,,,"stereoselective, key step, ee 83",Claisen_condensation,0.0,|Alkyl-CO2R|R2CH-CONR2|R_acidic-H -> [] | spectators: Ar-OR|Bn-LactamN,low,0.15,1,
31-480-CAS-19969379,Reduction LAH (LiAlH4),99,,,CC(C)O.CC(=O)c1ccccc1>>CC(C)=O.CC(O)c1ccccc1,"Organometallics (2019), 38(4), 797-804","67-63-0, 2142-63-4","67-64-1, 52780-14-0",6831-82-9,2271194-40-0,67-63-0,,,,,,,2,1,,99,,,,,,"catalyst prepared and used in stage 1,optimization study (optimized on base and stoichiometry of catalyst and base),conversion = 98%",Unknown,0.0,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: R2CH-OH|R_acidic-H,medium,0.6,1,
31-480-CAS-19969381,Reduction LAH (LiAlH4),99,,,CC(C)O.CC(=O)c1ccccc1F>>CC(C)=O.CC(O)c1ccccc1F,"Organometallics (2019), 38(4), 797-804","67-63-0, 1192-62-7","67-64-1, 4208-64-4",6831-82-9,2271194-40-0,67-63-0,,,,,,,2,1,,99,,,,,,"catalyst prepared and used in stage 1,conversion = 99%",Unknown,0.0,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-F|R2CH-OH|R_acidic-H,medium,0.6,1,
31-480-CAS-19969383,Reduction LAH (LiAlH4),96,,,CC(C)O.CC(=O)c1ccccc1C>>CC(C)=O.Cc1ccccc1C(C)O,"Organometallics (2019), 38(4), 797-804","67-63-0, 93-08-3","67-64-1, 7228-47-9",6831-82-9,2271194-40-0,67-63-0,,,,,,,2,1,,96,,,,,,catalyst prepared and used in stage 1,Unknown,0.0,|Ar-COR -> Alkyl-COR|R_acidic-H | spectators: Ar-Alkyl|R2CH-OH|R_acidic-H,medium,0.6,1,
31-480-CAS-19969384,Reduction LAH (LiAlH4),99,,,CC(C)O.COc1ccccc1C(C)=O>>CC(C)=O.COc1ccccc1C(C)O,"Organometallics (2019), 38(4), 797-804","67-63-0, 586-37-8","67-64-1, 23308-82-9",6831-82-9,2271194-40-0,67-63-0,,,,,,,2,1,,99,,,,,,"catalyst prepared and used in stage 1,conversion = 99%",Unknown,0.0,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-OR|R2CH-OH|R_acidic-H,medium,0.6,1,
31-480-CAS-19969385,Reduction LAH (LiAlH4),99,,,CC(C)O.CC(=O)c1cccc(Br)c1>>CC(C)=O.CC(O)c1cccc(Br)c1,"Organometallics (2019), 38(4), 797-804","67-63-0, 5424-19-1","67-64-1, 6270-47-9",6831-82-9,2271194-40-0,67-63-0,,,,,,,2,1,,99,,,,,,catalyst prepared and used in stage 1,Unknown,0.0,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-Br|R2CH-OH|R_acidic-H,medium,0.6,1,
31-480-CAS-19969386,Reduction LAH (LiAlH4),93,,,CC(C)O.CC(=O)c1cccc(C)c1>>CC(C)=O.Cc1cccc(C(C)O)c1,"Organometallics (2019), 38(4), 797-804","67-63-0, 100-06-1","67-64-1, 3319-15-1",6831-82-9,2271194-40-0,67-63-0,,,,,,,2,1,,93,,,,,,catalyst prepared and used in stage 1,Unknown,0.0,|Ar-COR -> Alkyl-COR|R_acidic-H | spectators: Ar-Alkyl|R2CH-OH|R_acidic-H,medium,0.6,1,
