reaction_smiles,detected_reaction_type,reaction_key
COC(=O)c1ccc(CO)cc1>>COC(=O)c1ccc(CCl)cc1,Alcohol_to_Alkyl_Halide,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-CO2R
CCCCCCC#CC#CCO>>CCCCCCC#CC#CCBr,Alcohol_to_Alkyl_Halide,|Propargyl-OH -> Propargyl-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Alkyl-Alkynyl|Propargyl-H
C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@H]2O>>C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CBr)[C@H]2O,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl|Ar-OR|Bn-OR|R2CH-OH
OCCc1ccccc1Br>>BrCCc1ccccc1Br,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Br
CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@@H](O)CN2C(=O)c2cccn2[C@H]13>>CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@H](Br)CN2C(=O)c2cccn2[C@H]13,Alcohol_to_Alkyl_Halide,|R2CH-OH -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Alkyl-AromN|Alkyl-NRCOR|Ar-Alkyl|Ar-CONR2|HeteroAr-H|R2CH-LactamN|R3C-LactamN
O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCO)c1ccc(F)cc1>>O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCBr)c1ccc(F)cc1,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Alkyl-NHCOR|Ar-Alkyl|Ar-CF3|Ar-F|R2CH-CONHR|R_acidic-H
CCOC(=O)[C@H](C)O>>CCOC(=O)[C@@H](C)Cl,Alcohol_to_Alkyl_Halide,|R2CH-OH -> R2CH-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: R2CH-CO2R|R_acidic-H
OC1C=CCCC1>>BrC1C=CCCC1,Alcohol_to_Alkyl_Halide,|R2CH-OH -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O
OCc1ccc2c(c1)OCO2>>BrCc1ccc2c(c1)OCO2,Alcohol_to_Alkyl_Halide,|Bn-OH -> Bn-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-OR
COc1ccc(N2CC(O)(CO)C2=O)cc1>>COc1ccc(N2CC(O)(CCl)C2=O)cc1,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Alkyl-NRCOR|Ar-NRCOR|Ar-OR|R3C-OH
OCCc1c[nH]c2ccccc12>>BrCCc1c[nH]c2ccccc12,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl|AromN-H|HeteroAr-H|Indole
CC1(C)O[C@@H](C(O)(c2ccccc2)c2ccccc2)[C@H](C(O)(c2ccccc2)c2ccccc2)O1>>CC1(C)O[C@@H](C(O)(c2ccccc2)c2ccccc2)[C@H](C(Cl)(c2ccccc2)c2ccccc2)O1,Alcohol_to_Alkyl_Halide,|R3C-OH -> R3C-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|R3C-OR
COc1ccc(CO)cc1>>COc1ccc(CCl)cc1,Alcohol_to_Alkyl_Halide,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-OR
OCCCCCOCc1ccccc1>>ClCCCCCOCc1ccccc1,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Bn-OR
CCCCCCCCCCCCCCCCO>>CCCCCCCCCCCCCCCCBr,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O
CCCCCCCCCCO>>CCCCCCCCCCBr,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O
CSc1ccccc1C#CC#CCCO>>ICCC#Cc1sc2ccccc2c1I,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-I | bond_formed: C-I; C-I | bond_formed_labeled: C-I; C-I | bond_broken: C-O | spectators: Alkyl-Alkynyl|Ar-Alkynyl|Propargyl-H
CC=CCO>>CC=CCBr,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O
OCCCc1ccccc1>>ClCCCc1ccccc1,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl
OCc1ccc(I)cc1>>BrCc1ccc(I)cc1,Alcohol_to_Alkyl_Halide,|Bn-OH -> Bn-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-I
C=CCC(O)c1ccc(Cl)cc1Cl>>C=CCC(Br)c1ccc(Cl)cc1Cl,Alcohol_to_Alkyl_Halide,|R2CH-OH -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Cl
OC/C=C/c1ccccc1>>ClC/C=C/c1ccccc1,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkenyl
c1ccc(P(c2ccccc2)c2ccccc2)cc1.CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O>>CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1Cl.Cl[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Cl-],Alcohol_to_Alkyl_Halide,|Ar-PR2|R2CH-OH -> R2CH-Cl
C/C=C(\CO)[C@H](C)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C>>C/C=C(\CBr)[C@H](C)O[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Alkyl-Si*|Ar-Si*
OCCCCCCCCO>>ClCCCCCCCCCl,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Cl | bond_formed: C-Cl; C-Cl | bond_formed_labeled: C-Cl; C-Cl | bond_broken: C-O
O=[N+]([O-])c1cc(CO)cc([N+](=O)[O-])c1>>O=[N+]([O-])c1cc(CCl)cc([N+](=O)[O-])c1,Alcohol_to_Alkyl_Halide,|Bn-OH -> Bn-Cl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-NO2
C=CCC(O)c1ccccc1>>C=CCC(Br)c1ccccc1,Alcohol_to_Alkyl_Halide,|R2CH-OH -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl
COC(=O)c1ccc(N(C)C)c(C#CC#CCCCCO)c1>>COC(=O)c1ccc2c(c1)c(I)c(C#CCCCCI)n2C,Alcohol_to_Alkyl_Halide,|Ar-NR2|CH3-NR2|RCH2-OH -> RCH2-I | spectators: Alkyl-Alkynyl|Ar-Alkynyl|Ar-CO2R|Propargyl-H
CCCCCCCCCCCCCCCC(O)CCCC>>CCCCCCCCCCCCCCCC(Br)CCCC,Alcohol_to_Alkyl_Halide,|R2CH-OH -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O
OCCc1ccccc1>>BrCCc1ccccc1,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl
OCCCC#Cc1sc2ccccc2c1I>>ICCCC#Cc1sc2ccccc2c1I,Alcohol_to_Alkyl_Halide,|RCH2-OH -> RCH2-I | bond_formed: C-I | bond_formed_labeled: C-I | bond_broken: C-O | spectators: Alkyl-Alkynyl|Ar-Alkynyl|Benzothiophene|HeteroAr-H|HeteroAr-I|Propargyl-H
