reaction_smiles,detected_reaction_type,reaction_key
O=C(O)[C@H](O)Cc1ccccc1.C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(=O)O>>CC(=O)N[C@H](C(=O)O[C@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,Unknown,|Alkyl-CO2H|Ar-Alkyl|Ar-Ar|R2CH-CO2H|R3C-OR -> Alkyl-NHCOR|R2CH-CO2R | spectators: R2CH-OH|R_acidic-H
CCC#CCC(=O)O.CC#CC(O)/C=C/C.CC#CC(O)/C=C\C>>CC#CC(/C=C/C)OC(=O)CC#CCC.CC#CC(/C=C\C)OC(=O)CC#CCC,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Propargyl-H|R_acidic-H | events: C-O+C-C
O=C(O)c1ccccc1NC(=O)C(F)(F)F.C=C1C2CCCC1(CO)CN(CC)C2>>C=C1C2CCCC1(COC(=O)c1ccccc1N)CN(CC)C2,Alkyl_Nucleophilic_Substitution,|Ar-NHCOR -> Ar-NH2 | bond_broken: C-N | spectators: RCH2-NR2
O=C(O)c1ccccc1NC(=O)C(F)(F)F.CCN1C[C@H]2CCC[C@@](CO)(C1)[C@@H]2OC>>CCN1C[C@H]2CCC[C@@](COC(=O)c3ccccc3N)(C1)[C@@H]2OC,Alkyl_Nucleophilic_Substitution,|Alkyl-F|Ar-CO2H|Ar-NHCOR|RCH2-OH -> Ar-NH2 | spectators: R2CH-OR|RCH2-NR2
COc1ccc(C(O)c2ccccc2)cc1.CCC#CCC(=O)O>>CCC#CCC(=O)OC(c1ccccc1)c1ccc(OC)cc1,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-OR|Propargyl-H|R_acidic-H
CC(C)Cc1ccc(C(C)C(=O)O)cc1.C=C(C)[C@H]1C[C@H](O)[C@H](C)[C@@H](S(=O)c2ccccc2)C1>>C=C(C)[C@H]1C[C@H](OC(=O)C(C)c2ccc(CC(C)C)cc2)[C@H](C)[C@@H](S(=O)c2ccccc2)C1,Esterification,|R2CH-CO2H|R2CH-OH -> R2CH-CO2R | spectators: Ar-Alkyl|Ar-SR|R_acidic-H
CCC#CCC(=O)O.CC#CC(O)c1ccc(I)cc1>>CC#CC(OC(=O)CC#CCC)c1ccc(I)cc1,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-I|Propargyl-H|R_acidic-H
CC(C)Cc1ccc(C(C)C(=O)O)cc1.C=C(C)[C@H]1CC(c2ccc(OC)cc2)=C(C)[C@@H](O)C1>>C=C(C)[C@H]1CC(c2ccc(OC)cc2)=C(C)[C@@H](OC(=O)[C@@H](C)c2ccc(CC(C)C)cc2)C1,Esterification,|R2CH-CO2H|R2CH-OH -> R2CH-CO2R | spectators: Ar-Alkenyl|Ar-Alkyl|Ar-OR|R_acidic-H
CCC#CCC(=O)O.CC#CC(O)c1ccc2cc(OC)ccc2c1>>CC#CC(OC(=O)CC#CCC)c1ccc2cc(OC)ccc2c1,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-OR|Propargyl-H|R_acidic-H
CCCOc1ccc(C(=O)O)cc1.Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1>>CCCOc1ccc(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)c4ccc(OCCC)cc4)cc3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl|Ar-OR | events: Ann+C-O+C-C
Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1.CCCCCCCCCCCCOc1ccc(C(=O)O)c(F)c1>>CCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)c4ccc(OCCCCCCCCCCCC)cc4F)cc3)cc2)c(F)c1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl|Ar-F|Ar-OR | events: Ann+C-O+C-C
CCC[C@H]1CC[C@H](c2ccc(O)cc2)CC1.C=CCOc1cc(OCCCCCCCC)ccc1C(=O)O>>C=CCOc1cc(OCCCCCCCC)ccc1C(=O)Oc1ccc(C2CCC(CCC)CC2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Allyl-OR|Ar-Alkyl|Ar-OR
CCCCc1ccc(C(=O)O)cc1.Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1>>CCCCc1ccc(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)c4ccc(CCCC)cc4)cc3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl | events: Ann+C-O+C-C
O=C(O)CCCc1ccc2ccc3cccc4ccc1c2c34.OCCc1ccsc1>>O=C(CCCc1ccc2ccc3cccc4ccc1c2c34)OCCc1ccsc1,Esterification,|RCH2-CO2H|RCH2-OH -> RCH2-CO2R | spectators: Ar-Alkyl|HeteroAr-H|R_acidic-H|Thiophene
CC(=O)O.CC(=CC(C)C)C(C)OC(C)(C)CO>>CC(=O)OCC(C)(C)OC(C)/C(C)=C/C(C)C.CC(=O)OCC(C)(C)OC(C)/C(C)=C\C(C)C,Esterification,|Alkyl-CO2H|RCH2-OH -> Alkyl-CO2R | spectators: R3C-OR|R_acidic-H | events: C-O+C-C
CCCCCC1CCC(C(=O)O)CC1.Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1>>CCCCCC1CCC(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)C4CCC(CCCCC)CC4)cc3)cc2)CC1,Esterification,|Ar-OH|R2CH-CO2H -> R2CH-CO2R | spectators: Ar-Alkyl|R_acidic-H | events: Ann+C-O+C-C
CCC#CCC(=O)O.CC#CC(O)c1cc(OC)ccc1OC>>CC#CC(OC(=O)CC#CCC)c1cc(OC)ccc1OC,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-OR|Propargyl-H|R_acidic-H
CC(=O)O.CC(=O)OCC(O)COc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2>>CC(=O)OCC(COc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2)OC(C)=O,Esterification,|Alkyl-CO2H|R2CH-OH -> Alkyl-CO2R | spectators: Alkyl-CO2R|Ar-Alkyl|Ar-OR|R_acidic-H
O=CO.O[C@@H]1CCCC[C@H]1O>>O[C@H]1CCCC[C@@H]1O.O=CO[C@@H]1CCCC[C@H]1O,Multi-Event:Ann+C-O+C-C,|Unclassified-Reactant -> R2CH-OH | spectators: R2CH-OH | events: Ann+C-O+C-C
CCC[C@H]1CC[C@H](c2ccc(O)cc2)CC1.C=CCCOc1cc(OCCCCCCCC)ccc1C(=O)O>>C=CCCOc1cc(OCCCCCCCC)ccc1C(=O)Oc1ccc(C2CCC(CCC)CC2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl|Ar-OR
O=C(O)CCl.CC(=CC(C)C)C(C)O>>CC(=CC(C)C)C(C)OC(=O)CCl,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: RCH2-Cl|R_acidic-H
CC#CC1(O)CCCCC1.CC#CCC(=O)O>>CC#CCC(=O)OC1(C#CC)CCCCC1,Esterification,|R3C-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|R_acidic-H
CCCC1CCC(C(=O)O)CC1.Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1>>CCCC1CCC(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)C4CCC(CCC)CC4)cc3)cc2)CC1,Esterification,|Ar-OH|R2CH-CO2H -> R2CH-CO2R | spectators: Ar-Alkyl|R_acidic-H | events: Ann+C-O+C-C
CCCCC(=O)O.CC(=O)OCC(O)COc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2>>CCCCC(=O)OC(COC(C)=O)COc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-CO2R|Ar-Alkyl|Ar-OR|R_acidic-H
CCCCCCCCOc1ccc(C(=O)O)cc1.Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1>>CCCCCCCCOc1ccc(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)c4ccc(OCCCCCCCC)cc4)cc3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl|Ar-OR | events: Ann+C-O+C-C
CCC#CCC(=O)O.CC#CC(O)c1ccco1>>CC#CC(OC(=O)CC#CCC)c1ccco1,Esterification,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Furan|HeteroAr-H|Propargyl-H|R_acidic-H
CC(C)Cc1ccc(C(C)C(=O)O)cc1.C=C(C)[C@@H]1C[C@H](Sc2ccccc2)[C@@H](C)[C@@H](O)C1>>C=C(C)[C@H]1C[C@H](OC(=O)C(C)c2ccc(CC(C)C)cc2)[C@H](C)[C@@H](Sc2ccccc2)C1,Esterification,|R2CH-CO2H|R2CH-OH -> R2CH-CO2R | spectators: Ar-Alkyl|Ar-SR|R_acidic-H
CC(C)=CC(=O)O.CC(=O)OCC(O)COc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2>>CC(=O)OCC(COc1c(C)c(C)c2c(c1C)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2)OC(=O)C=C(C)C,Esterification,|Alkenyl-CO2H|R2CH-OH -> Alkenyl-CO2R | spectators: Alkyl-CO2R|Ar-Alkyl|Ar-OR|R_acidic-H
COCCOCCOCCO.O=C(O)CSCC(=O)c1ccccc1>>COCCOCCOCCOC(=O)CSCC(=O)c1ccccc1,Esterification,|RCH2-CO2H|RCH2-OH -> RCH2-CO2R | spectators: Ar-COR|RCH2-OR|RCH2-SR|R_acidic-H
OCCNCCO.O=C(O)c1ccccc1C(=O)OCCOC(=O)c1ccccc1C(=O)O>>O=C1OCCOC(=O)c2ccccc2C(=O)N(CCO)CCOC(=O)c2ccccc21,Amide_formation / Esterification,|Ar-CO2H|RCH2-NHR|RCH2-OH -> Alkyl-NRCOR|Ar-CONR2 | spectators: Ar-CO2R | events: Amid+Ann+C-N | reaction_types: Amide_formation+Esterification
O[C@@H]1CCCC[C@H]1O.O=C(O)CC12CC3CC(CC(C3)C1)C2>>O[C@H]1CCCC[C@@H]1O.O=C(CC12CC3CC(CC(C3)C1)C2)O[C@@H]1CCCC[C@H]1O,Multi-Event:Ann+C-O,|RCH2-CO2H -> R2CH-OH|RCH2-CO2R | spectators: R2CH-OH|R_acidic-H | events: Ann+C-O
Oc1cccc(OCc2ccccc2)c1.CCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1>>CCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)Oc3cccc(OCc4ccccc4)c3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-CO2R|Ar-OR|Bn-OR
Oc1cccc(OCc2ccccc2)c1.CCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1>>CCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)Oc3cccc(OCc4ccccc4)c3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-CO2R|Ar-OR|Bn-OR
Oc1cccc(OCc2ccccc2)c1.CCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1>>CCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)Oc3cccc(OCc4ccccc4)c3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-CO2R|Ar-OR|Bn-OR
Oc1cccc(OCc2ccccc2)c1.CCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)O)cc2)cc1>>CCCCCCCCCOc1ccc(C(=O)Oc2ccc(C(=O)Oc3cccc(OCc4ccccc4)c3)cc2)cc1,Esterification,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-CO2R|Ar-OR|Bn-OR
C=CCC(=O)O.C=CC(O)c1ccccc1OCOC>>C=CCC(=O)OC(C=C)c1ccccc1OCOC,Esterification,|R2CH-OH|RCH2-CO2H -> Allyl-CO2R | spectators: Ar-Alkyl|Ar-OR|RCH2-OR|R_acidic-H
C=CCC(=O)O.C=CC(O)CO[Si](C)(C)C(C)(C)C>>C=CCC(=O)OC(C=C)CO[Si](C)(C)C(C)(C)C,Esterification,|R2CH-OH|RCH2-CO2H -> Allyl-CO2R | spectators: Alkyl-Si*|R_acidic-H
C=CCC(=O)O.C=CC(O)[Si](C)(C)C>>C=CCC(=O)OC(C=C)[Si](C)(C)C,Esterification,|R2CH-OH|RCH2-CO2H -> Allyl-CO2R | spectators: Alkyl-Si*|R_acidic-H
