reaction_smiles,detected_reaction_type,reaction_key
COC(C)(C)OC.O=C=O>>CC(C)=O.COC(=O)OC,Unknown,|R3C-OR -> Alkyl-COR|R_acidic-H | spectators: Inorganic
c1ccc(C2CO2)cc1.O=Cc1ccccc1>>c1ccc(C2COC(c3ccccc3)O2)cc1,Event:C-O,|Ar-CHO -> R2CH-OR | spectators: Ar-Alkyl|RCH2-OR
CC(C)=O.CCCCOCC1CO1>>CCCCOCC1COC(C)(C)O1,Event:C-O,|Alkyl-COR|R_acidic-H -> R3C-OR | spectators: RCH2-OR
CC(C)=O.C1CCC2OC2C1>>CC1(C)OC2CCCCC2O1,Event:C-O,|Alkyl-COR|R2CH-OR|R_acidic-H -> R3C-OR
CC(C)=O.CC(C)OCC1CO1>>CC(C)OCC1COC(C)(C)O1,Event:C-O,|Alkyl-COR|R_acidic-H -> R3C-OR | spectators: RCH2-OR
OCCO.COc1ccccc1C=O>>COC1(c2ccccc2)OCCO1,Reduction_carbonyl,|Ar-CHO|Ar-OR|RCH2-OH -> Ar-Alkyl | events: Ann+C-O
OCCO.CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C>>CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC5(CC[C@]4(C)[C@H]3CC[C@]12C)OCCO5,Michael_addition,|Alkenyl-COR|RCH2-OH|R_acidic-H -> RCH2-OR | events: Ann+C-O
CO.O=Cc1ccccc1F>>COC(OC)c1ccccc1Br,C_O_Coupling,|Ar-CHO|Ar-F|CH3-OH -> Ar-Alkyl|Ar-Br|R2CH-OR | bond_formed: C-O; C(ar)-O; Br-C(ar) | bond_formed_labeled: C-O; C(ar)-O; Br-C(ar) | bond_broken: C(ar)-F | events: LGDisp+C-O
O=Cc1cccc([N+](=O)[O-])c1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1cccc([N+](=O)[O-])c1,Reduction_carbonyl,|Alkyl-H|Ar-CHO|RCH2-OH -> Ar-Alkyl | spectators: Ar-NO2
O=Cc1ccc([N+](=O)[O-])cc1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1ccc([N+](=O)[O-])cc1,Reduction_carbonyl,|Alkyl-H|Ar-CHO|RCH2-OH -> Ar-Alkyl | spectators: Ar-NO2
O=C1C=C(O)CC1.CC[Si](CC)(CC)OCCCC(=O)C1=CC(C)OC1=O>>C[C@H]1OC(=O)[C@H]2[C@@H]1C1=C(CCC1=O)O[C@@]21CCCO1,Michael_addition,|Alkenyl-CO2R|Alkenyl-OH|Alkyl-Si*|R_acidic-H -> Alkenyl-OR|R2CH-CO2R|RCH2-OR | spectators: Alkenyl-COR | events: Ann+C-O+C-C
CO.O=Cc1ccco1>>COC(OC)c1ccco1,Reduction_carbonyl,|Ar-CHO|CH3-OH -> Ar-Alkyl | bond_formed: C-O; C-O | bond_formed_labeled: C-O; C-O | spectators: Furan|HeteroAr-H
O=Cc1ccc(O)cc1.OCC1(CO)CC2C=CC1C2>>Oc1ccc(C2OCC3(CO2)CC2C=CC3C2)cc1,Reduction_carbonyl,|Ar-CHO|RCH2-OH -> Ar-Alkyl | spectators: Ar-OH | events: Ann+C-O
CC(=O)CCc1ccccc1.CC(C)OC(OC(C)C)OC(C)C>>CC(C)OC(C)(CCc1ccccc1)OC(C)C,Event:C-O,|R2CH-OR|RCH2-COR|R_acidic-H -> R3C-OR | spectators: Ar-Alkyl
OCCO.CC(C)CC=O>>CC(C)CC1OCCO1,Multi-Event:Ann+C-O,|RCH2-CHO|RCH2-OH|R_acidic-H -> RCH2-OR | events: Ann+C-O
CO.O=Cc1ccc(Cl)cc1>>COC(OC)c1ccc(Cl)cc1,Reduction_carbonyl,|Ar-CHO|CH3-OH -> Ar-Alkyl | bond_formed: C-O; C(ar)-O | bond_formed_labeled: C-O; C(ar)-O | spectators: Ar-Cl
CCOC(OCC)OCC.O=C/C=C/c1ccccc1>>CCOC(/C=C/c1ccccc1)OCC,Event:C-O,|Alkenyl-CHO|RCH2-OR -> [] | spectators: Ar-Alkenyl
OCCO.O=Cc1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc(C2OCCO2)cc1,Reduction_carbonyl,|Ar-CHO|RCH2-OH -> Ar-Alkyl | spectators: Ar-NO2 | events: Ann+C-O
