reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,predicted_reaction_type,predicted_reaction_confidence,predicted_reaction_key,predicted_reaction_key_quality_level,predicted_reaction_key_quality_score,predicted_mapping_warning,prediction_error
31-049-CAS-21440279,Steglich esterification,31,,,O=C(O)[C@H](O)Cc1ccccc1.C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(=O)O>>CC(=O)N[C@H](C(=O)O[C@H](Cc1ccccc1)C(=O)O)[C@@H](C)O,"European Journal of Organic Chemistry (2020), 2020(2), 183-192","4435-67-0, 6541-41-9",1233947-57-3,"693-13-0, 1122-58-3, 110-89-4, 3849-21-6, 76-05-1, 6485-79-6, 7732-18-5",,"68-12-2, 75-09-2",,,,,,,5,1,31,,,,,,,"solid-supported reaction, attachment to 2-CTC resin in stage 1,solid phase peptide synthesis,no experimental detail in stage 1",Unknown,0.0,|Alkyl-CO2H|Ar-Alkyl|Ar-Ar|R2CH-CO2H|R3C-OR -> Alkyl-NHCOR|R2CH-CO2R | spectators: R2CH-OH|R_acidic-H,medium,0.6,1,
31-117-CAS-1478405,Steglich esterification,,,,CCC#CCC(=O)O.CC#CC(O)/C=C/C.CC#CC(O)/C=C\C>>CC#CC(/C=C/C)OC(=O)CC#CCC.CC#CC(/C=C\C)OC(=O)CC#CCC,"Chemistry - A European Journal (2015), 21(1), 427-433","64-19-7, 5057-99-8","63261-45-0, 105663-22-7",538-75-0,1122-58-3,75-09-2,,,,,,,1,1,,,,,,,,"Steglich esterification, Schlenk flask used, combined yield = 90%",Esterification,0.0,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Propargyl-H|R_acidic-H | events: C-O+C-C,high,0.85,1,
31-353-CAS-6827182,Steglich esterification,75,,,O=C(O)c1ccccc1NC(=O)C(F)(F)F.C=C1C2CCCC1(CO)CN(CC)C2>>C=C1C2CCCC1(COC(=O)c1ccccc1N)CN(CC)C2,"Tetrahedron (2004), 60(28), 5953-5963","464-43-7, 15761-39-4",1938063-13-8,"538-75-0, 16940-66-2, 7732-18-5",1122-58-3,"75-05-8, 64-17-5",,,,,,,3,1,75,,,,,,,,Alkyl_Nucleophilic_Substitution,0.0,|Ar-NHCOR -> Ar-NH2 | bond_broken: C-N | spectators: RCH2-NR2,high,1.0,0,
31-353-CAS-8954710,Steglich esterification,78,,,O=C(O)c1ccccc1NC(=O)C(F)(F)F.CCN1C[C@H]2CCC[C@@](CO)(C1)[C@@H]2OC>>CCN1C[C@H]2CCC[C@@](COC(=O)c3ccccc3N)(C1)[C@@H]2OC,"Tetrahedron (2004), 60(28), 5953-5963","123-51-3, 66990-32-7",3032628-31-9,"538-75-0, 16940-66-2, 7732-18-5",1122-58-3,"75-05-8, 64-17-5",,,,,,,3,1,78,,,,,,,,Alkyl_Nucleophilic_Substitution,0.0,|Alkyl-F|Ar-CO2H|Ar-NHCOR|RCH2-OH -> Ar-NH2 | spectators: R2CH-OR|RCH2-NR2,high,0.85,1,
31-356-CAS-10005461,Steglich esterification,79,,,COc1ccc(C(O)c2ccccc2)cc1.CCC#CCC(=O)O>>CCC#CCC(=O)OC(c1ccccc1)c1ccc(OC)cc1,"Chemistry - A European Journal (2015), 21(1), 427-433","75-08-1, 501-52-0",30911-16-1,538-75-0,1122-58-3,75-09-2,,,,,,,1,1,79,,,,,,,"Steglich esterification, Schlenk flask used",Esterification,0.0,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-OR|Propargyl-H|R_acidic-H,medium,0.6,1,
31-356-CAS-10221129,Steglich esterification,81,,,CC(C)Cc1ccc(C(C)C(=O)O)cc1.C=C(C)[C@H]1C[C@H](O)[C@H](C)[C@@H](S(=O)c2ccccc2)C1>>C=C(C)[C@H]1C[C@H](OC(=O)C(C)c2ccc(CC(C)C)cc2)[C@H](C)[C@@H](S(=O)c2ccccc2)C1,"Journal of the Brazilian Chemical Society (2010), 21(6), 1017-1036","50-23-7, 147-93-3",2883780-42-3,538-75-0,1122-58-3,108-88-3,,,,,,,1,1,81,,,,,,,"optimization study, optimized on reaction condition and solvent",Esterification,0.0,|R2CH-CO2H|R2CH-OH -> R2CH-CO2R | spectators: Ar-Alkyl|Ar-SR|R_acidic-H,medium,0.6,1,
31-356-CAS-10328534,Steglich esterification,89,,,CCC#CCC(=O)O.CC#CC(O)c1ccc(I)cc1>>CC#CC(OC(=O)CC#CCC)c1ccc(I)cc1,"Chemistry - A European Journal (2015), 21(1), 427-433","107-93-7, 676532-52-8",676532-48-2,538-75-0,1122-58-3,75-09-2,,,,,,,1,1,89,,,,,,,"Steglich esterification, Schlenk flask used",Esterification,0.0,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-I|Propargyl-H|R_acidic-H,medium,0.6,1,
31-356-CAS-10498257,Steglich esterification,90,,,CC(C)Cc1ccc(C(C)C(=O)O)cc1.C=C(C)[C@H]1CC(c2ccc(OC)cc2)=C(C)[C@@H](O)C1>>C=C(C)[C@H]1CC(c2ccc(OC)cc2)=C(C)[C@@H](OC(=O)[C@@H](C)c2ccc(CC(C)C)cc2)C1,"Journal of the Brazilian Chemical Society (2010), 21(6), 1017-1036","123-76-2, 6194-39-4",676532-59-5,538-75-0,1122-58-3,108-88-3,,,,,,,1,1,90,,,,,,,"stereoselective, optimization study, R:S 40:60, optimized on reaction temperature",Esterification,0.0,|R2CH-CO2H|R2CH-OH -> R2CH-CO2R | spectators: Ar-Alkenyl|Ar-Alkyl|Ar-OR|R_acidic-H,medium,0.6,1,
31-356-CAS-10621333,Steglich esterification,86,,,CCC#CCC(=O)O.CC#CC(O)c1ccc2cc(OC)ccc2c1>>CC#CC(OC(=O)CC#CCC)c1ccc2cc(OC)ccc2c1,"Chemistry - A European Journal (2015), 21(1), 427-433","1498-96-0, 16146-59-1",2761254-06-0,538-75-0,1122-58-3,75-09-2,,,,,,,1,1,86,,,,,,,"Steglich esterification, Schlenk flask used",Esterification,0.0,|R2CH-OH|RCH2-CO2H -> RCH2-CO2R | spectators: Alkyl-Alkynyl|Ar-Alkyl|Ar-OR|Propargyl-H|R_acidic-H,medium,0.6,1,
31-356-CAS-10642921,Steglich esterification,80,,,CCCOc1ccc(C(=O)O)cc1.Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1>>CCCOc1ccc(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)c4ccc(OCCC)cc4)cc3)cc2)cc1,"Chemistry - A European Journal (2015), 21(22), 8158-8167","53-86-1, 851591-91-8",1678502-22-1,1892-57-5,1122-58-3,75-09-2,,,,,,,1,1,80,,,,,,,"combinatorial, Steglich esterification",Esterification,0.0,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl|Ar-OR | events: Ann+C-O+C-C,medium,0.7,1,
31-356-CAS-10759906,Steglich esterification,77,,,Oc1ccc(CCCCCCCCCc2ccc(O)cc2)cc1.CCCCCCCCCCCCOc1ccc(C(=O)O)c(F)c1>>CCCCCCCCCCCCOc1ccc(C(=O)Oc2ccc(CCCCCCCCCc3ccc(OC(=O)c4ccc(OCCCCCCCCCCCC)cc4F)cc3)cc2)c(F)c1,"Chemistry - A European Journal (2015), 21(22), 8158-8167","1135-24-6, 36653-82-4",64190-80-3,1892-57-5,1122-58-3,75-09-2,,,,,,,1,1,77,,,,,,,"combinatorial, Steglich esterification",Esterification,0.0,|Ar-CO2H|Ar-OH -> Ar-CO2R | spectators: Ar-Alkyl|Ar-F|Ar-OR | events: Ann+C-O+C-C,medium,0.7,1,
