reaction_smiles,detected_reaction_type,reaction_key
COc1cccc(C(=O)O)c1>>COc1cccc(C(=O)F)c1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-OR
O=C(O)CCCCc1ccccc1>>O=C(F)CCCCc1ccccc1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl|R_acidic-H
O=C(O)Cc1ccccc1>>O=C(F)Cc1ccccc1,Acyl_Halides_formation,|RCH2-CO2H -> Alkyl-COF | bond_formed: C-F | bond_formed_labeled: C-F | bond_broken: C-O | spectators: Ar-Alkyl|R_acidic-H
O=C(O)c1cnoc1C1CC1>>O=C(Cl)c1cnoc1C1CC1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|HeteroAr-H
Cc1cc(Cl)ccc1OC(C)C(=O)O>>Cc1cc(Cl)ccc1OC(C)C(=O)Cl,Acyl_Halides_formation,|R2CH-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Alkyl|Ar-Cl|Ar-OR|R_acidic-H
CC(Oc1ccc([N+](=O)[O-])cc1)C(=O)O>>CC(Oc1ccc([N+](=O)[O-])cc1)C(=O)Cl,Acyl_Halides_formation,|R2CH-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-NO2|Ar-OR|R_acidic-H
CC(Sc1ccccc1)C(=O)O>>CC(Sc1ccccc1)C(=O)Cl,Acyl_Halides_formation,|R2CH-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-SR|R_acidic-H
CC(C(=O)O)S(=O)(=O)c1ccccc1>>CC(C(=O)Cl)S(=O)(=O)c1ccccc1,Acyl_Halides_formation,|R2CH-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-SR|R2CH-SO2R|R_acidic-H
O=C(CCl)Nc1ccc(C(=O)O)cc1>>O=C(CCl)Nc1ccc(C(=O)Cl)cc1,Acyl_Halides_formation,|Ar-CO2H -> Ar-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-NHCOR|RCH2-Cl|R_acidic-H
Cl.O=C(O)CCCCN1CCN(c2cccc(Cl)c2Cl)CC1>>O=C(Cl)CCCCN1CCN(c2cccc(Cl)c2Cl)CC1,Acyl_Halides_formation,|Inorganic|RCH2-CO2H -> Alkyl-COCl | bond_formed: C-Cl | bond_formed_labeled: C-Cl | bond_broken: C-O | spectators: Ar-Cl|Ar-NR2|RCH2-NR2|R_acidic-H
