reaction_smiles,detected_reaction_type,reaction_key
CC(=O)C(C)=NO.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1,Event:C-N,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H
CC(=NO)C(=O)c1ccccc1.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1,Event:C-N,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N
CC(=NO)C(=O)c1ccccc1.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,Event:C-N,|Ar-COR -> Ar-C=N | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O
CN(C)N.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/N(C)C,Event:C-N,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkyl-Alkynyl_terminal|Propargyl-H|RCH2-OR
CN(C)N.COC(=O)C#CCOCC#CCCCC=O>>COC(=O)C#CCOCC#CCCC/C=N/N(C)C,Event:C-N,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkynyl-CO2R|Propargyl-H|RCH2-OR
CN(C)N.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C,Event:C-N,|Alkyl-Hydrazine|RCH2-CHO|R_acidic-H -> CH3-NR2 | spectators: Alkyl-Alkynyl|Alkyl-Si*|Alkynyl-Si*|Propargyl-H|RCH2-OR
CC(=NO)C(=O)c1ccccc1.CC(C)COP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1,Event:C-N,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N
CC(=O)C(C)=NO.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,Event:C-N,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H
CC(=O)C(C)=NO.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C,Event:C-N,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H
CC(=O)C(C)=NO.CCCCOP(=O)(NN)c1ccccc1>>CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,Event:C-N,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H
CC(=O)C(C)=NO.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,Event:C-N,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H
CC(=NO)C(=O)c1ccccc1.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,Event:C-N,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N
CC(=NO)C(=O)c1ccccc1.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C)c1ccccc1,Event:C-N,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N
CC(=O)C(C)=NO.CCN(CC)P(=O)(NN)c1ccccc1>>CCN(CC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,Event:C-N,|Alkyl-COR|R_acidic-H -> [] | spectators: Alkyl-H|Ar-H
CC(=O)C(C)=NO.CCCCN(CCCC)P(=O)(NN)c1ccccc1>>CCCCN(CCCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,Event:C-N,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H
CC(=O)C(C)=NO.CCCOP(=O)(NN)c1ccccc1>>CCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,Event:C-N,|Alkyl-COR -> [] | bond_formed: C-N | bond_broken: C-O | spectators: Alkyl-H|Ar-H
CC(=O)/C(=N/O)c1ccccc1>>CC(=N/N)/C(=N/O)c1ccccc1,Event:C-N,|Alkyl-COR -> [] | bond_formed: C-N; N-N | bond_broken: C-O | spectators: Ar-C=N
CC(=NO)C(=O)c1ccccc1.CCCOP(=O)(NN)c1ccccc1>>CCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,Event:C-N,|Ar-COR -> Ar-C=N | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O
CC(=NO)C(=O)c1ccccc1.CCCCN(CCCC)P(=O)(NN)c1ccccc1>>CCCCN(CCCC)P(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,Event:C-N,|Ar-COR -> Ar-C=N | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O
O=C(CBr)C(F)(F)F.Cc1ccc(S(=O)(=O)NN)cc1>>Cc1ccc(S(=O)(=O)NN=C(CBr)C(F)(F)F)cc1,Event:C-N,|RCH2-COR|R_acidic-H -> Product_Aryl_S | spectators: Alkyl-F|Ar-Alkyl|Ar-SO2NHR|RCH2-Br
