reaction_smiles,detected_reaction_type,reaction_key
CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2[C@@H](O)CO.CC1(C)O[C@@H]2[C@H](O1)[C@H]1OC(C)(C)O[C@H]1O[C@@H]2[C@H](O)CO>>OCC(O)C(O)C(O)C(O)C(O)CO,Unknown,|R2CH-OR|R3C-OR -> R2CH-OH | spectators: R2CH-OH|RCH2-OH
CC[SiH2]CC.CCc1ccccc1OC(=O)CBr>>CCc1ccccc1OC(CBr)O[SiH](CC)CC,Claisen_condensation,|RCH2-CO2R|R_acidic-H -> Ar-OR | spectators: Alkyl-Si*|Ar-Alkyl|RCH2-Br
CC[SiH2]CC.CCc1ccccc1OC(=O)CCl>>CCc1ccccc1OC(CCl)O[SiH](CC)CC,Claisen_condensation,|RCH2-CO2R|R_acidic-H -> Ar-OR | spectators: Alkyl-Si*|Ar-Alkyl|RCH2-Cl
COc1cc2c3c(c1)C(=O)CCC3N(S(=O)(=O)C(F)(F)F)CC2>>O=S(=O)(N1CCc2cc(O)cc3c2C1CCC3O)C(F)(F)F,Reduction_carbonyl_to_alcohol,|Ar-COR|Ar-OR -> Ar-OH|R2CH-OH | bond_broken: C-O | spectators: Alkyl-F|Alkyl-SO2NR2|Ar-Alkyl
NCC(=O)c1ccccc1>>C[C@H](O)c1ccccc1N,Reduction_carbonyl_to_alcohol,|Ar-COR|RCH2-NH2 -> R2CH-OH | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N | bond_broken: C-N
O=Cc1ccccc1>>[2H]C(O)c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-CHO -> Bn-OH | bond_formed: C-H | bond_formed_labeled: C-H
CCC[C@@H]1[C@@H]2[C@H]1[C@]1(C)O[C@H]2C(=O)C12CC2>>C[C@]12O[C@H]([C@@H]3[C@@H](C4CC4)[C@@H]31)[C@H](O)C21CC1,Reduction_carbonyl_to_alcohol,|R3C-COR -> R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | spectators: R3C-OR | events: Ann+C-C
CC(C)C1=CC[C@@H](C)CC1=O>>CC(C)[C@H]1[C@H](O)C[C@H](C)C[C@@H]1O.CC(C)[C@H]1[C@H](O)C[C@H](C)C[C@H]1O,Reduction_carbonyl_to_alcohol,|Alkenyl-COR -> R2CH-OH | bond_formed: C-C; C-C; C-C; C-O | bond_formed_labeled: C-C; C-C; C-C; C-O | events: Ann+C-O+C-C
CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2>>CC1(C)[C@H]2C[C@H](O)[C@@H](CO)[C@@H]1C2,Reduction_carbonyl_to_alcohol,|Alkenyl-CHO -> R2CH-OH|RCH2-OH | bond_formed: C-O | bond_formed_labeled: C-O
O=C(C#Cc1ccccc1)c1ccccc1>>OC(C=Cc1ccccc1)c1ccccc1,Reduction_carbonyl_to_alcohol,|Alkynyl-COR|Ar-Alkynyl -> R2CH-OH
CC1=C(C#C[Si](C)(C)C)CCCC1=O>>C[C@@H]1C(=C=C[Si](C)(C)C)CCC[C@H]1O.C[C@H]1[C@H](O)CCC[C@@H]1C#C[Si](C)(C)C,Reduction_carbonyl_to_alcohol,|Alkenyl-COR|R_acidic-H -> R2CH-OH | spectators: Alkyl-Si*|Alkynyl-Si* | events: Ann+C-C
C=O.COc1cccc(OC)c1OCC(=O)c1ccccc1>>COc1cccc(OC)c1OC(CO)C(O)c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-COR|Unclassified-Reactant -> R2CH-OH|RCH2-OH | bond_formed: C-C | bond_formed_labeled: C-C | spectators: Ar-OR
COc1ccc(C(=O)COC(C)=O)cc1OC>>COc1ccc(C(O)CO)cc1OC,Reduction_ester_to_alcohol,|Alkyl-CO2R|Ar-COR -> R2CH-OH|RCH2-OH | bond_broken: C-O | spectators: Ar-OR
CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)[C@@H](OC(C)=O)C[C@@H]32)C1>>C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC(=O)[C@@H]2O,Reduction_ester_to_alcohol,|Alkyl-CO2R|R3C-COR -> R2CH-OH | bond_broken: C-O | spectators: R_acidic-H
COc1ccc(N(C(C)=O)[C@H](C(=O)c2ccccc2)c2ccccc2)cc1>>COc1ccc(N[C@@H](c2ccccc2)[C@@H](O)c2ccccc2)cc1,Reduction_carbonyl_to_alcohol,|Alkyl-NRCOR|Ar-COR|Ar-NRCOR -> R2CH-OH | bond_broken: C-N | spectators: Ar-Alkyl|Ar-OR
COc1ccc(CN2C(=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C2=O)cc1.CC(=O)OC(C)=O>>COc1ccc(CN2C(=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]2OC(C)=O)cc1,Claisen_condensation,|Alkyl-CO2R|R2CH-CONR2|R_acidic-H -> [] | spectators: Ar-OR|Bn-LactamN
COc1ccc(CN2C(=O)[C@@H](OC(C)=O)[C@@H](OC(C)=O)C2=O)cc1.CC(=O)OC(C)=O>>COc1ccc(CN2C(=O)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O)cc1,Claisen_condensation,|Alkyl-CO2R|R2CH-CONR2|R_acidic-H -> [] | spectators: Ar-OR|Bn-LactamN
CC(C)O.CC(=O)c1ccccc1>>CC(C)=O.CC(O)c1ccccc1,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1ccccc1F>>CC(C)=O.CC(O)c1ccccc1F,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-F|R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1ccccc1C>>CC(C)=O.Cc1ccccc1C(C)O,Unknown,|Ar-COR -> Alkyl-COR|R_acidic-H | spectators: Ar-Alkyl|R2CH-OH|R_acidic-H
CC(C)O.COc1ccccc1C(C)=O>>CC(C)=O.COc1ccccc1C(C)O,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-OR|R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1cccc(Br)c1>>CC(C)=O.CC(O)c1cccc(Br)c1,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-Br|R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1cccc(C)c1>>CC(C)=O.Cc1cccc(C(C)O)c1,Unknown,|Ar-COR -> Alkyl-COR|R_acidic-H | spectators: Ar-Alkyl|R2CH-OH|R_acidic-H
CC(C)O.COc1cccc(C(C)=O)c1>>CC(C)=O.COc1cccc(C(C)O)c1,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-OR|R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1ccc(Br)cc1>>CC(C)=O.CC(O)c1ccc(Br)cc1,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-Br|R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1ccc(F)cc1>>CC(C)=O.CC(O)c1ccc(F)cc1,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: Ar-F|R2CH-OH|R_acidic-H
CC(C)O.CC(=O)c1cccc2ccccc12>>CC(C)=O.CC(O)c1cccc2ccccc12,Unknown,|Ar-COR -> Alkyl-COR|Ar-Alkyl|R_acidic-H | spectators: R2CH-OH|R_acidic-H
