reaction_smiles,detected_reaction_type,reaction_key
C=C(OCC)[Sn](CCCC)(CCCC)CCCC.O=C1NN=C(c2ccc(Br)c(C(F)(F)F)c2)CO1>>CC(=O)c1ccc(C2=NNC(=O)OC2)cc1C(F)(F)F,Multi-Event:LGDisp+C-C,|Alkenyl-OR|Alkenyl-Sn*|Ar-Br|RCH2-Sn* -> Ar-COR|R_acidic-H | spectators: Ar-C=N|Ar-CF3 | events: LGDisp+C-C
COc1ccccc1Br.Br[Mg]C1CCCCC1>>Oc1ccccc1C1CCCCC1,Kumada,|Ar-Br|Ar-OR|R2CH-Mg* -> Ar-Alkyl | events: LGDisp+C-C
N#Cc1ccc(C=O)cc1C#N.CCOP(=O)(Cc1ccc(Br)c(OC)c1)OCC.CC(C)[Mg]Cl>>CC(C)c1ccc(/C=C/c2ccc(C#N)c(C#N)c2)cc1O,Kumada / Reduction_carbonyl,|Ar-Br|Ar-CHO|Ar-OR|R2CH-Mg* -> Ar-Alkenyl | spectators: Ar-Alkyl|Ar-CN | events: LGDisp+C-C | reaction_types: Kumada+Reduction_carbonyl
N#Cc1cccc(I)c1.O=S(=O)(Oc1ccc(Br)cc1)C(F)(F)F.Cl[Zn]c1ccccc1>>N#Cc1cccc(-c2ccc(-c3ccccc3)cc2)c1,Negishi,|Ar-Br|Ar-I|Ar-OTf|Ar-Zn* -> Ar-Ar | spectators: Ar-CN | events: LGDisp+C-C
Clc1ccc(Cl)cc1.Cl[Zn]c1ccccc1>>c1ccc(-c2ccc(-c3ccccc3)cc2)cc1.Clc1ccc(-c2ccccc2)cc1,Negishi,|Ar-Cl|Ar-Zn* -> Ar-Ar | events: Ann+LGDisp+C-C
Br[Mg]c1ccccc1.Clc1cccc(Cl)c1>>c1ccc(-c2cccc(-c3ccccc3)c2)cc1.Clc1cccc(-c2ccccc2)c1,Kumada,|Ar-Cl|Ar-Mg* -> Ar-Ar | events: Ann+LGDisp+C-C
CCC(C)(CC)[Mg]Cl.Brc1ccc(-c2ccccc2)cc1>>c1ccc(-c2ccccc2)cc1.CCC(C)(CC)c1ccc(-c2ccccc2)cc1,Kumada,|Ar-Br|R3C-Mg* -> Ar-Alkyl|Ar-Ar | spectators: Ar-Ar | events: Ann+LGDisp+C-C
Clc1cccnc1.CCCC[Mg]Cl>>c1ccncc1.CCCCc1cccnc1,Kumada,|HeteroAr-Cl|RCH2-Mg* -> Ar-Alkyl | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl] | bond_broken: C-Mg; C(ar)-Cl | spectators: HeteroAr-H|Pyridine | events: Ann+LGDisp+C-C
Fc1ccccn1.CCCC[Mg]Cl>>c1ccncc1.CCCCc1ccccn1,Kumada,|Ar-F|RCH2-Mg* -> Ar-Alkyl | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl] | bond_broken: C-Mg; C(ar)-F | spectators: HeteroAr-H|Pyridine | events: Ann+LGDisp+C-C
CC(C)[Mg]Cl.Brc1cc(Br)c2ccc3cccc4ccc1c2c43>>CC(C)c1ccc2ccc3c(C(C)C)ccc4ccc1c2c43,Kumada,|Ar-Br|R2CH-Mg* -> Ar-Alkyl | bond_formed: C-C(ar); C-C(ar); C-C(ar); C(ar)-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl]; C-C(ar); C-C(ar); C(ar)-C(ar) | bond_broken: C-Mg; Br-C(ar) | events: LGDisp+C-C
