reaction_smiles,detected_reaction_type,reaction_key
CC1(C)OCC(=O)CO1.Cc1c(-c2noc(-c3cnc(NC(C)C)c(C#N)c3)n2)ccc2c1CCNCC2.Cl>>Cc1c(-c2noc(-c3cnc(NC(C)C)c(C#N)c3)n2)ccc2c1CCN(C(CO)CO)CC2,Reductive_amination,|Inorganic|RCH2-COR|RCH2-NHR|RCH2-OR|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|Ar-Ar|Ar-NHR|HeteroAr-CN|HeteroAr-H|Pyridine|R2CH-NHR
COC(=O)C[C@H](N)C(=O)OC.Cl.COC(=O)COc1cccc(C=O)c1.O=C(Cl)c1ccccc1[N+](=O)[O-].BrCc1ccccc1>>COC(=O)COc1cccc(CN2C(=O)c3ccccc3N(Cc3ccccc3)C(=O)[C@@H]2CC(=O)OC)c1,Acylation_amide,|Ar-CHO|Ar-COCl|Ar-NO2|Bn-Br|Inorganic|R2CH-CO2R|R2CH-NH2 -> Ar-CONR2|Ar-NRCOR | spectators: Ar-OR|RCH2-CO2R|R_acidic-H | events: Ann+LGDisp+C-N
BrC1CCCCC1.COc1ccc(Cn2c(C3CCCNC3)nc3ccccc32)cc1>>COc1ccc(Cn2c(C3CCCN(C4CCCCC4)C3)nc3ccccc32)cc1,Alkyl_Nucleophilic_Substitution,|R2CH-Br|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Alkyl-AromN|Ar-Alkyl|Ar-OR|HeteroAr-H | events: LGDisp+C-N
O=Cc1ccccc1.CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1N.CI>>CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1[N+](C)(C)Cc1ccccc1.[I-],Multi-Event:LGDisp+C-N,|Ar-CHO|CH3-I|R2CH-NH2 -> Ar-Alkyl|Inorganic | events: LGDisp+C-N
COC(=O)COc1cccc(C=O)c1.COC(=O)[C@@H](N)C(C)C.Cl.O=C(Cl)c1ccccc1[N+](=O)[O-].BrCc1ccccc1.CO>>COC(=O)COc1cccc(CN2C(=O)c3ccccc3N(Cc3ccccc3)C(=O)[C@@H]2C(C)C)c1,Alkyl_Nucleophilic_Substitution / Acylation_amide,|Ar-CHO|Ar-COCl|Ar-NO2|Bn-Br|CH3-OH|Inorganic|R2CH-CO2R|R2CH-NH2 -> Ar-NRCOR | spectators: Ar-OR|RCH2-CO2R|R_acidic-H | events: Ann+LGDisp+C-N | reaction_types: Alkyl_Nucleophilic_Substitution+Acylation_amide
CCCCCCCCC=O.CC(C)(C)[Si](C)(C)OC[C@@H]1N[C@H](COCc2ccccc2)[C@H]1OCc1ccccc1>>CCCCCCCCCN1[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1CO,Reductive_amination,|Alkyl-Si*|R2CH-NHR|RCH2-CHO|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Bn-OR
CCCC=O.CC(C)(C)[Si](C)(C)OC[C@@H]1N[C@H](COCc2ccccc2)[C@H]1OCc1ccccc1>>CCCCN1[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@@H]1CO,Reductive_amination,|Alkyl-Si*|R2CH-NHR|RCH2-CHO|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Bn-OR
CC(C)(C)C1CCC(=O)CC1.CC(=O)Nc1ccccc1N>>CC(=O)Nc1ccccc1NC1CCC(C(C)(C)C)CC1,Reductive_amination,|Ar-NH2|RCH2-COR|R_acidic-H -> R2CH-NHR | spectators: Ar-NHCOR
O=C1CCN(Cc2ccccc2)CC1.CC(=O)Nc1ccccc1N>>CC(=O)Nc1ccccc1NC1CCN(Cc2ccccc2)CC1,Reductive_amination,|Ar-NH2|RCH2-COR|R_acidic-H -> R2CH-NHR | spectators: Ar-NHCOR|Bn-NR2|RCH2-NR2
O=C1CCN(Cc2ccccc2)C1.CC(=O)Nc1ccccc1N>>CC(=O)Nc1ccccc1NC1CCN(Cc2ccccc2)C1,Reductive_amination,|Ar-NH2|RCH2-COR -> R2CH-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O | spectators: Ar-NHCOR|Bn-NR2|RCH2-NR2|R_acidic-H
Cc1cccc(S)c1.CC(=O)Nc1cccc2cc(Br)cnc12.CN1CCC(=O)CC1>>Cc1cccc(S(=O)(=O)c2cnc3c(NC4CCN(C)CC4)cccc3c2)c1,C_S_Coupling / C_N_Coupling / Snar_cn,|Ar-NHCOR|Ar-SH|HeteroAr-Br|RCH2-COR|R_acidic-H -> Ar-SR | spectators: Ar-Alkyl|CH3-NR2|HeteroAr-H|Quinoline|RCH2-NR2 | events: LGDisp+C-S | reaction_types: C_S_Coupling+C_N_Coupling+Snar_cn
Sc1ccccc1.CC(=O)Nc1cccc2cc(Br)cnc12.CC(C)(C)OC(=O)N1CCC(=O)CC1>>Cl.O=S(=O)(c1ccccc1)c1cnc2c(NC3CCNCC3)cccc2c1,Reductive_amination / C_N_Coupling / C_S_Coupling / Snar_cn,|Ar-NHCOR|Ar-SH|HeteroAr-Br|RCH2-COR|R_acidic-H -> R2CH-NHR|RCH2-NHR | spectators: HeteroAr-H|Quinoline | events: LGDisp+C-S | reaction_types: Reductive_amination+C_N_Coupling+C_S_Coupling+Snar_cn
Cc1cccc(S)c1.CC(=O)Nc1cccc2cc(Br)cnc12.CC(C)(C)OC(=O)N1CCC(=O)CC1>>Cc1cccc(S(=O)(=O)c2cnc3c(NC4CCNCC4)cccc3c2)c1.Cl,Reductive_amination / C_N_Coupling / C_S_Coupling / Snar_cn,|Ar-NHCOR|Ar-SH|HeteroAr-Br|RCH2-COR|R_acidic-H -> R2CH-NHR|RCH2-NHR | spectators: Ar-Alkyl|HeteroAr-H|Quinoline | events: LGDisp+C-S | reaction_types: Reductive_amination+C_N_Coupling+C_S_Coupling+Snar_cn
Sc1ccccc1Br.CC(=O)Nc1cccc2cc(Br)cnc12.CC(C)(C)OC(=O)N1CCC(=O)CC1>>Cl.O=S(=O)(c1cnc2c(NC3CCNCC3)cccc2c1)c1ccccc1Br,Reductive_amination / C_N_Coupling / C_S_Coupling / Snar_cn,|Ar-NHCOR|Ar-SH|HeteroAr-Br|RCH2-COR|R_acidic-H -> R2CH-NHR|RCH2-NHR | spectators: Ar-Br|HeteroAr-H|Quinoline | events: LGDisp+C-S | reaction_types: Reductive_amination+C_N_Coupling+C_S_Coupling+Snar_cn
C=C(CC1CCCCC1=O)C(=O)OC.CC(C)n1cc(N)cn1>>COC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2N(c2cnn(C(C)C)c2)C1.COC(=O)[C@H]1C[C@@H]2CCCC[C@@H]2N(c2cnn(C(C)C)c2)C1,Michael_addition,|Alkenyl-CO2R|HeteroAr-NH2|RCH2-COR -> Ar-NR2 | bond_formed: C-C; C-C; C-C; C-C; C-C; C-N; C-N; C-N; C-N; C-O; C-O; C-C(ar); C-N(ar); C-N(ar) | bond_formed_labeled: C-C; C-C; C-C; C-C; C-C; C-N; C-N; C-N; C-N; C-O; C-O; C-C(ar); C-N(ar); C-N(ar) | spectators: Alkyl-AromN|HeteroAr-H|Pyrazole|R_acidic-H | events: Ann+C-N+C-O+C-C
CC(C)n1cc(N)cn1.C=C(CCC(C)=O)[N+](=O)[O-]>>CC(C)n1cc(N2C[C@H]([N+](=O)[O-])CC[C@@H]2C)cn1.CC(C)n1cc(N2C[C@@H]([N+](=O)[O-])CC[C@@H]2C)cn1,Multi-Event:Ann+C-N+C-C,|Alkenyl-NO2|HeteroAr-NH2|RCH2-COR|R_acidic-H -> Ar-NR2 | spectators: Alkyl-AromN|HeteroAr-H|Pyrazole | events: Ann+C-N+C-C
CC(C)n1cc(N)cn1.C=CCC(C=O)CC(=C)C(=O)OC>>C=CC[C@@H]1C[C@@H](C(=O)OC)CN(c2cnn(C(C)C)c2)C1.C=CC[C@@H]1C[C@H](C(=O)OC)CN(c2cnn(C(C)C)c2)C1,Michael_addition,|Alkenyl-CO2R|HeteroAr-NH2|R2CH-CHO -> Ar-NR2 | bond_formed: C-C; C-C; C-C; C-C; C-C; C-C; C-N; C-N; C-O | bond_formed_labeled: C-C; C-C; C-C; C-C; C-C; C-C; C-N; C-N; C-O | spectators: Alkyl-AromN|HeteroAr-H|Pyrazole|R_acidic-H | events: Ann+C-N+C-O+C-C
Nc1ccccc1.C=C(C(=O)OC)C(C)CC=O>>COC(=O)[C@H]1CN(c2ccccc2)CC[C@@H]1C.COC(=O)[C@@H]1CN(c2ccccc2)CC[C@@H]1C,Reductive_amination,|Alkenyl-CO2R|Ar-NH2|RCH2-CHO -> RCH2-NR2 | bond_formed: C-N; C-N; C-O | bond_formed_labeled: C-N; C-N; C-O | spectators: R_acidic-H | events: Ann+C-N+C-O
C=C(CCC(C)=O)C(=O)OC.CCn1nc(C)c(N)c1C>>CCn1nc(C)c(N2C[C@H](C(=O)OC)CC[C@@H]2C)c1C.CCn1nc(C)c(N2C[C@@H](C(=O)OC)CC[C@@H]2C)c1C,Michael_addition,|Alkenyl-CO2R|HeteroAr-NH2|RCH2-COR -> Ar-NR2 | bond_formed: C-N; C-N; C-N; C-N; C-C | bond_formed_labeled: C-N; C-N; C-N; C-N; C-C | spectators: Alkyl-AromN|Ar-Alkyl|Pyrazole|R_acidic-H | events: Ann+C-N+C-C
COc1ccc(N)cc1.CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2>>COc1ccc(N[C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)cc1.COc1ccc(N=C2C[C@H]3CC[C@]2(C)C3(C)C)cc1,Reductive_amination,|Ar-NH2|RCH2-COR -> R2CH-NHR | bond_formed: C-N; C-C; C-C; C-C; C-C; C-C; C-O; C-C(ar); C-C(ar) | bond_formed_labeled: C-N; C-C; C-C; C-C; C-C; C-C; C-O; C-C(ar); C-C(ar) | spectators: Ar-OR | events: Ann+C-N+C-O+C-C
NNc1ccccc1.CCOC(=O)CCC1CCCCC1=O>>O=C1CCC2CCCc3c2n1c1ccccc31.CCOC(=O)CC[C@@]12CCCC[C@@H]1Nc1ccccc12.CCOC(=O)CCC1CCCC2c3ccccc3NC12,Multi-Event:Ann+C-N+C-O+C-C,|Ar-Hydrazine|RCH2-COR -> Ar-Alkyl|Ar-NHR | bond_formed: C-C(ar); C-C(ar); C-C(ar); C-C; C(ar)-N; C(ar)-N; C-N; C-N; C-O; C-O; C(ar)-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl]; C-C(ar); C-C(ar); C-C; C(ar)-N[Ar-NHR]; C(ar)-N; C-N; C-N; C-O; C-O; C(ar)-C(ar) | bond_broken: N-N | spectators: RCH2-CO2R|R_acidic-H | events: Ann+C-N+C-O+C-C
COC(=O)[C@@H](N)C(C)C.Cl.O=CCCCC(=O)c1ccccc1>>COC(=O)[C@H](C(C)C)N1CCCC[C@H]1c1ccccc1,Reductive_amination,|Ar-COR|Inorganic|R2CH-NH2|RCH2-CHO|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: R2CH-CO2R | events: Ann+C-N
NCc1ccccc1.CC(C)(C)OC(=O)N1CC(=O)[C@H]2OC(C)(C)O[C@H]2C1>>CC(C)(C)OC(=O)N1C[C@@H]2OC(C)(C)O[C@@H]2[C@H](NCc2ccccc2)C1,Reductive_amination,|Bn-NH2|RCH2-COR|R_acidic-H -> Bn-NHR|R2CH-NHR | spectators: R3C-OR
c1ccc(N2CCNCC2)nc1.CC(C)CN1CCC(=O)CC1>>CC(C)CN1CCC(N2CCN(c3ccccn3)CC2)CC1,Reductive_amination,|RCH2-COR|RCH2-NHR|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Ar-NR2|HeteroAr-H|Pyridine|RCH2-NR2
CC(C)(C)OC(=O)N[C@H](C=O)CCCNC(=N)N[N+](=O)[O-].CC(C)(C)OC(=O)NCCCN>>CC(C)(C)OC(=O)NCCCNC[C@H](CCCNC(=N)N[N+](=O)[O-])NC(=O)OC(C)(C)C,Reductive_amination,|R2CH-CHO|RCH2-NH2|R_acidic-H -> RCH2-NHR
