reaction_smiles,detected_reaction_type,reaction_key
CC(C)N.BrCc1ccccc1CBr.Oc1ccc(Cl)cc1.CCN=[N+]=[N-]>>CCN=P1(Oc2ccc(Cl)cc2)N(C(C)C)Cc2ccccc2CN1C(C)C,Alkyl_Nucleophilic_Substitution,|Ar-OH|Bn-Br|R2CH-NH2|RCH2-N3 -> Bn-NR2|R2CH-NR2 | spectators: Ar-Cl | events: Ann+LGDisp+C-N+C-C
CC(CN=[N+]=[N-])C(OCc1ccccc1)C1CO1>>CC1CN2CC2C1OCc1ccccc1,Multi-Event:Ann+C-N,|RCH2-N3|RCH2-OR -> R2CH-NR2|RCH2-NR2 | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: N-N; C-O | spectators: Bn-OR | events: Ann+C-N
CCOCOCC1=C[C@@H](N=[N+]=[N-])[C@H](OCOCC)[C@@H](OCOCC)[C@@H]1OCOCC>>CCOCOC[C@@H]1C[C@@H](N)[C@H](OCOCC)[C@@H](OCOCC)[C@@H]1OCOCC,Unknown,|R2CH-N3 -> R2CH-NH2 | bond_broken: N-N | spectators: RCH2-OR
CC1(C)O[C@@H]([C@H](O)[C@H](CO[Si](C)(C)C(C)(C)C)N=[N+]=[N-])[C@@H](C=O)O1.O=C(O)CS>>CC1(C)O[C@H]2[C@H](O)[C@@H](CO[Si](C)(C)C(C)(C)C)N3C(=O)CS[C@@H]3[C@H]2O1,Multi-Event:Amid+Ann+C-N+C-S,|R2CH-CHO|R2CH-N3|RCH2-CO2H|RCH2-SH -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Alkyl-Si*|R2CH-OH|R3C-OR|R_acidic-H | events: Amid+Ann+C-N+C-S
CC1(C)O[C@@H]([C@H](O)[C@H](CO)N=[N+]=[N-])[C@@H](C=O)O1.O=C(O)CS>>CC1(C)O[C@H]2[C@H](O)[C@@H](CO)N3C(=O)CS[C@@H]3[C@H]2O1,Multi-Event:Amid+Ann+C-N+C-S,|R2CH-CHO|R2CH-N3|RCH2-CO2H|RCH2-SH -> Alkyl-NRCOR|RCH2-CONR2 | spectators: R2CH-OH|R3C-OR|RCH2-OH|R_acidic-H | events: Amid+Ann+C-N+C-S
O=C=O.CNOC.Cl.Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O>>CON(C)C(=O)N[C@H]1C[C@H](n2cc(C)c(=O)[nH]c2=O)O[C@@H]1CO,Event:C-N,|CH3-NHR|Inorganic|R2CH-N3 -> [] | spectators: Alkyl-AromN|Ar-Alkyl|AromN-H|HeteroAr-H|Pyrimidine|R2CH-OR|RCH2-OH
S=C=S.CO[C@H]1O[C@H](CN=[N+]=[N-])[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O>>CO[C@H]1O[C@H](CN=C=S)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]1OC(C)=O,Event:C-N,|RCH2-N3|Unclassified-Reactant -> [] | bond_formed: C-N | bond_broken: N-N; C-S | spectators: Alkyl-CO2R|R2CH-OR|R_acidic-H
S=C=S.CC(=O)OC[C@H](N=[N+]=[N-])[C@H]1O[C@H](OC(C)=O)[C@H]2OC(C)(C)O[C@H]21>>CC(=O)OC[C@H](N=C=S)[C@H]1O[C@H](OC(C)=O)[C@H]2OC(C)(C)O[C@H]21,Event:C-N,|R2CH-N3|Unclassified-Reactant -> [] | bond_formed: C-N | bond_broken: N-N; C-S | spectators: Alkyl-CO2R|R2CH-OR|R3C-OR|R_acidic-H
COC(=O)/C(=C/c1ccc(Cl)cc1)CN=[N+]=[N-].S=C=S.CCCN>>CCCNC(=S)NC/C(=C\c1ccc(Cl)cc1)C(=O)OC,Event:C-N,|RCH2-N3|RCH2-NH2|Unclassified-Reactant -> Alkyl-Thiourea | spectators: Alkenyl-CO2R|Ar-Alkenyl|Ar-Cl
COC(=O)/C(=C/c1ccc(Cl)cc1)CN=[N+]=[N-].S=C=S.NCc1ccccc1>>COC(=O)/C(=C/c1ccc(Cl)cc1)CNC(=S)NCc1ccccc1,Event:C-N,|Bn-NH2|RCH2-N3|Unclassified-Reactant -> Alkyl-Thiourea|Bn-NHR | spectators: Alkenyl-CO2R|Ar-Alkenyl|Ar-Cl
O=[13C]=O.[N-]=[N+]=NCCCNCc1ccccc1>>O=[13C]1NCCCN1Cc1ccccc1,Multi-Event:Ann+C-N,|Bn-NHR|Inorganic|RCH2-N3|RCH2-NHR -> Bn-LactamN|RCH2-LactamN | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: C-O; N-N | events: Ann+C-N
O=[13C]=O.Cc1nc(-c2ccc(CNCCCN=[N+]=[N-])s2)cs1>>Cc1nc(-c2ccc(CN3CCCN[13C]3=O)s2)cs1,Multi-Event:Ann+C-N,|Bn-NHR|Inorganic|RCH2-N3|RCH2-NHR -> Bn-LactamN|RCH2-LactamN | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: N-N; C-O | spectators: Ar-Alkyl|Ar-Ar|HeteroAr-H|Thiazole|Thiophene | events: Ann+C-N
O=C=O.COc1cccc(CN=[N+]=[N-])c1.CC(N)c1ccccc1>>COc1cccc(CNC(=O)NC(C)c2ccccc2)c1,Event:C-N,|Bn-N3|Inorganic|R2CH-NH2 -> Ar-Alkyl | spectators: Ar-Alkyl|Ar-OR
C[C@@H](CN=[N+]=[N-])NC(=O)OCc1ccccc1.S=C=S>>C[C@@H](CN=C=S)NC(=O)OCc1ccccc1,Event:C-N,|RCH2-N3|Unclassified-Reactant -> [] | bond_formed: C-N | bond_broken: N-N; C-S | spectators: Ar-Alkyl
CC(C)C[C@@H](CN=[N+]=[N-])NC(=O)OCc1ccccc1.S=C=S>>CC(C)C[C@@H](CN=C=S)NC(=O)OCc1ccccc1,Event:C-N,|RCH2-N3|Unclassified-Reactant -> [] | bond_formed: C-N | bond_broken: N-N; C-S | spectators: Ar-Alkyl
CC(C)(C)OC(=O)N1CCC[C@H]1CN=[N+]=[N-].S=C=S>>CC(C)(C)OC(=O)N1CCC[C@H]1CN=C=S,Event:C-N,|RCH2-N3|Unclassified-Reactant -> Alkyl-H | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: N-N; C-S
CC(C)(C)Oc1ccc(C[C@@H](CN=[N+]=[N-])NC(=O)OCC2c3ccccc3-c3ccccc32)cc1.S=C=S>>CC(C)(C)Oc1ccc(C[C@@H](CN=C=S)NC(=O)OCC2c3ccccc3-c3ccccc32)cc1,Event:C-N,|RCH2-N3|Unclassified-Reactant -> [] | bond_formed: C-N | bond_broken: N-N; C-S | spectators: Ar-Alkyl|Ar-Ar|Ar-OR
CC(C)(C)n1nnnc1C(Nc1cccc(Cl)c1)c1ccccc1N=[N+]=[N-].S=C=S>>CC(C)(C)n1nnnc1C1c2ccccc2NC(=S)N1c1cccc(Cl)c1,Multi-Event:Ann+C-N,|Ar-N3|Ar-NHR|R2CH-NHR|Unclassified-Reactant -> Alkyl-Thiourea|Ar-Thiourea | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: N-N; C-S | spectators: Alkyl-AromN|Ar-Alkyl|Ar-Cl | events: Ann+C-N
CC(C)NC(c1ccccc1N=[N+]=[N-])c1nnnn1C(C)(C)C.S=C=S>>CC(C)N1C(=S)Nc2ccccc2C1c1nnnn1C(C)(C)C,Multi-Event:Ann+C-N,|Ar-N3|R2CH-NHR|Unclassified-Reactant -> Alkyl-Thiourea|Ar-Thiourea | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | bond_broken: C-S; N-N | spectators: Alkyl-AromN|Ar-Alkyl | events: Ann+C-N
O=[13C]=O.[N-]=[N+]=Nc1cccc2ccccc12.COc1ccc(CN2CCNCC2)c(OC)c1OC.Cl>>COc1ccc(CN2CCN([13C](=O)Nc3cccc4ccccc34)CC2)c(OC)c1OC,Event:C-N,|Ar-N3|Inorganic|RCH2-NHR -> Ar-Urea | spectators: Ar-OR|Bn-NR2|RCH2-NR2
O=[13C]=O.CCCCc1ccc(N=[N+]=[N-])cc1.CNCCC(Oc1cccc2ccccc12)c1cccs1.Cl>>CCCCc1ccc(N[13C](=O)N(C)CCC(Oc2cccc3ccccc23)c2cccs2)cc1,Event:C-N,|Ar-N3|CH3-NHR|Inorganic|RCH2-NHR -> Ar-Urea | spectators: Ar-Alkyl|Ar-OR|HeteroAr-H|Thiophene
O=[14C]=O.NC1CCCCC1.CC(C)(C)NCC(O)COc1ccc(N=[N+]=[N-])cc1>>CC(C)(C)NCC(O)COc1ccc(N[14C](=O)NC2CCCCC2)cc1,Event:C-N,|Ar-N3|Inorganic|R2CH-NH2 -> Ar-Urea | spectators: Ar-OR|R2CH-OH|R3C-NHR|RCH2-NHR
S=C=S.[N-]=[N+]=NC/C=C/c1ccccc1>>S=C=NC/C=C/c1ccccc1,Event:C-N,|RCH2-N3|Unclassified-Reactant -> [] | bond_formed: C-N | bond_broken: C-S; N-N | spectators: Ar-Alkenyl
CCCN.O=C=O.[N-]=[N+]=NCc1ccc(OCC(=O)O)cc1>>CCCNC(=O)NCc1ccc(OCC(=O)O)cc1,Event:C-N,|Bn-N3|Inorganic|RCH2-NH2 -> Ar-Alkyl | spectators: Ar-OR|RCH2-CO2H|R_acidic-H
O=C=O.[N-]=[N+]=Nc1ccccc1.CNCC(O)c1ccc(OC(C)(C)C)c(OC(C)(C)C)c1.Cl>>CN(CC(O)c1ccc(OC(C)(C)C)c(OC(C)(C)C)c1)C(=O)Nc1ccccc1,Event:C-N,|Ar-N3|CH3-NHR|Inorganic|RCH2-NHR -> Ar-Urea | spectators: Ar-Alkyl|Ar-OR|R2CH-OH
Br[Mg]c1ccccc1.CC(=O)c1ccccc1N=[N+]=[N-]>>CC(O)(c1ccccc1)c1ccccc1N,Reduction_carbonyl_to_alcohol,|Ar-COR|Ar-Mg*|Ar-N3 -> R3C-OH | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C(ar)-Mg; N-N
O=Cc1ccco1.CCOC(=O)CN=[N+]=[N-].c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)/C(=C/c1ccco1)N=P(c1ccccc1)(c1ccccc1)c1ccccc1,Claisen_condensation / Wittig_reaction,|Ar-CHO|Ar-PR2|RCH2-CO2R|RCH2-N3|R_acidic-H -> Alkenyl-CO2R|Ar-Alkenyl | spectators: Furan|HeteroAr-H | reaction_types: Claisen_condensation+Wittig_reaction
O=Cc1ccsc1.CCOC(=O)CN=[N+]=[N-].c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)/C(=C/c1ccsc1)N=P(c1ccccc1)(c1ccccc1)c1ccccc1,Claisen_condensation / Wittig_reaction,|Ar-CHO|Ar-PR2|RCH2-CO2R|RCH2-N3|R_acidic-H -> Alkenyl-CO2R|Ar-Alkenyl | spectators: HeteroAr-H|Thiophene | reaction_types: Claisen_condensation+Wittig_reaction
O=Cc1ccccc1.CCOC(=O)CN=[N+]=[N-].c1ccc(P(c2ccccc2)c2ccccc2)cc1>>CCOC(=O)/C(=C/c1ccccc1)N=P(c1ccccc1)(c1ccccc1)c1ccccc1,Claisen_condensation / Wittig_reaction,|Ar-CHO|Ar-PR2|RCH2-CO2R|RCH2-N3|R_acidic-H -> Alkenyl-CO2R|Ar-Alkenyl | reaction_types: Claisen_condensation+Wittig_reaction
CC1(C)O[C@H]2O[C@H](CN=[N+]=[N-])[C@@](C#N)(OS(C)(=O)=O)[C@H]2O1>>CC1(C)O[C@H]2O[C@H](CN)[C@@]3(OS(=O)(=O)C=C3N)[C@H]2O1,Reduction_nitrile_to_amine,|R3C-CN|RCH2-N3 -> RCH2-NH2 | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: N-N | spectators: Alkyl-OMs|R2CH-OR|R3C-OR | events: Ann+C-C
CCOC(=O)/C=C1\CCN(S(=O)(=O)c2ccccc2)CC1N=[N+]=[N-].O=C(Cl)/C=C/c1ccccc1>>CCOC(=O)/C=C1\CCN(S(=O)(=O)c2ccccc2)CC1NC(=O)/C=C/c1ccccc1,Multi-Event:LGDisp+C-N,|Acyl-Cl|R2CH-N3 -> Alkenyl-CONHR|Alkyl-NHCOR | spectators: Alkenyl-CO2R|Ar-Alkenyl|Ar-SO2NR2 | events: LGDisp+C-N
CCOc1ccc(N=[N+]=[N-])cc1.Cc1ccc(OCC(=O)Cl)cc1>>CCOc1ccc(N2C(=O)C(Oc3ccc(C)cc3)/C2=C/Oc2ccc(C)cc2)cc1,Multi-Event:Ann+LGDisp+C-N+C-C,|Alkyl-COCl|Ar-N3 -> Ar-NRCOR | bond_formed: C-N; C-N; C-C | bond_formed_labeled: C-N; C-N; C-C | bond_broken: N-N; C-Cl | spectators: Ar-Alkyl|Ar-OR|R_acidic-H | events: Ann+LGDisp+C-N+C-C
Cc1ccc(N=[N+]=[N-])cc1.Cc1cccc(OCC(=O)Cl)c1>>Cc1ccc(N2C(=O)C(Oc3cccc(C)c3)/C2=C/Oc2cccc(C)c2)cc1,Multi-Event:Ann+LGDisp+C-N+C-C,|Alkyl-COCl|Ar-N3 -> Ar-NRCOR | bond_formed: C-N; C-N; C-C | bond_formed_labeled: C-N; C-N; C-C | bond_broken: N-N; C-Cl | spectators: Ar-Alkyl|Ar-OR|R_acidic-H | events: Ann+LGDisp+C-N+C-C
[N-]=[N+]=Nc1ccccc1.Cc1cccc(OCC(=O)Cl)c1>>Cc1cccc(O/C=C2/C(Oc3cccc(C)c3)C(=O)N2c2ccccc2)c1,Multi-Event:Ann+LGDisp+C-N+C-O,|Alkyl-COCl|Ar-N3 -> Ar-Alkyl|Ar-NRCOR | bond_formed: C(ar)-O; C-C(ar); C-C; C-N; C-N | bond_formed_labeled: C(ar)-O; C-C(ar)[Ar-Alkyl]; C-C; C-N; C-N | bond_broken: C-Cl; N-N | spectators: Ar-Alkyl|Ar-OR|R_acidic-H | events: Ann+LGDisp+C-N+C-O
CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](N=[N+]=[N-])[C@H]2O1.O=C(Cl)OCc1ccccc1>>CC1(C)O[C@H]2O[C@H]([C@H]3COC(C)(C)O3)[C@@H](NC(=O)OCc3ccccc3)[C@H]2O1,Multi-Event:LGDisp+C-N,|Acyl-Cl|R2CH-N3 -> [] | spectators: Ar-Alkyl|R2CH-OR|R3C-OR|RCH2-OR | events: LGDisp+C-N
[N-]=[N+]=NCCCCC1COc2cscc2O1.O=Cc1ccccc1.CCCCCCCCCCCC(=O)Cl>>CCCCCCCCCCCC(=O)N(CCCCC1COc2cscc2O1)Cc1ccccc1,Multi-Event:LGDisp+C-N,|Alkyl-COCl|Ar-CHO|RCH2-N3 -> Alkyl-NRCOR|RCH2-CONR2 | spectators: Ar-OR|HeteroAr-H|R_acidic-H|Thiophene | events: LGDisp+C-N
Cc1ccccc1N=[N+]=[N-].O=C(Cl)COc1ccccc1>>Cc1ccccc1N1C(=O)C(Oc2ccccc2)/C1=C/Oc1ccccc1,Multi-Event:Ann+LGDisp+C-N+C-O,|Alkyl-COCl|Ar-N3 -> Ar-NRCOR | bond_formed: C-N; C-N; C-C; C-O; C(ar)-C(ar); C(ar)-C(ar); C(ar)-O | bond_formed_labeled: C-N; C-N; C-C; C-O; C(ar)-C(ar); C(ar)-C(ar); C(ar)-O | bond_broken: N-N; C-Cl | spectators: Ar-Alkyl|Ar-OR|R_acidic-H | events: Ann+LGDisp+C-N+C-O
COC[C@@H](N=[N+]=[N-])C(=O)N[C@@H](C)c1ccccc1.CC(=O)Cl>>COC[C@@H](NC(C)=O)C(=O)N[C@@H](C)c1ccccc1,Multi-Event:LGDisp+C-N,|Alkyl-COCl|R2CH-N3 -> Alkyl-NHCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: N-N; C-Cl | spectators: Alkyl-NHCOR|Ar-Alkyl|R2CH-CONHR|RCH2-OR|R_acidic-H | events: LGDisp+C-N
COC[C@@H](N=[N+]=[N-])C(=O)N1CCCC1.CC(=O)Cl>>COC[C@@H](NC(C)=O)C(=O)N1CCCC1,Multi-Event:LGDisp+C-N,|Alkyl-COCl|R2CH-N3 -> Alkyl-NHCOR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: N-N; C-Cl | spectators: Alkyl-NRCOR|R2CH-CONR2|RCH2-OR|R_acidic-H | events: LGDisp+C-N
