reaction_smiles,detected_reaction_type,reaction_key
CCOc1cc(C=O)cc(Br)c1O.Clc1cccc(Cl)c1CBr.O=C1CC(=P(c2ccccc2)(c2ccccc2)c2ccccc2)C(=O)N1>>CCOc1cc(/C=C2\CC(=O)NC2=O)cc(Br)c1OCc1c(Cl)cccc1Cl,Alkyl_Nucleophilic_Substitution / Wittig_reaction,|Ar-CHO|Ar-OH|Bn-Br -> Ar-OR | spectators: Ar-Br|Ar-Cl|Ar-OR|RCH2-CONHR|R_acidic-H | events: BzOAlk+LGDisp+C-C | reaction_types: Alkyl_Nucleophilic_Substitution+Wittig_reaction
CCOP(=O)(OCC)C(C)C(=O)CC(=O)SC(C)(C)C.CC[C@@H](C)C[C@@H](C)/C=C(C)/C=C/C=C/C=O>>CC[C@@H](C)C[C@@H](C)/C=C(C)/C=C/C=C/C=C(C)/C(O)=C/C(=O)SC(C)(C)C,Reduction_carbonyl,|Alkenyl-CHO|RCH2-COR|R_acidic-H -> Alkenyl-OH | spectators: Alkenyl-Alkenyl
C1CCNCC1.CCOC(=O)C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].O=Cc1ccc(F)c([N+](=O)[O-])c1>>CCOC(=O)/C=C/c1ccc(N2CCCCC2)c([N+](=O)[O-])c1,Snar_cn / Wittig_reaction,|Ar-CHO|Ar-F|Ar-PR3+|Inorganic|RCH2-CO2R|RCH2-NHR|R_acidic-H -> Ar-NR2 | spectators: Ar-NO2 | events: LGDisp+C-N+C-C | reaction_types: Snar_cn+Wittig_reaction
C1CCNC1.CCOC(=O)C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].O=Cc1cc([N+](=O)[O-])ccc1F>>CCOC(=O)/C=C/c1cc([N+](=O)[O-])ccc1N1CCCC1,Snar_cn / Wittig_reaction,|Ar-CHO|Ar-F|Ar-PR3+|Inorganic|RCH2-CO2R|RCH2-NHR -> Ar-NR2 | bond_formed: C-C; C(ar)-N | bond_formed_labeled: C-C; C(ar)-N[Ar-NR2] | bond_broken: C-P; C-O; C(ar)-F | spectators: Ar-NO2 | events: LGDisp+C-N+C-C | reaction_types: Snar_cn+Wittig_reaction
CN1CCNCC1.CCOC(=O)C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].O=Cc1ccc(F)c([N+](=O)[O-])c1>>CCOC(=O)/C=C/c1ccc(N2CCN(C)CC2)c([N+](=O)[O-])c1,Snar_cn / Wittig_reaction,|Ar-CHO|Ar-F|Ar-PR3+|Inorganic|RCH2-CO2R|RCH2-NHR -> Ar-NR2 | bond_formed: C-C; C(ar)-N | bond_formed_labeled: C-C; C(ar)-N[Ar-NR2] | bond_broken: C-P; C-O; C(ar)-F | spectators: Ar-NO2|CH3-NR2 | events: LGDisp+C-N+C-C | reaction_types: Snar_cn+Wittig_reaction
C1CCNC1.CCOC(=O)C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].N#Cc1ccc(F)c(C=O)c1>>CCOC(=O)/C=C/c1cc(C#N)ccc1N1CCCC1,Snar_cn / Wittig_reaction,|Ar-CHO|Ar-F|Ar-PR3+|Inorganic|RCH2-CO2R|RCH2-NHR -> Ar-NR2 | bond_formed: C-C; C(ar)-N | bond_formed_labeled: C-C; C(ar)-N[Ar-NR2] | bond_broken: C-P; C-O; C(ar)-F | spectators: Ar-CN | events: LGDisp+C-N+C-C | reaction_types: Snar_cn+Wittig_reaction
O=C/C=C/c1ccccc1.CCOC(=O)C(=NCC(F)(F)F)C(=O)OCC.COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1>>CCOC(=O)C1(C(=O)OCC)N[C@@H](C(F)(F)F)[C@H](c2ccccc2)[C@H]1/C=C/C(=O)OC,Reduction_carbonyl,|Alkenyl-CHO|Alkyl-H|Ar-Alkenyl|Ar-H -> Ar-Alkyl | spectators: Alkyl-CF3
COC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C.CCOC(=O)c1csc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)n1.[Cl-]>>CCOC(=O)c1csc(/C=C/[C@@H](NC(=O)OC(C)(C)C)C(C)C)n1,Claisen_condensation,|Ar-Alkyl|Ar-PR3+|Inorganic|R2CH-CO2R|R_acidic-H -> Ar-Alkenyl | spectators: Ar-CO2R|HeteroAr-H|Thiazole
C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].CC1(C)O[C@H]([C@H](O)CO)[C@H](C=O)O1>>C=C[C@@H]1OC(C)(C)O[C@@H]1[C@H](O)CO,Event:C-C,|Ar-PR3+|Inorganic|R2CH-CHO|R_acidic-H -> [] | spectators: R2CH-OH|R3C-OR|RCH2-OH
[C-]#[N+]C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Cl-].COc1cc(Br)c(C=O)cc1OC>>[C-]#[N+]/C=C\c1cc(OC)c(OC)cc1Br.[C-]#[N+]/C=C/c1cc(OC)c(OC)cc1Br,Wittig_reaction,|Ar-CHO|Ar-PR3+|Inorganic -> Ar-Alkenyl | spectators: Ar-Br|Ar-OR | events: C-N+C-O+C-C
