reaction_smiles,detected_reaction_type,reaction_key
O=C(C[C@@H]1C=CCC1)C1=CCCC12OCCO2>>O=C1CCC=C1[C@H](O)C[C@@H]1C=CCC1,Unknown,|RCH2-OR -> R2CH-OH | spectators: Alkenyl-COR|R_acidic-H
C=CCCCC(=O)C1=CCCCC12OCCO2>>C=CCCCC(O)C1=CCCCC1=O,Unknown,|RCH2-OR -> R2CH-OH | bond_broken: C-O | spectators: Alkenyl-COR|R_acidic-H
O=C(C[C@@H]1C=CCC1)C1=CCCC12OCCO2>>O=C1CCC=C1[C@@H](O)C[C@@H]1C=CCC1,Unknown,|RCH2-OR -> R2CH-OH | spectators: Alkenyl-COR|R_acidic-H
C#CC[C@@]1(C=O)CCC(O[Si](C(C)C)(C(C)C)C(C)C)=C[C@@H]1CO[Si](C)(C)C(C)(C)C>>C#CC[C@@]1(CO)CCC(=O)C[C@@H]1CO,Reduction_carbonyl_to_alcohol,|Alkyl-Si*|R3C-CHO -> RCH2-OH | bond_broken: O-Si | spectators: Alkyl-Alkynyl_terminal|Propargyl-H
O=C(CBr)c1ccc2ccccc2c1.CC(C)N>>CC(C)NC[C@H](O)c1ccc2ccccc2c1,Reductive_amination,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | events: LGDisp+C-N
O=C(CBr)c1ccc2ccccc2c1.CC(C)N>>CC(C)NC[C@@H](O)c1ccc2ccccc2c1,Reductive_amination,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | events: LGDisp+C-N
O=C(CBr)c1ccc(Cl)c(Cl)c1.CC(C)N>>CC(C)NC[C@H](O)c1ccc(Cl)c(Cl)c1,Reductive_amination,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-Cl | events: LGDisp+C-N
O=C(CBr)c1ccc(Cl)c(Cl)c1.CC(C)N>>CC(C)NC[C@@H](O)c1ccc(Cl)c(Cl)c1,Reductive_amination,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-Cl | events: LGDisp+C-N
O=C(CBr)c1ccc([N+](=O)[O-])cc1.CC(C)N>>CC(C)NC[C@H](O)c1ccc([N+](=O)[O-])cc1,Reductive_amination,|Ar-COR|R2CH-NH2|RCH2-Br -> R2CH-NHR|RCH2-NHR | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: Br-C | spectators: Ar-NO2 | events: LGDisp+C-N
CC(C)(C)[Si](C)(C)OCC(=O)c1ccccc1>>OC[C@@H](O)c1ccccc1,Reduction_carbonyl_to_alcohol,|Alkyl-Si*|Ar-COR -> R2CH-OH|RCH2-OH | bond_broken: O-Si
C=C(C)C[C@H](B1OC(C)(C)C(C)(C)O1)[C@@H](C)[C@H]1CCCCCC1=O>>CC(C)C[C@H](O)[C@@H](C)[C@H]1CCCCC[C@H]1O,Reduction_carbonyl_to_alcohol,|Alkyl-Bpin|RCH2-COR|R_acidic-H -> R2CH-OH
CC=CC=O>>CCCCO.CC=CCO,Reduction_carbonyl_to_alcohol,|Alkenyl-CHO -> RCH2-OH
CC1=CC(=O)[C@@H](C(C)C)CC1>>CC(C)[C@H]1CC[C@]2(C)O[C@@H]2[C@@H]1O,Reduction_carbonyl_to_alcohol,|Alkenyl-COR -> R2CH-OH | bond_formed: C-O; C-O | bond_formed_labeled: C-O; C-O | events: Ann+C-O
C=COCC.CCOC(=O)C12CCCC1=CC(=O)C2>>CCOC(=O)[C@]12CCC[C@]13C[C@H](OCC)[C@@H]3[C@H](O)C2.CCOC(=O)[C@]12CCC[C@@]13[C@H](OCC)C[C@H]3[C@@H](O)C2,Reduction_carbonyl_to_alcohol,|Alkenyl-COR|Alkenyl-OR -> R2CH-OH | bond_formed: C-C; C-C; C-C; C-C; C-C; C-C; C-O | bond_formed_labeled: C-C; C-C; C-C; C-C; C-C; C-C; C-O | spectators: R3C-CO2R | events: Ann+C-O+C-C
CCC(=O)c1ccccc1.CC(C)C[C@H](N)CO>>CCC(O)c1ccccc1.Cc1cc(CC(C)C)[nH]c1-c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-COR|R2CH-NH2|RCH2-OH|R_acidic-H -> R2CH-OH | events: Ann+C-N+C-C
CC(C)[C@H](N)CO.CCC(=O)c1ccc(C)cc1>>CCC(O)c1ccc(C)cc1.Cc1ccc(-c2[nH]c(C(C)C)cc2C)cc1,Reduction_carbonyl_to_alcohol,|Ar-COR|R2CH-NH2|RCH2-OH -> R2CH-OH | bond_formed: C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C; C(ar)-C(ar); C(ar)-N | bond_formed_labeled: C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C; C(ar)-C(ar); C(ar)-N | bond_broken: C-O | spectators: Ar-Alkyl | events: Ann+C-N+C-C
CCC(=O)c1ccccc1.CC(C)[C@H](N)CO>>CCC(O)c1ccccc1.Cc1cc(C(C)C)[nH]c1-c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-COR|R2CH-NH2|RCH2-OH -> R2CH-OH | bond_formed: C-C; C-C; C-C(ar); C-C(ar); C-C(ar); C-C(ar); C(ar)-N | bond_formed_labeled: C-C; C-C; C-C(ar); C-C(ar); C-C(ar); C-C(ar); C(ar)-N | bond_broken: C-O | events: Ann+C-N+C-C
CCC(=O)c1ccccc1.N[C@H](CO)Cc1ccccc1>>CCC(O)c1ccccc1.Cc1cc(Cc2ccccc2)[nH]c1-c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-COR|R2CH-NH2|RCH2-OH -> R2CH-OH | bond_formed: C(ar)-C(ar); C-C(ar); C(ar)-N | bond_formed_labeled: C(ar)-C(ar); C-C(ar); C(ar)-N | bond_broken: C-O | spectators: Ar-Alkyl | events: Ann+C-N+C-C
C[Si](C)(C)C(=O)C(=O)OCc1ccccc1>>C[Si](C)(C)C(O)C(=O)O,Oxidation_alcohol,|Ar-Alkyl -> R2CH-CO2H | spectators: Alkyl-Si*
CC(=O)c1ccccn1.CC(=O)OC(C)=O>>CC(=O)O[C@H](C)c1ccccn1,Claisen_condensation,|Alkyl-CO2R|Ar-COR|R_acidic-H -> Ar-Alkyl | spectators: HeteroAr-H|Pyridine
O=C(Cc1ccccc1)c1ccccc1.CC(C)[C@H](N)CO>>OC(Cc1ccccc1)c1ccccc1.CC(C)c1cc(-c2ccccc2)c(-c2ccccc2)[nH]1,Reduction_carbonyl_to_alcohol,|Ar-COR|Bn-COR|R2CH-NH2|RCH2-OH -> R2CH-OH | bond_formed: C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-N | bond_formed_labeled: C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-C(ar); C-N | bond_broken: C-O | events: Ann+C-N+C-C
O=C(Cc1ccccc1)c1ccccc1.C[C@H](N)CO>>OC(Cc1ccccc1)c1ccccc1.Cc1cc(-c2ccccc2)c(-c2ccccc2)[nH]1,Reduction_carbonyl_to_alcohol,|Ar-COR|Bn-COR|R2CH-NH2|RCH2-OH -> R2CH-OH | bond_formed: C-C(ar); C(ar)-C(ar); C(ar)-C(ar); C(ar)-N | bond_formed_labeled: C-C(ar); C(ar)-C(ar); C(ar)-C(ar); C(ar)-N | bond_broken: C-O | events: Ann+C-N+C-C
CC(=O)c1ccccc1Br>>C[C@@H](O)c1ccccc1Br,Reduction_carbonyl_to_alcohol,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Br
CC(=O)C1=NO[C@@H](c2ccccc2)[C@@H]1c1ccccc1>>C[C@@H](O)C1=NO[C@H](c2ccccc2)[C@H]1c1ccccc1.C[C@@H](O)C1=NO[C@@H](c2ccccc2)[C@@H]1c1ccccc1,Reduction_carbonyl_to_alcohol,|Alkyl-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Alkyl
O=C(/C=N/OCc1ccccc1)c1ccc(Cl)cc1>>NC[C@H](O)c1ccc(Cl)cc1,Reduction_carbonyl_to_alcohol,|Ar-COR -> R2CH-OH | bond_broken: N-O | spectators: Ar-Alkyl|Ar-Cl
CCC(=O)c1ccccc1>>CC[C@@H](O)c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-COR|R_acidic-H -> R2CH-OH
CC(C)(C=O)[C@H](O)c1ccccc1>>CC(C)(CO)[C@H](O)c1ccccc1,Reduction_carbonyl_to_alcohol,|R3C-CHO -> RCH2-OH | spectators: Ar-Alkyl|R2CH-OH
O=C(/C=N/OC(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1>>NC[C@H](O)c1ccccc1,Reduction_carbonyl_to_alcohol,|Ar-COR -> R2CH-OH | bond_broken: N-O | spectators: Ar-Alkyl
O=C(CBr)c1ccc([N+](=O)[O-])cc1>>O=[N+]([O-])c1ccc([C@@H](O)CBr)cc1,Reduction_carbonyl_to_alcohol,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-NO2|RCH2-Br
CC(=O)CC(C)C>>CC(C)C[C@@H](C)O,Reduction_carbonyl_to_alcohol,|RCH2-COR|R_acidic-H -> R2CH-OH
O=C1CCCc2ccccc21>>O[C@@H]1CCCc2ccccc21,Reduction_carbonyl_to_alcohol,|Ar-COR|R_acidic-H -> R2CH-OH | spectators: Ar-Alkyl
