Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Br -> Ar-N3 || Any-NH2|H-NHR,True,"Ar-Br,Ar-X,H-NHR,Any-NH2",,"H-NHR,Any-NH2,Ar-N3,Any-N3",Any-NH2|Ar-Br|Ar-X|H-NHR,Any-N3|Any-NH2|Ar-N3|H-NHR,96.0,Nc1cccc(Br)c1>>[N-]=[N+]=Nc1cccc(N)c1,CuI,134-03-2,,EtOH / water,,,,0.0
Ar-Br -> Ar-SAr || Ar-Ar|Thiophene,False,"Ar-Br,Ar-X,H-SR","Ar-Ar,Ar-Br,Ar-X,H-AromN,AromN-H,Thiophene","Ar-Ar,Ar-SAr,Ar-SR,Ar-AromN,Any-AromN,Thiophene",Ar-Ar|Ar-Br|Ar-X|AromN-H|H-AromN|H-SR|Thiophene,Any-AromN|Ar-Ar|Ar-AromN|Ar-SAr|Ar-SR|Thiophene,85.0,Sc1ccccc1Br.Brc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)s1>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Sc2ccsc2-3)cc1,CuI,phen,K2CO3,DMF,,,,0.0
Ar-Br|H-NHR -> Pyrimidine || Ar-Ar|AromN-H|H-AromN|Indole,False,"H-NHR,Any-NH2,H-AromN,AromN-H,Benzimidazole","Ar-Ar,Ar-Br,Ar-X,H-AromN,AromN-H,Indole","Ar-Ar,H-AromN,AromN-H,Indole,Pyrimidine",Any-NH2|Ar-Ar|Ar-Br|Ar-X|AromN-H|Benzimidazole|H-AromN|H-NHR|Indole,Ar-Ar|AromN-H|H-AromN|Indole|Pyrimidine,6.0,Nc1nc2ccccc2[nH]1.Brc1ccccc1-c1cc2ccccc2[nH]1>>c1ccc(-c2cc3ccccc3[nH]2)cc1.c1ccc2c(c1)cc1c3ccccc3n3c4ccccc4nc3n21,CuI,phen,Cs2CO3,DMF,,,,0.0
Ar-Br|H-OR -> Ar-OAr || Ar-Ar,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-I|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,87.0,Brc1ccccc1I.Oc1ccccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>c1ccc(-c2nc3n(c2-c2ccccc2)-c2ccccc2Oc2ccccc2-3)cc1,CuI,phen,Cs2CO3,DMAc,,,,0.0
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,86.0,Brc1ccccc1I.COc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>COc1cccc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,-0.7233642332556183
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR|RCH2-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,RCH2-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR,RCH2-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR|RCH2-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR|RCH2-OR,89.0,Brc1ccccc1I.CCOc1cccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c1O>>CCOc1cccc2c1Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,0.0
Ar-Br|Ar-X -> Ar-OAr || Ar-Ar|Ar-F|Ar-X,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-F,Ar-X,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-F,Ar-X,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-F|Ar-I|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-F|Ar-OAr|Ar-OR|Ar-X,79.0,Brc1ccccc1I.Oc1cc(F)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)[nH]1>>Fc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,0.7071067811865476
Ar-Br|H-OR -> Ar-OAr || Ar-Ar|Ar-R,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-R,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-R,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Ar-Ar|Ar-Br|Ar-I|Ar-R|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR|Ar-R,82.0,Brc1ccccc1I.Cc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>Cc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,-1.1547005383792517
Ar-Br|H-OR -> Ar-OAr || Alkyl-OR|Any-OR|Ar-Ar|Ar-OR,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-OR,Alkyl-OR,Any-OR,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN,Alkyl-OR",Alkyl-OR|Any-OR|Ar-Ar|Ar-Br|Ar-I|Ar-OR|Ar-X|AromN-H|H-AromN|H-OR,Alkyl-OR|Any-AromN|Any-OR|Ar-Ar|Ar-AromN|Ar-OAr|Ar-OR,87.0,Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>COc1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,-0.24112141108520607
Ar-Br|H-OR -> Ar-OAr || Any-NR2|Ar-Ar|Ar-NR2,False,"Ar-Br,Ar-X,Ar-I","Ar-Ar,Ar-NR2,Any-NR2,H-OR,H-AromN,AromN-H","Ar-Ar,Ar-NR2,Any-NR2,Ar-OAr,Any-OR,Ar-OR,Ar-AromN,Any-AromN",Any-NR2|Ar-Ar|Ar-Br|Ar-I|Ar-NR2|Ar-X|AromN-H|H-AromN|H-OR,Any-AromN|Any-NR2|Any-OR|Ar-Ar|Ar-AromN|Ar-NR2|Ar-OAr|Ar-OR,89.0,Brc1ccccc1I.CCN(CC)c1ccc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)c(O)c1>>CCN(CC)c1ccc2c(c1)Oc1ccccc1-n1c-2nc(-c2ccccc2)c1-c1ccccc1,CuI,phen,Cs2CO3,DMAc,,,,0.0
