V2_Pair,Reaction_Type,Count,Avg_Yield,Success_Rate
Ar-Br + ,CH-Activation,672,23.31357142857143,16.666666666666664
Ar-Br + R2CH-OH,CO-Coupling,600,6.00625,2.3333333333333335
Ar-Br + Any-Urea,C_N_Coupling,598,16.900167224080267,13.043478260869565
Ar-Cl + Vinyl-B(OR)2,Suzuki,552,17.98501811594203,18.65942028985507
 + Ar-NH2,Condensation,528,14.451628787878787,8.712121212121213
Ar-Cl + Any-CONHR,C_N_Coupling,504,14.638412698412699,9.920634920634921
Ar-Cl + ,CO-Coupling,504,21.994583333333335,10.515873015873016
R-OTf + AromN-H,Alkylation,480,41.171187499999995,39.791666666666664
Ar-Br + ,Suzuki,458,15.02707423580786,10.91703056768559
Ar-Br + Ar-NHR,C_N_Coupling,456,34.93385964912281,33.114035087719294
 + Any-NH2,Condensation,448,23.172410714285714,23.883928571428573
"Ar-I,Ar-OH + Ar-OH",CO-Coupling,432,23.086851851851854,7.87037037037037
"Ar-Br,Ar-OH + Ar-OH",CO-Coupling,432,4.669652777777777,0.4629629629629629
Ar-Br + R-M,Negishi,432,9.748078703703705,1.3888888888888888
" + Any-CO2H,Any-NHR",amide_formation,432,56.81696759259259,54.629629629629626
Ar-Br + ,Hydrolysis,408,17.090245098039215,13.970588235294118
Ar-I + AromN-H,C_N_Coupling,408,23.902769607843137,25.0
Ar-Cl + Ar-NHR,C_N_Coupling,384,46.137682291666664,50.520833333333336
Ar-Cl + ,Negishi,384,12.880364583333334,10.15625
Ar-Br + ,Suzuki-in-situ,384,34.22638020833333,34.89583333333333
 + R-H-acidic,Arylation-acidic-C-H,384,19.85908854166667,16.927083333333336
Ar-Br + Ar-NHAr,C_N_Coupling,384,6.323489583333333,2.604166666666667
Ar-Cl + Any-Alkene,Heck,384,10.021588541666667,0.26041666666666663
"Ar-Br,R-I + ",Negishi-in-situ,372,13.744596774193548,21.236559139784948
Ar-Br + Any-CONHR,C_N_Coupling,336,25.246666666666663,22.023809523809522
Ar-I + Ar-B(OR)2,Suzuki,336,16.765029761904763,7.440476190476191
Ar-I + Any-NHR,C_N_Coupling,336,12.101815476190476,5.952380952380952
Ar-Br + R-B(OH)2,Suzuki,312,31.206153846153846,29.48717948717949
Ar-Cl + ,CC-Coupling,312,14.177916666666667,6.730769230769231
 + R-H,CH-Activation,312,3.3263461538461536,0.641025641025641
Ar-Br + Any-Alkene,Heck,312,9.980737179487178,0.0
 + Any-CO2H,Cyclization,312,11.70198717948718,8.653846153846153
