Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Br|Ar-OH|Ar-R|R2CH-OR -> Ar-CHO|Ar-OR || None,False,"Ar-R,Ar-OH,R2CH-OR","Ar-R,Ar-Br,R2CH-OR","Ar-R,Ar-Br,R2CH-OR|Ar-R,Ar-OH,R2CH-OR",82.0,Oc1cccc(C2OCCO2)c1.Brc1cccc(C2OCCO2)c1>>O=Cc1cccc(Oc2cccc(C=O)c2)c1,7758-89-6,2,Cs2CO3,NMP / water,,,,0.0
Ar-Cl|Ar-OH|RCH2-Cl -> Ar-OR || Ar-NO2|R-H-acidic|RCH2-CO2R,False,"Ar-NO2,Ar-OH","Ar-Cl,Ar-OH","Ar-Cl,Ar-OH|Ar-NO2,Ar-OH",85.0,O=[N+]([O-])c1ccc(O)cc1.Oc1ccc(Cl)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,TBAB,,K2CO3,DMF / MEK,,,,0.0
Ar-Cl|Ar-OH|Ar-OR|Ar-R|Bn-OR|R-H-acidic|R2CH-NHBoc|RCH2-NH2|RCH2-NHAc -> None || None,False,"Ar-R,Ar-OH,RCH2-NH2","R-H-acidic,Ar-R,Ar-Cl,Ar-OR,R2CH-NHBoc,Bn-OR,RCH2-NHAc","Ar-R,Ar-OH,RCH2-NH2|R-H-acidic,Ar-R,Ar-Cl,Ar-OR,R2CH-NHBoc,Bn-OR,RCH2-NHAc",79.0,NCCc1ccc(O)cc1.COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH](=[CH]->82)[C]->9(Cl)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH]2=[CH]->8[C]->9(OC2=CC=C(CCN)C=C2)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],18C6,,KOtBu,MeCN / THF,,,,0.0
Ar-Cl|Ar-OH|Ar-OR|Ar-R|Bn-OR|R-H-acidic|R2CH-NHBoc|RCH2-NHAc|RCH2-NHBoc -> None || None,False,"Ar-R,Ar-OH,Ar-OR,RCH2-NHBoc","R-H-acidic,Ar-R,Ar-Cl,Ar-OR,R2CH-NHBoc,Bn-OR,RCH2-NHAc","Ar-R,Ar-OH,Ar-OR,RCH2-NHBoc|R-H-acidic,Ar-R,Ar-Cl,Ar-OR,R2CH-NHBoc,Bn-OR,RCH2-NHAc",87.0,COc1ccc(CCNC(=O)OC(C)(C)C)cc1O.COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH](=[CH]->82)[C]->9(Cl)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>COC1=C(OCC2=CC=CC=C2)C=C(CC(NC(=O)OC(C)(C)C)C(=O)NCC[C]23->[Ru+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH]2=[CH]->8[C]->9(OC2=C(OC)C=CC(CCNC(=O)OC(C)(C)C)=C2)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],18C6,,KOtBu,MeCN / THF,,,,0.0
Ar-Cl|Ar-OH|Ar-OR|Ar-R -> None || None,False,"Ar-R,Ar-OH","Ar-Cl,Ar-OR","Ar-Cl,Ar-OR|Ar-R,Ar-OH",93.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.Cl[C]12->[Fe+2]3456789%10(<-[CH]%11=[CH]->3[CH-]->4[CH]->5=[CH]->6%11)<-[CH]1=[CH]->7[C]->8(OC1=CC(O[C]34->[Fe+2]5678%11%12%13%14(<-[CH]%15=[CH]->5[CH-]->6[CH]->7=[CH]->8%15)<-[CH](=[CH]->%113)[C]->%12(Cl)=[CH]->%13[CH]->%14=4)=CC(O[C]34->[Fe+2]5678%11%12%13%14(<-[CH]%15=[CH]->5[CH-]->6[CH]->7=[CH]->8%15)<-[CH](=[CH]->%113)[C]->%12(Cl)=[CH]->%13[CH]->%14=4)=C1)=[CH]->9[CH]->%10=2.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>CC(C)(C1=CC=C(O)C=C1)C1=CC=C(O[C]23->[Fe+2]456789%10%11(<-[CH]%12=[CH]->4[CH-]->5[CH]->6=[CH]->7%12)<-[CH]2=[CH]->8[C]->9(OC2=CC(O[C]45->[Fe+2]6789%12%13%14%15(<-[CH]%16=[CH]->6[CH-]->7[CH]->8=[CH]->9%16)<-[CH](=[CH]->%124)[C]->%13(OC4=CC=C(C(C)(C)C6=CC=C(O)C=C6)C=C4)=[CH]->%14[CH]->%15=5)=CC(O[C]45->[Fe+2]6789%12%13%14%15(<-[CH]%16=[CH]->6[CH-]->7[CH]->8=[CH]->9%16)<-[CH](=[CH]->%124)[C]->%13(OC4=CC=C(C(C)(C)C6=CC=C(O)C=C6)C=C4)=[CH]->%14[CH]->%15=5)=C2)=[CH]->%10[CH]->%11=3)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],DMAP,,,DMF,,DCC,,0.848842186292701
Ar-Cl|Ar-OH|RCH2-Cl -> Ar-OR || Ar-Cl|R-H-acidic|RCH2-CO2R,False,"Ar-Cl,Ar-OH","Ar-Cl,Ar-OH","Ar-Cl,Ar-OH",79.0,Oc1ccc(Cl)cc1Cl.Oc1cc(Cl)ccc1Cl.CCOC(=O)CCl>>CCOC(=O)COc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,TBAB,,K2CO3,DMF / MEK,,,,-0.2773500981126146
Alkenyl-Br|Ar-Br|Ar-OH -> Alkenyl-OR|Ar-OR || Ar-Alkenyl|Ar-OR,False,"Ar-OH,Ar-OR","Ar-Alkenyl,Ar-Br,Alkenyl-Br","Ar-Alkenyl,Ar-Br,Alkenyl-Br|Ar-OH,Ar-OR",83.0,COc1ccc(O)cc1.Br/C=C/c1ccccc1Br>>COc1ccc(O/C=C/c2ccccc2Oc2ccc(OC)cc2)cc1,Ni(acac)2,CuI,Cs2CO3,NMP,,,,0.0
Ar-Cl|Ar-OH|Ar-OR|Ar-R|RCH2-NH2 -> None || None,False,"Ar-R,Ar-OH,RCH2-NH2","Ar-Cl,Ar-OR","Ar-Cl,Ar-OR|Ar-R,Ar-OH,RCH2-NH2",81.0,NCCc1ccc(O)cc1.CO[C]12->[Ru+2]3456789%10(<-[CH]%11=[CH]->3[CH-]->4[CH]->5=[CH]->6%11)<-[CH](=[CH]->7[C]->8=1Cl)[CH]->9=[CH]->%102.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>CO[C]12->[Ru+2]3456789%10(<-[CH]%11=[CH]->3[CH-]->4[CH]->5=[CH]->6%11)<-[CH](=[CH]->71)[CH]->8=[CH]->9[C]->%10=2OC1=CC=C(CCN)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-],18C6,,KOtBu,MeCN / THF,,,,0.0
Ar-Cl|Ar-OH|RCH2-Cl -> Ar-OR || Ar-F|R-H-acidic|RCH2-CO2R,False,"Ar-Cl,Ar-OH","Ar-F,Ar-OH","Ar-Cl,Ar-OH|Ar-F,Ar-OH",84.0,Oc1ccccc1Cl.Oc1ccc(F)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccccc1Oc1ccc(F)cc1,TBAB,,K2CO3,DMF / MEK,,,,0.0
Ar-F|Ar-OH|R2CH-CO2H|RCH2-Br -> Ar-OR|R2CH-CO2R || Ar-CN|Ar-F|Ar-OR|R-H-acidic,False,"Ar-F,Ar-CN","R-H-acidic,Ar-OH,Ar-OR,R2CH-CO2H","Ar-F,Ar-CN|R-H-acidic,Ar-OH,Ar-OR,R2CH-CO2H",94.0,N#Cc1ccc(F)c(F)c1.C[C@@H](Oc1ccc(O)cc1)C(=O)O.CCCCBr>>CCCCOC(=O)[C@@H](C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,32503-27-8,,K2CO3,DMF,,,,0.0
