Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
CH-Activation,48.01,0.42,ArH,ArBr,ArBr,,ArX*,,XantPhos Pd(allyl)Cl,XantPhos,K2CO3,DMAc,water,KOPiv,,CH-Activation,Ar-Br,,True
CH-Activation,76.99,1.34,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,K2CO3,anisole,NMP,KOPiv,,CH-Activation,Ar-Br,,True
CH-Activation,39.24,0.14,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,"K2CO3, NMI",anisole,,KOPiv,,CH-Activation,Ar-Br,,True
CH-Activation,24.36,-0.33,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,K2CO3,anisole,,"KOPiv, water",,CH-Activation,Ar-Br,,True
CH-Activation,87.46,1.67,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,"Xantphos, XantPhos",K2CO3,anisole,,"KOPiv, water",,CH-Activation,Ar-Br,,True
Suzuki,38.07,-0.48,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,2.03,-1.67,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,K3PO4,THF,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
Suzuki,76.93,0.8,ArBr,ArB(OR)2,ArBr,ArB(OR)2,ArX*,ArB*,PPh3)2PdCl2,PPh3,Na2CO3,THF,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
C_N_Coupling,2.87,-0.5,ArNH2,ArBr,ArBr,ArNH2,ArX*,Aniline-type,[Pd(allyl)(JohnPhos)]OTf,JohnPhos,K2CO3,Dioxane,,,,c_n_cross_coupling,Ar-Br,Ar-NH2,True
C_N_Coupling,0.0,-0.65,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,Cs2CO3,THF,,,,c_n_cross_coupling,Ar-Br,Any-NHR,True
Suzuki,40.06,0.81,ArB(OR)2,ArBr,ArBr,ArB(OR)2,ArX*,ArB*,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,NaHCO3,iPrOAc,water,,,suzuki_miyaura,Ar-Br,Ar-B(OR)2,True
C_N_Coupling,11.66,-1.42,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
C_N_Coupling,63.56,-0.35,ArCl,ArNHR,ArCl,ArNHR,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Ar-NHR,True
C_N_Coupling,2.2,-1.74,ArNHR,ArBr,ArBr,ArNHR,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Na2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Br,Ar-NHR,True
C_N_Coupling,0.0,-0.43,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Br,Any-NHR,True
C_N_Coupling,0.0,-1.54,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Na2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,83.72,1.39,ArBr,RNH2 a-branch,ArBr,RNH2-a-branch,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Br,Any-NH2,True
C_N_Coupling,67.01,1.09,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,Dioxane,,,,c_n_cross_coupling,Ar-Br,Any-NHR,True
C_N_Coupling,2.28,-0.21,R2NH,ArCl,ArCl,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Any-NHR,True
C_N_Coupling,0.77,-0.9,ArNHR,ArCl,ArCl,ArNHR,ArX*,Aniline-type,SPhos Pd G2,SPhos,Na2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Ar-NHR,True
C_N_Coupling,81.19,3.09,Ar2NH,ArBr,ArBr,Ar2NH,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Br,Ar-NHAr,True
C_N_Coupling,0.0,-0.46,Lactam,ArCl,ArCl,Lactam,ArX*,Amide-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Cl,Any-Lactam,True
C_N_Coupling,22.57,0.22,RCONH2,ArBr,ArBr,RCONH2,ArX*,Amide-type,XantPhosPdCl2,XantPhos,Cs2CO3,MeTHF,,,,c_n_cross_coupling,Ar-Br,Any-CONHR,True
