Reaction_Type_Standardized,AREA_TOTAL_REDUCED,z-Score,Reactant_A,Reactant_B,Reactant_A_Type,Reactant_B_Type,Reactant_A_Category,Reactant_B_Category,Catalyst,Ligand,Base,Solvent,Secondary Solvent,Additive,Coupling Reagent,Reaction_Type_V2,Reactant_A_Motifs,Reactant_B_Motifs,Is_V2_Mapped
Condensation,45.57,0.96,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,NaOtBu,PhMe,,,PyBrOP,Condensation,,"Any-Lactam,Any-NH2",False
Condensation,22.07,-0.69,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,NaOtBu,TBME,,,PyBrOP,Condensation,,"Any-Lactam,Any-NH2",False
Condensation,29.83,-0.14,Lactam,RNH2,,"Lactam, RNH2",,"Aliphatic-amine, Amide-type",,No Ligand,NaOtPent,NMP,,,pyBOP,Condensation,,"Any-Lactam,Any-NH2",False
Suzuki,0.0,-0.39,ArCl,alkeneB(OR)2,ArCl,alkeneB(OR)2,ArX*,RB*,PPh3)2PdCl2,PPh3,K3PO4,PhMe,water,,,suzuki_miyaura,Ar-Cl,Vinyl-B(OR)2,True
CO-Coupling,1.65,-0.53,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,[Pd(allyl)(Ad-BippyPhos)]OTf,Ad-BippyPhos,Cs2CO3,PhMe,,,,c_o_coupling,Ar-Br,R2CH-OH,True
CO-Coupling,0.0,-0.79,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,CuI,trans-NN-Dimethylcyclohexane-12-diamine,NaOtBu,Dioxane,,,,c_o_coupling,Ar-Br,R2CH-OH,True
CO-Coupling,18.4,2.06,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,Copper(II)acetate,NN-Dibenzyloxamide,K3PO4,MeCN,,,,c_o_coupling,Ar-Br,R2CH-OH,True
CO-Coupling,11.42,0.98,Alkyl-OH a-branch,ArBr,ArBr,ROH-a-branch,ArX*,ROH,Copper(II)acetate,diphenethyloxamide,K3PO4,DMF,,water,,c_o_coupling,Ar-Br,R2CH-OH,True
C_N_Coupling,19.18,-0.52,arom. NH,ArCl,ArCl,arom-NH,ArX*,Aniline-type,XantPhosPdCl2,XantPhos,Cs2CO3,Dioxane,,,,c_n_cross_coupling,Ar-Cl,AromN-H,True
Wittig,30.87,-0.77,R2CO,RCH2PPh3X,,,,,,No Ligand,LiHMDS,PhMe,,,,Wittig,,,True
C_N_Coupling,3.24,0.57,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,water,,c_n_cross_coupling,Ar-Br,Any-NHR,True
C_N_Coupling,21.2,-0.08,R2NH,ArBr,ArBr,R2NH,ArX*,Aliphatic-amine,Pd2dba3.CHCl3,"cBRIDP, Missing",Cs2CO3,Dioxane,,water,,c_n_cross_coupling,Ar-Br,Any-NHR,True
CH-Activation,0.0,-0.47,ArH,ArBr,ArBr,,ArX*,,XantPhosPdCl2,XantPhos,"K3PO4, NMI",anisole,,KOPiv,,CH-Activation,Ar-Br,,True
amide_formation,2.76,-1.05,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,iPrOAc,,HOBt,EDC,amide_coupling,,Any-CO2H,True
amide_formation,7.0,-0.92,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,iPrOAc,,HOBt,BOP-Cl,amide_coupling,,Any-CO2H,True
amide_formation,1.97,-1.08,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,HOSu,DIC,amide_coupling,,Any-CO2H,True
amide_formation,99.13,1.86,RCO2H or M,RCO2H or M,,RCO2H,,Acyl-source,,No Ligand,NMM,THF,,HOSu,DIC,amide_coupling,,Any-CO2H,True
C_N_Coupling,94.47,1.56,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,PhMe,,,,c_n_cross_coupling,Ar-Br,Any-NHR,True
C_N_Coupling,0.0,-0.99,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,TBME,,,,c_n_cross_coupling,Ar-Br,Any-NHR,True
C_N_Coupling,71.0,0.92,ArBr,R2NH,ArBr,R2NH,ArX*,Aliphatic-amine,XantPhosPdCl2,XantPhos,NaOtBu,cyclohexane,TBME,,,c_n_cross_coupling,Ar-Br,Any-NHR,True
