reaction_type,yield,z_score,reactant_1,orig_reactant_1,reactant_2,orig_reactant_2,catalyst,ligand,base,solvent,additive
c_h_activation,60.99,1.49,Ar-H,ArH,R-CCH,alkyne,(Ru(p-cymene)Cl2)2,No Ligand,,PhMe,HFIP
cn_coupling,0.0,-0.29,Ar-Cl,ArCl,AromN-H,arom. NH,BrettPhos Pd(crotyl)OTf,BrettPhos,Cs2CO3,PhMe,water
cn_coupling,0.0,-1.32,Ar-Br,ArBr,R-CONH2,RCONH2,cBridP Pd(allyl)Cl,cBridP,Cs2CO3,PhMe,water
cn_coupling,72.8,1.35,Ar-Br,ArBr,R-CONH2,RCONH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,K3PO4,"MeTHF, water",
cn_coupling,87.13,1.59,Ar-Br,ArBr,R-NHR,R2NH,RuPhos Pd G4,RuPhos,"NaOtBu, NMM",Dioxane,
snar,0.0,-0.66,R2CH-OH,Alkyl-OH a-branch,Any-CONHR,Lactam,,No Ligand,DBU,DCM,PyBrOP
snar,31.4,2.05,R2CH-OH,Alkyl-OH a-branch,Any-CONHR,Lactam,,No Ligand,"DBU, NaOtBu",PhMe,PyBrOP
suzuki_miyaura,38.87,1.06,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,AmPhos Pd(crotyl)Cl,AmPhos,Cs2CO3,PhMe,water
suzuki_miyaura,0.0,-1.07,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,PPh3)2PdCl2,PPh3,Cs2CO3,tAmOH,water
reduction,77.02,0.77,Any-Alkene,alkene,Any-Alkene,alkene,Strykers reagent,Josiphos SL-J002-1,,PhMe,tAmOH
deoxyfluorination,16.55,-1.01,R2CH-OH,Alkyl-OH a-branch,R2CH-OH,Alkyl-OH a-branch,,No Ligand,,DCM,DBU
deoxyfluorination,67.09,0.78,R2CH-OH,Alkyl-OH a-branch,R2CH-OH,Alkyl-OH a-branch,,No Ligand,,DCM,Et3N.3HF
cn_coupling,17.55,0.18,Ar-Cl,ArCl,R2CH-NH2,RNH2 a-branch,dppf Pd G3,dppf,NaOtBu,PhMe,
cn_coupling,50.6,0.58,Ar-Cl,ArCl,R2CH-NH2,RNH2 a-branch,rac-BINAP Pd G3,BINAP,NaOtBu,PhMe,
cn_coupling,16.28,0.62,Ar-Cl,ArCl,R2CH-NH2,RNH2 a-branch,dppf Pd G3,dppf,NaOtBu,PhMe,
cn_coupling,0.0,-0.4,R2CH-NH2,RNH2 a-branch,Ar-Br,ArBr,dppf Pd G3,dppf,NaOtBu,PhMe,
condensation,38.49,0.37,enolether,enolether,Any-OR,enol-ether,,No Ligand,NH3,PhMe,water
condensation,19.14,-0.61,R-Cl,Alkyl-Cl,R-NH2,RNH2,,No Ligand,K3PO4,"EtOH, water","TBAB, water"
condensation,63.08,1.2,R-Cl,Alkyl-Cl,R-NH2,RNH2,,No Ligand,NMM,MeTHF,water
c_h_activation,43.44,2.02,Ar-H,ArH,Ar-I,ArI,XantPhosPdCl2,XantPhos,K2CO3,DMI,KOAc
cn_coupling,0.0,-0.92,Ar-NH2,ArNH2,Ar-Br,ArBr,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"Dioxane, water",
snar,71.37,1.77,Any-CONHR,Lactam,R2CH-OH,Alkyl-OH a-branch,,No Ligand,"DBU, NaOtBu",THF,PyBrOP
cn_coupling,0.0,-0.6,AromN-H,arom. NH,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,PhMe,water
