reaction_type,yield,z_score,reactant_1,orig_reactant_1,reactant_2,orig_reactant_2,catalyst,ligand,base,solvent,additive
suzuki_miyaura,4.87,-1.0,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,dppdtbpf)PdCl2,dppdtbpf,KOtBu,tAmOH,TPGS-750M
suzuki_miyaura,1.05,-1.11,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,dppdtbpf)PdCl2,dppdtbpf,Cs2CO3,iPrOH,
suzuki_miyaura,51.75,0.28,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,PEPPSI-IPENT,IPENT,KOH,"iPrOAc, water",
cyclization,23.71,0.03,Ar-Br,ArBr,Ar-Br,ArBr,XantPhos Pd(allyl)Cl,XantPhos,Cs2CO3,MeCN,
cyclization,32.25,0.42,Ar-Br,ArBr,Ar-Br,ArBr,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,MeTHF,
cyclization,3.74,-0.89,Ar-Br,ArBr,Ar-Br,ArBr,AlPhosPd G6 Br,AlPhos,Zinc acetate,TBME,TBAC
cn_coupling,0.0,-0.54,Ar-Br,ArBr,Any-Urea,Urea,BippyPhos Pd(allyl)OTf,BippyPhos,Cs2CO3,tAmOH,Sodium trifluoroacetate
hydrolysis,0.0,-0.89,Ar-Br,ArBr,Ar-Br,ArBr,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K3PO4,"MeCN, water",
cn_coupling,0.0,-1.02,R-NHR,R2NH,Ar-Br,ArBr,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,tAmOH,TBAC
co_coupling,0.0,-0.12,Ar-I,ArI,Ar-I,ArI,CuI,diphenethyloxamide,NaOtBu,PhMe,
cn_coupling,8.29,0.0,Ar-Br,ArBr,R-NH2,RNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOtBu,PhMe,
cn_coupling,38.64,0.78,R-NHR,R2NH,Ar-I,ArI,Pd-PEPPSI-IPent Cl o-picoline,IPENT Cl,Cs2CO3,tAmOH,
sonogashira,0.0,-0.63,Ar-Br,ArBr,R-CCH,alkyne,"Cu(MeCN)4BF4, dppfPdCl2",dppf,NEt3,MeCN,
suzuki_miyaura,61.49,0.47,Ar-Br,ArBr,Ar-B(OR)2,ArB(OR)2,meCgPPh Pd G3,meCgPPh,K3PO4,"DMF, water",
suzuki_miyaura,37.11,-0.24,Ar-Br,ArBr,Ar-B(OR)2,ArB(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"THF, water",
suzuki_miyaura,0.77,-0.6,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,rac-BINAP Pd G3,BINAP,KOH,"Brij 35, water",
suzuki_miyaura,0.0,-0.94,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,XantPhosPdCl2,XantPhos,,tAmOH,
suzuki_miyaura,11.96,-0.61,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,SPhos Pd(crotyl)Cl,SPhos,,tAmOH,
suzuki_miyaura,96.34,1.68,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,"iPrOAc, water",
cn_coupling,19.16,-0.24,Any-CONHR,Lactam,Ar-Br,ArBr,DPEPhos Pd(allyl)Cl,DPEPhos,KOtPent,CPME,
cn_coupling,18.46,-0.27,Any-CONHR,Lactam,Ar-Br,ArBr,DPEPhos Pd(allyl)Cl,DPEPhos,KOtPent,CPME,
cn_coupling,0.0,-1.01,Any-CONHR,Lactam,Ar-Br,ArBr,rac-BINAP Pd G3,BINAP,KHMDS,PhMe,
cn_coupling,2.44,-0.64,Ar-NH2,ArNH2,Ar-Br,ArBr,tBu)PhCPhos Pd G3,t-Bu)PhCPhos,KOH,"DMI, water",
cn_coupling,50.77,1.69,Ar-NH2,ArNH2,Ar-Br,ArBr,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,MeOH,
cn_coupling,42.5,0.19,rconhr,RCONHR,rconhr,RCONHR,CuI,DL-Proline,K3PO4,DMF,
mitsunobu,0.0,-0.34,Ar-OH,ArOH,Ar-OH,ArOH,,No Ligand,DIPEA,Propionitrile,
cn_coupling,50.86,1.2,Ar-NHR,ArNHR,Ar-Br,ArBr,Pd-PEPPSI-IHept Cl 3-chloropyridine,IHept Cl,NaOtBu,Dioxane,
cn_coupling,7.53,-0.61,Ar-NHR,ArNHR,Ar-Br,ArBr,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,LiHMDS,xylenes,
suzuki_miyaura,0.0,-0.59,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,dtbpfPdCl2,dtbpf,TMSOK,PhMe,
cyclization,0.0,-0.34,Ar-Br,ArBr,Ar-Br,ArBr,SPhos Pd(crotyl)Cl,SPhos,"K3PO4, NEt3",Dioxane,
suzuki_miyaura,1.97,-0.48,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,dtbpfPdCl2,dtbpf,K3PO4,"iPrOAc, water",
cn_coupling,0.0,-0.38,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,BippyPhos Pd(allyl)OTf,BippyPhos,K3PO4,"MeCN, water",
suzuki_miyaura,0.0,-0.76,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,PPh3)2PdCl2,PPh3,K2CO3,THF,water
miyaura_borylation,0.0,-0.71,Ar-Br,ArBr,Ar-Br,ArBr,MorDalPhos Pd G6 Br,MorDalphos,K3PO4,THF,
miyaura_borylation,48.03,1.67,Ar-Br,ArBr,Ar-Br,ArBr,dpppPdCl2,dppp,K3PO4,Dioxane,
miyaura_borylation,2.81,-0.57,Ar-Br,ArBr,Ar-Br,ArBr,PPh3)2PdCl2,PPh3,K3PO4,iPrOAc,
miyaura_borylation,0.0,-0.41,Ar-Br,ArBr,Ar-Br,ArBr,PPh3)2PdCl2,PPh3,K3PO4,iPrOAc,
suzuki_miyaura,72.99,1.87,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,dtbpfPdCl2,dtbpf,K3PO4,"iPrOAc, water",
suzuki_miyaura,48.33,0.87,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,P(tBu)3 Pd G6,P(tBu)3,Na2CO3,"MeCN, water",
co_coupling,39.93,2.64,Ar-Br,ArBr,R2CH-OH,Alkyl-OH a-branch,TrixiePhos Pd G3,TrixiePhos,NaOtBu,PhMe,
co_coupling,3.96,0.43,Ar-OH,ArOH,Ar-Br,ArBr,TrixiePhos Pd G3,TrixiePhos,NaOtBu,PhMe,
activation,21.33,0.5,R2CH-OH,Alkyl-OH a-branch,R2CH-OH,Alkyl-OH a-branch,,No Ligand,,NMP,PEP-K
activation,14.02,0.11,R2CH-OH,Alkyl-OH a-branch,R2CH-OH,Alkyl-OH a-branch,,No Ligand,lutidine,MeCN,TrichloroACN
c_h_activation,0.59,-0.28,rconhr,RCONHR,rconhr,RCONHR,Pd(OAc)2,Missing,AgOAc,DMAc,
cn_coupling,6.44,-0.82,Ar-Br,ArBr,Any-Urea,Urea,P(tBu)3 Pd G6,P(tBu)3,NaOtBu,PhMe,
cn_coupling,21.81,-0.2,Ar-Br,ArBr,Any-Urea,Urea,XantPhos Pd(allyl)Cl,XantPhos,NaOtBu,MeCN,
cn_coupling,7.55,-0.78,Ar-Br,ArBr,Any-Urea,Urea,dppfPdCl2,dppf,LiHMDS,anisole,
amide_formation,42.05,-0.24,R-CO2H,RCO2H or M,R2CH-NH2,RNH2 a-branch,,No Ligand,NMM,MeCN,Diethylchlorophosphate
amide_formation,5.64,-1.28,R-CO2H,RCO2H or M,R2CH-NH2,RNH2 a-branch,,No Ligand,NEt3,"Brij 35, water","OxymaPure, DIC"
amide_formation,49.0,-0.04,R-CO2H,RCO2H or M,R2CH-NH2,RNH2 a-branch,,No Ligand,NMI,THF,DIC
suzuki_miyaura,18.37,0.38,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,AmPhos2PdCl2,AmPhos,K3PO4,"EtOH, water",
suzuki_miyaura,51.09,0.44,Ar-Cl,ArCl,Ar-BF3K,ArBF3K,AmPhos2PdCl2,AmPhos,K3PO4,"EtOH, water",
miyaura_borylation,0.0,-0.71,Ar-Br,ArBr,Ar-Br,ArBr,meCgPPh Pd G3,meCgPPh,Cs2CO3,iPrOAc,
miyaura_borylation,100.0,2.73,Ar-Br,ArBr,Ar-Br,ArBr,dtbpfPdCl2,dtbpf,KOAc,tAmOH,
condensation,35.01,1.1,Ar-NH2,ArNH2,rso2f,RSO2F,,No Ligand,NaOtBu,PhMe,
cn_coupling,8.19,-1.01,Ar-NHR,ArNHR,Ar-Br,ArBr,CataCXiumA Pd(allyl)Cl,CataCXiumA,KOH,"Dioxane, water",
cn_coupling,0.0,-0.41,R2CH-NH2,RNH2 a-branch,Ar-I,ArI,MorDalPhos Pd G6 Br,MorDalphos,KHMDS,PhMe,
cyclization,0.0,-1.15,Ar-Br,ArBr,Ar-Br,ArBr,,No Ligand,DIPEA,THF,CDT
cyclization,43.67,0.4,Ar-Br,ArBr,Ar-Br,ArBr,,No Ligand,DIPEA,THF,T3P
cyclization,67.31,1.24,Ar-Br,ArBr,Ar-Br,ArBr,,No Ligand,NMM,EtOAc,T3P
suzuki_miyaura,0.0,-0.88,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,AmPhos2PdCl2,AmPhos,K3PO4,"EtOH, water",
co_coupling,0.69,-0.85,Ar-Br,ArBr,Ar-Br,ArBr,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K3PO4,"MeCN, water",
co_coupling,59.14,0.85,Ar-Br,ArBr,Ar-Br,ArBr,AlPhosPd G6 Br,AlPhos,NaOH,"ethylene glycol, water",
co_coupling,88.16,1.69,Ar-Br,ArBr,Ar-Br,ArBr,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,NaOH,tAmOH,B(OH)3
suzuki_miyaura,62.65,-0.25,Ar-Cl,ArCl,Ar-B(OR)2,ArB(OR)2,dpppPdCl2,dppp,K3PO4,"CPME, water",
miyaura_borylation,43.14,1.71,Ar-Br,ArBr,Ar-Br,ArBr,XPhos Pd(crotyl)Cl,XPhos,Potassium 2-ethylhexanoate,tAmOH,
miyaura_borylation,21.63,0.46,Ar-Br,ArBr,Ar-Br,ArBr,XPhos Pd(tBuInd)Cl,XPhos,Potassium 2-ethylhexanoate,tAmOH,
suzuki_miyaura,59.25,1.66,Ar-B(OR)2,ArB(OR)2,Ar-Cl,ArCl,CataCXiumA Pd(allyl)Cl,CataCXiumA,Cs2CO3,THF,
suzuki_miyaura,82.55,2.28,Ar-Cl,ArCl,Ar-B(OH)2,ArB(OH)2,CataCXiumA Pd(allyl)Cl,CataCXiumA,Cs2CO3,THF,
suzuki_miyaura,85.7,1.7,Ar-BF3K,ArBF3K,Ar-Cl,ArCl,AmPhos2PdCl2,AmPhos,Na2CO3,"HFIP, water",
cn_coupling,55.12,0.43,Ar-Cl,ArCl,Ar-NH2,ArNH2,dppf Pd G3,dppf,NaOtBu,Dioxane,
cyclization,0.0,-0.39,Ar-OH,ArOH,Ar-OH,ArOH,,No Ligand,DIPEA,THF,T3P
salt-formation,0.0,-1.21,R-NR2,R3N,R-NR2,R3N,,No Ligand,,PhMe,
salt-formation,99.21,1.0,R-NR2,R3N,R-NR2,R3N,,No Ligand,,methylcyclohexane,
arylation-acidic-c-h,8.86,-0.4,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,PEPPSI-IPENT,IPENT,K3PO4,"DMSO, water",
arylation-acidic-c-h,7.7,-0.44,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,anisole,
arylation-acidic-c-h,0.0,-0.75,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,anisole,
amide_formation,20.62,-1.8,R-CO2H,RCO2H or M,R2CH-NH2,RNH2 a-branch,,No Ligand,DIPEA,THF,COMU
amide_formation,67.68,0.42,R-CO2H,RCO2H or M,R2CH-NH2,RNH2 a-branch,,No Ligand,NMI,MeTHF,"HOPO, EDC"
arylation-acidic-c-h,0.0,-0.79,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,cPhos Pd G3,cPhos,Potassium 2-ethylhexanoate,xylenes,
arylation-acidic-c-h,7.12,-0.27,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,SPhos Pd(crotyl)Cl,SPhos,K2CO3,anisole,
cn_coupling,0.0,-0.71,R2CH-NH2,RNH2 a-branch,Ar-Cl,ArCl,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,PhMe,
cn_coupling,5.28,-0.5,R2CH-NH2,RNH2 a-branch,Ar-Cl,ArCl,rac-BINAP Pd G3,BINAP,NaBHT,xylenes,
cn_coupling,1.1,-0.67,R2CH-NH2,RNH2 a-branch,Ar-Cl,ArCl,Me3(OMe)tBuXPhos Pd G3,Me3(OMe)-tBuXPhos,TMSOK,PhCF3,
cn_coupling,68.92,2.06,R2CH-NH2,RNH2 a-branch,Ar-Cl,ArCl,,No Ligand,,MeTHF,TBAF
cn_coupling,30.55,0.16,Ar-Cl,ArCl,R2CH-NH2,RNH2 a-branch,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,PhMe,
arylation-acidic-c-h,2.97,-0.82,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,anisole,
arylation-acidic-c-h,0.0,-0.94,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,anisole,
arylation-acidic-c-h,0.39,-1.01,alkyl-hacidic,Alkyl-H acidic,R-Br,Alkyl-Br,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,anisole,
arylation-acidic-c-h,0.0,-1.02,alkyl-hacidic,Alkyl-H acidic,R-Br,Alkyl-Br,BrettPhos Pd(crotyl)OTf,BrettPhos,K3PO4,anisole,
arylation-acidic-c-h,0.0,-0.58,Ar-Br,ArBr,alkyl-hacidic,Alkyl-H acidic,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,anisole,
amide_formation,69.96,0.21,R-CO2H,RCO2H or M,R2CH-NH2,RNH2 a-branch,,No Ligand,NMI,THF,"HOPS, water, DIC"
suzuki_miyaura,34.52,-0.05,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,cataCXiumA Pd G6 Br)2,CataCXiumA,K3PO4,"PrOH, water",
suzuki_miyaura,74.49,1.14,Alkenyl-Br,alkene-Br,Ar-B(OH)2,ArB(OH)2,SPhos Pd(crotyl)Cl,SPhos,K3PO4,THF,
suzuki_miyaura,89.44,1.59,Alkenyl-Br,alkene-Br,Ar-B(OH)2,ArB(OH)2,dtbpfPdCl2,dtbpf,NaHCO3,"iPrOAc, water",
cn_coupling,9.22,0.62,Ar-I,ArI,AromN-H,arom. NH,CuI,PPBO,Cs2CO3,DMSO,
salt-formation,0.0,-0.39,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,,MeCN,
salt-formation,0.0,-0.39,R-NH2,RNH2,R-NH2,RNH2,,No Ligand,,TBME,
cn_coupling,82.58,1.0,Ar-I,ArI,AromN-H,arom. NH,CuI,BFMO,DBU,DMSO,
cn_coupling,0.0,-0.46,AromN-H,arom. NH,Ar-Br,ArBr,AlPhosPd G6 Br,AlPhos,K3PO4,"tAmOH, water",
cn_coupling,12.33,-1.16,AromN-H,arom. NH,Ar-I,ArI,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,DBU,DMSO,
cn_coupling,58.26,-0.35,R2CH-NH2,RNH2 a-branch,Ar-Cl,ArCl,AmPhos Pd(crotyl)Cl,AmPhos,KOH,tAmOH,
cn_coupling,5.77,-0.54,R2CH-NH2,RNH2 a-branch,Ar-Cl,ArCl,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,Dioxane,
cn_coupling,9.48,-0.16,Ar-I,ArI,R-NH2,RNH2,RuPhos Pd(crotyl)Cl,RuPhos,Cs2CO3,DMSO,
cn_coupling,0.0,-0.62,Ar-I,ArI,R-NH2,RNH2,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,Cs2CO3,DMSO,LiI
cn_coupling,24.8,0.59,Ar-Cl,ArCl,R2CH-NH2,RNH2 a-branch,BippyPhos Pd(allyl)OTf,BippyPhos,TMSOK,MeCN,
amide_formation,29.58,0.42,R-CO2H,RCO2H or M,Ar-NH2,ArNH2,,No Ligand,DBU,DCM,pyBOP
amide_formation,56.85,2.02,R-CO2H,RCO2H or M,Ar-NH2,ArNH2,,No Ligand,,pyridine,T3P
amide_formation,1.23,-0.55,R-CO2H,RCO2H or M,Ar-NH2,ArNH2,,No Ligand,DBU,DCM,pyBOP
amide_formation,80.4,0.65,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,NMM,DMF,HATU
amide_formation,61.96,0.06,Ar-NH2,ArNH2,R-CO2H,RCO2H or M,,No Ligand,,THF,CDI
cn_coupling,42.83,1.0,Ar-Br,ArBr,Any-Urea,Urea,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,,,
co_coupling,0.0,-0.35,Ar-Br,ArBr,R2CH-OH,Alkyl-OH a-branch,RuPhos Pd(crotyl)Cl,RuPhos,NaOtBu,PhMe,
hydrolysis,0.0,-0.14,Ar-Br,ArBr,Ar-Br,ArBr,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K3PO4,"MeCN, water",
cn_coupling,13.56,0.16,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,QPhos Pd(crotyl)Cl,QPhos,K3PO4,"anisole, water",
condensation,0.0,-0.28,R-CHO,RCHO,R2CH-NH2,RNH2 a-branch,,No Ligand,,PhMe,TMSCl
condensation,5.6,-0.37,R-CHO,RCHO,R2CH-NHR,R2NH a-branch,,No Ligand,,PhMe,TMSCl
condensation,34.15,1.73,R-CHO,RCHO,R2CH-NHR,R2NH a-branch,,No Ligand,,MeCN,"HFIP, BOP-Cl"
cn_coupling,14.55,-0.23,Ar-Br,ArBr,Ar-NH2,ArNH2,QPhos Pd(crotyl)Cl,QPhos,KHMDS,PhMe,
cn_coupling,100.0,1.18,R2CH-NH2,RNH2 a-branch,Ar-Br,ArBr,JosiphosSL-J009-1 Pd G3,JosiphosSL-J009-1,NaOtBu,Dioxane,
cn_coupling,28.57,3.81,Ar-Br,ArBr,Ar-Br,ArBr,CuI,BTMO,NaOtBu,anisole,
cn_coupling,0.0,-0.48,Ar-Br,ArBr,Ar-Br,ArBr,Cu(MeCN)4BF4,DL-Proline,DBU,DMI,
suzuki_miyaura,2.53,-0.18,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,,No Ligand,K3PO4,"MeTHF, water",
suzuki_miyaura,0.0,-0.87,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,,No Ligand,K3PO4,"MeTHF, water",
negishi-in-situ,61.33,0.49,Ar-Br,ArBr,R-I,Alkyl-I,,No Ligand,,"MeTHF, water",Potassium 2-ethylhexanoate
miyaura_borylation,0.0,-0.77,Ar-Br,ArBr,Ar-Br,ArBr,meCgPPh Pd G3,meCgPPh,Potassium 2-ethylhexanoate,Dioxane,
miyaura_borylation,8.94,-0.13,Ar-Br,ArBr,Ar-Br,ArBr,SPhos Pd(crotyl)Cl,SPhos,K2CO3,MeTHF,Potassium 2-ethylhexanoate
cc-coupling,0.0,-0.72,Ar-Cl,ArCl,Ar-Cl,ArCl,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,"MeTHF, water",
cc-coupling,34.64,1.05,Ar-Cl,ArCl,Ar-Cl,ArCl,XPhos Pd(crotyl)Cl,XPhos,,PhMe,
cc-coupling,7.68,-0.33,Ar-Cl,ArCl,Ar-Cl,ArCl,AmPhos2PdCl2,AmPhos,TMSOK,PhMe,
co_coupling,46.69,1.12,Ar-Cl,ArCl,Ar-Cl,ArCl,AmPhos Pd(crotyl)Cl,AmPhos,LiOtBu,"MeOH, Propionitrile",
co_coupling,7.51,-0.81,Ar-Cl,ArCl,Ar-Cl,ArCl,dppfPdCl2,dppf,,DMF,
co_coupling,20.42,-0.17,Ar-Cl,ArCl,Ar-Cl,ArCl,QPhos Pd(crotyl)Cl,QPhos,KOtBu,"DMI, MeOH",B(OMe)3
co_coupling,12.83,-0.55,Ar-Cl,ArCl,Ar-Cl,ArCl,XantPhos Pd(allyl)Cl,XantPhos,KOtBu,DMF,B(OMe)3
suzuki_miyaura,0.0,-0.57,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,cBridP Pd(allyl)Cl,cBridP,TMSOK,Dioxane,
suzuki_miyaura,0.0,-0.57,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,,No Ligand,K3PO4,"Dioxane, water",
suzuki_miyaura,0.6,-0.51,Ar-B(OR)2,ArB(OR)2,Ar-Br,ArBr,dppf Pd G3,dppf,K3PO4,"CPME, water",LiCl
suzuki_miyaura,0.0,-0.93,Ar-Br,ArBr,Ar-B(OR)2,ArB(OR)2,cBridP Pd(allyl)Cl,cBridP,TMSOK,Dioxane,
suzuki_miyaura,18.62,1.31,Ar-Br,ArBr,Ar-B(OR)2,ArB(OR)2,,No Ligand,K3PO4,"Dioxane, water",
cn_coupling,0.0,-0.5,Ar-Br,ArBr,Ar-NH2,ArNH2,tBuBrettPhos Pd(allyl)OTf,tBuBrettPhos,KOH,"Dioxane, water",
suzuki_miyaura,8.75,-0.21,Ar-I,ArI,Ar-B(OR)2,ArB(OR)2,tBuXPhos Pd G3,tBuXPhos,TMSOK,MeTHF,B(OMe)3
negishi,0.0,-0.92,Ar-Br,ArBr,R-Mg,Alkyl-M,P(tBu)2Ph)2PdCl2,P(tBu)2Ph,,MeTHF,Potassium 2-ethylhexanoate
negishi,0.0,-0.92,Ar-Br,ArBr,R-Mg,Alkyl-M,(R)-BINAP Pd(allyl)Cl,BINAP,,NMI,LiCl
negishi,6.24,-0.42,Ar-Br,ArBr,R-Mg,Alkyl-M,,No Ligand,,MeTHF,Potassium 2-ethylhexanoate
hydrolysis,0.0,-0.47,R-CN,RCN,R-CN,RCN,,No Ligand,,"EtOH, MeTHF",
suzuki_miyaura,77.94,0.59,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,SPhos Pd(crotyl)Cl,SPhos,Na2CO3,"iPrOAc, water",
cn_coupling,0.0,-0.5,Ar-Br,ArBr,Ar-NH2,ArNH2,N-XantPhos Pd G3,N-XantPhos,K3PO4,"tAmOH, water",
cn_coupling,0.0,-0.25,Ar-Br,ArBr,R-NHR,R2NH,XPhos Pd(crotyl)Cl,XPhos,KHMDS,Dioxane,
hydrodehalogenation,86.35,2.6,Ar-Cl,ArCl,Ar-Cl,ArCl,,No Ligand,,"EtOH, TFA",
cn_coupling,0.0,-0.61,Ar-Br,ArBr,R-NHR,R2NH,BippyPhos Pd(allyl)OTf,BippyPhos,K3PO4,tAmOH,
cn_coupling,9.76,1.2,Ar-Br,ArBr,R2CH-NH2,RNH2 a-branch,GPhos Pd G6 TES,GPhos,K3PO4,tAmOH,
cn_coupling,0.0,-0.42,AromN-H,arom. NH,Ar-Br,ArBr,BippyPhos Pd(allyl)OTf,BippyPhos,K3PO4,tAmOH,
stetter,18.19,-0.42,Any-Alkene,alkene,R-CHO,RCHO,thiazolium-NHC*HCl,No Ligand,DBU,MeOH,
stetter,11.14,-0.73,Any-Alkene,alkene,R-CHO,RCHO,thiazolium-NHC*HCl,No Ligand,NMM,EtOH,LiCl
cn_coupling,0.0,-0.59,Ar-Br,ArBr,AromN-H,arom. NH,Cu(MeCN)4BF4,44′-Dimethoxy-22′-bipyridyl,K3PO4,"MeCN, water",
cn_coupling,9.94,0.51,Ar-Br,ArBr,AromN-H,arom. NH,CuI,8-Quinolinol N-oxide,Cs2CO3,MeCN,
hydrodehalogenation,22.75,1.88,Ar-Cl,ArCl,Ar-Cl,ArCl,Pd/C,Missing,,EtOH,
suzuki_miyaura,14.62,-0.15,Ar-B(OH)2,ArB(OH)2,Ar-Br,ArBr,CataCXiumA Pd(allyl)Cl,CataCXiumA,DIPEA,BuOH,
suzuki_miyaura,16.94,-0.07,Ar-Br,ArBr,Ar-B(OH)2,ArB(OH)2,XPhos Pd(crotyl)Cl,XPhos,K3PO4,iPrOAc,MeOH
suzuki_miyaura,50.19,0.97,Ar-B(OH)2,ArB(OH)2,Ar-Br,ArBr,CataCXiumA Pd(allyl)Cl,CataCXiumA,K3PO4,"tAmOH, water",
suzuki_miyaura,25.44,-0.03,Ar-B(OH)2,ArB(OH)2,Ar-Br,ArBr,CataCXiumA Pd(allyl)Cl,CataCXiumA,KOH,"iPrOAc, water",
c_h_activation,0.0,-0.33,R-H,Alkyl-H,R-H,Alkyl-H,DPEPhos Pd(allyl)Cl,DPEPhos,Cs2CO3,Mesitylene,AdCOOH
c_h_activation,0.0,-0.33,R-H,Alkyl-H,R-H,Alkyl-H,DPEPhos Pd(allyl)Cl,DPEPhos,Cs2CO3,Mesitylene,AdCOOH
amide_formation,8.94,-0.59,R-NH2,RNH2,R-CO2H,RCO2H or M,,No Ligand,DIPEA,"MeCN, THF","BSTFA, COMU"
amide_formation,6.71,-0.67,R-NH2,RNH2,R-CO2H,RCO2H or M,,No Ligand,DIPEA,"MeCN, THF","BSA, PyCIU"
amide_formation,3.24,-0.79,R-NH2,RNH2,R-CO2H,RCO2H or M,,No Ligand,DIPEA,"iPrOAc, MeCN","BSA, OxymaPure, COMU"
co_coupling,0.0,-0.43,Ar-Br,ArBr,Ar-Br,ArBr,tBuXPhos Pd(allyl)OTf,Me4tBuXPhos,K3PO4,"iPrOH, water",
co_coupling,29.9,1.87,Ar-Br,ArBr,Ar-Br,ArBr,RockPhos Pd G6 Br,RockPhos,KOH,"DMSO, water",TBAB
co_coupling,20.01,1.11,Ar-Br,ArBr,Ar-Br,ArBr,RockPhos Pd G3,RockPhos,KOH,"Dioxane, water",LiI
suzuki_miyaura,0.0,-0.9,Ar-B(OH)2,ArB(OH)2,Ar-Cl,ArCl,P(tBu)3 Pd(crotyl)Cl,P(tBu)3,DIPEA,BuOH,
suzuki_miyaura,3.58,-0.81,Ar-B(OH)2,ArB(OH)2,Ar-Cl,ArCl,meCgPPh Pd G3,meCgPPh,K3PO4,"iPrOH, water",water
cn_coupling,0.0,-0.41,AromN-H,arom. NH,Ar-I,ArI,CuI,8-Quinolinol N-oxide,Cs2CO3,MeCN,
cn_coupling,0.0,-0.2,Ar-Br,ArBr,Any-CONHR,Lactam,XPhos Pd(crotyl)Cl,XPhos,NaOtBu,PhMe,
cn_coupling,0.0,-0.2,Ar-Br,ArBr,Any-CONHR,Lactam,Cu(MeCN)4BF4,"N,N-Dimethylglycine",Cs2CO3,tAmOH,
cn_coupling,2.94,-0.7,rconhr,RCONHR,Ar-Br,ArBr,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,KOH,tAmOH,
cn_coupling,0.0,-0.52,Ar-Br,ArBr,rconhr,RCONHR,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,Cs2CO3,Dioxane,BSA
cn_coupling,0.0,-0.45,Ar-Br,ArBr,rconhr,RCONHR,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,KOH,tAmOH,
cn_coupling,3.23,-1.04,Any-CONHR,Lactam,Ar-Br,ArBr,(DiMeIHept Cl) Pd(cinnamyl)Cl,DiMeIHept Cl,KOH,tAmOH,
