Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-I|H-SR -> Ar-SAr || Any-NH2|H-NHR,False,H-SR,"Ar-I,Ar-X,H-NHR,Any-NH2","H-NHR,Any-NH2,Ar-SAr,Ar-SR",Any-NH2|Ar-I|Ar-X|H-NHR|H-SR,Any-NH2|Ar-SAr|Ar-SR|H-NHR,3.0,Sc1ccccc1.Nc1ccc(I)cc1>>Nc1ccc(Sc2ccccc2)cc1,CuI,,K2CO3,NMP,,,,-3.7685186215281052
Ar-Br|H-SR -> Ar-SAr || Any-OR|Ar-OR|R-OR,False,"Ar-Br,Ar-X,Ar-OR,Any-OR,R-OR","Ar-OR,Any-OR,R-OR,H-SR","Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-OR|Ar-Br|Ar-OR|Ar-X|H-SR|R-OR,Any-OR|Ar-OR|Ar-SAr|Ar-SR|R-OR,79.0,COc1ccccc1Br.COc1ccc(S)cc1>>COc1ccc(Sc2ccccc2OC)cc1,12501-23-4,,,MeOH,,,,-0.8692148711713987
Ar-Br|H-SR -> Ar-SAr || Any-COR|Ar-COR|R-COR|R-H-acidic,False,"R-H-acidic,Ar-Br,Ar-X,Ar-COR,Any-COR,R-COR",H-SR,"R-H-acidic,Ar-COR,Any-COR,R-COR,Ar-SAr,Ar-SR",Any-COR|Ar-Br|Ar-COR|Ar-X|H-SR|R-COR|R-H-acidic,Any-COR|Ar-COR|Ar-SAr|Ar-SR|R-COR|R-H-acidic,91.0,CC(=O)c1ccc(Br)cc1.Sc1ccccc1.[In]>>CC(=O)c1ccc(Sc2ccccc2)cc1,Pd(OAc)2,215182-57-3,DIPEA / NaHCO3,DMF / water,,,,0.4831252373188025
Ar-I|H-SR -> Ar-SAr || Ar-R|H-OR,False,"H-OR,H-SR","Ar-R,Ar-I,Ar-X","Ar-R,Ar-SAr,Ar-SR,H-OR",Ar-I|Ar-R|Ar-X|H-OR|H-SR,Ar-R|Ar-SAr|Ar-SR|H-OR,90.0,Oc1ccc(S)cc1.Cc1cc(C)cc(I)c1>>Cc1cc(C)cc(Sc2ccc(O)cc2)c1,CuI,,K2CO3,iPrOH,,,,0.10370427272733804
Ar-I|H-SR -> Ar-SAr || Any-OR|Ar-OR|H-OR|R-OR,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-I,Ar-X,H-OR","Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,H-OR",Any-OR|Ar-I|Ar-OR|Ar-X|H-OR|H-SR|R-OR,Any-OR|Ar-OR|Ar-SAr|Ar-SR|H-OR|R-OR,93.0,COc1ccc(S)cc1.OCc1ccccc1I>>COc1ccc(Sc2ccccc2CO)cc1,CuI,1792-81-0,K3PO4,DMF,,,,0.4086706892219249
Ar-I|H-SR -> Ar-SR || Any-OR|Ar-OR|R-OR,False,H-SR,"Ar-I,Ar-X,Ar-OR,Any-OR,R-OR","Ar-SR,Any-SR,R-SR,RCH2-SR,Ar-OR,Any-OR,R-OR",Any-OR|Ar-I|Ar-OR|Ar-X|H-SR|R-OR,Any-OR|Any-SR|Ar-OR|Ar-SR|R-OR|R-SR|RCH2-SR,96.0,CCCCCCCCS.COc1ccccc1I>>CCCCCCCCSc1ccccc1OC,Pd(OAc)2,950982-61-3,NaOtBu,DME,,,,0.8054191546317501
Ar-I|H-SR -> Ar-SAr || Any-OR|Ar-Ar|Ar-OR|Pyridine|R-OR,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-Ar,Ar-I,Ar-X,Pyridine","Ar-Ar,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,Pyridine",Any-OR|Ar-Ar|Ar-I|Ar-OR|Ar-X|H-SR|Pyridine|R-OR,Any-OR|Ar-Ar|Ar-OR|Ar-SAr|Ar-SR|Pyridine|R-OR,74.0,COc1cccc(S)c1.Ic1ccc2nc(-c3ccccc3)cn2c1>>COc1cccc(Sc2ccc3nc(-c4ccccc4)cn3c2)c1,CuO,13478-10-9,Cs2CO3,DMF,,,,-0.7071067811865475
Ar-Br|H-SR -> Ar-SAr || Ar-R,False,H-SR,"Ar-R,Ar-Br,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-Br|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,85.0,Sc1ccc2ccccc2c1.Cc1ccc(Br)cc1>>Cc1ccc(Sc2ccc3ccccc3c2)cc1,CuBr,L-Proline,K2CO3,N/A / 174501-65-6,,,,-0.10363945970535984
Ar-I|H-SR -> Ar-SR || Any-OR|Ar-OR|R-OR,False,H-SR,"Ar-I,Ar-X,Ar-OR,Any-OR,R-OR","Ar-SR,Any-SR,R-SR,RCH2-SR,Ar-OR,Any-OR,R-OR",Any-OR|Ar-I|Ar-OR|Ar-X|H-SR|R-OR,Any-OR|Any-SR|Ar-OR|Ar-SR|R-OR|R-SR|RCH2-SR,96.0,CCCCS.COc1ccc(I)cc1>>CCCCSc1ccc(OC)cc1,CuI,Dabco,K2CO3,DME,,,,0.8054191546317501
Ar-Br|H-SR -> Ar-SAr || Ar-R,False,H-SR,"Ar-R,Ar-Br,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-Br|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,70.0,Sc1ccccc1.Cc1cccc(C)c1Br>>Cc1cccc(C)c1Sc1ccccc1,1427286-96-1,,KOtBu,PhMe,,,,-1.1351222340241103
Ar-I|H-SR -> Ar-SAr || Ar-R,False,H-SR,"Ar-R,Ar-I,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-I|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,90.0,Sc1ccccc1.Cc1ccc(I)cc1>>Cc1ccc(Sc2ccccc2)cc1,Palladium,,KOH,DMSO,,,,0.11151278408580419
Ar-I|Ar-X -> Ar-SAr || Any-NH2|Ar-Cl|Ar-X|H-NHR,False,"Ar-Cl,Ar-X,H-SR","Ar-I,Ar-X,H-NHR,Any-NH2","Ar-Cl,Ar-X,H-NHR,Any-NH2,Ar-SAr,Ar-SR",Any-NH2|Ar-Cl|Ar-I|Ar-X|H-NHR|H-SR,Any-NH2|Ar-Cl|Ar-SAr|Ar-SR|Ar-X|H-NHR,97.0,Sc1ccc(Cl)cc1.Nc1ccccc1I>>Nc1ccccc1Sc1ccc(Cl)cc1,Cu(0),,K2CO3,DMF,,,,0.46099521210268685
Ar-X|H-SR -> Ar-SR || Any-Amide|Any-X|Ar-Br|Ar-X|H-Amide|R-F|R-X,False,"H-SR,R-F,Any-X,R-X",,"Ar-Br,Ar-X,Ar-SR,Any-SR,R-SR,H-Amide,Any-Amide,R-F,Any-X,R-X",Any-Amide|Any-X|Ar-Br|Ar-I|Ar-X|H-Amide|H-SR|R-F|R-X,Any-Amide|Any-SR|Any-X|Ar-Br|Ar-SR|Ar-X|H-Amide|R-F|R-SR|R-X,90.0,FC(F)(F)S.[Ag].CCNC(=O)c1cc(Br)ccc1I>>CCNC(=O)c1cc(Br)ccc1SC(F)(F)F,CuBr,phen,,DMF,,,,0.0
Ar-I|H-SR -> Ar-SAr || Any-CO2H|Any-OR|Ar-CO2H|Ar-OR|Ar-R|R-OR,False,"Ar-R,Ar-I,Ar-X,Ar-CO2H,Any-CO2H","Ar-OR,Any-OR,R-OR,H-SR","Ar-R,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,Ar-CO2H,Any-CO2H",Any-CO2H|Any-OR|Ar-CO2H|Ar-I|Ar-OR|Ar-R|Ar-X|H-SR|R-OR,Any-CO2H|Any-OR|Ar-CO2H|Ar-OR|Ar-R|Ar-SAr|Ar-SR|R-OR,100.0,Cc1ccc(C(=O)O)cc1I.COc1ccc(S)cc1>>COc1ccc(Sc2cc(C(=O)O)ccc2C)cc1,DMAP,15555-11-0,,DMF / DCM / EtOH / THF,TFA,DIC,,0.0
Ar-Br|H-SR -> Ar-SR || Ar-R,False,"Ar-R,Ar-Br,Ar-X",H-SR,"Ar-R,Ar-SR,Any-SR,R-SR,RCH2-SR",Ar-Br|Ar-R|Ar-X|H-SR,Any-SR|Ar-R|Ar-SR|R-SR|RCH2-SR,78.0,Cc1ccc(Br)cc1.CCCCCCS>>CCCCCCSc1ccc(C)cc1,Ni(cod)2,19673-86-0,KOtBu,DMF,,,,-1.7185296077796786
Ar-Br|H-SR -> Ar-SAr || Any-NO2|Any-OR|Ar-NO2|Ar-OR|R-OR,False,"Ar-Br,Ar-X,Ar-NO2,Any-NO2","Ar-OR,Any-OR,R-OR,H-SR","Ar-NO2,Any-NO2,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-NO2|Any-OR|Ar-Br|Ar-NO2|Ar-OR|Ar-X|H-SR|R-OR,Any-NO2|Any-OR|Ar-NO2|Ar-OR|Ar-SAr|Ar-SR|R-OR,97.0,O=[N+]([O-])c1ccc(Br)cc1.COc1ccc(S)cc1>>COc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,7758-89-6,1,,water,,,,1.8046434180328152
Ar-Br|H-SR -> Ar-SAr || Ar-R,False,H-SR,"Ar-R,Ar-Br,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-Br|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,89.0,Sc1ccccc1.Cc1cccc(C)c1Br>>Cc1cccc(C)c1Sc1ccccc1,1427286-97-2,,KOtBu,PhMe,,,,0.1714226134463069
Ar-Br|H-SR -> Ar-SAr || Any-COR|Ar-COR|R-COR|R-H-acidic,False,"R-H-acidic,Ar-Br,Ar-X,Ar-COR,Any-COR,R-COR",H-SR,"R-H-acidic,Ar-COR,Any-COR,R-COR,Ar-SAr,Ar-SR,Any-SR",Any-COR|Ar-Br|Ar-COR|Ar-X|H-SR|R-COR|R-H-acidic,Any-COR|Any-SR|Ar-COR|Ar-SAr|Ar-SR|R-COR|R-H-acidic,8.0,CC(=O)c1ccc(Br)cc1.Sc1ccccc1>>c1ccc(SSc2ccccc2)cc1.CC(=O)c1ccc(Sc2ccccc2)cc1,Pd(OAc)2,,,water,TBAB,,,-4.50531620829831
Ar-Br|H-SR -> Ar-SR || Any-OR|Ar-Br|Ar-OR|Ar-X|Bn-OR|R-OR,False,H-SR,"Ar-Br,Ar-X,Ar-OR,Any-OR,R-OR,Bn-OR","Ar-Br,Ar-X,Ar-SR,Any-SR,R-SR,R3C-SR,Ar-OR,Any-OR,R-OR,Bn-OR",Any-OR|Ar-Br|Ar-OR|Ar-X|Bn-OR|H-SR|R-OR,Any-OR|Any-SR|Ar-Br|Ar-OR|Ar-SR|Ar-X|Bn-OR|R-OR|R-SR|R3C-SR,70.0,CC(C)(C)S.COc1ccc(COc2cc(Br)cc(Br)c2)cc1>>COc1ccc(COc2cc(Br)cc(SC(C)(C)C)c2)cc1,Pd(OAc)2,XantPhos,Na2CO3,"1,4-Dioxane",,,,0.0
Ar-Cl|H-SR -> Ar-SAr || Any-OR|Ar-OR|Ar-R|R-OR,False,"Ar-R,Ar-Cl,Ar-X","Ar-OR,Any-OR,R-OR,H-SR","Ar-R,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-OR|Ar-Cl|Ar-OR|Ar-R|Ar-X|H-SR|R-OR,Any-OR|Ar-OR|Ar-R|Ar-SAr|Ar-SR|R-OR,98.0,Cc1cccc(C)c1Cl.COc1ccc(S)cc1>>COc1ccc(Sc2c(C)cccc2C)cc1,1801159-60-3,,KOtBu / NaOH,PhMe / water,,,,0.9471291218536
Ar-I|H-SR -> Ar-SAr || Ar-I|Ar-X,False,H-SR,"Ar-I,Ar-X","Ar-I,Ar-X,Ar-SAr,Ar-SR",Ar-I|Ar-X|H-SR,Ar-I|Ar-SAr|Ar-SR|Ar-X,91.0,Sc1ccccc1.Ic1ccc(I)cc1>>Ic1ccc(Sc2ccccc2)cc1,Cu(0),78-10-4,KOH,DMSO,,,,1.4676300444914696
Ar-I|Ar-X|RCH2-NR2 -> Ar-SAr || Any-OR|Ar-Cl|Ar-OR|Ar-X|R-OR,False,"Ar-I,Ar-X,Ar-OR,Any-OR,R-OR","RCH2-NR2,Any-NR2,R-NR2","Ar-Cl,Ar-X,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,Thiazole",Any-NHR|Any-NR2|Any-OR|Ar-Cl|Ar-I|Ar-OR|Ar-X|H-NR2|H-SR|R-NR2|R-OR|RCH2-NR2,Any-OR|Ar-Cl|Ar-OR|Ar-SAr|Ar-SR|Ar-X|R-OR|Thiazole,72.0,COc1ccc(I)cc1.CCN(CC)CC.S=C(S)Nc1ccc(Cl)cc1I>>COc1ccc(Sc2nc3ccc(Cl)cc3s2)cc1,CuI,1,K2CO3,DMSO,,,,0.0
Ar-Br|H-SR -> Ar-SAr || Any-CHO|Ar-CHO,False,H-SR,"Ar-Br,Ar-X,Ar-CHO,Any-CHO","Ar-CHO,Any-CHO,Ar-SAr,Ar-SR",Any-CHO|Ar-Br|Ar-CHO|Ar-X|H-SR,Any-CHO|Ar-CHO|Ar-SAr|Ar-SR,88.0,Sc1ccccc1.O=Cc1cccc(Br)c1>>O=Cc1cccc(Sc2ccccc2)c1,32503-27-8,,KOtBu,,,,,0.46887879909873814
Ar-I|H-SR -> H-AromN || Ar-CF3,False,"H-SR,RCH2-OR,Any-OR,R-OR",,"Ar-CF3,H-AromN,AromN-H,Thiazole",Any-NH2|Any-OR|Ar-CF3|Ar-I|Ar-X|H-NHR|H-SR|R-OR|RCH2-OR,Ar-CF3|AromN-H|H-AromN|Thiazole,88.0,CCOC(=S)S.[K].Nc1ccc(C(F)(F)F)cc1I>>FC(F)(F)c1ccc2[nH]c(=S)sc2c1,7758-89-6,,,DMF / water,,,,0.7071067811865476
Ar-F|Ar-X -> Ar-SAr || Any-NO2|Ar-Cl|Ar-NO2|Ar-X,False,"Ar-Cl,Ar-X,H-SR","Ar-F,Ar-X,Ar-NO2,Any-NO2","Ar-Cl,Ar-X,Ar-NO2,Any-NO2,Ar-SAr,Ar-SR",Any-NO2|Ar-Cl|Ar-F|Ar-NO2|Ar-X|H-SR,Any-NO2|Ar-Cl|Ar-NO2|Ar-SAr|Ar-SR|Ar-X,89.0,Sc1ccc(Cl)cc1.O=[N+]([O-])c1ccccc1F>>O=[N+]([O-])c1ccccc1Sc1ccc(Cl)cc1,1344-28-1,Potassium Fluoride,,,,,,0.2349781349963872
Ar-Br|H-SR -> Ar-SR || Ar-R,False,"Ar-R,Ar-Br,Ar-X",H-SR,"Ar-R,Ar-SR,Any-SR,R-SR,RCH2-SR",Ar-Br|Ar-R|Ar-X|H-SR,Any-SR|Ar-R|Ar-SR|R-SR|RCH2-SR,95.0,Cc1ccc(Br)cc1.CCCCCCCCS>>CCCCCCCCSc1ccc(C)cc1,Pd(OAc)2,950982-61-3,,DME,,,,0.46762710415773634
Ar-Cl -> None || Any-NH2|Any-NHR|Any-SCN|H-NHR|H-NR2,False,Any-SCN,,"H-NHR,Any-NH2,H-NR2,Any-NHR,Any-SCN",Any-NH2|Any-NHR|Any-SCN|Ar-Cl|Ar-X|H-NHR|H-NR2,Any-NH2|Any-NHR|Any-SCN|H-NHR|H-NR2,73.0,N#CS.[K].NCCCNc1nc(N)nc(Cl)n1>>N#CSc1nc(N)nc(NCCCN)n1,7440-31-5,,K2CO3,"1,4-Dioxane",,,,0.0
Ar-Br|H-SR -> Ar-SAr || Ar-R,False,"Ar-R,Ar-Br,Ar-X",H-SR,"Ar-R,Ar-SAr,Ar-SR",Ar-Br|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,92.0,Cc1ccc(Br)cc1.Sc1ccccc1>>Cc1ccc(Sc2ccccc2)cc1,Ni(cod)2,948315-42-2,KOtBu,DMF,,,,0.377719168310057
Ar-I|H-SR -> Ar-SR || Any-COR|Ar-COR|R-COR|R-H-acidic,False,H-SR,"R-H-acidic,Ar-I,Ar-X,Ar-COR,Any-COR,R-COR","R-H-acidic,Ar-SR,Any-SR,R-SR,RCH2-SR,Ar-COR,Any-COR,R-COR",Any-COR|Ar-COR|Ar-I|Ar-X|H-SR|R-COR|R-H-acidic,Any-COR|Any-SR|Ar-COR|Ar-SR|R-COR|R-H-acidic|R-SR|RCH2-SR,90.0,CCCCCCCCS.CC(=O)c1ccc(I)cc1>>CCCCCCCCSc1ccc(C(C)=O)cc1,CuI,Sarcosine,KOH,"1,4-Dioxane",,,,0.17423978475674842
Ar-I|H-SR -> Ar-SAr || None,False,"Ar-I,Ar-X",H-SR,"Ar-SAr,Ar-SR",Ar-I|Ar-X|H-SR,Ar-SAr|Ar-SR,93.0,Ic1cccc2ccccc12.Sc1ccccc1>>c1ccc(Sc2cccc3ccccc23)cc1,685109-02-8,,K2CO3,DMF / water,,,,0.30235943849660835
Ar-I|H-SR -> Ar-SAr || Any-NO2|Any-OR|Ar-NO2|Ar-OR|R-OR,False,"Ar-I,Ar-X,Ar-NO2,Any-NO2","Ar-OR,Any-OR,R-OR,H-SR","Ar-NO2,Any-NO2,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-NO2|Any-OR|Ar-I|Ar-NO2|Ar-OR|Ar-X|H-SR|R-OR,Any-NO2|Any-OR|Ar-NO2|Ar-OR|Ar-SAr|Ar-SR|R-OR,93.0,O=[N+]([O-])c1ccc(I)cc1.COc1cc(S)cc(OC)c1>>COc1cc(OC)cc(Sc2ccc([N+](=O)[O-])cc2)c1,CuI,,K2CO3,iPrOH,,,,0.3779130062277175
Ar-Cl|H-SR -> Ar-SR || Ar-R|H-OR,False,H-SR,"Ar-R,Ar-Cl,Ar-X,H-OR","Ar-R,Ar-SR,Any-SR,R-SR,R3C-SR,H-OR",Ar-Cl|Ar-R|Ar-X|H-OR|H-SR,Any-SR|Ar-R|Ar-SR|H-OR|R-SR|R3C-SR,93.0,CC(C)(C)S.CC(O)c1ccc(Cl)cc1>>CC(O)c1ccc(SC(C)(C)C)cc1,Pd(OAc)2,158923-11-6,NaOtBu,DME,,,,0.5773502691896268
Ar-Cl|H-SR -> Ar-SAr || Any-CO2H|Any-OR|Ar-CO2H|Ar-OR|R-OR,False,"Ar-Cl,Ar-X,Ar-CO2H,Any-CO2H","Ar-OR,Any-OR,R-OR,H-SR","Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,Ar-CO2H,Any-CO2H",Any-CO2H|Any-OR|Ar-CO2H|Ar-Cl|Ar-OR|Ar-X|H-SR|R-OR,Any-CO2H|Any-OR|Ar-CO2H|Ar-OR|Ar-SAr|Ar-SR|R-OR,76.0,O=C(O)c1ccccc1Cl.COc1ccccc1S>>COc1ccccc1Sc1ccccc1C(=O)O,Cu(0),,K2CO3,DMF,,,,0.6454972243679074
Ar-I|H-SR -> Ar-SAr || Ar-R,False,H-SR,"Ar-R,Ar-I,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-I|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,98.0,Sc1ccccc1.Cc1ccc(I)cc1>>Cc1ccc(Sc2ccccc2)cc1,FeCl3,N,NaOtBu,PhMe,,,,0.8150779785240725
Ar-I|H-SR -> Ar-SAr || Ar-R,False,H-SR,"Ar-R,Ar-I,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-I|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,80.0,Sc1ccccc1.CC(C)c1ccc(I)cc1>>CC(C)c1ccc(Sc2ccccc2)cc1,1312-43-2,,KOH,DMSO,,,,-0.7679437089620311
Ar-Br|H-SR -> Ar-SAr || Any-NO2|Ar-NO2,False,H-SR,"Ar-Br,Ar-X,Ar-NO2,Any-NO2","Ar-NO2,Any-NO2,Ar-SAr,Ar-SR",Any-NO2|Ar-Br|Ar-NO2|Ar-X|H-SR,Any-NO2|Ar-NO2|Ar-SAr|Ar-SR,97.0,Sc1ccccc1.O=[N+]([O-])c1cccc(Br)c1>>O=[N+]([O-])c1cccc(Sc2ccccc2)c1,CuI,L-Proline,K3PO4,EtOH / water,,,,0.792437539767579
Ar-Br|H-SR -> Ar-SAr || Any-CO2H|Ar-CO2H,False,H-SR,"Ar-Br,Ar-X,Ar-CO2H,Any-CO2H","Ar-SAr,Ar-SR,Ar-CO2H,Any-CO2H",Any-CO2H|Ar-Br|Ar-CO2H|Ar-X|H-SR,Any-CO2H|Ar-CO2H|Ar-SAr|Ar-SR,79.0,Sc1ccccc1.O=C(O)c1cccc(Br)c1>>O=C(O)c1cccc(Sc2ccccc2)c1,ZnCl2,Lithiumiodide,NaOtBu,THF,,,,-0.7634243325898756
Ar-Br|H-SR -> Ar-SAr || Ar-R,False,"Ar-R,Ar-Br,Ar-X",H-SR,"Ar-R,Ar-SAr,Ar-SR",Ar-Br|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,99.0,Cc1ccc(Br)cc1.Sc1ccccc1>>Cc1ccc(Sc2ccccc2)cc1,Pd(OAc)2,950982-61-3,NaOtBu,DME,,,,0.8590777963254739
Ar-Br|H-SR -> Ar-SAr || Any-Amide|Ar-CF3|Ar-R|AromN-H|H-Amide|H-AromN|Indole|R-H-acidic,False,"Ar-R,H-SR","R-H-acidic,Ar-R,Ar-Br,Ar-X,Ar-CF3,H-AromN,AromN-H,H-Amide,Any-Amide,Indole","R-H-acidic,Ar-R,Ar-CF3,Ar-SAr,Ar-SR,H-AromN,AromN-H,H-Amide,Any-Amide,Indole",Any-Amide|Ar-Br|Ar-CF3|Ar-R|Ar-X|AromN-H|H-Amide|H-AromN|H-SR|Indole|R-H-acidic,Any-Amide|Ar-CF3|Ar-R|Ar-SAr|Ar-SR|AromN-H|H-Amide|H-AromN|Indole|R-H-acidic,90.0,Cc1ccc(S)cc1.CC(=O)NCCc1c(C(F)(F)F)[nH]c2ccc(Br)cc12>>CC(=O)NCCc1c(C(F)(F)F)[nH]c2ccc(Sc3ccc(C)cc3)cc12,Pd(dba)2,XantPhos,DIPEA,"1,4-Dioxane",,,,0.0
Ar-Br|H-SR -> Ar-SAr || Any-OR|Ar-OR|R-OR,False,"Ar-Br,Ar-X,Ar-OR,Any-OR,R-OR",H-SR,"Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-OR|Ar-Br|Ar-OR|Ar-X|H-SR|R-OR,Any-OR|Ar-OR|Ar-SAr|Ar-SR|R-OR,96.0,COc1ccc(Br)cc1.Sc1ccccc1>>COc1ccc(Sc2ccccc2)cc1,Cu(OTf)2,4488-22-6,Cs2CO3,DMF,,,,1.0258062525427338
Ar-X|H-SR -> Ar-SAr || Ar-Cl|Ar-X,False,H-SR,"Ar-Cl,Ar-X,Ar-I","Ar-Cl,Ar-X,Ar-SAr,Ar-SR",Ar-Cl|Ar-I|Ar-X|H-SR,Ar-Cl|Ar-SAr|Ar-SR|Ar-X,93.0,Sc1ccccc1.Clc1ccc(I)cc1>>Clc1ccc(Sc2ccccc2)cc1,1392097-27-6,,"2-Propanol,2-methyl-,lithiumsalt(1:1)","1,4-Dioxane",,,,0.7105011510875149
Ar-Br|H-SR -> Ar-SR || Thiophene,False,H-SR,"Ar-Br,Ar-X,Thiophene","Ar-SR,Any-SR,R-SR,RCH2-SR,Thiophene",Ar-Br|Ar-X|H-SR|Thiophene,Any-SR|Ar-SR|R-SR|RCH2-SR|Thiophene,92.0,CCCCCCCCCCCCS.Brc1cccs1>>CCCCCCCCCCCCSc1cccs1,Pd2(dba)3,DPPF,,PhMe,,,,-0.9704949588309457
Ar-I|H-SR -> Ar-SAr || Any-OR|Ar-OR|R-OR,False,H-SR,"Ar-I,Ar-X,Ar-OR,Any-OR,R-OR","Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-OR|Ar-I|Ar-OR|Ar-X|H-SR|R-OR,Any-OR|Ar-OR|Ar-SAr|Ar-SR|R-OR,95.0,Sc1ccccc1.COc1ccc(I)cc1>>COc1ccc(Sc2ccccc2)cc1,NiOAc2,IPrCl,KOtBu,DMF,,,,0.6026567028928508
Ar-I|H-SR -> Ar-SAr || Ar-R,False,"Ar-R,Ar-I,Ar-X",H-SR,"Ar-R,Ar-SAr,Ar-SR",Ar-I|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,95.0,Cc1ccc(I)cc1.Sc1ccccc1.[Na]>>Cc1ccc(Sc2ccccc2)cc1,1860873-52-4,,,PhMe,,,,0.5512410306097218
Ar-Br|H-SR -> Ar-SAr || Any-CHO|Ar-CHO|Ar-R,False,"Ar-R,H-SR","Ar-Br,Ar-X,Ar-CHO,Any-CHO","Ar-R,Ar-CHO,Any-CHO,Ar-SAr,Ar-SR",Any-CHO|Ar-Br|Ar-CHO|Ar-R|Ar-X|H-SR,Any-CHO|Ar-CHO|Ar-R|Ar-SAr|Ar-SR,93.0,Cc1ccc(S)cc1.O=Cc1ccc(Br)cc1>>Cc1ccc(Sc2ccc(C=O)cc2)cc1,Palladium,1477484-20-0,K2CO3,DMF,,,,0.4711220983641927
Ar-Cl|H-SR -> Ar-SAr || Ar-R,False,"Ar-R,H-SR","Ar-R,Ar-Cl,Ar-X","Ar-R,Ar-SAr,Ar-SR",Ar-Cl|Ar-R|Ar-X|H-SR,Ar-R|Ar-SAr|Ar-SR,93.0,Cc1ccc(S)cc1.Cc1cccc(Cl)c1>>Cc1ccc(Sc2cccc(C)c2)cc1,Pd(dba)2,158923-11-6,LiHMDS,PhMe,,,,0.43311814171596624
Ar-Cl|H-SR -> Ar-SAr || Any-NO2|Any-OR|Ar-NO2|Ar-OR|R-OR,False,"Ar-Cl,Ar-X,Ar-NO2,Any-NO2","Ar-OR,Any-OR,R-OR,H-SR","Ar-NO2,Any-NO2,Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR",Any-NO2|Any-OR|Ar-Cl|Ar-NO2|Ar-OR|Ar-X|H-SR|R-OR,Any-NO2|Any-OR|Ar-NO2|Ar-OR|Ar-SAr|Ar-SR|R-OR,77.0,O=[N+]([O-])c1ccc(Cl)cc1.COc1ccc(S)cc1>>COc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,7758-89-6,,,water,,,,-0.9481224447363147
Ar-I|H-SR -> Ar-SAr || Ar-R|H-OR,False,"Ar-R,Ar-I,Ar-X","H-OR,H-SR","Ar-R,Ar-SAr,Ar-SR,H-OR",Ar-I|Ar-R|Ar-X|H-OR|H-SR,Ar-R|Ar-SAr|Ar-SR|H-OR,99.0,Cc1ccc(I)cc1.Oc1ccc(S)cc1>>Cc1ccc(Sc2ccc(O)cc2)cc1,34775-39-8,,Py,MeCN,Zn,,,1.570378987013967
