Reaction_Key,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Product_Type,All_Reactant_Motifs,All_Product_Motifs,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-F|Ar-X|R-F|R-X,False,"Ar-Br,Ar-X,Ar-F,H-OR","H-SR,R-F,Any-X,R-X","Ar-F,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-F|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-F|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,75.0,Oc1c(F)cc(F)cc1Br.FC(F)(F)S.[Cs]>>Fc1cc(F)c2c(c1)SC(F)(F)O2,CuI,phen,,MeCN,CsF,,,-0.9271726499455286
Ar-X|H-SR -> Ar-SR || Any-X|Ar-Cl|Ar-X|R-F|R-X,False,"Ar-Cl,Ar-X,Ar-Br,H-OR","H-SR,R-F,Any-X,R-X","Ar-Cl,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-Cl|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-Cl|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,71.0,Oc1ccc(Cl)cc1Br.FC(F)(F)S.[Cs]>>FC1(F)Oc2ccc(Cl)cc2S1,CuI,phen,,MeCN,CsF,,,-1.104268664184772
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-Br|Ar-X|R-F|R-X,False,"Ar-Br,Ar-X,H-OR","H-SR,R-F,Any-X,R-X","Ar-Br,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-Br|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,94.0,Oc1c(Br)cccc1Br.FC(F)(F)S.[Cs]>>FC1(F)Oc2c(Br)cccc2S1,1111-67-7,phen,,DMF,CsF,,,0.36854868854485984
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-Br|Ar-X|R-F|R-X,False,"Ar-Br,Ar-X,H-OR","H-SR,R-F,Any-X,R-X","Ar-Br,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-Br|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,99.0,Oc1ccc(Br)cc1Br.FC(F)(F)S.[Cs]>>FC1(F)Oc2ccc(Br)cc2S1,CuI,phen,,MeCN,CsF,,,0.7634222834143521
Ar-Br|H-SR -> Ar-SR || Any-X|Ar-Br|Ar-X|R-F|R-X,False,"Ar-Br,Ar-X,H-OR","H-SR,R-F,Any-X,R-X","Ar-Br,Ar-X,Ar-SR,Any-SR,R-SR,Ar-OR,Any-OR,R-OR,R-F,Any-X,R-X",Any-X|Ar-Br|Ar-X|H-OR|H-SR|R-F|R-X,Any-OR|Any-SR|Any-X|Ar-Br|Ar-OR|Ar-SR|Ar-X|R-F|R-OR|R-SR|R-X,75.0,Oc1ccc(Br)cc1Br.FC(F)(F)S.[Ag]>>FC1(F)Oc2ccc(Br)cc2S1,CuI,phen,,MeCN,CsF,,,-1.1319709719592108
Ar-Br|Ar-OR -> Ar-NO2 || None,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-Br,Ar-X,Ar-OR,Any-OR,R-OR","Ar-NO2,Any-NO2,H-NHR,Any-NH2,Ar-SAr,Ar-SR",Any-OR|Ar-Br|Ar-OR|Ar-X|H-SR|R-OR,Any-NH2|Any-NO2|Ar-NO2|Ar-SAr|Ar-SR|H-NHR,2.0,COc1ccc(S)cc1.COc1ccc(Br)cc1>>Nc1ccc(Sc2ccc([N+](=O)[O-])cc2)cc1,7447-39-4,1264000-32-9,NaOtBu,Mes,,,,0.0
Ar-X|H-SR -> Ar-SR || Any-OR|Ar-Br|Ar-OR|Ar-X|H-OR|R-OR,False,"H-OR,H-SR","Ar-Br,Ar-X,Ar-I,Ar-OR,Any-OR,R-OR","Ar-Br,Ar-X,Ar-SR,Any-SR,R-SR,RCH2-SR,Ar-OR,Any-OR,R-OR,H-OR",Any-OR|Ar-Br|Ar-I|Ar-OR|Ar-X|H-OR|H-SR|R-OR,Any-OR|Any-SR|Ar-Br|Ar-OR|Ar-SR|Ar-X|H-OR|R-OR|R-SR|RCH2-SR,87.0,OCCS.COc1ccc(Br)cc1I>>COc1cc(Br)ccc1SCCO,CuI,115-41-3,K2CO3,DMF,,,,0.0
Ar-I|H-SR|R-I -> Ar-SAr || Any-OR|Ar-OR|R-OR,False,"Ar-OR,Any-OR,R-OR,H-SR","Ar-I,Ar-X,Ar-OR,Any-OR,R-OR,Ar-CO2H,Any-CO2H","Ar-SAr,Ar-SR,Ar-OR,Any-OR,R-OR,Ar-CO2R,Any-CO2R",Any-CO2H|Any-OR|Any-X|Ar-CO2H|Ar-I|Ar-OR|Ar-X|H-SR|R-I|R-OR|R-X,Any-CO2R|Any-OR|Ar-CO2R|Ar-OR|Ar-SAr|Ar-SR|R-OR,72.0,COc1ccccc1S.COc1cccc(C(=O)O)c1I.CI>>COC(=O)c1cccc(OC)c1Sc1ccccc1OC,Cu(0),,K2CO3,DMF,,,,0.0
Ar-Cl|H-SR -> R-H-acidic || Alkenyl-COR|Any-Amide|Any-CO2H|Ar-R|H-Amide|H-OR|R-CO2H|R-H-acidic|R2CH-CO2H,False,"R-H-acidic,H-SR,H-Amide,Any-Amide,R2CH-CO2H,Any-CO2H,R-CO2H","Ar-R,Ar-Cl,Ar-X,Alkenyl-Cl,Any-C=C,Alkenyl-COR,H-OR","R-H-acidic,Ar-R,Ar-SR,Any-SR,R-SR,RCH2-SR,Alkenyl-COR,H-OR,H-Amide,Any-Amide,R2CH-CO2H,Any-CO2H,R-CO2H,Alkenyl-SR",Alkenyl-COR|Alkenyl-Cl|Any-Amide|Any-C=C|Any-CO2H|Ar-Cl|Ar-R|Ar-X|H-Amide|H-OR|H-SR|R-CO2H|R-H-acidic|R2CH-CO2H,Alkenyl-COR|Alkenyl-SR|Any-Amide|Any-CO2H|Any-SR|Ar-R|Ar-SR|H-Amide|H-OR|R-CO2H|R-H-acidic|R-SR|R2CH-CO2H|RCH2-SR,88.0,CC(=O)N[C@@H](CS)C(=O)O.Cc1c(O)c2c(c(O)c1Cl)C(=O)C(Cl)=C(Cl)C2=O>>CC(=O)N[C@@H](CSC1=C(SC[C@H](NC(C)=O)C(=O)O)C(=O)c2c(O)c(SC[C@H](NC(C)=O)C(=O)O)c(C)c(O)c2C1=O)C(=O)O,K2CO3,,,MeCN / water,,,,0.0
Ar-I|H-SR -> Ar-F || Ar-R|Ar-X,False,"Ar-R,Ar-I,Ar-X","H-SR,Bn-F","Ar-R,Ar-F,Ar-X,Bn-SR",Ar-I|Ar-R|Ar-X|Bn-F|H-SR,Ar-F|Ar-R|Ar-X|Bn-SR,92.0,Cc1ccc(I)cc1.FCc1ccc(CS)cc1>>Cc1ccc(SCc2ccc(F)cc2)cc1,NiCl2(dme),870987-63-6,Py,MeCN,,,,0.0
