Reaction_Type_Standardized,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Cl|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,RCH2-NHR","Ar-R,Ar-Cl,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-Cl,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3|Ar-R,RCH2-NHR",72.0,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccc(Cl)cc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccc(Cl)cc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.0
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3|Ar-R,RCH2-NHR",87.0,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,0.21183801892103238
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Ar-Lactam|Ar-NHR|Ar-R|R-CONHR|R-H-acidic|RCH2-Ester,"Ar-R,RCH2-NHR","R-H-acidic,Ar-R,Ar-NHR,Ar-Lactam,RCH2-Ester,R3C-Br,R-CONHR","Ar-R,RCH2-NHR|R-H-acidic,Ar-R,Ar-NHR,Ar-Lactam,RCH2-Ester,R3C-Br,R-CONHR",82.0,c1ccc2c(c1)CCN2.COC(=O)CC1(Br)C(=O)Nc2ccccc21>>COC(=O)C[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,-0.7071067811865475
R3C-Br|RCH2-NHR -> R3C-NR2|RCH2-NR2 || Any-N3|Ar-Cl|Ar-Lactam|Ar-NHR|Ar-R|R-CONHR,"Ar-R,Ar-Cl,RCH2-NHR","Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3","Ar-R,Ar-Cl,RCH2-NHR|Ar-R,Ar-NHR,Ar-Lactam,R3C-Br,R-CONHR,Any-N3",76.0,Clc1cccc2c1CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3c(Cl)cccc32)C(=O)Nc2ccccc21,NiOAc2,229184-98-9,Dabco / K3PO4,MTBE,,,,-1.0
Ar-Cl|RCH2-NHR -> R3C-NH2|RCH2-NR2 || Ar-F|Ar-NHR|Ar-R|R-CONHR|R-H-acidic|R3C-F,RCH2-NHR,"R-H-acidic,Ar-R,Ar-Cl,Ar-F,Ar-NHR,R3C-F,R-CONHR","R-H-acidic,Ar-R,Ar-Cl,Ar-F,Ar-NHR,R3C-F,R-CONHR|RCH2-NHR",68.0,C1CCNC1.O=C(Cc1c(C(F)(F)F)nc2ccc(Cl)nn12)Nc1cccc(F)c1>>NC(F)(F)c1nc2ccc(N3CCCC3)nn2c1CC(=O)Nc1cccc(F)c1,Cu(OAc)2,N,K3PO4,DMF,,,,0.8006407690254352
Any-Ester|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-Alkynyl|Ar-F,RCH2-NHR,"Ar-Alkynyl,Ar-F,Any-Ester","Ar-Alkynyl,Ar-F,Any-Ester|RCH2-NHR",83.0,CNc1ccccc1.COC(=O)OC(C)C#Cc1cccc(F)c1>>C[C@H](C#Cc1cccc(F)c1)N(C)c1ccccc1,Ni(cod)2,244261-66-3,,t-AmylOH,,,,0.8907986681660889
Any-Ester|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-Alkynyl|Ar-F,RCH2-NHR,"Ar-Alkynyl,Ar-F,Any-Ester","Ar-Alkynyl,Ar-F,Any-Ester|RCH2-NHR",52.0,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccccc1F>>C[C@H](C#Cc1ccccc1F)N(C)c1ccccc1,Ni(cod)2,244261-66-3,,t-AmylOH,,,,-1.0816840970588222
Any-Ester|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-Alkynyl|Ar-Br,RCH2-NHR,"Ar-Alkynyl,Ar-Br,Any-Ester","Ar-Alkynyl,Ar-Br,Any-Ester|RCH2-NHR",90.0,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccc(Br)cc1>>C[C@H](C#Cc1ccc(Br)cc1)N(C)c1ccccc1,Ni(cod)2,244261-66-3,,t-AmylOH,,,,0.0
Any-Ester|RCH2-NHR -> R2CH-NR2|RCH2-NR2 || Ar-Alkynyl|Ar-F,RCH2-NHR,"Ar-Alkynyl,Ar-F,Any-Ester","Ar-Alkynyl,Ar-F,Any-Ester|RCH2-NHR",72.0,CNc1ccccc1.COC(=O)OC(C)C#Cc1ccc(F)cc1>>C[C@H](C#Cc1ccc(F)cc1)N(C)c1ccccc1,Ni(cod)2,244261-66-3,,t-AmylOH,,,,0.19088542889273333
Ar-Hydrazine|Ar-NHR|Bn-Br -> Bn-NR2 || Any-NH2|Ar-Br,"Ar-NHR,Ar-Hydrazine,Any-NH2","Ar-Br,Bn-Br","Ar-Br,Bn-Br|Ar-NHR,Ar-Hydrazine,Any-NH2",9.0,NNc1ccccc1.BrCc1ccccc1Br>>c1ccc(-n2cc3ccccc3n2)cc1.NN(Cc1ccccc1Br)c1ccccc1,CuI,,Cs2CO3,water,,,,-1.7605642023632933
