Reaction_Type_Standardized,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2",83.0,CCc1cccc(CC)c1N.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>CCc1cccc(CC)c1Nc1cccc(C)c1-c1c(C)cccc1I,7758-89-6,1820961-26-9,Lithium carbonate,DCM,,,,-0.18421673525198246
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2",86.0,CCc1cccc(C)c1N.CC1=C2[I+]C3=CC=CC(C)=C3C2=C(C)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>CCc1cccc(C)c1Nc1cccc(C)c1-c1c(C)ccc(C)c1I,7758-89-6,1820961-26-9,Lithium carbonate,DCM,,,,0.31819254270797226
Ar-Br|Ar-NHR -> Ar-NR2 || Any-CO-R|Ar-Alkenyl|Ar-Ar|Ar-R,"Ar-R,Ar-NHR","Ar-Ar,Ar-Alkenyl,Ar-R,Ar-Br,Any-CO-R","Ar-Ar,Ar-Alkenyl,Ar-R,Ar-Br,Any-CO-R|Ar-R,Ar-NHR",85.0,CC1(C)c2ccccc2Nc2ccccc21.O=C1C=Cc2ccc(Br)cc2C12c1ccccc1-c1ccccc12>>CC1(C)c2ccccc2N(c2ccc3c(c2)C2(C(=O)C=C3)c3ccccc3-c3ccccc32)c2ccccc21,Pd2(dba)3,Tri-tert-butylphosphine tetrafluoroborate,NaOtBu,PhMe,,,,-0.7071067811865475
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2",76.0,Cc1cc(C)c(N)c(C)c1.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cc(C)c(Nc2cccc(C)c2-c2c(C)cccc2I)c(C)c1,7758-89-6,1820961-26-9,Lithium carbonate,DCM,,,,-1.3565050504918768
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2",82.0,Cc1cccc(C)c1N.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cccc(C)c1Nc1cccc(C)c1-c1c(C)cccc1I,7758-89-6,2128686-73-5,Cs2CO3,DCM,,,,-0.3516864945719674
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-Ester|Ar-I|Ar-R,"Ar-R,Ar-NH2,Ar-Ester","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2,Ar-Ester",88.0,COC(=O)c1csc(C)c1N.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>COC(=O)c1csc(C)c1Nc1cccc(C)c1-c1c(C)cccc1I,7758-89-6,1820961-26-9,Lithium carbonate,DCM,,,,-0.7071067811865476
Ar-OTf|RCH2-NHR -> None || Ar-Ester|Ar-OR|Ar-R|RCH2-NR2,"RCH2-NR2,RCH2-NHR","Ar-R,Ar-OTf,Ar-OR,Ar-Ester","Ar-R,Ar-OTf,Ar-OR,Ar-Ester|RCH2-NR2,RCH2-NHR",78.0,c1cncc(N2CCNCC2)c1.O=C1OC2(c3ccc(OS(=O)(=O)C(F)(F)F)cc3Oc3cc(OS(=O)(=O)C(F)(F)F)ccc32)c2ccccc21>>O=C1OC2(c3ccc(N4CCN(c5cccnc5)CC4)cc3Oc3cc(N4CCN(c5cccnc5)CC4)ccc32)c2ccccc21,Pd2(dba)3,XPhos,Cs2CO3,"1,4-Dioxane",,,,0.0
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-Ester|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I,Ar-Ester","Ar-Ar,Ar-R,Ar-I,Ar-Ester|Ar-R,Ar-NH2",84.0,Cc1cccc(C)c1N.CC1=C2[I+]C3=CC=CC(OC(=O)C4=CC=CC=C4)=C3C2=C(C)C=C1.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1ccc(C)c(-c2c(Nc3c(C)cccc3C)cccc2OC(=O)c2ccccc2)c1I,7758-89-6,1820961-26-9,Lithium carbonate,DCM,,,,0.0
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2",77.0,Cc1cccc(C)c1N.CC1=CC(C)=C2C(=C1C)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cc(C)c(-c2c(C)cccc2Nc2c(C)cccc2C)c(I)c1C,7758-89-6,1820961-26-9,Lithium carbonate,DCM,,,,-1.189035291171892
Ar-OTf|RCH2-NHR -> None || Any-CO-R|RCH2-NR2,"RCH2-NR2,RCH2-NHR","Ar-OTf,Any-CO-R","Ar-OTf,Any-CO-R|RCH2-NR2,RCH2-NHR",82.0,c1cncc(N2CCNCC2)c1.O=C(c1ccc(OS(=O)(=O)C(F)(F)F)cc1)c1ccc(OS(=O)(=O)C(F)(F)F)cc1>>O=C(c1ccc(N2CCN(c3cccnc3)CC2)cc1)c1ccc(N2CCN(c3cccnc3)CC2)cc1,Pd2(dba)3,XPhos,Cs2CO3,"1,4-Dioxane",,,,0.0
Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-I|Ar-R,"Ar-R,Ar-NH2","Ar-Ar,Ar-R,Ar-I","Ar-Ar,Ar-R,Ar-I|Ar-R,Ar-NH2",84.0,Cc1cccc(C)c1N.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cccc(C)c1Nc1cccc(C)c1-c1c(C)cccc1I,7758-89-6,2604449-35-4,Lithium carbonate,DCM,,,,-0.01674697593199754
Ar-I|R2CH-NHR -> R2CH-NR2 || Ar-R|R3C-F,R2CH-NHR,"Ar-R,Ar-I,R3C-F","Ar-R,Ar-I,R3C-F|R2CH-NHR",83.0,CC(C)NC(C)C.FC(F)(F)c1cc(I)cc(C(F)(F)F)c1>>CC(C)N(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)C(C)C,,,n-BuLi,THF / Hex,,,,0.7071067811865476
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-R|RCH2-OR,"Ar-R,Ar-Br","RCH2-NHR,RCH2-OR","Ar-R,Ar-Br|RCH2-NHR,RCH2-OR",78.0,Cc1ccc(Br)cc1.C1COCCN1>>Cc1ccc(N2CCOCC2)cc1,Pd(OAc)2,2599846-83-8,LiHMDS,"1,4-Dioxane",,,,0.09591087986104639
Any-H|Ar-Cl|RCH2-NHR -> RCH2-NR2 || Bn-NH2,RCH2-NHR,Any-H,Any-H|RCH2-NHR,70.0,CNC.Cl.NCc1cc(Cl)ccn1>>CN(C)c1ccnc(CN)c1,,,NaOH,water,,,,-0.5322895198471356
Ar-Cl|RCH2-NHR -> RCH2-NR2 || Ar-R|RCH2-OR,"Ar-R,Ar-Cl","RCH2-NHR,RCH2-OR","Ar-R,Ar-Cl|RCH2-NHR,RCH2-OR",99.0,Cc1ccc(Cl)cc1.C1COCCN1>>Cc1ccc(N2CCOCC2)cc1,Pd(OAc)2,2599846-83-8,KOtBu,"1,4-Dioxane",,,,1.4868233952907028
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl|Ar-R,RCH2-NHR,"Ar-Alkenyl,Ar-R,Ar-Br","Ar-Alkenyl,Ar-R,Ar-Br|RCH2-NHR",70.0,CNC.Cc1cc(=O)cc(/C=C/c2ccc(Br)cc2)o1>>Cc1cc(=O)cc(C=Cc2ccc(N(C)C)cc2)o1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Ar-Br","Ar-Alkenyl,Ar-Br|RCH2-NHR",53.0,C1CCNCC1.O=c1cc(C=Cc2ccc(Br)cc2)oc(C=Cc2ccc(Br)cc2)c1>>O=c1cc(/C=C/c2ccc(N3CCCCC3)cc2)oc(/C=C/c2ccc(N3CCCCC3)cc2)c1,CuI,L-Proline,K2CO3,75-18-3,,,,-1.0
Ar-I|AromN-H -> None || Ar-NH2|Ar-R,"Ar-R,Ar-I,Ar-NH2",AromN-H,"Ar-R,Ar-I,Ar-NH2|AromN-H",61.0,Cc1ccc(N)c(I)c1.c1cn[nH]c1>>Cc1ccc(N)c(-n2cccn2)c1,CuI,,Cs2CO3,DMSO,,,,-0.8633802438737191
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Ar-Br","Ar-Alkenyl,Ar-Br|RCH2-NHR",57.0,C1CCNC1.O=c1cc(C=Cc2ccc(Br)cc2)oc(C=Cc2ccc(Br)cc2)c1>>O=c1cc(/C=C/c2ccc(N3CCCC3)cc2)oc(/C=C/c2ccc(N3CCCC3)cc2)c1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl|Ar-R|RCH2-OR,"RCH2-NHR,RCH2-OR","Ar-Alkenyl,Ar-R,Ar-Br","Ar-Alkenyl,Ar-R,Ar-Br|RCH2-NHR,RCH2-OR",65.0,C1COCCN1.Cc1cc(=O)cc(/C=C/c2ccc(Br)cc2)o1>>Cc1cc(=O)cc(C=Cc2ccc(N3CCOCC3)cc2)o1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-I|AromN-H -> None || Ar-Ar|RCH2-OR,"Ar-Ar,Ar-I,RCH2-OR",AromN-H,"Ar-Ar,Ar-I,RCH2-OR|AromN-H",60.0,COc1ccc(-c2ccccc2)cc1I.c1cn[nH]c1>>COc1ccc(-c2ccccc2)cc1-n1cccn1,CuI,,Cs2CO3,DMSO,,,,-0.7071067811865476
Ar-Br|RCH2-NHR -> RCH2-NR2 || Alkenyl-Alkenyl|Alkenyl-CN|Any-OR|Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR|RCH2-NHR",65.0,C1CCNC1.CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(Br)cc2)O1>>CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N3CCCC3)cc2)O1,CuI,L-Proline,K2CO3,75-18-3,,,,0.8643929322032532
Ar-I|AromN-H -> None || Ar-R|RCH2-OR,"Ar-R,Ar-I,RCH2-OR",AromN-H,"Ar-R,Ar-I,RCH2-OR|AromN-H",57.0,COc1ccc(C)cc1I.c1c[nH]cn1>>COc1ccc(C)cc1-n1ccnc1,CuI,,Cs2CO3,DMSO,,,,-1.6019571018886207
Ar-Br|RCH2-NHR -> None || Alkenyl-Alkenyl|Alkenyl-CN|Any-OR|Ar-Alkenyl|RCH2-NR2,"RCH2-NHR,RCH2-NR2","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR|RCH2-NHR,RCH2-NR2",60.0,CN1CCNCC1.CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(Br)cc2)O1>>CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N3CCN(C)CC3)cc2)O1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-I|AromN-H -> None || Ar-OH|Ar-R,"Ar-R,Ar-I,Ar-OH",AromN-H,"Ar-R,Ar-I,Ar-OH|AromN-H",52.0,Cc1ccc(O)c(I)c1.c1cn[nH]c1>>Cc1ccc(O)c(-n2cccn2)c1,CuI,,Cs2CO3,DMSO,,,,-0.7071067811865475
Ar-Cl -> RCH2-NR2 || Ar-Ar|Ar-Ester|Ar-R|RCH2-NHR,RCH2-NHR,"Ar-Ar,Ar-R,Ar-Cl,Ar-Ester","Ar-Ar,Ar-R,Ar-Cl,Ar-Ester|RCH2-NHR",75.0,C1CNCCN1.CCOC(=O)c1c(C)nc(Cl)nc1-c1ccccc1>>CCOC(=O)c1c(C)nc(N2CCNCC2)nc1-c1ccccc1,,,K2CO3,CHCl3,,,,0.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl|Ar-R,RCH2-NHR,"Ar-Alkenyl,Ar-R,Ar-Br","Ar-Alkenyl,Ar-R,Ar-Br|RCH2-NHR",68.0,C1CCNC1.Cc1cc(=O)cc(/C=C/c2ccc(Br)cc2)o1>>Cc1cc(=O)cc(C=Cc2ccc(N3CCCC3)cc2)o1,CuI,L-Proline,K2CO3,75-18-3,,,,-1.0
Ar-Cl -> RCH2-NR2 || Ar-Ar|Ar-Ester|Ar-R|RCH2-NHR|RCH2-OR,RCH2-NHR,"Ar-Ar,Ar-R,Ar-Cl,Ar-Ester,RCH2-OR","Ar-Ar,Ar-R,Ar-Cl,Ar-Ester,RCH2-OR|RCH2-NHR",75.0,C1CNCCN1.CCOC(=O)c1c(C)nc(Cl)nc1-c1ccc(OC)cc1>>CCOC(=O)c1c(C)nc(N2CCNCC2)nc1-c1ccc(OC)cc1,,,K2CO3,CHCl3,,,,0.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Alkenyl-Alkenyl|Alkenyl-CN|Any-OR|Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR|RCH2-NHR",59.0,C1CCNCC1.CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(Br)cc2)O1>>CC1=CC(=C(C#N)C#N)C=C(/C=C/c2ccc(N3CCCCC3)cc2)O1,CuI,L-Proline,K2CO3,75-18-3,,,,-0.037582301400141446
Ar-Br|RCH2-NHR -> None || Ar-Alkenyl|Ar-R|RCH2-NR2,"RCH2-NHR,RCH2-NR2","Ar-Alkenyl,Ar-R,Ar-Br","Ar-Alkenyl,Ar-R,Ar-Br|RCH2-NHR,RCH2-NR2",70.0,CN1CCNCC1.Cc1cc(=O)cc(/C=C/c2ccc(Br)cc2)o1>>Cc1cc(=O)cc(C=Cc2ccc(N3CCN(C)CC3)cc2)o1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-I|AromN-H -> None || Ar-R|RCH2-OR,"Ar-R,Ar-I,RCH2-OR",AromN-H,"Ar-R,Ar-I,RCH2-OR|AromN-H",64.0,COc1cc(C)c(C)cc1I.c1cn[nH]c1>>COc1cc(C)c(C)cc1-n1cccn1,CuI,,Cs2CO3,DMSO,,,,-0.9264330227789612
Ar-I|AromN-H -> None || Any-CO-R|R-H-acidic|RCH2-OR,"R-H-acidic,Ar-I,Any-CO-R,RCH2-OR",AromN-H,"AromN-H|R-H-acidic,Ar-I,Any-CO-R,RCH2-OR",55.0,COc1cc(OC)c(C(C)=O)cc1I.c1cn[nH]c1>>COc1cc(OC)c(-n2cccn2)cc1C(C)=O,CuI,,Cs2CO3,DMSO,,,,-0.7071067811865476
Ar-Br|Bn-NHR -> Bn-NR2 || Ar-R,"Ar-R,Bn-NHR",Ar-Br,"Ar-Br|Ar-R,Bn-NHR",70.0,c1ccc2c(c1)CCNC2.Brc1ccccc1>>c1ccc(N2CCc3ccccc3C2)cc1,Pd(OAc)2,,Cs2CO3,PhMe,,,,-1.400276227918192
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl|Ar-R,RCH2-NHR,"Ar-Alkenyl,Ar-R,Ar-Br","Ar-Alkenyl,Ar-R,Ar-Br|RCH2-NHR",72.0,C1CCNCC1.Cc1cc(=O)cc(/C=C/c2ccc(Br)cc2)o1>>Cc1cc(=O)cc(C=Cc2ccc(N3CCCCC3)cc2)o1,CuI,L-Proline,K2CO3,75-18-3,,,,1.0
Ar-I|AromN-H -> None || Ar-R|RCH2-OR,"Ar-R,Ar-I,RCH2-OR",AromN-H,"Ar-R,Ar-I,RCH2-OR|AromN-H",67.0,COc1ccc(C)cc1I.c1cn[nH]c1>>COc1ccc(C)cc1-n1cccn1,CuI,,Cs2CO3,DMSO,,,,-0.6369227031605357
Ar-Cl -> RCH2-NR2 || Ar-Ar|Ar-Ester|Ar-R|RCH2-NHR|RCH2-OR,RCH2-NHR,"Ar-Ar,Ar-R,Ar-Cl,Ar-Ester,RCH2-OR","Ar-Ar,Ar-R,Ar-Cl,Ar-Ester,RCH2-OR|RCH2-NHR",75.0,C1CNCCN1.CCOC(=O)c1c(C)nc(Cl)nc1-c1ccc(OC)c(OC)c1>>CCOC(=O)c1c(C)nc(N2CCNCC2)nc1-c1ccc(OC)c(OC)c1,,,K2CO3,CHCl3,,,,0.0
Ar-I|AromN-H -> None || RCH2-OR,"Ar-I,RCH2-OR",AromN-H,"Ar-I,RCH2-OR|AromN-H",65.0,COc1ccc(OC)c(I)c1.c1cn[nH]c1>>COc1ccc(OC)c(-n2cccn2)c1,CuI,,Cs2CO3,DMSO,,,,-1.0618163386663033
Ar-Br|RCH2-NHR -> RCH2-NR2 || Alkenyl-Alkenyl|Alkenyl-CN|Any-OR|Ar-Alkenyl|RCH2-OR,"RCH2-NHR,RCH2-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR|RCH2-NHR,RCH2-OR",56.0,C1COCCN1.CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(Br)cc2)O1>>CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(N3CCOCC3)cc2)O1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Ar-Br","Ar-Alkenyl,Ar-Br|RCH2-NHR",61.0,CNC.O=c1cc(C=Cc2ccc(Br)cc2)oc(C=Cc2ccc(Br)cc2)c1>>CN(C)c1ccc(/C=C/c2cc(=O)cc(/C=C/c3ccc(N(C)C)cc3)o2)cc1,CuI,L-Proline,K2CO3,75-18-3,,,,1.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Alkenyl-Alkenyl|Alkenyl-CN|Any-OR|Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR|RCH2-NHR",50.0,CNC.N#CC(C#N)=C1C=C(C=Cc2ccc(Br)cc2)OC(C=Cc2ccc(Br)cc2)=C1>>CN(C)c1ccc(C=CC2=CC(=C(C#N)C#N)C=C(C=Cc3ccc(N(C)C)cc3)O2)cc1,CuI,L-Proline,K2CO3,75-18-3,,,,-1.3905451518052334
Ar-I|AromN-H -> Ar-H || None,AromN-H,Ar-I,Ar-I|AromN-H,72.0,c1ccc2[nH]cnc2c1.Ic1ccccc1>>c1ccc(-n2cnc3ccccc32)cc1,CuI,L-Proline,K2CO3,DMF,,,,-0.6405925608766565
Ar-Br|RCH2-NHR -> None || Ar-Alkenyl|RCH2-NR2,"RCH2-NHR,RCH2-NR2","Ar-Alkenyl,Ar-Br","Ar-Alkenyl,Ar-Br|RCH2-NHR,RCH2-NR2",55.0,CN1CCNCC1.O=c1cc(C=Cc2ccc(Br)cc2)oc(C=Cc2ccc(Br)cc2)c1>>CN1CCN(c2ccc(/C=C/c3cc(=O)cc(/C=C/c4ccc(N5CCN(C)CC5)cc4)o3)cc2)CC1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-Br|RCH2-NHR -> RCH2-NR2 || Ar-Alkenyl|RCH2-OR,"RCH2-NHR,RCH2-OR","Ar-Alkenyl,Ar-Br","Ar-Alkenyl,Ar-Br|RCH2-NHR,RCH2-OR",58.0,C1COCCN1.O=c1cc(C=Cc2ccc(Br)cc2)oc(C=Cc2ccc(Br)cc2)c1>>O=c1cc(/C=C/c2ccc(N3CCOCC3)cc2)oc(/C=C/c2ccc(N3CCOCC3)cc2)c1,CuI,L-Proline,K2CO3,75-18-3,,,,0.0
Ar-I|AromN-H -> None || Ar-R|R3C-F,AromN-H,"Ar-R,Ar-I,R3C-F","Ar-R,Ar-I,R3C-F|AromN-H",75.0,c1ccc2[nH]cnc2c1.FC(F)(F)c1ccc(I)cc1>>FC(F)(F)c1ccc(-n2cnc3ccccc32)cc1,CuI,L-Proline,K2CO3,DMF,,,,-0.10942828328544461
Ar-Br|RCH2-NHR -> RCH2-NR2 || Alkenyl-Alkenyl|Alkenyl-CN|Any-OR|Ar-Alkenyl,RCH2-NHR,"Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR","Ar-Alkenyl,Alkenyl-Alkenyl,Ar-Br,Alkenyl-CN,Any-OR|RCH2-NHR",63.0,CNC.CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(Br)cc2)O1>>CC1=CC(=C(C#N)C#N)C=C(C=Cc2ccc(N(C)C)cc2)O1,CuI,L-Proline,K2CO3,75-18-3,,,,0.5637345210021216
Ar-Br|Ar-NHR -> Ar-NR2 || RCH2-OR,"Ar-NHR,RCH2-OR",Ar-Br,"Ar-Br|Ar-NHR,RCH2-OR",68.0,COc1ccc(Nc2ccc(OC)cc2)cc1.Brc1ccc2c3cccc4cccc(c5cccc1c52)c43>>COc1ccc(N(c2ccc(OC)cc2)c2ccc3c4cccc5cccc(c6cccc2c63)c54)cc1,Pd2(dba)3,XantPhos,NaOtBu,PhMe / water,,,,-0.20932476972690994
Ar-I|Ar-NH2 -> Ar-NHR || Ar-Br,"Ar-Br,Ar-I","Ar-Br,Ar-NH2","Ar-Br,Ar-I|Ar-Br,Ar-NH2",84.0,Brc1ccccc1I.Nc1ccccc1Br>>Brc1ccccc1Nc1ccccc1Br,Pd2(dba)3,DPPF,NaOtBu,PhMe / water,NH4Cl,,,0.04441155916843212
Ar-Br|Ar-NHR -> Ar-NR2 || Ar-F,"Ar-F,Ar-NHR",Ar-Br,"Ar-Br|Ar-F,Ar-NHR",68.0,Fc1ccc(Nc2ccc(F)cc2)cc1.Brc1ccc2c3cccc4cccc(c5cccc1c52)c43>>Fc1ccc(N(c2ccc(F)cc2)c2ccc3c4cccc5cccc(c6cccc2c63)c54)cc1,Pd2(dba)3,XantPhos,NaOtBu,PhMe / water,,,,0.0
Ar-Br|Ar-NHR -> Ar-NR2 || RCH2-OR,"Ar-Br,RCH2-OR",Ar-NHR,"Ar-Br,RCH2-OR|Ar-NHR",73.0,COc1ccc(Br)cc1.c1ccc2c(c1)Nc1ccccc1N2>>COc1ccc(N2c3ccccc3N(c3ccc(OC)cc3)c3ccccc32)cc1,RuPhos,,NaOtBu,"1,4-Dioxane",,,,-0.24875380004871064
Ar-Br|Ar-NHR -> Ar-NR2 || Ar-CN,Ar-Br,"Ar-CN,Ar-NHR","Ar-Br|Ar-CN,Ar-NHR",64.0,Brc1ccc2c3cccc4cccc(c5cccc1c52)c43.N#Cc1ccc(Nc2ccc(C#N)cc2)cc1>>N#Cc1ccc(N(c2ccc(C#N)cc2)c2ccc3c4cccc5cccc(c6cccc2c63)c54)cc1,Pd2(dba)3,XantPhos,NaOtBu,PhMe / water,,,,0.0
Ar-F|AromN-H -> None || Ar-Br,AromN-H,"Ar-Br,Ar-F","Ar-Br,Ar-F|AromN-H",90.0,c1ccc2c(c1)[nH]c1ccccc12.Fc1ccc(Br)cc1>>Brc1ccc(-n2c3ccccc3c3ccccc32)cc1,,,Cs2CO3,DMF,,,,0.6709686331927035
Ar-Br|Ar-NHR -> Ar-NR2 || None,Ar-NHR,Ar-Br,Ar-Br|Ar-NHR,72.0,c1ccc(Nc2ccccc2)cc1.Brc1ccc2c3cccc4cccc(c5cccc1c52)c43>>c1ccc(N(c2ccccc2)c2ccc3c4cccc5cccc(c6cccc2c63)c54)cc1,Pd2(dba)3,XantPhos,NaOtBu,PhMe / water,,,,-0.25565346821219204
Ar-Br|Ar-NHR -> Ar-NR2 || Ar-R,"Ar-R,Ar-NHR",Ar-Br,"Ar-Br|Ar-R,Ar-NHR",66.0,Cc1ccc(Nc2ccc(C)cc2)cc1.Brc1ccc2c3cccc4cccc(c5cccc1c52)c43>>Cc1ccc(N(c2ccc(C)cc2)c2ccc3c4cccc5cccc(c6cccc2c63)c54)cc1,Pd2(dba)3,XantPhos,NaOtBu,PhMe / water,,,,-1.1574799600120678
Ar-F|AromN-H -> None || Ar-Br|Ar-NO2|Ar-R,"Ar-Br,Ar-F,Ar-NO2","Ar-R,AromN-H","Ar-Br,Ar-F,Ar-NO2|Ar-R,AromN-H",100.0,O=[N+]([O-])c1ccc(Br)cc1F.Cc1c[nH]c(C)c1>>Cc1cc(C)n(-c2cc(Br)ccc2[N+](=O)[O-])c1,,,NaOH,DMSO,,,,0.0
AromN-H -> None || Ar-F|Ar-NO2|Ar-R,"Ar-F,Ar-NO2","Ar-R,AromN-H","Ar-F,Ar-NO2|Ar-R,AromN-H",100.0,O=[N+]([O-])c1ccc(F)cc1F.Cc1c[nH]c(C)c1>>Cc1cc(C)n(-c2cc(F)ccc2[N+](=O)[O-])c1,,,NaOH,DMSO,,,,1.5726944247823809
Ar-F|AromN-H -> None || Ar-NO2|Ar-R|RCH2-NR2,"Ar-R,AromN-H","Ar-F,Ar-NO2,RCH2-NR2","Ar-F,Ar-NO2,RCH2-NR2|Ar-R,AromN-H",100.0,Cc1c[nH]c(C)c1.CN(C)c1ccc(F)c([N+](=O)[O-])c1>>Cc1cc(C)n(-c2ccc(N(C)C)cc2[N+](=O)[O-])c1,,,NaOH,DMSO,,,,0.0
Ar-F|AromN-H -> None || Ar-NO2|Ar-R|RCH2-OR,"Ar-F,Ar-NO2,RCH2-OR","Ar-R,AromN-H","Ar-F,Ar-NO2,RCH2-OR|Ar-R,AromN-H",100.0,COc1ccc([N+](=O)[O-])c(F)c1.CCc1c[nH]cc1CC>>CCc1cn(-c2cc(OC)ccc2[N+](=O)[O-])cc1CC,,,NaOH,DMSO,,,,0.7302967433402214
Ar-F|AromN-H -> None || Ar-NO2|Ar-R|RCH2-OR,"Ar-R,AromN-H","Ar-R,Ar-F,Ar-NO2,RCH2-OR","Ar-R,Ar-F,Ar-NO2,RCH2-OR|Ar-R,AromN-H",100.0,Cc1c[nH]c(C)c1.O=[N+]([O-])c1ccc(OCc2ccccc2)cc1F>>Cc1cc(C)n(-c2cc(OCc3ccccc3)ccc2[N+](=O)[O-])c1,,,NaOH,DMSO,,,,0.7071067811865476
