Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Any-Ester|Ar-Ar|Ar-R|R2CH-CO2H|R2CH-OR|R3C-OR|RCH2-CO2H|RCH2-Ester -> Any-NH2|R-CONH2|R-CONHR|R-CONR2|R-H-acidic|R2CH-NHR|R2CH-NR2|R2CH-OH|RCH2-NHR|RCH2-NR2|RCH2-OH || Any-CO-R|Any-Imino|Any-NH2|Ar-R|AromN-H|Imidazole|R-CONHR|R-H-acidic|R2CH-NHR|R2CH-NR2|R2CH-OR|RCH2-CO2H|RCH2-NHR|RCH2-NR2|RCH2-OH|RCH2-OR,False,"R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-OR,R3C-OR,R2CH-CO2H","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H","R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-CO2H|R-H-acidic,Ar-Ar,Ar-R,R2CH-NHR,R2CH-OR,R3C-OR,R2CH-CO2H",9.0,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(C)[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.O=C(N[C@@H](Cc1cnc[nH]1)C(=O)O)OCC1c2ccccc2-c2ccccc21.C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)[C@@H]1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21.O=C(N[C@@H](CO)C(=O)O)OCC1c2ccccc2-c2ccccc21.N=C(N)NCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.CC(=O)N[C@H]1[C@@H](O[C@H](C)[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@H](COC(C)=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O.O=C(O)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O.O=C(O)COCCOCCNC(=O)OCC1c2ccccc2-c2ccccc21.CC(=O)CCCC(=O)O>>CC(=O)CCCC(=O)NCCOCCOCC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)C(C)C)[C@@H](C)O)[C@@H](C)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1NC(C)=O)[C@@H](C)O)C(C)C,14221-01-3,,DIPEA / NH4OH / NaOH,Et2O / DCM / DMF / 108-95-2 / THF / water / MeOH,HOBt / HOAt / HOAc,HBTU / PyBOP,,0.2542993805778784
Ar-NH2|Ar-R|R2CH-OR|RCH2-CO2H|RCH2-OR -> Ar-CHO|Ar-NHR|R-CONHR || Ar-Ar|Ar-Br|Ar-R|Oxazole|R-H-acidic,False,"R-H-acidic,Ar-Ar,Ar-R,Ar-Br,RCH2-CO2H,Oxazole","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR|R-H-acidic,Ar-Ar,Ar-R,Ar-Br,RCH2-CO2H,Oxazole",89.0,O=C(O)CCc1ncc(-c2ccc(Br)cc2)o1.Nc1ccccc1C1OCCO1>>O=Cc1ccccc1NC(=O)CCc1ncc(-c2ccc(Br)cc2)o1,p-TsOH,,DIPEA,DMF / Me2CO,HOAt,HATU,,0.0
Any-OR|Ar-CO2H|R-Si|R2CH-NH2|R2CH-OR -> Ar-CONHR|R-H-acidic|R2CH-CHO|R2CH-NHR|R2CH-OH|RCH2-OH || Ar-Ar,False,"Ar-Ar,Ar-CO2H","R-Si,R2CH-NH2,R2CH-OR,Any-OR","Ar-Ar,Ar-CO2H|R-Si,R2CH-NH2,R2CH-OR,Any-OR",80.0,O=C(O)c1cccc(-c2ccccc2)c1.C[Si](C)(C)OC[C@H]1OC(O[Si](C)(C)C)[C@H](N)[C@@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C>>O=C[C@H](NC(=O)c1cccc(-c2ccccc2)c1)[C@@H](O)[C@H](O)[C@H](O)CO,,,DIPEA,DCM,,HBTU,,0.0
Any-CHCH2|Any-OR|Ar-Ar|Ar-NHR|Ar-R|R-CHCH2|R-H-acidic|R-Si|R2CH-CO2H|R2CH-OR|RCH2-CO2H|RCH2-Ester|RCH2-OR|RCH2-SH -> Any-CO-R|Any-SR|R-CONHR|R2CH-OH|RCH2-OH || Any-NH2|Ar-Ar|Ar-R|R-AromN|R-CONH2|R-CONHR|R-CONR2|R-H-acidic|R2CH-NHR|R2CH-NR2|R2CH-OR|RCH2-Ester|RCH2-NHR|RCH2-NR2|RCH2-OR,False,"R-H-acidic,Ar-Ar,Ar-R,R-Si,Ar-NHR,RCH2-NHR,R2CH-NHR,R2CH-NR2,RCH2-NR2,R-AromN,Any-NH2,RCH2-OR,Any-OR,RCH2-CO2H,RCH2-Ester,R-CONH2,R-CONHR,R-CONR2,Any-CHCH2,R-CHCH2","R-H-acidic,Ar-Ar,Ar-R,RCH2-NHR,RCH2-CO2H","R-H-acidic,Ar-Ar,Ar-R,R-Si,Ar-NHR,RCH2-NHR,R2CH-NHR,R2CH-NR2,RCH2-NR2,R-AromN,Any-NH2,RCH2-OR,Any-OR,RCH2-CO2H,RCH2-Ester,R-CONH2,R-CONHR,R-CONR2,Any-CHCH2,R-CHCH2|R-H-acidic,Ar-Ar,Ar-R,RCH2-NHR,RCH2-CO2H",20.0,C=CCOC(=O)CNC(=O)[C@H](Cc1cn(COCc2ccccc2)cn1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO[Si](C)(C)C(C)(C)c1ccc(NC(=O)CCC(=O)O)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21.O=C(O)CNC(=O)OCC1c2ccccc2-c2ccccc21.CC(=O)N[C@H]1[C@@H](OC[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)O[C@@H]2CO[C@H](c3ccccc3)O[C@@H]2[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1.CCOC(=O)CCS>>CCOC(=O)CCSC(=O)CNC(=O)[C@H](Cc1cn(COCc2ccccc2)cn1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CO[C@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@H](COCc3ccccc3)[C@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@H]2OCc2ccccc2)[C@H]1NC(C)=O)NC(=O)OCC1c2ccccc2-c2ccccc21,14221-01-3,,Pip / DIPEA,NMP / THF / water,HOBt / TFA,DCC,,0.7071067811865475
Ar-NH2|Ar-R|R2CH-OR|RCH2-CO2H|RCH2-OR -> Ar-CHO|Ar-NHR|R-CONHR || Ar-OR|Ar-R|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR|R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H",78.0,COc1ccc(CCC(=O)O)cc1.Nc1ccccc1C1OCCO1>>COc1ccc(CCC(=O)Nc2ccccc2C=O)cc1,p-TsOH,,DIPEA,DCM / Me2CO,,SOCl2,,0.04818694246524267
Ar-NH2|Ar-R|R2CH-OR|RCH2-CO2H|RCH2-OR -> Ar-CHO|Ar-NHR|R-CONHR || Ar-OR|Ar-R|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR|R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H",74.0,COc1cc(OC)c(CCC(=O)O)c(OC)c1.Nc1ccccc1C1OCCO1>>COc1cc(OC)c(CCC(=O)Nc2ccccc2C=O)c(OC)c1,p-TsOH,,DIPEA,DMF / Me2CO,HOAt,HATU,,-0.72280413697864
Ar-NH2|Ar-R|R2CH-OR|RCH2-CO2H|RCH2-OR -> Ar-CHO|Ar-NHR|R-CONHR || Ar-OR|Ar-R|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR|R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H",74.0,COc1ccc(CCC(=O)O)cc1OC.Nc1ccccc1C1OCCO1>>COc1ccc(CCC(=O)Nc2ccccc2C=O)cc1OC,p-TsOH,,DIPEA,DMF / Me2CO,HOAt,HATU,,-0.72280413697864
Ar-CO2H|Ar-NH2|Ar-R|R2CH-OR|RCH2-OR -> Ar-CHO|Ar-CONHR|Ar-NHR || Ar-Ar|Ar-OR,False,"Ar-Ar,Ar-OR,Ar-CO2H","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-Ar,Ar-OR,Ar-CO2H|Ar-R,Ar-NH2,R2CH-OR,RCH2-OR",77.0,COc1ccc(-c2ccccc2C(=O)O)cc1.Nc1ccccc1C1OCCO1>>COc1ccc(-c2ccccc2C(=O)Nc2ccccc2C=O)cc1,DMF,p-TsOH,DIPEA,DMF / DCM / Me2CO,,,,0.0
Ar-NH2|Ar-R|R2CH-OR|RCH2-CO2H|RCH2-OR -> Ar-CHO|Ar-NHR|R-CONHR || Ar-OR|Ar-R|R-H-acidic,False,"R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR|R-H-acidic,Ar-R,Ar-OR,RCH2-CO2H",85.0,Cc1cc(C)cc(OCC(=O)O)c1.Nc1ccccc1C1OCCO1>>Cc1cc(C)cc(OCC(=O)Nc2ccccc2C=O)c1,DMF,p-TsOH,DIPEA,DMF / DCM / Me2CO,,,,1.3974213314920374
Ar-CO2H|Ar-NH2|Ar-R|R2CH-OR|RCH2-OR -> Ar-CHO|Ar-CONHR|Ar-NHR || Any-Phosphino,False,"Ar-CO2H,Any-Phosphino","Ar-R,Ar-NH2,R2CH-OR,RCH2-OR","Ar-CO2H,Any-Phosphino|Ar-R,Ar-NH2,R2CH-OR,RCH2-OR",70.0,O=C(O)c1ccccc1P(c1ccccc1)c1ccccc1.Nc1ccccc1C1OCCO1>>O=Cc1ccccc1NC(=O)c1ccccc1P(c1ccccc1)c1ccccc1,,,Et3N / NaHCO3,CHCl3 / THF / water,HOBt / TFA,EDCI·HCl,,0.0
