Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R,False,Ar-B(OH)2,"Ar-R,Ar-NH2","Ar-B(OH)2|Ar-R,Ar-NH2",85.0,OB(O)c1ccccc1.Cc1cccc(N)c1>>Cc1cccc(Nc2ccccc2)c1,199852-14-7,,K2CO3,water,,,,0.24118200849322424
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-F|Ar-R,False,"Ar-R,Ar-NH2","Ar-F,Ar-B(OH)2","Ar-F,Ar-B(OH)2|Ar-R,Ar-NH2",76.0,Cc1ccc(N)cc1.OB(O)c1ccc(F)cc1>>Cc1ccc(Nc2ccc(F)cc2)cc1,199852-14-7,,K2CO3,water,,,,0.800640769025438
Ar-B(OH)2|AromN-H -> Ar-AromN || Ar-OR|Ar-R|Pyridine,False,"Ar-R,AromN-H,Pyridine","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-R,AromN-H,Pyridine",18.0,Cc1ccc(=O)[nH]c1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cc(C)ccc2=O)cc1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|AromN-H|Imidazole -> Ar-AromN || Ar-OR,False,"AromN-H,Imidazole","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|AromN-H,Imidazole",88.0,c1c[nH]cn1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2ccnc2)cc1,199852-14-7,,K2CO3,iPrOH,,,,0.7491154614212093
Ar-B(OH)2|AromN-H -> Ar-AromN || Ar-CN|Ar-R|Pyridine,False,"Ar-R,AromN-H,Pyridine","Ar-B(OH)2,Ar-CN","Ar-B(OH)2,Ar-CN|Ar-R,AromN-H,Pyridine",26.0,Cc1ccc(=O)[nH]c1.N#Cc1ccc(B(O)O)cc1>>Cc1ccc(=O)n(-c2ccc(C#N)cc2)c1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|AromN-H -> Ar-AromN || Ar-Br|Ar-OR|Pyridine,False,"Ar-Br,AromN-H,Pyridine","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-Br,AromN-H,Pyridine",77.0,O=c1cccc(Br)[nH]1.COc1cc(B(O)O)cc(OC)c1OC>>COc1cc(-n2c(Br)cccc2=O)cc(OC)c1OC,Cu(OAc)2,,Py,DCM,,,,0.577350269189626
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || None,False,Ar-NH2,Ar-B(OH)2,Ar-B(OH)2|Ar-NH2,80.0,Nc1ccccc1.OB(O)c1ccccc1>>c1ccc(Nc2ccccc2)cc1,1478738-98-5,,DBU,MeCN,,,,-0.5605135981023511
Ar-B(OH)2|AromN-H -> Ar-AromN|Pyridine || Ar-Ar|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-Ar,AromN-H,Ar-OR","Ar-Ar,AromN-H,Ar-OR|Ar-B(OH)2,Ar-OR",26.0,COc1ccc(B(O)O)cc1OC.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1OC,Cu(OAc)2,,Py,DCM,,,,-1.1285529853737568
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R,False,Ar-NH2,"Ar-R,Ar-B(OH)2","Ar-NH2|Ar-R,Ar-B(OH)2",75.0,Nc1ccccc1.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2ccccc2)c1,199852-14-7,,K2CO3,water,,,,0.42640143271122083
Ar-B(OH)2|AromN-H|Imidazole -> Ar-AromN || Ar-R,False,Ar-B(OH)2,"Ar-R,AromN-H,Imidazole","Ar-B(OH)2|Ar-R,AromN-H,Imidazole",84.0,OB(O)c1ccccc1.Cc1cnc[nH]1>>Cc1cn(-c2ccccc2)cn1,199852-14-7,,K2CO3,iPrOH,,,,0.7071067811865475
Ar-B(OH)2|AromN-H -> Ar-AromN || Ar-OR|Pyrimidine,False,"AromN-H,Pyrimidine","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|AromN-H,Pyrimidine",25.0,O=c1ccnc[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnccc2=O)cc1,Cu(OAc)2,,Py,DCM,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Alkenyl|Ar-F,False,"Ar-F,Ar-B(OH)2","Ar-Alkenyl,Ar-NH2","Ar-Alkenyl,Ar-NH2|Ar-F,Ar-B(OH)2",65.0,OB(O)c1ccc(F)cc1.C=C(C)c1ccccc1N>>C=C(C)c1ccccc1Nc1ccc(F)cc1,Cu(OAc)2,Lutidine,,PhMe,,,,0.0
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || None,False,RCH2-NHR,Ar-B(OH)2,Ar-B(OH)2|RCH2-NHR,66.0,C1CCNCC1.OB(O)c1ccc2ccccc2c1>>c1ccc2cc(N3CCCCC3)ccc2c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,0.8134168873793606
Ar-B(OH)2|RCH2-NHR -> Ar-NR2 || RCH2-OR,False,"RCH2-NHR,RCH2-OR",Ar-B(OH)2,"Ar-B(OH)2|RCH2-NHR,RCH2-OR",62.0,C1COCCN1.OB(O)c1ccc2ccccc2c1>>c1ccc2cc(N3CCOCC3)ccc2c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.2013468165642073
Ar-B(OH)2|AromN-H|Imidazole -> Ar-AromN || Ar-NO2,False,"AromN-H,Imidazole","Ar-B(OH)2,Ar-NO2","Ar-B(OH)2,Ar-NO2|AromN-H,Imidazole",82.0,c1c[nH]cn1.O=[N+]([O-])c1ccc(B(O)O)cc1>>O=[N+]([O-])c1ccc(-n2ccnc2)cc1,326477-70-7,,K2CO3,MeOH,,,,0.7071067811865476
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Alkenyl|Ar-OR,False,"Ar-B(OH)2,Ar-OR","Ar-Alkenyl,Ar-NH2","Ar-Alkenyl,Ar-NH2|Ar-B(OH)2,Ar-OR",79.0,COc1ccc(B(O)O)cc1.C=C(C)c1ccccc1N>>C=C(C)c1ccccc1Nc1ccc(OC)cc1,Cu(OAc)2,Lutidine,,PhMe,,,,0.0
