Reaction_Type_Standardized,Is_Intramolecular,Reactant_A_Type,Reactant_B_Type,Reactant_Types_Key,yield,smiles,Catalyst,Ligand,Base,Solvent,Additive,Coupling Reagent,Secondary Solvent,z-Score
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-CO-R|Pyridine|R-H-acidic,False,"Ar-NH2,Pyridine","R-H-acidic,Ar-B(OH)2,Any-CO-R","Ar-NH2,Pyridine|R-H-acidic,Ar-B(OH)2,Any-CO-R",75.0,Nc1ccccn1.CC(=O)c1ccc(B(O)O)cc1>>CC(=O)c1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-F|Pyridine,False,"Ar-NH2,Pyridine","Ar-F,Ar-B(OH)2","Ar-F,Ar-B(OH)2|Ar-NH2,Pyridine",79.0,Nc1ccccn1.OB(O)c1ccc(F)cc1>>Fc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R|Pyridine|R3C-F,False,"Ar-NH2,Pyridine","Ar-R,Ar-B(OH)2,R3C-F","Ar-NH2,Pyridine|Ar-R,Ar-B(OH)2,R3C-F",82.0,Nc1ccccn1.OB(O)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR|Pyridine,False,"Ar-NH2,Pyridine","Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-NH2,Pyridine",77.0,Nc1ccccn1.COc1ccc(B(O)O)cc1>>COc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-R|R3C-F,False,"Ar-R,Ar-NH2,Ar-AromN","Ar-R,Ar-B(OH)2,R3C-F","Ar-R,Ar-B(OH)2,R3C-F|Ar-R,Ar-NH2,Ar-AromN",34.0,Cc1ccc(-n2ccc(N)n2)cc1.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1ccc(-n2ccc(Nc3ccc(C(F)(F)F)cc3)n2)cc1,Cu(OAc)2,Py,,NMP,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || None,False,Ar-B(OH)2,Ar-NH2,Ar-B(OH)2|Ar-NH2,75.0,OB(O)c1ccccc1.Nc1ccc2ccc3cccc4ccc1c2c34>>c1ccc(Nc2ccc3ccc4cccc5ccc2c3c45)cc1,Cu(OAc)2,,Et3N,DCM,,,,-1.1029461123949487
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Pyridine,False,"Ar-NH2,Pyridine","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2,Pyridine",61.0,Nc1ccccn1.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Quinoline,False,Ar-B(OH)2,"Ar-NH2,Quinoline","Ar-B(OH)2|Ar-NH2,Quinoline",94.0,OB(O)c1ccccc1.Nc1cccc2cccnc12>>c1ccc(Nc2cccc3cccnc23)cc1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Pyridine,False,Ar-B(OH)2,"Ar-NH2,Pyridine","Ar-B(OH)2|Ar-NH2,Pyridine",71.0,OB(O)c1ccccc1.Nc1ccccn1>>c1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.5836778831284954
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R,False,"Ar-R,Ar-B(OH)2",Ar-NH2,"Ar-NH2|Ar-R,Ar-B(OH)2",66.0,Cc1ccc(B(O)O)cc1.Nc1ccc2ccc3cccc4ccc1c2c34>>Cc1ccc(Nc2ccc3ccc4cccc5ccc2c3c45)cc1,Cu(OAc)2,,Et3N,DCM,,,,-1.4924050144892729
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-R,False,Ar-B(OH)2,"Ar-R,Ar-NH2,Ar-AromN","Ar-B(OH)2|Ar-R,Ar-NH2,Ar-AromN",55.0,OB(O)c1ccccc1.Cc1ccc(-n2ccc(N)n2)cc1>>Cc1ccc(-n2ccc(Nc3ccccc3)n2)cc1,Cu(OAc)2,Py,,NMP,,,,0.0
Ar-Bpin|Ar-NH2 -> Ar-NHR || Pyridine,False,"Ar-NH2,Pyridine",Ar-Bpin,"Ar-Bpin|Ar-NH2,Pyridine",59.0,Nc1ccccn1.CC1(C)OB(c2ccccc2)OC1(C)C>>c1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR,False,"Ar-B(OH)2,Ar-OR",Ar-NH2,"Ar-B(OH)2,Ar-OR|Ar-NH2",59.0,COc1ccc(B(O)O)cc1.Nc1ccc2ccc3cccc4ccc1c2c34>>COc1ccc(Nc2ccc3ccc4cccc5ccc2c3c45)cc1,Cu(OAc)2,,Et3N,DCM,,,,-1.6762327098469882
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R|Pyridine,False,"Ar-NH2,Pyridine","Ar-R,Ar-B(OH)2","Ar-NH2,Pyridine|Ar-R,Ar-B(OH)2",83.0,Nc1ccccn1.Cc1ccc(B(O)O)cc1>>Cc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.6957636827095494
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-I|Ar-R,False,"Ar-I,Ar-B(OH)2","Ar-R,Ar-NH2,Ar-AromN","Ar-I,Ar-B(OH)2|Ar-R,Ar-NH2,Ar-AromN",70.0,OB(O)c1ccc(I)cc1.Cc1ccc(-n2ccc(N)n2)cc1>>Cc1ccc(-n2ccc(Nc3ccc(I)cc3)n2)cc1,Cu(OAc)2,Py,,NMP,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-F,False,"Ar-F,Ar-B(OH)2",Ar-NH2,"Ar-F,Ar-B(OH)2|Ar-NH2",43.0,OB(O)c1ccc(F)cc1.Nc1ccc2ccc3cccc4ccc1c2c34>>Fc1ccc(Nc2ccc3ccc4cccc5ccc2c3c45)cc1,Cu(OAc)2,,Et3N,DCM,,,,-1.4588228531349956
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Pyrimidine,False,Ar-B(OH)2,"Ar-NH2,Pyrimidine","Ar-B(OH)2|Ar-NH2,Pyrimidine",68.0,OB(O)c1ccccc1.Nc1ncccn1>>c1ccc(Nc2ncccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,"Ar-Cl,Ar-NH2","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-Cl,Ar-NH2",55.0,Nc1cc(Cl)cc(Cl)c1.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2cc(Cl)cc(Cl)c2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,-0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-R|R3C-F,False,"Ar-R,Ar-NH2,R3C-F","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-R,Ar-NH2,R3C-F",72.0,Nc1ccc(C(F)(F)F)cc1.OB(O)c1ccc(Cl)cc1>>FC(F)(F)c1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-F,False,"Ar-F,Ar-B(OH)2","Ar-Ar,Ar-NH2","Ar-Ar,Ar-NH2|Ar-F,Ar-B(OH)2",77.0,OB(O)c1ccc(F)cc1.Nc1ccc2oc(-c3ccccc3)cc(=O)c2c1>>O=c1cc(-c2ccccc2)oc2ccc(Nc3ccc(F)cc3)cc12,Cu(0),1644565-61-6,Et3N,EDC,,,,-0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-CO-R|Ar-Cl|R-H-acidic,False,"R-H-acidic,Ar-NH2,Any-CO-R","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|R-H-acidic,Ar-NH2,Any-CO-R",47.0,CC(=O)c1ccc(N)cc1.OB(O)c1ccc(Cl)cc1>>CC(=O)c1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.09491579957525
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ar|Ar-Cl,False,"Ar-Cl,Ar-B(OH)2","Ar-Ar,Ar-NH2","Ar-Ar,Ar-NH2|Ar-Cl,Ar-B(OH)2",81.0,OB(O)c1ccc(Cl)cc1.Nc1ccc2oc(-c3ccccc3)cc(=O)c2c1>>O=c1cc(-c2ccccc2)oc2ccc(Nc3ccc(Cl)cc3)cc12,Cu(0),1644565-61-6,Et3N,EDC,,,,0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-F,False,Ar-NH2,"Ar-F,Ar-B(OH)2","Ar-F,Ar-B(OH)2|Ar-NH2",79.0,Nc1ccccc1.OB(O)c1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.6210829968792556
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Br,False,Ar-NH2,"Ar-Br,Ar-B(OH)2","Ar-Br,Ar-B(OH)2|Ar-NH2",89.0,Nc1ccccc1.OB(O)c1ccc(Br)cc1>>Brc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || None,False,Ar-NH2,Ar-B(OH)2,Ar-B(OH)2|Ar-NH2,84.0,Nc1ccccc1.OB(O)c1ccccc1>>c1ccc(Nc2ccccc2)cc1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.12656758666827325
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R|R3C-F,False,Ar-NH2,"Ar-R,Ar-B(OH)2,R3C-F","Ar-NH2|Ar-R,Ar-B(OH)2,R3C-F",85.0,Nc1ccccc1.OB(O)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CN,False,Ar-NH2,"Ar-B(OH)2,Ar-CN","Ar-B(OH)2,Ar-CN|Ar-NH2",43.0,Nc1ccccc1.N#Cc1ccc(B(O)O)cc1>>N#Cc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-CO-R|Ar-Ester|R-H-acidic|Thiophene,False,"Ar-NH2,Ar-Ester,Thiophene","R-H-acidic,Ar-B(OH)2,Any-CO-R","Ar-NH2,Ar-Ester,Thiophene|R-H-acidic,Ar-B(OH)2,Any-CO-R",69.0,COC(=O)c1ccsc1N.CC(=O)c1ccc(B(O)O)cc1>>COC(=O)c1ccsc1Nc1ccc(C(C)=O)cc1,Cu(OAc)2,,Et3N,EDC,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-CO-R|R-H-acidic,False,Ar-NH2,"R-H-acidic,Ar-B(OH)2,Any-CO-R","Ar-NH2|R-H-acidic,Ar-B(OH)2,Any-CO-R",47.0,Nc1ccccc1.CC(=O)c1ccc(B(O)O)cc1>>CC(=O)c1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR,False,Ar-B(OH)2,"Ar-NH2,Ar-OR","Ar-B(OH)2|Ar-NH2,Ar-OR",72.0,OB(O)c1ccccc1.COc1ccc(N)cc1>>COc1ccc(Nc2ccccc2)cc1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.8206945344647685
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Ester,False,Ar-NH2,"Ar-B(OH)2,Ar-Ester","Ar-B(OH)2,Ar-Ester|Ar-NH2",62.0,Nc1ccccc1.COC(=O)c1ccc(B(O)O)cc1>>COC(=O)c1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,Ar-NH2,"Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2",65.0,Nc1ccccc1.OB(O)c1cccc(Cl)c1>>Clc1cccc(Nc2ccccc2)c1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.04055331351177968
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-F,False,Ar-NH2,"Ar-F,Ar-B(OH)2","Ar-F,Ar-B(OH)2|Ar-NH2",80.0,Nc1ccccc1.OB(O)c1ccc(F)cc1>>Fc1ccc(Nc2ccccc2)cc1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,0.6788581593796514
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-OR,False,"Ar-NH2,Ar-OR","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2,Ar-OR",43.0,COc1ccc(N)cc1.OB(O)c1ccc(Cl)cc1>>COc1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,Ar-NH2,"Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2",74.0,Nc1ccccc1.OB(O)c1cccc(Cl)c1>>Clc1cccc(Nc2ccccc2)c1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,0.30125318608750645
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-I|Ar-OR|Pyridine,False,"Ar-NH2,Pyridine","Ar-I,Ar-B(OH)2,Ar-OR","Ar-I,Ar-B(OH)2,Ar-OR|Ar-NH2,Pyridine",0.0,Nc1ccccn1.COc1ccc(I)c(B(O)O)c1>>COc1ccc(I)c(Nc2ccccn2)c1,Cu(OAc)2,,Cs2CO3,DMF,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Br|Ar-Cl,False,"Ar-Br,Ar-NH2","Ar-Cl,Ar-B(OH)2","Ar-Br,Ar-NH2|Ar-Cl,Ar-B(OH)2",91.0,Nc1ccc(Br)cc1.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2ccc(Br)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,"Ar-Cl,Ar-NH2","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-Cl,Ar-NH2",100.0,Nc1ccc(Cl)cc1.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.7071067811865475
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,Ar-NH2,"Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2",95.0,Nc1ccccc1.OB(O)c1ccc(Cl)cc1>>Clc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.9095528887642023
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-R,False,"Ar-R,Ar-NH2","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-R,Ar-NH2",100.0,Cc1ccc(N)cc1.OB(O)c1ccc(Cl)cc1>>Cc1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.6092717958449424
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-R,False,"Ar-R,Ar-NH2","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-R,Ar-NH2",95.0,Cc1cccc(N)c1.OB(O)c1ccc(Cl)cc1>>Cc1cccc(Nc2ccc(Cl)cc2)c1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.26111648393354675
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-R,False,"Ar-R,Ar-B(OH)2","Ar-R,Ar-NH2,Ar-AromN","Ar-R,Ar-B(OH)2|Ar-R,Ar-NH2,Ar-AromN",73.0,Cc1cccc(B(O)O)c1.Cc1ccc(-n2ccc(N)n2)cc1>>Cc1ccc(-n2ccc(Nc3cccc(C)c3)n2)cc1,Cu(OAc)2,Py,,NMP,,,,0.2931051908802744
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-R,False,"Ar-R,Ar-B(OH)2","Ar-R,Ar-NH2,Ar-AromN","Ar-R,Ar-B(OH)2|Ar-R,Ar-NH2,Ar-AromN",88.0,Cc1ccc(B(O)O)cc1.Cc1ccc(-n2ccc(N)n2)cc1>>Cc1ccc(Nc2ccn(-c3ccc(C)cc3)n2)cc1,Cu(OAc)2,Py,,NMP,,,,0.8206945344647687
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-R,False,"Ar-R,Ar-B(OH)2","Ar-R,Ar-NH2,Ar-AromN","Ar-R,Ar-B(OH)2|Ar-R,Ar-NH2,Ar-AromN",33.0,Cc1ccccc1B(O)O.Cc1ccc(-n2ccc(N)n2)cc1>>Cc1ccc(-n2ccc(Nc3ccccc3C)n2)cc1,Cu(OAc)2,Py,,NMP,,,,-1.1137997253450436
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-OR|Ar-R,False,"Ar-B(OH)2,Ar-OR","Ar-R,Ar-NH2,Ar-AromN","Ar-B(OH)2,Ar-OR|Ar-R,Ar-NH2,Ar-AromN",76.0,COc1cccc(B(O)O)c1.Cc1ccc(-n2ccc(N)n2)cc1>>COc1cccc(Nc2ccn(-c3ccc(C)cc3)n2)c1,Cu(OAc)2,Py,,NMP,,,,0.7071067811865476
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CN|Ar-Cl,False,"Ar-CN,Ar-NH2","Ar-Cl,Ar-B(OH)2","Ar-CN,Ar-NH2|Ar-Cl,Ar-B(OH)2",71.0,N#Cc1ccc(N)cc1.OB(O)c1ccc(Cl)cc1>>N#Cc1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-AromN|Ar-OR|Ar-R,False,"Ar-B(OH)2,Ar-OR","Ar-R,Ar-NH2,Ar-AromN","Ar-B(OH)2,Ar-OR|Ar-R,Ar-NH2,Ar-AromN",70.0,COc1ccc(B(O)O)cc1.Cc1ccc(-n2ccc(N)n2)cc1>>COc1ccc(Nc2ccn(-c3ccc(C)cc3)n2)cc1,Cu(OAc)2,Py,,NMP,,,,-0.7071067811865476
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-Ester,False,"Ar-NH2,Ar-Ester","Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2,Ar-Ester",42.0,CCOC(=O)c1ccc(N)cc1.OB(O)c1ccc(Cl)cc1>>CCOC(=O)c1ccc(Nc2ccc(Cl)cc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR,False,Ar-NH2,"Ar-B(OH)2,Ar-OR","Ar-B(OH)2,Ar-OR|Ar-NH2",76.0,Nc1ccccc1.COc1ccc(B(O)O)cc1>>COc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,0.30265312816681655
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || None,False,Ar-NH2,Ar-B(OH)2,Ar-B(OH)2|Ar-NH2,100.0,Nc1ccccc1.OB(O)c1ccccc1>>c1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,1.6092164590680385
Ar-Bpin|Ar-NH2 -> Ar-NHR || Ar-Cl,False,Ar-NH2,"Ar-Cl,Ar-Bpin","Ar-Cl,Ar-Bpin|Ar-NH2",7.0,Nc1ccccc1.CC1(C)OB(c2ccc(Cl)cc2)OC1(C)C>>Clc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,PhCN,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-NO2|Quinoline,False,"Ar-NH2,Quinoline","Ar-B(OH)2,Ar-NO2","Ar-B(OH)2,Ar-NO2|Ar-NH2,Quinoline",76.0,Nc1cccc2cccnc12.O=[N+]([O-])c1cccc(B(O)O)c1>>O=[N+]([O-])c1cccc(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,Ar-NH2,"Ar-Cl,Ar-B(OH)2","Ar-Cl,Ar-B(OH)2|Ar-NH2",5.0,Nc1ccccc1.OB(O)c1ccccc1Cl>>Clc1ccccc1Nc1ccccc1,Cu(OAc)2,544-63-8,Lutidine,MeCN / PhMe,,,,-1.6974458369930656
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CN|Quinoline,False,"Ar-NH2,Quinoline","Ar-B(OH)2,Ar-CN","Ar-B(OH)2,Ar-CN|Ar-NH2,Quinoline",78.0,Nc1cccc2cccnc12.N#Cc1cccc(B(O)O)c1>>N#Cc1cccc(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-CHCH2|Pyridine,False,"Ar-NH2,Pyridine","Ar-B(OH)2,Ar-CHCH2","Ar-B(OH)2,Ar-CHCH2|Ar-NH2,Pyridine",84.0,Nc1ccccn1.C=Cc1ccc(B(O)O)cc1>>C=Cc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-OR|Pyridine|R3C-F,False,"Ar-NH2,Pyridine","Ar-B(OH)2,Ar-OR,R3C-F","Ar-B(OH)2,Ar-OR,R3C-F|Ar-NH2,Pyridine",41.0,Nc1ccccn1.OB(O)c1ccc(OC(F)(F)F)cc1>>FC(F)(F)Oc1ccc(Nc2ccccn2)cc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R|Pyridine,False,"Ar-NH2,Pyridine","Ar-R,Ar-B(OH)2","Ar-NH2,Pyridine|Ar-R,Ar-B(OH)2",73.0,Nc1ccccn1.Cc1cccc(B(O)O)c1>>Cc1cccc(Nc2ccccn2)c1,Cu(OAc)2,,K3PO4,DMSO,,,,0.450200029988532
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Cl|Ar-OR|Quinoline,False,"Ar-NH2,Quinoline","Ar-Cl,Ar-B(OH)2,Ar-OR","Ar-Cl,Ar-B(OH)2,Ar-OR|Ar-NH2,Quinoline",58.0,Nc1cccc2cccnc12.COc1ccc(Cl)c(B(O)O)c1>>COc1ccc(Cl)c(Nc2cccc3cccnc23)c1,Cu(0),1644565-61-6,Et3N,EDC,,,,0.0
Ar-B(OR)2|Ar-NH2 -> Ar-NHR || Ar-Cl,False,Ar-NH2,"Ar-Cl,Ar-B(OR)2","Ar-Cl,Ar-B(OR)2|Ar-NH2",36.0,Nc1ccccc1.CC1(C)COB(c2ccc(Cl)cc2)OC1>>Clc1ccc(Nc2ccccc2)cc1,Cu(OAc)2,544-63-8,Lutidine,PhCN,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-NO2|Pyridine,False,"Ar-NH2,Pyridine","Ar-B(OH)2,Ar-NO2","Ar-B(OH)2,Ar-NO2|Ar-NH2,Pyridine",35.0,Nc1ccccn1.O=[N+]([O-])c1cccc(B(O)O)c1>>O=[N+]([O-])c1cccc(Nc2ccccn2)c1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Any-Ester|Ar-Ester,False,"Ar-B(OH)2,Ar-Ester","Ar-NH2,Any-Ester","Ar-B(OH)2,Ar-Ester|Ar-NH2,Any-Ester",76.0,CCOC(=O)c1ccc(B(O)O)cc1.CC(C)(C)OC(=O)n1ncc2cc(N)ccc21>>CCOC(=O)c1ccc(Nc2ccc3c(cnn3C(=O)OC(C)(C)C)c2)cc1,Cu(OAc)2,,Et3N,,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-Br|Pyridine,False,"Ar-NH2,Pyridine","Ar-Br,Ar-B(OH)2","Ar-Br,Ar-B(OH)2|Ar-NH2,Pyridine",24.0,Nc1ccccn1.OB(O)c1cccc(Br)c1>>Brc1cccc(Nc2ccccn2)c1,Cu(OAc)2,,K3PO4,DMSO,,,,0.0
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Pyridine,False,"Ar-NH2,Pyridine",Ar-B(OH)2,"Ar-B(OH)2|Ar-NH2,Pyridine",61.0,Nc1ccccn1.OB(O)c1ccc2ccccc2c1>>c1ccc(Nc2ccc3ccccc3c2)nc1,Cu(OAc)2,,K3PO4,DMSO,,,,0.23112077251396804
Ar-B(OH)2|AromN-H|Benzimidazole -> Ar-AromN || Ar-NO2,False,"AromN-H,Benzimidazole","Ar-B(OH)2,Ar-NO2","Ar-B(OH)2,Ar-NO2|AromN-H,Benzimidazole",75.0,c1ccc2[nH]cnc2c1.O=[N+]([O-])c1ccc(B(O)O)cc1>>O=[N+]([O-])c1ccc(-n2cnc3ccccc32)cc1,326477-70-7,,K2CO3,MeOH,,,,0.3415650255319866
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Ar-R,False,"Ar-R,Ar-NH2",Ar-B(OH)2,"Ar-B(OH)2|Ar-R,Ar-NH2",76.0,Cc1ccccc1N.OB(O)c1ccccc1>>Cc1ccccc1Nc1ccccc1,NiOAc2,4589-12-2,Tetramethylguanidine,PhMe,,,,-0.9647280339728989
Ar-B(OH)2|Ar-NH2 -> Ar-NHR || Pyridine,False,"Ar-NH2,Pyridine",Ar-B(OH)2,"Ar-B(OH)2|Ar-NH2,Pyridine",15.0,Nc1ccccn1.OB(O)c1cccc2ccccc12>>c1ccc(Nc2cccc3ccccc23)nc1,Cu(OAc)2,,K3PO4,DMSO,,,,-1.3906419363128582
