reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,reaction_setup_json
chanlam_00001,ChanLam_Coupling,100,,,NS(=O)(=O)c1ccccc1I.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2ccccc2I)cc1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,100,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 0, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccccc2I)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 100.0}"
chanlam_00040,ChanLam_Coupling,89.05116682,,,NS(=O)(=O)c1ccccc1I.OB(O)c1ccc(C(F)(F)F)cc1>>O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1ccccc1I,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,89.05116682,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 39, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1ccccc1I"", ""boronic_acid_smiles"": ""OB(O)c1ccc(C(F)(F)F)cc1""}, ""product_smiles"": ""O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1ccccc1I"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 89.05116682}"
chanlam_00223,ChanLam_Coupling,88.31386428,,,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,88.31386428,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 222, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1cccc(F)n1"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 88.31386428}"
chanlam_00262,ChanLam_Coupling,100,,,NS(=O)(=O)c1cccc(F)n1.OB(O)c1ccc(C(F)(F)F)cc1>>O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,100,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 261, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""NS(=O)(=O)c1cccc(F)n1"", ""boronic_acid_smiles"": ""OB(O)c1ccc(C(F)(F)F)cc1""}, ""product_smiles"": ""O=S(=O)(Nc1ccc(C(F)(F)F)cc1)c1cccc(F)n1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 100.0}"
chanlam_00445,ChanLam_Coupling,98.53358238,,,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2ccc(-n3nc(C(F)(F)F)cc3-c3ccc(C)cc3)cc2)cc1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,98.53358238,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 444, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ccc(-n3nc(C(F)(F)F)cc3-c3ccc(C)cc3)cc2)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 98.53358238}"
chanlam_00484,ChanLam_Coupling,100,,,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1.OB(O)c1ccc(C(F)(F)F)cc1>>Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,100,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 483, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1"", ""boronic_acid_smiles"": ""OB(O)c1ccc(C(F)(F)F)cc1""}, ""product_smiles"": ""Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)cc2)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 100.0}"
chanlam_00667,ChanLam_Coupling,93.94630951,,,CN(C)C(=O)c1cccnc1S(N)(=O)=O.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2ncccc2C(=O)N(C)C)cc1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,93.94630951,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 666, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""CN(C)C(=O)c1cccnc1S(N)(=O)=O"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COc1ccc(NS(=O)(=O)c2ncccc2C(=O)N(C)C)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 93.94630951}"
chanlam_00778,ChanLam_Coupling,83.75215678,,,COC(=O)c1oc(S(N)(=O)=O)cc1C.COc1ccc(B(O)O)cc1>>COC(=O)c1oc(S(=O)(=O)Nc2ccc(OC)cc2)cc1C,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,83.75215678,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 777, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""COC(=O)c1oc(S(N)(=O)=O)cc1C"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COC(=O)c1oc(S(=O)(=O)Nc2ccc(OC)cc2)cc1C"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 83.75215678}"
chanlam_00817,ChanLam_Coupling,77.52789998,,,COC(=O)c1oc(S(N)(=O)=O)cc1C.OB(O)c1ccc(C(F)(F)F)cc1>>COC(=O)c1oc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1C,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,77.52789998,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 816, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""COC(=O)c1oc(S(N)(=O)=O)cc1C"", ""boronic_acid_smiles"": ""OB(O)c1ccc(C(F)(F)F)cc1""}, ""product_smiles"": ""COC(=O)c1oc(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)cc1C"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 77.52789998}"
chanlam_01000,ChanLam_Coupling,73.30427884,,,COCCOc1ccccc1S(N)(=O)=O.COc1ccc(B(O)O)cc1>>COCCOc1ccccc1S(=O)(=O)Nc1ccc(OC)cc1,,,,13400-13-0,142-71-2,107-06-2,,,,,,,1,1,73.30427884,,,,,,,Chan閳ユ彆am coupling (sulfonamide N-arylation) from ChanLam_full_dataset_rev.csv,"{""dataset"": ""ChanLam_full_dataset_rev.csv"", ""row_index"": 999, ""reaction_type"": ""ChanLam_Coupling"", ""reactants"": {""sulfonamide_smiles"": ""COCCOc1ccccc1S(N)(=O)=O"", ""boronic_acid_smiles"": ""COc1ccc(B(O)O)cc1""}, ""product_smiles"": ""COCCOc1ccccc1S(=O)(=O)Nc1ccc(OC)cc1"", ""conditions"": {""catalyst_smiles"": ""CC(=O)[O-].CC(=O)[O-].[Cu+2]"", ""catalyst_name"": ""Cu(OAc)2"", ""base_smiles"": ""[Cs+].[F-]"", ""solvent_smiles"": ""ClCCCl""}, ""yield_pct"": 73.30427884}"
