base,formed_motifs_tokens,spectator_groups_tokens,sulf_motif_tokens,bor_motif_tokens,sulf_motif_count,sulf_aryl_steric_max,sulf_alkyl_steric_max,sulf_aryl_electronic_avg,bor_motif_count,bor_aryl_steric_max,bor_alkyl_steric_max,bor_aryl_electronic_avg,predicted_yield,reaction_smiles,sulfonamide_smiles,boronic_smiles
CsF,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,81.48438883417454,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
KOtBu,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,70.24773636319358,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cs2CO3,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,65.90387995512415,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
DMAP,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,62.123461849438115,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
DIPEA,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,56.3355990862063,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
