sample_row,detected_reaction_type,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,formed_motifs,formed_bond_classes,event_kinds,potential_scope_issue,decision
10,Suzuki_miyaura,OB(O)c1ccccc1.COc1ccc(Cl)cc1>>COc1ccc(-c2ccccc2)cc1,OB(O)c1ccccc1.COc1ccc(Cl)cc1>>COc1ccc(-c2ccccc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
11,Suzuki_miyaura,CC1(C)OB(c2ccc(C(=O)NC3CC3)cc2)OC1(C)C.CC(C)Nc1cc(N(CC2CCOCC2)C(=O)OC(C)(C)C)c2ncc(I)n2n1>>CC(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,CC1(C)OB(c2ccc(C(=O)NC3CC3)cc2)OC1(C)C.CC(C)Nc1cc(N(CC2CCOCC2)C(=O)OC(C)(C)C)c2ncc(I)n2n1>>CC(C)Nc1cc(NCC2CCOCC2)c2ncc(-c3ccc(C(=O)NC4CC4)cc3)n2n1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar|HeteroAr-NHR,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
12,Suzuki_miyaura,Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1.Nc1ccc(Oc2ccnc(Cl)c2)c(Cl)c1>>Cn1cc(-c2cc(Oc3ccc(N)cc3Cl)ccn2)cn1,Cn1cc(B2OC(C)(C)C(C)(C)O2)cn1.Nc1ccc(Oc2ccnc(Cl)c2)c(Cl)c1>>Cn1cc(-c2cc(Oc3ccc(N)cc3Cl)ccn2)cn1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
13,Suzuki_miyaura,OB(O)c1cccc(O)c1.COC(=O)c1ccc(/C=C/c2cccc(Br)c2)cc1>>COC(=O)c1ccc(/C=C/c2cccc(-c3cccc(O)c3)c2)cc1,OB(O)c1cccc(O)c1.COC(=O)c1ccc(/C=C/c2cccc(Br)c2)cc1>>COC(=O)c1ccc(/C=C/c2cccc(-c3cccc(O)c3)c2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
14,Event:Ann,CN12CC(=O)[O-][B+3]1([C-]1=CC=CO1)[O-]C(=O)C2.CC(=O)Nc1c(Br)c(C)nn1C>>CC(=O)Nc1c(-c2ccco2)c(C)nn1C,CN12CC(=O)[O-][B+3]1([C-]1=CC=CO1)[O-]C(=O)C2.CC(=O)Nc1c(Br)c(C)nn1C>>CC(=O)Nc1c(-c2ccco2)c(C)nn1C,0,0,0,exclude_unparseable_components,1,,,,,routing_excluded
15,Suzuki_miyaura,OB(O)c1ccc(F)cc1.Cc1nc2cc(Br)ccc2c(=O)n1-c1cccc(Cl)c1>>Cc1nc2cc(-c3ccc(F)cc3)ccc2c(=O)n1-c1cccc(Cl)c1,OB(O)c1ccc(F)cc1.Cc1nc2cc(Br)ccc2c(=O)n1-c1cccc(Cl)c1>>Cc1nc2cc(-c3ccc(F)cc3)ccc2c(=O)n1-c1cccc(Cl)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
16,Suzuki_miyaura,Cc1ccc(S(=O)(=O)n2cc(Br)c3cccnc32)cc1.CC(C)(C)C(=O)ON(CC/C=C/B1OC(C)(C)C(C)(C)O1)Cc1ccccc1>>Cc1ccc(S(=O)(=O)n2cc(/C=C/CCN(Cc3ccccc3)OC(=O)C(C)(C)C)c3cccnc32)cc1,Cc1ccc(S(=O)(=O)n2cc(Br)c3cccnc32)cc1.CC(C)(C)C(=O)ON(CC/C=C/B1OC(C)(C)C(C)(C)O1)Cc1ccccc1>>Cc1ccc(S(=O)(=O)n2cc(/C=C/CCN(Cc3ccccc3)OC(=O)C(C)(C)C)c3cccnc32)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkenyl,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
17,Suzuki_miyaura,O=S(=O)(Oc1ccc(Cl)cc1)C(F)(F)F.COC(=O)c1ccc(B(O)O)cc1>>COC(=O)c1ccc(-c2ccc(OS(=O)(=O)C(F)(F)F)cc2)cc1,O=S(=O)(Oc1ccc(Cl)cc1)C(F)(F)F.COC(=O)c1ccc(B(O)O)cc1>>COC(=O)c1ccc(-c2ccc(OS(=O)(=O)C(F)(F)F)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
18,Suzuki_miyaura,Nc1cc(Cl)ccc1I.COc1ccc(Br)c(B(O)O)c1>>COc1ccc(Br)c(-c2ccc(Cl)cc2N)c1,Nc1cc(Cl)ccc1I.COc1ccc(Br)c(B(O)O)c1>>COc1ccc(Br)c(-c2ccc(Cl)cc2N)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
19,Suzuki_miyaura,Nc1ncnc2c1nc(Br)n2[C@H]1C[C@H](O)[C@@H](CO)O1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3c(N)ncnc3n2[C@H]2C[C@H](O)[C@@H](CO)O2)cc1,Nc1ncnc2c1nc(Br)n2[C@H]1C[C@H](O)[C@@H](CO)O1.Cc1ccc(B(O)O)cc1>>Cc1ccc(-c2nc3c(N)ncnc3n2[C@H]2C[C@H](O)[C@@H](CO)O2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
20,Suzuki_miyaura,Fc1cnc(Cl)nc1Cl.CC1(C)NC(=O)c2ccc(B3OC(C)(C)C(C)(C)O3)cc21>>CC1(C)NC(=O)c2ccc(-c3nc(Cl)ncc3F)cc21,Fc1cnc(Cl)nc1Cl.CC1(C)NC(=O)c2ccc(B3OC(C)(C)C(C)(C)O3)cc21>>CC1(C)NC(=O)c2ccc(-c3nc(Cl)ncc3F)cc21,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
21,Suzuki_miyaura,CC1(C)OB(c2ccncc2)OC1(C)C.Cc1cc(-c2ncc(Br)cc2/C=C/c2ccccc2)cnc1Br>>Cc1cc(-c2ncc(-c3ccncc3)cc2/C=C/c2ccccc2)cnc1-c1ccncc1,CC1(C)OB(c2ccncc2)OC1(C)C.Cc1cc(-c2ncc(Br)cc2/C=C/c2ccccc2)cnc1Br>>Cc1cc(-c2ncc(-c3ccncc3)cc2/C=C/c2ccccc2)cnc1-c1ccncc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar|HeteroAr-H|Pyridine,C-C|C-N,c_c_bond_formation|c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
22,Suzuki_miyaura,Cn1ncc2cccc(B(O)O)c21.CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(Br)c1)P(=O)(OC(C)C)OC(C)C>>CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(-c2cccc3cnn(C)c23)c1)P(=O)(OC(C)C)OC(C)C,Cn1ncc2cccc(B(O)O)c21.CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(Br)c1)P(=O)(OC(C)C)OC(C)C>>CC(C)OP(=O)(OC(C)C)C(F)(Cc1cncc(-c2cccc3cnn(C)c23)c1)P(=O)(OC(C)C)OC(C)C,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar|Pyrazole,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
23,Suzuki_miyaura,OB(O)c1ccc(F)cc1.FC(F)=Cc1cccc(C=C(F)F)c1>>F/C(=C\c1cccc(/C=C(\F)c2ccc(F)cc2)c1)c1ccc(F)cc1,OB(O)c1ccc(F)cc1.FC(F)=Cc1cccc(C=C(F)F)c1>>F/C(=C\c1cccc(/C=C(\F)c2ccc(F)cc2)c1)c1ccc(F)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkenyl|Ar-F,C-C|C-F,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement|ring_closure_or_annulation,,kept
24,Suzuki_miyaura,OB(O)c1ccccc1.O=C(C(=O)c1ccc(Br)cc1)c1ccc(Br)cc1>>O=C(C(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,OB(O)c1ccccc1.O=C(C(=O)c1ccc(Br)cc1)c1ccc(Br)cc1>>O=C(C(=O)c1ccc(-c2ccccc2)cc1)c1ccc(-c2ccccc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement|ring_closure_or_annulation,,kept
25,Multi-Event:LGDisp+C-C,COc1ccc2c(c1)C(Cl)=C(C=O)CC2.Cc1cc(C)cc(B(O)O)c1>>COc1ccc2c(c1)C(c1cc(C)cc(C)c1)=C(C=O)CC2,COc1ccc2c(c1)C(Cl)=C(C=O)CC2.Cc1cc(C)cc(B(O)O)c1>>COc1ccc2c(c1)C(c1cc(C)cc(C)c1)=C(C=O)CC2,0,0,0,eligible_taxonomy_benchmark,0,,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
26,Suzuki_miyaura,OB(O)c1ccccc1.Nc1cccc(Br)c1>>Nc1cccc(-c2ccccc2)c1,OB(O)c1ccccc1.Nc1cccc(Br)c1>>Nc1cccc(-c2ccccc2)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
27,Alkylation_friedel_crafts,COc1ccc(B(O)O)cc1.CC(C)(C)c1ccc(CCl)cc1>>COc1ccc(Cc2ccc(C(C)(C)C)cc2)cc1,COc1ccc(B(O)O)cc1.CC(C)(C)c1ccc(CCl)cc1>>COc1ccc(Cc2ccc(C(C)(C)C)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkyl,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
28,Suzuki_miyaura,CC1(C)OB(c2ccc3nc[nH]c3c2)OC1(C)C.Clc1cc(NCC2CC2)c2ncc(Br)n2n1>>Clc1cc(NCC2CC2)c2ncc(-c3ccc4nc[nH]c4c3)n2n1,CC1(C)OB(c2ccc3nc[nH]c3c2)OC1(C)C.Clc1cc(NCC2CC2)c2ncc(Br)n2n1>>Clc1cc(NCC2CC2)c2ncc(-c3ccc4nc[nH]c4c3)n2n1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
29,Suzuki_miyaura,CCOC(=O)c1cnc2c(cnn2-c2ccccc2)c1Cl.OB(O)c1ccc(C(F)(F)F)cc1>>CCOC(=O)c1cnc2c(cnn2-c2ccccc2)c1-c1ccc(C(F)(F)F)cc1,CCOC(=O)c1cnc2c(cnn2-c2ccccc2)c1Cl.OB(O)c1ccc(C(F)(F)F)cc1>>CCOC(=O)c1cnc2c(cnn2-c2ccccc2)c1-c1ccc(C(F)(F)F)cc1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
30,Suzuki_miyaura,CN(C)C(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.CC(C)(C)OC(=O)NNc1cccc(Br)c1>>CN(C)C(=O)c1cccc(-c2cccc(NNC(=O)OC(C)(C)C)c2)c1,CN(C)C(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.CC(C)(C)OC(=O)NNc1cccc(Br)c1>>CN(C)C(=O)c1cccc(-c2cccc(NNC(=O)OC(C)(C)C)c2)c1,0,0,0,eligible_taxonomy_benchmark,0,Ar-Ar,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
31,Suzuki_miyaura,C=C(CC)CB1OC(C)(C)C(C)(C)O1.COC(=O)C1(C(=O)OC)CC1c1ccccc1I>>C=C(CC)Cc1ccccc1C1CC1(C(=O)OC)C(=O)OC,C=C(CC)CB1OC(C)(C)C(C)(C)O1.COC(=O)C1(C(=O)OC)CC1c1ccccc1I>>C=C(CC)Cc1ccccc1C1CC1(C(=O)OC)C(=O)OC,0,0,0,eligible_taxonomy_benchmark,0,Ar-Alkyl,C-C,c_c_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,,kept
