Compound,CAS,smiles,source
"Benzil (dibenzoyl, diphenylethanedione)",134-81-6,C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,registry_or_pubchem_previous
Benzil monohydrazone,5433-88-7,C1=CC=C(C=C1)/C(=N\N)/C(=O)C2=CC=CC=C2,pubchem_name
Benzil monoxime,14090-77-8,C1=CC=C(C=C1)/C(=N/O)/C(=O)C2=CC=CC=C2,registry_or_pubchem_previous
Benzilic acid (diphenylglycollic acid),76-93-7,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)O)O,registry
Benzo[b]biphenylene,259-56-3,C1=CC=C2C=C3C4=CC=CC=C4C3=CC2=C1,registry_or_pubchem_previous
Benzoic acid,65-85-0,O=C(O)c1ccccc1,registry
(��)-Benzoin (2-hydroxy-2-phenylacetophenone),"119-53-9, 579-44-2",O=C(c1ccccc1)C(O)c1ccccc1,registry
"Benzo[ghi]perylene (1,12-benzoperylene)",191-24-2,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,registry_or_pubchem_previous
The ��?isomer (Z-oxime),7110-50-1,C1=CC=C(C=C1)C(/C(=N\O)/C2=CC=CC=C2)O,registry_or_pubchem_previous
"3,4-Benzophenanthrene (benzo[c]phenanthrene) C18H12,",195-19-7,C1=CC=C2C(=C1)C=CC3=C2C4=CC=CC=C4C=C3,registry_or_pubchem_previous
"Benzo[a]pyrene (3,4-benzpyrene, benzo[dcf]chrysene)",50-32-8,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,registry
"Benzo[e]pyrene (1,2-benzpyrene)",192-97-2,C1=CC=C2C(=C1)C3=CC=CC4=C3C5=C(C=CC=C25)C=C4,registry_or_pubchem_previous
Benzophenone (diphenylketone),119-61-9,O=C(c1ccccc1)c1ccccc1,registry
Benzophenone oxime,574-66-3,ON=C(c1ccccc1)c1ccccc1,registry
"Benzopinacol (1,1,2,2-tetraphenyl-1,2-ethanediol)",464-72-2,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O,registry
2-Benzoylbenzoic acid,85-52-9,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2C(=O)O,registry
3-Benzoylbenzoic acid,579-18-0,O=C(O)c1cccc(C(=O)c2ccccc2)c1,registry
4-Benzoylbenzoic acid,611-95-0,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)O,registry
Benzoyl disulfide (dibenzoyl disulfide),644-32-6,C1=CC=C(C=C1)C(=O)SSC(=O)C2=CC=CC=C2,registry_or_pubchem_previous
"Benzoylacetone (1-phenyl-1,3-butanedione)",93-91-4,CC(=O)CC(=O)c1ccccc1,registry
p-Benzoquinone,106-51-4,O=C1C=CC(=O)C=C1,registry
Benzoyl isothiocyanate,532-55-8,O=C(N=C=S)c1ccccc1,registry
Benzoyl peroxide,94-36-0,O=C(OOC(=O)c1ccccc1)c1ccccc1,registry
Benzoylformic acid (phenylglyoxylic acid),611-73-4,O=C(O)C(=O)c1ccccc1,registry
N-Benzoyl-N-phenylhydroxylamine,304-88-1,O=C(c1ccccc1)N(O)c1ccccc1,registry
N-Benzoyl-o-tolylhydroxylamine,1143-74-4,CC1=CC=CC=C1N(C(=O)C2=CC=CC=C2)O,registry_or_pubchem_previous
p-Benzoylphenol (4-hydroxybenzophenone),1137-42-4,O=C(c1ccccc1)c1ccc(O)cc1,registry
4'-Benzylacetophenone,782-92-3,CC(=O)C1=CC=C(C=C1)CC2=CC=CC=C2,registry_or_pubchem_previous
Benzyl carbamate,621-84-1,NC(=O)OCc1ccccc1,registry
Benzylamine hydrochloride,3287-99-8,C1=CC=C(C=C1)CN,registry
N-Benzylaniline (N-phenylbenzylamine),103-32-2,c1ccc(CNc2ccccc2)cc1,registry
Benzyl cinnamate,103-41-3,O=C(C=Cc1ccccc1)OCc1ccccc1,registry
Benzyldimethyloctadecylammonium chloride,122-19-0,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],registry_or_pubchem_previous
N-Benzyl-3-chloropropionamide (Beclamide),"501-68-8, 24752-66-7",C1=CC=C(C=C1)CNC(=O)CCCl,pubchem_cas
N-Benzyl-N-ethylaniline,92-59-1,CCN(Cc1ccccc1)c1ccccc1,registry
Benzyl isothiocyanate (Benzyl mustard oil),622-78-6,S=C=NCc1ccccc1,registry
Benzylidene malononitrile,2700-22-3,C1=CC=C(C=C1)C=C(C#N)C#N,registry
Benzylmalonic acid (��-phenylisosuccinic acid),616-75-1,C1=CC=C(C=C1)CC(C(=O)O)C(=O)O,registry_or_pubchem_previous
N-Benzylideneaniline,538-51-2,C(=Nc1ccccc1)c1ccccc1,registry
o-Benzylhydroxylamine hydrochloride,2687-43-6,NOCc1ccccc1,registry
(-)-N-Benzyl-N-methylephedrinium bromide [benzyl(2-hydroxy-1-methyl-2-phenethyl) dimethyl- ammonium bromide],58648-09-2,C[C@H](C(=O)C1=CC=CC=C1)[N+](C)(C)CC2=CC=CC=C2.[Br-],registry_or_pubchem_previous
2-Benzyloxybenzoic acid (salicylic acid benzyl ether),14389-86-7,C1=CC=C(C=C1)COC2=CC=CC=C2C(=O)[O-],registry
3- Benzyloxybenzoic acid,69026-14-8,O=C(O)c1cccc(OCc2ccccc2)c1,registry
4- Benzyloxybenzoic acid,1486-51-7,O=C(O)c1ccc(OCc2ccccc2)cc1,registry
Benzyl 4-nitrophenyl carbonate,13795-24-9,C1=CC=C(C=C1)COC(=O)OC2=CC=C(C=C2)[N+](=O)[O-],registry_or_pubchem_previous
2-Benzylphenol (��-phenyl-o-cresol),28994-41-4,Oc1ccccc1Cc1ccccc1,registry
4-N-Benzylsulfanilamide (Septazen),1709-54-2,C1=CC=C(C=C1)CNS(=O)(=O)C2=CC=C(C=C2)N,registry_or_pubchem_previous
Benzyl toluene-p-sulfonate,1024-41-5,CC1=CC=C(C=C1)S(=O)(=O)OCC2=CC=CC=C2,registry_or_pubchem_previous
Benzylthiocyanate (benzyl rhodanide),3012-37-1,C1=CC=C(C=C1)CSC#N,registry
Benzyltributylammonium bromide,25316-59-0,CCCC[N+](CCCC)(CCCC)Cc1ccccc1,registry
p-(Benzyloxy)phenol (monobenzone),103-16-2,Oc1ccc(OCc2ccccc2)cc1,registry
"(��)-1,1'-Bi-(2-naphthol) [1,1'-di-(2-naphthol), BINOL]","602-09-5, 41024-90-2",Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,registry
"Bibenzyl (1,2-diphenylethane, dibenzyl)",103-29-7,c1ccc(CCc2ccccc2)cc1,registry
"Thus a mixture of stilbene (5g, see",103-30-0,C(=Cc1ccccc1)c1ccccc1,registry
"2,2'-Binaphthyl (��, ��'-binaphthyl)",61-78-2,,unresolved
"2,4'-Biphenyldiamine",492-17-1,C1=CC=C(C(=C1)C2=CC=C(C=C2)N)N,registry_or_pubchem_previous
4-Biphenylcarbonyl chloride,14002-51-8,O=C(Cl)c1ccc(-c2ccccc2)cc1,registry
Biphenyl (diphenyl),92-52-4,C1=CC=C(C=C1)C2=CC=CC=C2,registry
Biphenyl-2-carboxylic (2-phenylbenzoic) acid,947-84-2,O=C(O)c1ccccc1-c1ccccc1,registry
"Biphenyl-4,4��-dicarboxylic acid",787-70-2,C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O,registry_or_pubchem_previous
(��)?��-(4-Biphenylyl)butyric acid,959-10-4,CCC(C1=CC=C(C=C1)C2=CC=CC=C2)C(=O)O,registry_or_pubchem_previous
"1,4-Bis-(chloromethyl)durene (1,4-bischloromethyl-2,3,5,6-tetramethylbenzene)",3022-16-0,CC1=C(C(=C(C(=C1CCl)C)C)CCl)C,registry_or_pubchem_previous
"2,2-Bis-(4-chlorophenyl)-1,1,1-trichloroethane (p,p'-DDT, 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane)",50-29-3,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,registry
"2,2-Bis-(p-chlorophenyl)-1,1-dichloroethane (p,p'-DDD)",72-54-8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,registry
"2,2-Bis-(p-chlorophenyl)-1,1-dichloroethylene (p,p'-DDE)",72-55-9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,registry
"4,4'-Bis-(diethylamino)benzophenone",90-93-7,CCN(CC)c1ccc(C(=O)c2ccc(N(CC)CC)cc2)cc1,registry
Bis-(4-dimethylaminobenzylidene)benzidine,6001-51-0,CN(C)C1=CC=C(C=C1)C=NC2=CC=C(C=C2)C3=CC=C(C=C3)N=CC4=CC=C(C=C4)N(C)C,registry_or_pubchem_previous
Bis-(p-bromophenyl) ether,53563-56-7,C1=CC=C(C=C1)OC2=C(C(=CC=C2)Br)Br,registry_or_pubchem_previous
"N,N-Bis-(2-chloroethyl) 2-naphthylamine (chlornaphthazine)",494-03-1,C1=CC=C2C=C(C=CC2=C1)N(CCCl)CCCl,registry_or_pubchem_previous
"The 3RS,4RS(��)-racemate",5776-72-7,CC[C@@H](C1=CC=C(C=C1)O)[C@@H](CC)C2=CC=C(C=C2)O,registry_or_pubchem_previous
"and 2S,3S-(-)-1,4-Bis-(4-chlorobenzyl- oxy)-2,3-butanediol",85362-85-2,C1=CC(=CC=C1COCC(C(COCC2=CC=C(C=C2)Cl)O)O)Cl,registry_or_pubchem_previous
��-(4- Biphenylyl)butyric acid,6057-60-9,C1=CC=C(C=C1)C2=CC=C(C=C2)CCCC(=O)O,registry_or_pubchem_previous
"1,4-Bismethylaminoanthraquinone (Disperse Blue 14)",2475-44-7,CNc1ccc(NC)c2c1C(=O)c1ccccc1C2=O,registry
"4,4-Bis(4-hydroxyphenyl)valeric acid [diphenolic acid, DPA]",126-00-1,CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1,registry
Bis-(1-naphthylmethyl)amine,5798-49-2,C1=CC=C2C(=C1)C=CC=C2CNCC3=CC=CC4=CC=CC=C43,registry_or_pubchem_previous
Bis-(4-nitrophenyl) carbonate,5070-13-3,O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1ccc([N+](=O)[O-])cc1,registry
Bis-(4-nitrophenyl) ether,101-63-3,C1=CC(=CC=C1[N+](=O)[O-])OC2=CC=C(C=C2)[N+](=O)[O-],registry_or_pubchem_previous
Bis-(4-nitrophenyl) methane,1817-74-9,C1=CC(=CC=C1CC2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],registry_or_pubchem_previous
Bis-(trifluoroacetoxy)iodobenzene (BTI),2712-78-9,O=C(OI(OC(=O)C(F)(F)F)c1ccccc1)C(F)(F)F,registry
"N-BOC-1,2-phenylenediamine [(2-aminophenyl]carbamic acid, tert-butyl ester)]",146651-75-4,CC(C)(C)OC(=O)NC1=CC=CC=C1N,registry_or_pubchem_previous
"The 3R,4R(+)-isomer [26614- 21-1] and 3S,4S(-)-isomer",26614-22-2,,unresolved
4-Bromoacetanilide,103-88-8,CC(=O)Nc1ccc(Br)cc1,registry
4-Bromoacetophenone,99-90-1,CC(=O)c1ccc(Br)cc1,registry
4-Bromoaniline,106-40-1,Nc1ccc(Br)cc1,registry
4-Bromobenzal diacetate,55605-27-1,,unresolved
9-Bromoanthracene,1564-64-3,C1=CC=C2C(=C1)C=C(C3=CC=CC=C23)Br,registry
"Brilliant Green (4-dimethylaminotriphenyl carbinol, Emerald Green, Malachite Green G)",633-03-4,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2ccccc2)cc1,registry
��?Bromoacetophenone (phenacyl bromide),70-11-1,C1=CC=C(C=C1)C(=O)CBr,registry
2-Bromobenzoic acid (o-bromobenzoic acid),88-65-3,O=C(O)c1ccccc1Br,registry
3- Bromobenzoic acid hydrazide,39115-96-3,NNC(=O)c1cccc(Br)c1,registry
3-Bromobenzoic acid (m-bromobenzoic acid),585-76-2,O=C(O)c1cccc(Br)c1,registry
4-Bromobenzoic acid (p-bromobenzoic acid),586-76-5,O=C(O)c1ccc(Br)cc1,registry
4-Bromobenzophenone,90-90-4,O=C(c1ccccc1)c1ccc(Br)cc1,registry
4-Bromobenzoyl acetonitrile,4592-94-3,C1=CC(=CC=C1C(=O)CC#N)Br,registry_or_pubchem_previous
4-Bromobenzoyl chloride,586-75-4,O=C(Cl)c1ccc(Br)cc1,registry
4-Bromobenzyl bromide,589-15-1,BrCc1ccc(Br)cc1,registry
"LACHRYMATORY, use an efficient fume cupboard. p-Bromobenzyl chloride",589-17-3,ClCc1ccc(Br)cc1,registry
gives a 98% yield of 2-bromobenzamide m 159.5-161.5o,4001-73-4,NC(=O)c1ccccc1Br,registry
2-Bromobiphenyl,2052-07-5,C1=CC=C(C=C1)C2=CC=CC=C2Br,registry_or_pubchem_previous
4-Bromobiphenyl,92-66-0,Brc1ccc(-c2ccccc2)cc1,registry
"1-Bromo-2,4-dinitrobenzene",584-48-5,O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1,registry
2-(Bromomethyl)benzonitrile,22115-41-9,N#Cc1ccccc1CBr,registry
2-Bromomethylanthraquinone (MAQ-Br),7598-10-9,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)CBr,registry_or_pubchem_previous
3-Bromo-5-hydroxybenzoic acid,140472-69-1,C1=C(C=C(C=C1O)Br)C(=O)O,registry_or_pubchem_previous
4-Bromo-4'-chlorobenzophenone,27428-57-5,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)Br)Cl,registry_or_pubchem_previous
N-(2-Bromoethyl)phthalimide,574-98-1,O=C1c2ccccc2C(=O)N1CCBr,registry
"The mixture is re-cooled (0o) and 2-bromochlorobenzene (1.50ml, 12.8mmol, 1.0 equivalents,",694-80-4,Clc1ccccc1Br,registry
1-Bromo-2-naphthol,573-97-7,Oc1ccc2ccccc2c1Br,registry
1-Bromonaphthalene,90-11-9,C1=CC=C2C(=C1)C=CC=C2Br,registry
2-(Bromomethyl)-naphthalene,939-26-4,BrCc1ccc2ccccc2c1,registry
2-Bromonaphthalene,580-13-2,Brc1ccc2ccccc2c1,registry
2-Bromonitrobenzene (2-bromo-1-nitrobenzene),577-19-5,O=[N+]([O-])c1ccccc1Br,registry
3-Bromonitrobenzene (3-bromo-1-nitrobenzene),585-79-5,C1=CC(=CC(=C1)Br)[N+](=O)[O-],registry_or_pubchem_previous
4-Bromonitrobenzene (4-bromo-1-nitrobenzene),586-78-7,O=[N+]([O-])c1ccc(Br)cc1,registry
6-Bromo-2-naphthol,15231-91-1,Oc1ccc2cc(Br)ccc2c1,registry
��-Bromo-4-nitroacetophenone,99-81-0,O=C(CBr)c1ccc([N+](=O)[O-])cc1,registry
3-(4-Bromophenoxy)propionic acid,93670-18-9,C1=CC(=CC=C1OCCC(=O)O)Br,registry_or_pubchem_previous
4-Bromophenacyl bromide,99-73-0,O=C(CBr)c1ccc(Br)cc1,registry
4-Bromophenol,106-41-2,Oc1ccc(Br)cc1,registry
4-Bromophenoxy)acetic acid,1878-91-7,O=C(O)COc1ccc(Br)cc1,registry
4-Bromophenyl isocyanate,2493-02-9,C1=CC(=CC=C1N=C=O)Br,registry_or_pubchem_previous
4-Bromophenyl isothiocyanate,1985-12-2,C1=CC(=CC=C1N=C=S)Br,registry_or_pubchem_previous
4-Bromophenylacetic acid,1878-68-8,O=C(O)Cc1ccc(Br)cc1,registry
4-Bromophenylhydrazine,589-21-9,NNc1ccc(Br)cc1,registry
5-Bromosalicyl hydroxamic acid,5798-94-7,C1=CC(=C(C=C1Br)C(=O)NO)O,registry_or_pubchem_previous
N-(3-Bromopropyl)phthalimide,5460-29-7,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCBr,registry
2-tert-Butoxycarbonyloxyimino-2-phenylacetonitrile (BOC-ON),58632-95-4,CC(C)(C)OC(=O)ON=C(C#N)c1ccccc1,registry
2-tert-Butylanthracene,13719-97-6,CC(C)(C)c1c2ccccc2cc2ccccc12,registry
4-Bromotoluene,106-38-7,Cc1ccc(Br)cc1,registry
4-Butoxyphenylacetic acid,4547-57-3,CCCCOc1ccc(CC(=O)O)cc1,registry
N-Butyl 4-aminobenzoate (Butamben),94-25-7,CCCCOC(=O)c1ccc(N)cc1,registry
��-Bromo-4-toluic acid [4-(bromomethyl)benzoic acid],6232-88-8,O=C(O)c1ccc(CBr)cc1,registry
��-Bromo-p-xylene (4-methylbenzyl bromide),104-81-4,Cc1ccc(CBr)cc1,registry
2-tert-Butyl hydroquinone,1948-33-0,CC(C)(C)C1=C(C=CC(=C1)O)O,registry
"2-tert-Butyl-4-methoxyphenol (2-tert-butyl-4-hydroxyanisole, BHA)",121-00-6,CC(C)(C)C1=C(C=CC(=C1)OC)O,registry_or_pubchem_previous
4-tert-Butylcatechol,98-29-3,CC(C)(C)c1ccc(O)c(O)c1,registry
4-tert-Butylnitrobenzene,3282-56-2,CC(C)(C)C1=CC=C(C=C1)[N+](=O)[O-],registry
4-tert-Butylphenol,98-54-4,CC(C)(C)c1ccc(O)cc1,registry
6-tert-Butyl-1-chloro-2-naphthol,525-27-9,,unresolved
tert-Butyl perphthalic acid (monoperoxyphthalic acid 1-tert-butyl ester),15042-77-0,CC(C)(C)OOC(=O)C1=CC=CC=C1C(=O)O,registry_or_pubchem_previous
4-(Carbamoylmethoxy)acetanilide,14260-41-4,,unresolved
4-tert-Butylphenoxyacetic acid,1798-04-5,CC(C)(C)c1ccc(OCC(=O)O)cc1,registry
"Caffeic acid (3,4-dihydroxycinnamic acid)",331-39-5,O=C(O)C=Cc1ccc(O)c(O)c1,registry
Capsaicin (E-N-[(4-hydroxy-3-methoxyphenyl)-methyl]-8-methyl-6-nonenamide),404-86-4,COc1cc(CNC(=O)CCCCC=CC(C)C)ccc1O,registry
N-tert-Butyl ��-phenyl nitrone (PBN),3376-24-7,CC(C)(C)[N+]([O-])=Cc1ccccc1,registry
"tert-Butyl 2,4,5-trichlorophenyl carbonate",16965-08-5,CC(C)(C)OC(=O)Oc1cc(Cl)c(Cl)cc1Cl,registry
"3-Carboxybenzaldehyde (3-formylbenzoic acid, isophthalaldehydic acid)",619-21-6,C1=CC(=CC(=C1)C(=O)O)C=O,registry
"4-Carboxybenzaldehyde (4-formylbenzoic acid, terephthalaldehydic acid)",619-66-9,O=Cc1ccc(C(=O)O)cc1,registry
4-Carboxyphenylacetonitrile,6627-91-4,C1=CC=C(C(=C1)CC#N)C(=O)O,registry_or_pubchem_previous
"Catechol (1,2-dihydroxybenzene, pyrocatechol)",120-80-9,Oc1ccccc1O,registry
N-Carboethoxyphthalimide (N-ethoxycarbonylphthalimide),22509-74-6,CCOC(=O)N1C(=O)c2ccccc2C1=O,registry
4-Chloroacetanilide,539-03-7,CC(=O)Nc1ccc(Cl)cc1,registry
"Chamazulene (1,4-dimethyl-7-ethylazulene, see also Guaiazulene below)",529-05-5,CCC1=CC2=C(C=CC2=C(C=C1)C)C,registry_or_pubchem_previous
o-Chloroaniline,95-51-2,Nc1ccccc1Cl,registry
"p-Chloranil (2,3,5,6-tetrachloro-1,4-benzoquinone)",118-75-2,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl,registry
p-Chloroaniline,106-47-8,Nc1ccc(Cl)cc1,registry
��-Chloroacetophenone (phenacyl chloride),532-27-4,O=C(CCl)c1ccccc1,registry
1-Chloroanthracene,4985-70-0,Clc1cccc2cc3ccccc3cc12,registry
10-Chloro-9-anthraldehyde,10527-16-9,O=Cc1c2ccccc2c(Cl)c2ccccc12,registry
2-Chloroanthracene,17135-78-3,Clc1ccc2cc3ccccc3cc2c1,registry
2-Chlorobenzoic acid,118-91-2,O=C(O)c1ccccc1Cl,registry
3-Chlorobenzaldehyde,587-04-2,O=Cc1cccc(Cl)c1,registry
3-Chlorobenzoic acid,535-80-8,O=C(O)c1cccc(Cl)c1,registry
4-Chlorobenzaldehyde,104-88-1,O=Cc1ccc(Cl)cc1,registry
9-Chloroanthracene,716-53-0,Clc1c2ccccc2cc2ccccc12,registry
"1-Chloro-2,4-dinitrobenzene",97-00-7,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,registry
2-Chlorobenzonitrile,873-32-5,N#Cc1ccccc1Cl,registry
"4-Chloro-3,5-dimethylphenol",88-04-0,CC1=CC(=CC(=C1Cl)C)O,registry
"4-Chloro-3,5-dinitrobenzoic acid",118-97-8,C1=C(C=C(C(=C1[N+](=O)[O-])Cl)[N+](=O)[O-])C(=O)O,registry
4-Chlorobenzhydrazide,536-40-3,NNC(=O)c1ccc(Cl)cc1,registry
4-Chlorobenzoic acid,74-11-3,C1=CC(=CC=C1C(=O)O)Cl,registry
4-Chlorobenzophenone,134-85-0,O=C(c1ccccc1)c1ccc(Cl)cc1,registry
4-Chlorobenzyl chloride,104-83-6,C1=CC(=CC=C1CCl)Cl,registry
"Chlorogenic [1-(3,4-dihydroxycinnamoyloxy)-D-quinic] acid",327-97-9,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,registry_or_pubchem_previous
trans-4-Chlorocinnamic acid,1615-02-7,O=C(O)C=Cc1ccc(Cl)cc1,registry
1-Chloro-4-iodobenzene,637-87-6,Clc1ccc(I)cc1,registry
4-Chloro-2-methylphenol,1570-64-5,Cc1cc(Cl)ccc1O,registry
"4-Chloro-2-methylphenoxyacetic acid (MCPA, Agroxone)",94-74-6,CC1=C(C=CC(=C1)Cl)OCC(=O)O,registry_or_pubchem_previous
4-Chloro-3-methylphenol,59-50-7,Cc1cc(O)ccc1Cl,registry
"5-Chloro-2-methoxyaniline (2-amino-4-chloroanisole, 5-chloro-o-anisidine)",95-03-4,COC1=C(C=CC(=C1)Cl)N,registry
9-Chloromethyl anthracene,24463-19-2,ClCc1c2ccccc2cc2ccccc12,registry
"Chlorohydroquinone (2-chloro-1,4-dihydroxybenzene)",615-67-8,C1=CC(=C(C=C1O)Cl)O,registry
The residue is dissolved in 5% aqueous HCl and evaporated to dryness to give 3-chloro-4-methoxyphenethylamine hydrochloride,7569-60-0,COC1=C(C=C(C=C1)CCN)Cl.Cl,registry_or_pubchem_previous
1-Chloro-2-naphthol,633-99-8,Oc1ccc2ccccc2c1Cl,registry
1-Chloronaphthalene,90-13-1,Clc1cccc2ccccc12,registry
2-Chloro-1-naphthol,606-40-6,C1=CC=C2C(=C1)C=CC(=C2O)Cl,registry_or_pubchem_previous
2-Chloronaphthalene,91-58-7,Clc1ccc2ccccc2c1,registry
4-Chloro-1-naphthol,604-44-4,C1=CC=C2C(=C1)C(=CC=C2Cl)O,registry_or_pubchem_previous
4-Chloro-2-nitroaniline,89-63-4,Nc1ccc(Cl)cc1[N+](=O)[O-],registry
N-(Chloromethyl)phthalimide,17564-64-6,O=C1c2ccccc2C(=O)N1CCl,registry
(��)-��-4-Chlorophenoxypropionic acid,3307-39-9,CC(C(=O)O)OC1=CC=C(C=C1)Cl,registry_or_pubchem_previous
2-Chloro-1-nitrobenzene (o-chloronitrobenzene),88-73-3,C1=CC=C(C(=C1)[N+](=O)[O-])Cl,registry_or_pubchem_previous
2-Chloro-4-nitrobenzamide (Aklomix),3011-89-0,C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)N,registry
3-Chloro-1-nitrobenzene (m-chloronitrobenzene),121-73-3,O=[N+]([O-])c1cccc(Cl)c1,registry
3-Chloroperbenzoic acid (MCPBA),937-14-4,O=C(OO)c1cccc(Cl)c1,registry
3- Chlorophenol,108-43-0,C1=CC(=CC(=C1)Cl)O,registry
4- Chlorophenol,106-48-9,Oc1ccc(Cl)cc1,registry
4-Chloro-1-nitrobenzene (p-chloronitrobenzene),100-00-5,O=[N+]([O-])c1ccc(Cl)cc1,registry
4-Chlorophenoxyacetic acid (4-PCA),122-88-3,O=C(O)COc1ccc(Cl)cc1,registry
��-4-Chlorophenoxypropionic acid,3284-79-5,C1=CC(=CC=C1OCCC(=O)O)Cl,registry_or_pubchem_previous
"1-(2-Chlorophenyl)-1-(4-chlorophenyl)-2,2-dichloroethane (Mitotane, o,p'-DDD)",53-19-0,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1,registry
"3-(4-Chlorophenyl)-1,1-dimethylurea (Monuron, CMU)",150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1,registry
3-Chlorophenylacetic acid,1878-65-5,O=C(O)Cc1cccc(Cl)c1,registry
"4-Chloro-1,2-phenylenediamine",95-83-0,Nc1ccc(Cl)cc1N,registry
4-Chloro-1-phenylbutan-1-one (��-chlorobutyrophenone),939-52-6,O=C(CCCCl)c1ccccc1,registry
4-Chlorophenyl 2-nitrobenzyl ether,109669-56-9,,unresolved
4-Chlorophenyl 4-nitrobenzyl ether,5442-44-4,C1=CC(=CC=C1COC2=CC=C(C=C2)Cl)[N+](=O)[O-],registry_or_pubchem_previous
4-Chlorophenyl isocyanate,104-12-1,O=C=Nc1ccc(Cl)cc1,registry
4-Chlorophenyl isothiocyanate,2131-55-7,S=C=Nc1ccc(Cl)cc1,registry
4-Chlororesorcinol,95-88-5,C1=CC(=C(C=C1O)O)Cl,registry
4-Chlorothiophenol,106-54-7,Sc1ccc(Cl)cc1,registry
5-Chlorosalicaldehyde,635-93-8,C1=CC(=C(C=C1Cl)C=O)O,registry
"Chrysene (1,2-benzanthracene)",218-01-9,c1ccc2c(c1)ccc1c3ccccc3ccc21,registry
cis-Cinnamic acid (Z-3-phenyl-2-propenoic acid),102-94-3,C1=CC=C(C=C1)/C=C\C(=O)O,registry_or_pubchem_previous
Cinnamyl alcohol,104-54-1,OCC=Cc1ccccc1,registry
"Coniferyl alcohol [4-hydroxy-3-methoxy-cinnamyl alcohol, 3-(4-hydroxy-3-methoxy-phenyl)-2-propen-1- ol]",458-35-5,COc1cc(C=CCO)ccc1O,registry
Coronene,191-07-1,C1=CC2=C3C4=C1C=CC5=C4C6=C(C=C5)C=CC7=C6C3=C(C=C2)C=C7,registry_or_pubchem_previous
N-Cinnamoyl-N-phenylhydroxylamine,7369-44-0,C1=CC=C(C=C1)C=CC(=O)N(C2=CC=CC=C2)O,registry_or_pubchem_previous
m-Cresol,108-39-4,Cc1cccc(O)c1,registry
o-Cresol,95-48-7,Cc1ccccc1O,registry
trans- Cinnamic anhydride,538-56-7,C1=CC=C(C=C1)/C=C/C(=O)OC(=O)/C=C/C2=CC=CC=C2,registry_or_pubchem_previous
trans-Cinnamoyl chloride,102-92-1,O=C(Cl)C=Cc1ccccc1,registry
"Crystal Violet Chloride {Gentian violet, N-4[bis[4-(dimethylaminophenyl)methylene]-2,5-cyclohexadien-1- ylidene]-N-methylmethaninium chloride}",548-62-9,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,registry
m-Cresotic acid (4-methylsalicylic acid),50-85-1,Cc1ccc(C(=O)O)c(O)c1,registry
"o-Cresolphthalein [3,3-bis(4-hydroxy-3-methylphenyl)-1(3H)isobenzofura-1-one]",596-27-0,Cc1cc(C2(c3ccc(O)c(C)c3)OC(=O)c3ccccc32)ccc1O,registry
o-Cresotic acid (3-methylsalicylic acid),83-40-9,C(CCP(=O)(O)O)CC(C(=O)O)N,registry
p-Cresol,106-44-5,Cc1ccc(O)cc1,registry
p-Cresotic acid (5-methylsalicylic acid),89-56-5,Cc1ccc(O)c(C(=O)O)c1,registry
4-Cyanobenzoic acid,619-65-8,C1=CC(=CC=C1C#N)C(=O)O,registry
4-Cyanobenzoyl chloride,6068-72-0,N#Cc1ccc(C(=O)Cl)cc1,registry
