Compound,CAS,smiles,source
N-Bromosuccinimide,128-08-5,Oc1ccc(O)n1Br,registry
"1,4-Butanediol (tetramethylene glycol)",110-63-4,OCCCCO,registry
1-Butanesulfonyl chloride,2386-60-9,CCCCS(=O)(=O)Cl,registry
5-Bromovaleric (��?bromopentanoic) acid,2067-33-6,O=C(O)CCCCBr,registry
"erythro-2,3-Butanediol (meso-2,3-butylene glycol)",5341-95-7,C[C@H]([C@H](C)O)O,registry_or_pubchem_previous
"threo-2,3-Butanediol (rac ��-2,3-butylene glycol)",513-85-9,CC(C(C)O)O,registry_or_pubchem_previous
"2-Butene-1,4-dicarboxylic acid (trans-3-hexenedioic acid, trans-?-hydromuconic acid)",4436-74-2,C(/C=C/CC(=O)O)C(=O)O,registry_or_pubchem_previous
R-(-)-sec-Butylamine,13250-12-9,CCC(C)N,registry
tert-Butylammonium bromide,60469-70-7,CC(C)(C)N,registry
tert-Butyl carbazate,870-46-2,CC(C)(C)OC(=O)NN,registry
Butyl stearate,123-95-5,CCCCCCCCCCCCCCCCCCCC(=O)OCC,registry
N-tert-Butyl urea,1118-12-3,CC(C)(C)NC(=O)N,registry_or_pubchem_previous
tert-Butylperoxy isobutyrate,109-13-7,CC(C)C(=O)OOC(C)(C)C,registry_or_pubchem_previous
"2-Butyne-1,4-diol",110-65-6,OCC#CCO,registry
Butyramide,514-35-5,CCCC(=O)N,pubchem_name
N-Caproamide (n- hexanamide),628-02-4,CCCCCC(N)=O,registry
Carbon tetrabromide,558-13-4,BrC(Br)(Br)Br,registry
Cetyl acetate (hexadecyl acetate),629-70-9,CCCCCCCCCCCCCCCCOC(C)=O,registry
Cetyl alcohol (1-hexadecanol),36653-82-4,CCCCCCCCCCCCCCCCO,registry
Cetyl ether (dihexadecyl ether),4113-12-6,CCCCCCCCCCCCCCCCOCCCCCCCCCCCCCCCC,registry_or_pubchem_previous
Cetylamide,629-54-9,CCCCCCCCCCCCCCCC(N)=O,registry
"Cetylamine (HDA, 1-hexadecylamine)",143-27-1,CCCCCCCCCCCCCCCCN,registry
Cetylammonium chloride,1602-97-7,CCCCCCCCCCCCCCCCN,registry
"Cetyltrimethylammonium bromide (cetrimonium bromide, CTAB)",57-09-0,CCCCCCCCCCCCCCCC[N+](C)(C)C,registry
Cetyltrimethylammonium chloride,112-02-7,CCCCCCCCCCCCCCCC[N+](C)(C)C,registry
Charcoal,7440-44-0,[C],registry
"Chloralacetone chloroform (2,2,2-trichloro-1-[2,2,2-trichloro-1,1-dimethylethoxy]ethanol)",512-47-0,CC(C)(C(Cl)(Cl)Cl)OC(C(Cl)(Cl)Cl)O,registry_or_pubchem_previous
