Reaction Type,FG1,FG2,n_rows,n_eln,top_coupling_reagent,top_catalyst,top_ligand,top_base,top_solvent,top_additive,ReactionType_Detailed,ReactionType_SubtypeTag
Activation,R2CH-OH,R2CH-OH,228,1,,,No Ligand,lutidine,MeCN,PEP-K,Activation: R2CH-OH + R2CH-OH,Activation__R2CH-OH + R2CH-OH
Acyl_Halides_formation,Ar-COOH,,1186,1,,"Copper(II) 2,2-Difluoro-2-(fluorosulfonyl)acetate",PPh3,KF,DMF/DCM,TBAI,Acyl_Halides_formation: Ar-COOH,Acyl_Halides_formation__Ar-COOH
Acyl_Halides_formation,RCH2-COOH,,319,1,,"Copper(II) 2,2-Difluoro-2-(fluorosulfonyl)acetate",PPh3,DMAP,DMF/DCM,TBAB,Acyl_Halides_formation: RCH2-COOH,Acyl_Halides_formation__RCH2-COOH
Acyl_Halides_formation,Alkenyl-COOH,,164,1,,,,NaHCO3,DMF/DCM,TBAI,Acyl_Halides_formation: Alkenyl-COOH,Acyl_Halides_formation__Alkenyl-COOH
Acyl_Halides_formation,R2CH-COOH,,162,1,,,,DIPEA,DMF/DCM,,Acyl_Halides_formation: R2CH-COOH,Acyl_Halides_formation__R2CH-COOH
Acyl_Halides_formation,R3C-COOH,,68,1,,,PPh3,DMAP,DMF/DCM,,Acyl_Halides_formation: R3C-COOH,Acyl_Halides_formation__R3C-COOH
Acyl_Halides_formation,R2CH-COOH|R2CH-OH,,7,1,,,,Et3N,DCM,,Acyl_Halides_formation: R2CH-COOH|R2CH-OH,Acyl_Halides_formation__R2CH-COOH|R2CH-OH
Acyl_Halides_formation,Acyl-COOH,,5,1,,,,,DMF/DCM,,Acyl_Halides_formation: Acyl-COOH,Acyl_Halides_formation__Acyl-COOH
Acyl_Halides_formation,Alkyl-COOH,,4,1,,,,,DMF/DCM,,Acyl_Halides_formation: Alkyl-COOH,Acyl_Halides_formation__Alkyl-COOH
Acyl_Halides_formation,Ar-COOH|AromN-H,,3,1,,,,,DMF,,Acyl_Halides_formation: Ar-COOH|AromN-H,Acyl_Halides_formation__Ar-COOH|AromN-H
Acyl_Halides_formation,Ar-COOH|Bn-OH,,2,1,,,,,DCM,,Acyl_Halides_formation: Ar-COOH|Bn-OH,Acyl_Halides_formation__Ar-COOH|Bn-OH
Acyl_Halides_formation,Ar-COOH|HeteroAr-H,,2,1,,,,,DMF,,Acyl_Halides_formation: Ar-COOH|HeteroAr-H,Acyl_Halides_formation__Ar-COOH|HeteroAr-H
Acyl_Halides_formation,Ar-COOH|Imidazole,,2,1,,,,,Cyclohexane/DMF,,Acyl_Halides_formation: Ar-COOH|Imidazole,Acyl_Halides_formation__Ar-COOH|Imidazole
Acyl_Halides_formation,R2CH-COOH|R_acidic-H,,2,1,,,,,H2O,,Acyl_Halides_formation: R2CH-COOH|R_acidic-H,Acyl_Halides_formation__R2CH-COOH|R_acidic-H
Acyl_Halides_formation,RCH2-COOH|R2CH-COOH,,2,1,,,,,PhH,,Acyl_Halides_formation: RCH2-COOH|R2CH-COOH,Acyl_Halides_formation__RCH2-COOH|R2CH-COOH
Acyl_Halides_formation,Acyl-Cl,Ar-COOH,1,1,,,,,DMF/DCM,,Acyl_Halides_formation: Acyl-Cl + Ar-COOH,Acyl_Halides_formation__Acyl-Cl + Ar-COOH
Acyl_Halides_formation,Alkenyl-COOH|Alkyl-Alkenyl,Alkenyl-COOH|Alkyl-Alkenyl,1,1,,,,NaHCO3,DCM/H2O,,Acyl_Halides_formation: Alkenyl-COOH|Alkyl-Alkenyl + Alkenyl-COOH|Alkyl-Alkenyl,Acyl_Halides_formation__Alkenyl-COOH|Alkyl-Alkenyl + Alkenyl-COOH|Alkyl-Alkenyl
Acyl_Halides_formation,Alkenyl-COOH|RCH2-COOH,,1,1,,,,,DCM,ZnCl2,Acyl_Halides_formation: Alkenyl-COOH|RCH2-COOH,Acyl_Halides_formation__Alkenyl-COOH|RCH2-COOH
Acyl_Halides_formation,Alkyl-COOH,Inorganic,1,1,,,,,PhH,,Acyl_Halides_formation: Alkyl-COOH + Inorganic,Acyl_Halides_formation__Alkyl-COOH + Inorganic
Acyl_Halides_formation,Ar-B(OH)2|Ar-COOH,,1,1,,,,,,,Acyl_Halides_formation: Ar-B(OH)2|Ar-COOH,Acyl_Halides_formation__Ar-B(OH)2|Ar-COOH
Acyl_Halides_formation,Ar-CHO,RCH2-COOH|R_acidic-H,1,1,,,,Piperidine/Pyridine,H2O,,Acyl_Halides_formation: Ar-CHO + RCH2-COOH|R_acidic-H,Acyl_Halides_formation__Ar-CHO + RCH2-COOH|R_acidic-H
Acyl_Halides_formation,Ar-CHO|Alkenyl-COOH,,1,1,,,,,DCM/PhMe,,Acyl_Halides_formation: Ar-CHO|Alkenyl-COOH,Acyl_Halides_formation__Ar-CHO|Alkenyl-COOH
Acyl_Halides_formation,Ar-COOH,Alkyl-COOH|Alkyl-F,1,1,,,,,MeCN,,Acyl_Halides_formation: Ar-COOH + Alkyl-COOH|Alkyl-F,Acyl_Halides_formation__Ar-COOH + Alkyl-COOH|Alkyl-F
Acyl_Halides_formation,Ar-COOH,Inorganic,1,1,,,,,PhMe/DMF,,Acyl_Halides_formation: Ar-COOH + Inorganic,Acyl_Halides_formation__Ar-COOH + Inorganic
Acyl_Halides_formation,Ar-COOH|Alkenyl-Alkenyl|RCH2-Alkenyl|R3C-Alkenyl|R2CH-Alkenyl|Alkenyl-OR,,1,1,,,,,DMF/DCM,,Acyl_Halides_formation: Ar-COOH|Alkenyl-Alkenyl|RCH2-Alkenyl|R3C-Alkenyl|R2CH-Alkenyl|Alkenyl-OR,Acyl_Halides_formation__Ar-COOH|Alkenyl-Alkenyl|RCH2-Alkenyl|R3C-Alkenyl|R2CH-Alkenyl|Alkenyl-OR
Acyl_Halides_formation,Ar-COOH|Alkenyl-COOH,,1,1,,,,,DCM,,Acyl_Halides_formation: Ar-COOH|Alkenyl-COOH,Acyl_Halides_formation__Ar-COOH|Alkenyl-COOH
Acyl_Halides_formation,Ar-COOH|Ar-CF3,,1,1,,,,,DMF,,Acyl_Halides_formation: Ar-COOH|Ar-CF3,Acyl_Halides_formation__Ar-COOH|Ar-CF3
Acyl_Halides_formation,Ar-COOH|Ar-COR,,1,1,,,,,EtOAc,TFA,Acyl_Halides_formation: Ar-COOH|Ar-COR,Acyl_Halides_formation__Ar-COOH|Ar-COR
