"dataset","records","valid","invalid","exact_reconstruction","grammar_only","unresolved","labeled","named_family","with_reactive_sites","with_functional_groups"
"sample_compounds","258","258","0","","","","","","248","213"
"sample_reactions","613","610","3","201","54","355","258","45","",""
