reaction_smiles,reaction_label,spectator_groups
[2H]c1c([2H])c([2H])c(Br)c([2H])c1[2H].[2H]c1c([2H])c([2H])c(N)c([2H])c1[2H]>>[2H]c1c([2H])c([2H])c(Nc2c([2H])c([2H])c([2H])c([2H])c2[2H])c([2H])c1[2H],Ar–Br + Ar–NH2 → Ar–NH–Ar,
C1CCNC1.Clc1nccc2ccccc12>>c1ccc2c(N3CCCC3)nccc2c1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,heteroaryl_nitrogen
NC1CCCCC1.Clc1ccnc(Cl)n1>>Clc1nccc(NC2CCCCC2)n1,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,heteroaryl_nitrogen; aryl_halide; heteroaryl_nitrogen
c1ccc(-c2cc[nH]n2)cc1.COc1cc(Br)ccc1C#N>>COc1cc(-n2ccc(-c3ccccc3)n2)ccc1C#N,Ar–Br + AromN–H → Ar–AromN,heteroaryl_nitrogen; ether; nitrile
c1ccc(-c2cc[nH]n2)cc1.Brc1ccccc1C1CCCCC1>>c1ccc(-c2ccn(-c3ccccc3C3CCCCC3)n2)cc1,Ar–Br + AromN–H → Ar–AromN,heteroaryl_nitrogen
Nc1cccc([N+](=O)[O-])c1.COc1cccc2nc(Cl)ccc12>>COc1cccc2nc(Nc3cccc([N+](=O)[O-])c3)ccc12,HeteroAr–Cl + Ar–NH2 → HeteroAr–NH–Ar,nitro; tertiary_amine; heteroaryl_nitrogen; ether
Brc1cccc2ccccc12.CN1CCC[C@H]1COc1nc2c(c(N3CCN(C(=O)OC(C)(C)C)CC3)n1)CCNC2>>CN1CCC[C@H]1COc1nc2c(c(N3CCN(C(=O)OC(C)(C)C)CC3)n1)CCN(c1cccc3ccccc13)C2,Ar–Br + R1R2–NH → Ar–NR1R2,heteroaryl_nitrogen; ether; heteroaryl_nitrogen; tertiary_amine; carbamate; tertiary_amine
Clc1ncccc1Br>>Brc1cccn2nnnc12,,
Cc1ccc(S(=O)(=O)Oc2ccc(C#N)cc2)cc1.NNc1ccccc1>>N#Cc1ccc(N(N)c2ccccc2)cc1,Ar–OTs + R–NH–NH → Ar–N(Ar)(N),nitrile; primary_amine
CNc1ccccc1.Cc1ccc(Cl)cc1>>Cc1ccc(N(C)c2ccccc2)cc1,Ar–Cl + Ar–NH–R → Ar–N(Ar)(R),
NCCc1ccccc1.O=[N+]([O-])c1ccc(-c2nnc3c(Cl)nccn23)cc1>>O=[N+]([O-])c1ccc(-c2nnc3c(NCCc4ccccc4)nccn23)cc1,HeteroAr–Cl + R–NH2 → HeteroAr–NH–R,heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; heteroaryl_nitrogen; nitro; tertiary_amine
c1cn[nH]c1.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cccc(I)c1-c1c(C)cccc1-n1cccn1,,
O=[N+]([O-])c1ccc(Cl)cc1.NCc1ccccc1>>O=[N+]([O-])c1ccc(NCc2ccccc2)cc1,Ar–Cl + R–NH2 → Ar–NH–R,nitro; tertiary_amine
