sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
623,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1.Nc1ccc(O)cc1.[Na]>>Nc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Cl)cc3)cc2)cc1,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1.Nc1ccc(O)cc1.[Na]>>Nc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Cl)cc3)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
624,N#Cc1cccc(F)c1.C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCO)[C@@H]2O>>C[C@]12CC[C@@H]3c4ccc(Oc5cccc(C#N)c5)cc4CC[C@H]3[C@@H]1C[C@@H](CCCO)[C@@H]2O,N#Cc1cccc(F)c1.C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCO)[C@@H]2O>>C[C@]12CC[C@@H]3c4ccc(Oc5cccc(C#N)c5)cc4CC[C@H]3[C@@H]1C[C@@H](CCCO)[C@@H]2O,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
625,CC(=O)c1ccc(Br)cc1.OCCOCCO>>CC(=O)c1ccc(OCCOCCO)cc1,CC(=O)c1ccc(Br)cc1.OCCOCCO>>CC(=O)c1ccc(OCCOCCO)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
626,Cc1ccc(I)cc1.COc1ccc(O)c(P(=O)(c2ccccc2)c2ccccc2)c1>>COc1ccc(Oc2ccc(C)cc2)c(P(=O)(c2ccccc2)c2ccccc2)c1,Cc1ccc(I)cc1.COc1ccc(O)c(P(=O)(c2ccccc2)c2ccccc2)c1>>COc1ccc(Oc2ccc(C)cc2)c(P(=O)(c2ccccc2)c2ccccc2)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
627,O=C(O)c1ccccc1Br.Cc1ccc(O)c(C(C)(C)C)c1>>Cc1ccc(Oc2ccccc2C(=O)O)c(C(C)(C)C)c1,O=C(O)c1ccccc1Br.Cc1ccc(O)c(C(C)(C)C)c1>>Cc1ccc(Oc2ccccc2C(=O)O)c(C(C)(C)C)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
628,Cc1ccc(F)c([N+](=O)[O-])c1.Cc1ccc(O)c(Br)c1>>Cc1ccc(Oc2ccc(C)cc2I)c(Br)c1,Cc1ccc(F)c([N+](=O)[O-])c1.Cc1ccc(O)c(Br)c1>>Cc1ccc(Oc2ccc(C)cc2I)c(Br)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-I|Ar-OR
629,Oc1ccc(Br)cc1.Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F>>Fc1cc(F)c(F)c(Oc2ccc(Br)cc2)c1F,Oc1ccc(Br)cc1.Fc1c(F)c(F)c(B(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F>>Fc1cc(F)c(F)c(Oc2ccc(Br)cc2)c1F,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
630,CO.Clc1ccc(Cc2nnc(Cl)c3ccccc23)cc1>>COc1nnc(Cc2ccc(Cl)cc2)c2ccccc12,CO.Clc1ccc(Cc2nnc(Cl)c3ccccc23)cc1>>COc1nnc(Cc2ccc(Cl)cc2)c2ccccc12,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
631,O=[N+]([O-])c1ccc(Cl)cc1.Oc1ccc(O)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(O)cc2)cc1,O=[N+]([O-])c1ccc(Cl)cc1.Oc1ccc(O)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(O)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
632,Cc1ccc(O)cc1.Fc1cc(Cl)cc(Br)c1>>Cc1ccc(Oc2cc(Cl)cc(Br)c2)cc1,Cc1ccc(O)cc1.Fc1cc(Cl)cc(Br)c1>>Cc1ccc(Oc2cc(Cl)cc(Br)c2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
