reaction_id,yield,z_score,reactant_1,reactant_2,catalyst,ligand,base,solvent,additive,Secondary Solvent,Coupling Reagent,Is_Intramolecular,reaction_smiles,spectator_groups
C-S_Coupling,94.0,0.0,Bn-SH,Ar-Br,Pd2(dba)3·CHCl3,XantPhos,DIPEA,"1,4-Dioxane / MeOH / water",,,,False,SCc1ccccc1.CC(=O)NC1(CCc2ccc(-c3ccc(Br)cc3F)cc2)COC(C)(C)OC1>>Cl.NC(CO)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2F)cc1,X / F
C-S_Coupling,80.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,CC(C)(C)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>CC(C)(C)c1ccc2c(c1)SC(F)(F)O2,X / F
C-S_Coupling,76.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,COc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COc1ccc2c(c1)SC(F)(F)O2,OR / X / F
C-S_Coupling,91.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,"1,4-Dioxane",CsF,,,False,CCOc1cc(C=O)cc(Br)c1O.FC(F)(F)S.[Cs]>>CCOc1cc(C=O)cc2c1OC(F)(F)S2,CHO / OR / X / F
C-S_Coupling,85.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,"1,4-Dioxane",CsF,,,False,O=Cc1cccc(O)c1Br.FC(F)(F)S.[Cs]>>O=Cc1cccc2c1SC(F)(F)O2,CHO / X / F
C-S_Coupling,99.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,"1,4-Dioxane",CsF,,,False,COC(=O)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COC(=O)c1ccc2c(c1)SC(F)(F)O2,CO2R / X / F
C-S_Coupling,99.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,"1,4-Dioxane",CsF,,,False,N#Cc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>N#Cc1ccc2c(c1)SC(F)(F)O2,CN / X / F
C-S_Coupling,95.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,"1,4-Dioxane",CsF,,,False,Oc1ccc(Br)c(O)c1.FC(F)(F)S.[Cs]>>Oc1ccc2c(c1)OC(F)(F)S2,OH / OR / X / F
C-S_Coupling,80.0,1.0596258856520369,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,Oc1ccc(F)cc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)SC(F)(F)O2,X / F
C-S_Coupling,77.0,-0.13245323570650247,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,Oc1cc(F)ccc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)OC(F)(F)S2,X / F
C-S_Coupling,75.0,-0.9271726499455286,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,Oc1c(F)cc(F)cc1Br.FC(F)(F)S.[Cs]>>Fc1cc(F)c2c(c1)SC(F)(F)O2,X / F
C-S_Coupling,71.0,0.0,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,Oc1ccc(Cl)cc1Br.FC(F)(F)S.[Cs]>>FC1(F)Oc2ccc(Cl)cc2S1,X / Cl / F
C-S_Coupling,94.0,0.36854868854485984,Ar-OH,Alkyl-SH,1111-67-7,phen,,DMF,CsF,,,False,Oc1c(Br)cccc1Br.FC(F)(F)S.[Cs]>>FC1(F)Oc2c(Br)cccc2S1,Br / X / F
C-S_Coupling,99.0,0.7634222834143521,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,Oc1ccc(Br)cc1Br.FC(F)(F)S.[Cs]>>FC1(F)Oc2ccc(Br)cc2S1,Br / X / F
C-S_Coupling,75.0,-1.1319709719592108,Ar-OH,Alkyl-SH,CuI,phen,,MeCN,CsF,,,False,Oc1ccc(Br)cc1Br.FC(F)(F)S.[Ag]>>FC1(F)Oc2ccc(Br)cc2S1,Br / X / F
