reaction_smiles,reaction_label,spectator_groups
Nc1ccc(C(c2ccc(N)cc2)c2ccc(O)cc2)cc1.CN(C)c1ccc(-c2nnc(-c3ccc(F)cc3)o2)cc1>>CN(C)c1ccc(-c2nnc(-c3ccc(Oc4ccc(C(c5ccc(N)cc5)c5ccc(N)cc5)cc4)cc3)o2)cc1,Ar–F + Ar–OH → Ar–O–Ar,primary_amine; primary_amine; heteroaryl_nitrogen; heteroaryl_nitrogen; tertiary_amine
Oc1cccc(O)c1O.OCCc1c(O)c2c(c(O)c1CO)Oc1nc3c(CCO)c(Cl)c(Cl)c(C(O)CCO)c3nc1O2>>OCCc1c(CO)c(O)c2oc3nc4c(CCO)c5oc6cccc(O)c6oc5c(C(O)CCO)c4nc3oc2c1O,2 × C–O substitution,phenol; alcohol; alcohol; heteroaryl_nitrogen; heteroaryl_nitrogen; alcohol; ether; ether; phenol; phenol; alcohol; alcohol
CCN(CC)c1cccc(O)c1.N#Cc1cc(Cl)c(Cl)cc1C#N>>CCN(CC)c1cccc(Oc2cc(C#N)c(C#N)cc2Oc2cccc(N(CC)CC)c2)c1,Ar–Cl + Ar–OH →,
Oc1ccc(Br)cc1.Fc1cc(F)c(F)c(F)c1F>>Fc1cc(F)c(F)c(Oc2ccc(Br)cc2)c1F,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; aryl_halide; aryl_halide; aryl_halide
CC(=O)c1ccc(Cl)cc1.Oc1ccc(Br)cc1>>CC(=O)c1ccc(Oc2ccc(Br)cc2)cc1,Ar–Cl + Ar–OH → Ar–O–Ar,ketone; aryl_halide
COc1ccc(O)cc1.CCOC(=O)c1ccc(Cl)c([N+](=O)[O-])c1>>CCOC(=O)c1ccc(Oc2ccc(OC)cc2)c([N+](=O)[O-])c1,Ar–Cl + Ar–OH → Ar–O–Ar,ether; nitro; tertiary_amine; ester
O=[N+]([O-])c1cc(Cl)ccc1F.COc1cc(Cl)ccc1O>>COc1cc(Cl)ccc1Oc1ccc(Cl)cc1[N+](=O)[O-],Ar–F + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; aryl_halide; ether; aryl_halide
Oc1cccc(C(F)(F)F)c1.N#Cc1c(F)c(F)c(Oc2cccc(Oc3ccccc3)c2)c(F)c1F>>N#Cc1c(Oc2cccc(C(F)(F)F)c2)c(F)c(Oc2cccc(Oc3ccccc3)c2)c(F)c1Oc1cccc(C(F)(F)F)c1,Ar–F + Ar–OH →,
COc1ccccc1O.Cc1cc(C)cc(I)c1>>COc1ccccc1Oc1cc(C)cc(C)c1,Ar–I + Ar–OH → Ar–O–Ar,ether
O=[N+]([O-])c1cc(Cl)c(F)c(Cl)c1.COc1ccc(O)cc1Br>>COc1ccc(Oc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1Br,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; nitro; tertiary_amine; aryl_halide; ether
O=[N+]([O-])c1cc(Br)ccc1F.COc1ccc(Br)cc1O>>COc1ccc(Br)cc1Oc1ccc(Br)cc1[N+](=O)[O-],Ar–F + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; aryl_halide; aryl_halide; ether
COc1ccc(CCCCC(O)CCc2ccc(OC)c(Br)c2)cc1O>>COc1ccc2cc1Oc1cc(ccc1OC)CCC(O)CCCC2,intramolecular (14-membered ring) Ar–Br / Ar–OH → Ar–O–Ar,ether; ether; alcohol
