Reaction_Type,Num_Experiments,Num_Reactant_Pairs,Num_Catalysts,Avg_Yield,Success_Rate,Top_Catalyst,Top_Reactant_Pair
Alkene_oxidative_cleavage_to_carbonyl,2881,258,76,80.65081568899687,96.7719541825755,Pd(OAc)2,Alkenyl-COOR|R2CH-Alkenyl|R2CH-OH + HeteroAr-H
Reductive_amination,2568,387,30,72.75700934579439,88.3177570093458,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-CHO + RCH2-NHR
Multi-Event:LGDisp+C-N,2532,541,46,82.74842022116904,98.65718799368088,CuI,Ar-NH2 + Acyl-Cl
Multi-Event:Ann+C-N,2419,431,45,82.81976023150062,95.74204216618438,Pd(OAc)2,Ar-NH2 + RCH2-COR|R_acidic-H
Kumada,2213,97,39,70.95164934478085,81.33755083596927,Ni(acac)2,Ar-Cl + Ar-Mg*
Alcohol_to_Alkyl_Halide,2125,140,14,84.16235294117647,97.45882352941176,Titanium tetrachloride,Ar-COR|R_acidic-H + RCH2-OH
Condensation,2114,13,0,21.14360927152318,13.954588457899716,,Ar-NH2 + Alkyl-SO2Cl
Stille,2106,76,49,89.06552706552706,99.28774928774928,Pd(PPh3)4,Ar-Br + Ar-Sn*
Oxidation_secondary_alcohol_to_ketone,2092,114,25,84.77820267686424,99.52198852772467,"[(S,S)-Teth-MsDPEN-RuCl]",R2CH-OH + Ar-COR|Alkyl-F
Negishi,1995,90,68,55.984726817042606,60.75187969924812,NiCl2,Ar-Cl + Ar-Cl
Acyl_Halides_formation,1948,34,1,94.52361396303901,100.0,"Copper(II) 2,2-Difluoro-2-(fluorosulfonyl)acetate",Acyl-Cl + Ar-COOH
Event:C-O,1906,185,33,88.90451206715635,99.58027282266528,"[(S,S)-Teth-MsDPEN-RuCl]",CH3-OH + Ar-CHO
Multi-Event:Ann+C-N+C-C,1884,446,71,79.828025477707,93.68365180467092,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-Hydrazine + RCH2-COR|R_acidic-H
C_H_arylation,1860,9,54,15.830129032258064,9.516129032258064,XantPhosPdCl2,Ar-H + Ar-Br
Negishi_In_Situ,1666,6,39,14.534405762304921,8.463385354141657,AmPhos2PdCl2,Ar-Br + Alkyl-Br
Benzylic_CH_oxidation_to_carbonyl,1644,76,29,85.34306569343066,99.14841849148418,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-Alkynyl_terminal + Ar-I|R2CH-OH|Ar-Alkyl
Cyclization,1565,10,57,19.83594249201278,16.23003194888179,AlPhosPd G6 Br,Ar-Br + Ar-Br
Reduction_nitrile_to_amine,1540,53,33,86.7974025974026,98.44155844155844,Ni,Ar-CN + Alkyl-H
Baeyer_villiger_oxidation,1496,307,21,83.85160427807487,96.5909090909091,Cu(OTf)2,RCH2-COOR|RCH2-CN|R_acidic-H + RCH2-COR|R_acidic-H
Sonogashira,1489,82,82,66.03021490933513,76.29281396910679,CuI,Ar-Br + Alkyl-C#CH
Multi-Event:Ann+C-O,1362,177,23,89.26284875183553,99.11894273127754,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-CHO + RCH2-OH
Esterification,1339,145,16,62.04406273338312,73.93577296489919,"[(S,S)-Teth-MsDPEN-RuCl]",RCH2-OH + RCH2-COOH
Miyaura_Borylation,1332,1,46,15.825848348348348,9.984984984984985,XPhos Pd(crotyl)Cl,Ar-Br + Ar-Br
Multi-Event:Ann+C-C,1312,308,66,66.72103658536585,77.28658536585365,Pd(OAc)2,Ar-CHO + RCH2-CN|R_acidic-H
Multi-Event:C-O+C-C,1250,180,16,83.2976,97.04,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-COOH + Ar-CHO
Suzuki_In_Situ,1234,4,33,15.935081037277147,10.453808752025932,P(tBu)3 Pd(crotyl)Cl,Ar-Br + Ar-Cl
Halogenation_aromatic,1150,79,27,83.7591304347826,97.47826086956522,Pd(OAc)2,Triazole + Ar-Iodonium
Alkylation_friedel_crafts,1072,166,37,80.6268656716418,97.01492537313433,Pd(PPh3)4,Ar-B(OH)2 + Bn-Br
Multi-Event:C-N+C-C,1020,154,21,84.29705882352941,98.92156862745098,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-NH2 + R_acidic-H
Event:C-S,1012,174,12,86.0592885375494,99.30830039525692,Cu(OTf)2,Ar-SH + R2CH-OH
Unresolved:NoMotifEvidence,958,184,30,75.84968684759916,88.10020876826722,Ni,RCH2-OH + Ar-CON3
Multi-Event:LGDisp+C-O,944,155,25,83.63559322033899,99.36440677966102,"Chloro(2-dicyclohexylphosphino-2',6'-dimethoxy-1,1'-biphenyl)gold(I)",Ar-COOH + Ar-Br
Alkylation,943,8,8,37.02194061505833,36.691410392364794,AdBrettPhosPd G6 Br,Alkyl-OSO2R + AromN-H
Hiyama,938,93,28,75.74200426439232,89.76545842217483,Pd(OAc)2,Ar-Br + Ar-Si*
Click_cuaac,886,63,10,78.82505643340858,90.29345372460497,CuSO4,Ar-N3 + Alkyl-Alkynyl_terminal|Propargyl-H
Heck,658,2,28,10.045288753799392,0.1519756838905775,tBuXPhos Pd(allyl)OTf,Ar-Cl + Alkenyl-H
C_C_Coupling,645,4,33,16.480697674418604,8.992248062015504,NiBr2-glyme,Ar-Cl + Ar-Cl
Multi-Event:C-N+C-O,634,87,11,78.51892744479495,89.58990536277602,"[(S,S)-Teth-MsDPEN-RuCl]",CH3-OH + R2CH-CONH2|R_acidic-H
Multi-Event:Ann+C-O+C-C,622,203,38,73.2315112540193,81.67202572347267,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-CHO + RCH2-OH
Snar,618,7,4,18.32645631067961,9.223300970873787,CuI,Ar-F + AromN-H
Hydrolysis,591,3,32,13.72253807106599,10.490693739424705,RockPhos Pd G3,Ar-Br + Ar-Br
Halogenation_unsaturated,554,147,13,73.59386281588448,88.4476534296029,CuCl,Ar-CHO + R_acidic-H|HeteroAr-H|R2CH-F|Ar-Alkyl|Ar-SR
Multi-Event:LGDisp+C-S,553,113,19,82.92766726943943,99.63833634719711,[(CH3CN)4Cu]PF6,Any-SH + Inorganic
Multi-Event:Ann+LGDisp+C-N,547,192,19,84.59780621572212,99.26873857404021,CuI,Ar-Cl|Ar-NO2 + Bn-NH2
Ring_Closing_Metathesis,526,85,31,72.21673003802282,86.50190114068441,"[(S,S)-Teth-MsDPEN-RuCl]",Ar-Alkenyl_terminal + Ar-I
Acylation_amide,509,101,10,82.85854616895874,99.60707269155206,Cu2O,Any-SH + Inorganic
Aromatic_Halogen_Exchange,452,122,26,85.06194690265487,98.45132743362832,Ni(cod)2,Thiocarbonyl-SH|RCH2-OR + Inorganic
Multi-Event:Ann+LGDisp+C-C,443,103,35,63.20090293453725,69.52595936794582,Pd(OAc)2,RCH2-Cl|Alkyl-Br + R2CH-CONR2|Alkyl-NRCOR
Sandmeyer,436,66,22,63.1408256880734,73.85321100917432,CuCl,Ar-NH2 + Ar-NH2
