sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
0,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.COC(=O)CCS>>COC(=O)CCSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1.COC(=O)CCS>>COC(=O)CCSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-SR
1,CS.[Na].Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CI)[C@@H](O)[C@@H]1F>>CSC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@@H](F)[C@@H]1O,CS.[Na].Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CI)[C@@H](O)[C@@H]1F>>CSC[C@H]1O[C@@H](n2cnc3c(N)nc(SC)nc32)[C@@H](F)[C@@H]1O,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-SR|RCH2-SR
2,Cc1cc(F)ccc1Br.CS.[Na]>>CSc1ccc(Br)c(C)c1,Cc1cc(F)ccc1Br.CS.[Na]>>CSc1ccc(Br)c(C)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-SR
3,Nc1ccccc1S.Cc1ccc(C=O)c(I)c1>>Cc1ccc2c(c1)Sc1ccccc1N=C2,Nc1ccccc1S.Cc1ccc(C=O)c(I)c1>>Cc1ccc2c(c1)Sc1ccccc1N=C2,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-C=N|Ar-SR
4,Cc1ccc(S)cc1.Cc1ccc(F)c([N+](=O)[O-])c1>>Cc1ccc(Sc2ccc(C)cc2[N+](=O)[O-])cc1,Cc1ccc(S)cc1.Cc1ccc(F)c([N+](=O)[O-])c1>>Cc1ccc(Sc2ccc(C)cc2[N+](=O)[O-])cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-SR
5,Sc1ccc(Cl)cc1.O=S(=O)(Oc1ccccc1I)c1ccc(Cl)cc1.CN(C)C=O>>O=Cc1ccccc1Sc1ccc(Cl)cc1,Sc1ccc(Cl)cc1.O=S(=O)(Oc1ccccc1I)c1ccc(Cl)cc1.CN(C)C=O>>O=Cc1ccccc1Sc1ccc(Cl)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-CHO|Ar-SR
6,Cc1ccc(S)cc1.Cc1cc(I)cc(C)c1-c1c(C)cc(I)cc1C>>Cc1ccc(Sc2cc(C)c(-c3c(C)cc(Sc4ccc(C)cc4)cc3C)c(C)c2)cc1.Cc1ccc(Sc2cc(C)c(-c3c(C)cc(I)cc3C)c(C)c2)cc1,Cc1ccc(S)cc1.Cc1cc(I)cc(C)c1-c1c(C)cc(I)cc1C>>Cc1ccc(Sc2cc(C)c(-c3c(C)cc(Sc4ccc(C)cc4)cc3C)c(C)c2)cc1.Cc1ccc(Sc2cc(C)c(-c3c(C)cc(I)cc3C)c(C)c2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-Alkyl|Ar-Ar|Ar-SR
7,CCCCCCCCS.FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1>>CCCCCCCCSc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CCCCCCCCS.FC(F)(F)c1cc(Br)cc(C(F)(F)F)c1>>CCCCCCCCSc1cc(C(F)(F)F)cc(C(F)(F)F)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-SR
8,CCS.COCOc1ccc([N+](=O)[O-])cc1Br>>CCSc1cc([N+](=O)[O-])ccc1OCOC,CCS.COCOc1ccc([N+](=O)[O-])cc1Br>>CCSc1cc([N+](=O)[O-])ccc1OCOC,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-SR
9,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Cc1cc(F)cc(S)c1N>>Cc1cc(F)cc2c1Nc1c(cc(C(F)(F)F)cc1[N+](=O)[O-])S2,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl.Cc1cc(F)cc(S)c1N>>Cc1cc(F)cc2c1Nc1c(cc(C(F)(F)F)cc1[N+](=O)[O-])S2,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-NHR|Ar-SR
