reaction_smiles,reaction_label,spectator_groups
Sc1ccccc1.[Na].Clc1nc(C(Cl)(Cl)Cl)ncc1-c1ccccc1>>c1ccc(Sc2nc(C(Sc3ccccc3)Sc3ccccc3)ncc2-c2ccccc2)cc1,(Benzyl–Cl + Ar–SH) OR (HeteroAr–Cl + Ar–SH) →,
Sc1ccccc1.FC(F)(F)c1ccccc1I>>Oc1ccccc1Sc1ccccc1C(F)(F)F,Ar–I + Ar–SH →,
COc1ccc(S)cc1.Ic1cccnc1>>c1ccc(Sc2cccnc2)cc1,HeteroAr–I + Ar–SH →,
FC(F)(F)c1ccc(Cl)cc1.Sc1ccccc1>>FC(F)(F)c1ccccc1.FC(F)(F)c1ccc(Sc2ccccc2)cc1,Ar–Cl + Ar–SH → Ar–S–Ar,
OCCCS.O=C(O)N1CCN(C(=O)c2cc(F)c(F)cc2[N+](=O)[O-])CC1.NCc1ccncc1.O=C(O)C(F)(F)F>>O=C(O)C(F)(F)F.O=C(c1cc(S(=O)(=O)CCCO)c(NCc2ccncc2)cc1[N+](=O)[O-])N1CCNCC1,(Ar–F + R–NH2) OR (Ar–F + R–OH) OR (Ar–F + R–SH) OR (R–C(O)OH + R–NH2) OR (R–C(O)OH + R–OH) OR (R–C(O)OH + R–SH) →,
Sc1cccc(Br)c1.Fc1cccc2ccc(Cl)nc12>>O=S(=O)(c1cccc(Br)c1)c1ccc2cccc(F)c2n1,(Ar–F + Ar–SH) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular Ar–Br / Ar–SH) →,
Sc1ccc2ccccc2c1.Clc1ccc2ccccc2n1>>O=S(=O)(c1ccc2ccccc2c1)c1ccc2ccccc2n1,HeteroAr–Cl + Ar–SH →,
CS.[Na].COC(=O)C(CC1CCCC1)c1ccc(Cl)c([N+](=O)[O-])c1>>COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1,Ar–Cl + R–SH →,
Oc1ccccc1S.N#Cc1cc(Cl)c(Cl)cc1C#N>>N#Cc1cc2c(cc1C#N)Sc1ccccc1O2,(Ar–Cl + Ar–OH) OR (Ar–Cl + Ar–SH) →,
SCc1ccccc1.N#Cc1ccc(Br)cc1>>N#Cc1ccc(SCc2ccccc2)cc1,Ar–Br + R–SH → Ar–S–R,nitrile
Nc1ccccc1S.O=C(O)c1cc(Cl)ccc1I>>Nc1ccccc1Sc1ccc(Cl)cc1C(=O)O,Ar–I + Ar–SH → Ar–S–Ar,primary_amine; carboxylic_acid; aryl_halide
Sc1ccccc1.O=Cc1cc2ccccc2nc1Cl>>O=Cc1cc2ccccc2nc1Sc1ccccc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar,heteroaryl_nitrogen; aldehyde
Sc1ccccc1.N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl>>N#Cc1c(Cl)c(Cl)c(Sc2ccccc2)c(C#N)c1Cl,Ar–Cl + Ar–SH → Ar–S–Ar,aryl_halide; aryl_halide; aryl_halide; nitrile; nitrile
O=C(O)c1ccccc1S.CNC(=O)c1ccccc1I>>CNC(=O)c1ccccc1Sc1ccccc1C(=O)O,Ar–I + Ar–SH → Ar–S–Ar,carboxylic_acid; amide
SCc1ccccc1.N#Cc1ccccc1Br>>CSc1ccccc1C#N,Ar–Br + R–SH →,
O=[N+]([O-])c1ccc(Cl)cc1Cl.Sc1ccccc1.[Na]>>O=[N+]([O-])c1ccc(Sc2ccccc2)cc1Sc1ccccc1,Ar–Cl + Ar–SH →,
Sc1ccccc1.N#Cc1ccc(Br)cc1F>>N#Cc1ccc(Br)cc1Sc1ccccc1.N#Cc1ccc(Sc2ccccc2)cc1Sc1ccccc1,Ar–F + Ar–SH → Ar–S–Ar,aryl_halide; nitrile
Sc1ccccc1.[Na].C=CCOC(=O)Nc1c(F)c(F)c(F)c(F)c1F>>C=CCOC(=O)Nc1c(F)c(F)c(Sc2ccccc2)c(F)c1F,Ar–F + Ar–SH → Ar–S–Ar,aryl_halide; aryl_halide; aryl_halide; aryl_halide; carbamate; alkene
OCCS.CCOP(=O)(OCC)c1c(I)ccc2ccccc12>>CCOP(=O)(OCC)c1c(SCCO)ccc2ccccc12,Ar–I + R–SH → Ar–S–R,alcohol; phosphonate
Sc1ccccc1.Brc1ccc(I)cc1>>c1ccc(Sc2ccc(Sc3ccccc3)cc2)cc1,(Ar–Br + Ar–SH) OR (Ar–I + Ar–SH) →,
FC(F)(F)S.[Cu].Ic1ccc(N2CCOCC2)cc1>>FC(F)(F)Sc1ccc(N2CCOCC2)cc1,Ar–I + R–SH → Ar–S–R,tertiary_amine; ether
Sc1ccccc1Br.CC(C)c1cc(I)c(N)c(C#Cc2ccccc2)c1>>CC(C)c1cc2c3c(c1)cc(-c1ccccc1)n3-c1ccccc1S2,(Ar–Br + Ar–NH2) OR (Ar–I + Ar–SH) OR (intramolecular Ar–Br / Ar–SH) OR (intramolecular Ar–I / Ar–NH2) →,
Fc1ccc(S)cc1.Cc1csc(NC(=O)c2cc(I)ccc2F)n1>>Cc1csc(NC(=O)c2cc(I)ccc2Sc2ccc(F)cc2)n1,Ar–F + Ar–SH → Ar–S–Ar,aryl_halide; amide; aryl_halide; heteroaryl_nitrogen
Sc1ccccc1.N#Cc1c(F)c(F)c(F)c(F)c1C#N>>N#Cc1c(C#N)c(Sc2ccccc2)c(F)c(F)c1Sc1ccccc1,Ar–F + Ar–SH →,
Sc1ccccc1.[Na].C=CCOc1ccccc1I>>C=CCOc1ccccc1Sc1ccccc1,Ar–I + Ar–SH → Ar–S–Ar,ether; alkene
Sc1ccccc1.N#Cc1ccc(I)cc1>>N#Cc1ccc(Sc2ccccc2)cc1,Ar–I + Ar–SH → Ar–S–Ar,nitrile
NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Cl.Cc1ccccc1S>>Cc1ccccc1Sc1ccc([N+](=O)[O-])cc1S(N)(=O)=O,Ar–Cl + Ar–SH → Ar–S–Ar,sulfonamide; nitro; tertiary_amine
