cluster_rank,cluster_count,cluster_id,motif_signature,event_signature,original_row_number,reaction_id,source_file,source_reaction_label,quality_level,quality_score,reaction_key,reaction_smiles
32,1,Alkyl-OCSSR|Ar-OR -> Ar-OH || events:none,Alkyl-OCSSR|Ar-OR -> Ar-OH,none,43,31-535-CAS-9650704,BartonMcCombie_deoxygenation.csv,Barton–McCombie deoxygenation,high,0.85,|Alkyl-OCSSR|Ar-OR -> Ar-OH | spectators: Ar-Alkyl,CSC(=S)O[C@@H]1CC[C@H](C)c2cc(C)ccc2OC1(C)C>>CC(C)=CCCC(C)c1cc(C)ccc1O
33,1,Alkyl-H -> Alkyl-NHCOR|RCH2-CONHR|R_acidic-H || events:c_n_bond_formation|c_o_bond_formation|intramolecular_likely,Alkyl-H -> Alkyl-NHCOR|RCH2-CONHR|R_acidic-H,c_n_bond_formation|c_o_bond_formation|intramolecular_likely,44,31-452-CAS-15920046,Beckmann_rearrangement.csv,Beckmann rearrangement,high,1.0,|Alkyl-H -> Alkyl-NHCOR|RCH2-CONHR | bond_formed: C-N; C-O | bond_formed_labeled: C-N; C-O | bond_broken: C-C; N-O,CCC1CCCCC1=NO>>CCC1CCCCC(=O)N1
34,1,Ar-C=N -> Ar-NHCOR|R_acidic-H || events:c_n_bond_formation|c_o_bond_formation|intramolecular_likely,Ar-C=N -> Ar-NHCOR|R_acidic-H,c_n_bond_formation|c_o_bond_formation|intramolecular_likely,45,31-452-CAS-3813848,Beckmann_rearrangement.csv,Beckmann rearrangement,high,1.0,|Ar-C=N -> Ar-NHCOR | bond_formed: C-O; C(ar)-N | bond_formed_labeled: C-O; C(ar)-N[Ar-NHCOR] | bond_broken: C-C(ar); N-O | spectators: Ar-Alkyl|Ar-NO2,C/C(=N\O)c1ccc(C)c([N+](=O)[O-])c1>>CC(=O)Nc1ccc(C)c([N+](=O)[O-])c1
35,1,Bn-OH -> Ar-CONH2 || events:c_n_bond_formation|intramolecular_likely,Bn-OH -> Ar-CONH2,c_n_bond_formation|intramolecular_likely,46,31-452-CAS-4826074,Beckmann_rearrangement.csv,Beckmann rearrangement,high,1.0,|Bn-OH -> Ar-CONH2 | bond_formed: C-N | bond_formed_labeled: C-N | spectators: Ar-OR,COc1ccc(CO)cc1OC>>COc1ccc(C(N)=O)cc1OC
36,1,Ar-Alkyl|Ar-F -> none || events:leaving_group_displacement,Ar-Alkyl|Ar-F -> none,leaving_group_displacement,53,31-243-CAS-18918200,Birch_reduction.csv,Birch reduction,medium,0.55,|Ar-Alkyl|Ar-F -> [] | bond_broken: C(ar)-F | spectators: Alkyl-NRCOR|RCH2-CONR2|R_acidic-H,O=C(CCc1ccc(F)cc1)N1CCCC1>>O=C(CCC1=CCC=CC1)N1CCCC1
37,1,HeteroAr-H|Indole -> Ar-Alkyl|Pyrrole || events:none,HeteroAr-H|Indole -> Ar-Alkyl|Pyrrole,none,54,31-243-CAS-2793736,Birch_reduction.csv,Birch reduction,high,0.75,|HeteroAr-H -> Ar-Alkyl|Pyrrole | spectators: Ar-Alkyl|AromN-H,c1ccc2c(CCc3c[nH]c4ccccc34)c[nH]c2c1>>c1[nH]c2c(c1CCc1c[nH]c3c1CCCC3)CCCC2
38,1,Alkyl-H|Ar-Alkynyl_terminal -> Alkenyl-Bpin|Ar-Alkenyl || events:intermolecular_or_multi_component,Alkyl-H|Ar-Alkynyl_terminal -> Alkenyl-Bpin|Ar-Alkenyl,intermolecular_or_multi_component,56,31-246-CAS-21176259,Brown_Hydroboration.csv,Brown Hydroboration,high,0.85,|Alkyl-H|Ar-Alkynyl_terminal -> Alkenyl-Bpin|Ar-Alkenyl | spectators: Ar-Alkyl,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.C#Cc1ccc(CCCCC)cc1>>CCCCCc1ccc(/C=C/B2OC(C)(C)C(C)(C)O2)cc1
39,1,Alkyl-H|Allyl-OR -> Alkyl-Bpin || events:intermolecular_or_multi_component,Alkyl-H|Allyl-OR -> Alkyl-Bpin,intermolecular_or_multi_component,57,31-246-CAS-22779363,Brown_Hydroboration.csv,Brown Hydroboration,high,0.85,|Alkyl-H|Allyl-OR -> Alkyl-Bpin | spectators: Ar-OR,CC1(C)OBOC1(C)C.C=CCOc1ccccc1>>CC1(C)OB(CCCOc2ccccc2)OC1(C)C
40,1,Inorganic|RCH2-COR|R_acidic-H|Unclassified-Reactant -> R3C-CONHR|R3C-LactamN || events:c_c_bond_formation|c_n_bond_formation|intermolecular_or_multi_component|ring_closure_or_annulation,Inorganic|RCH2-COR|R_acidic-H|Unclassified-Reactant -> R3C-CONHR|R3C-LactamN,c_c_bond_formation|c_n_bond_formation|intermolecular_or_multi_component|ring_closure_or_annulation,61,31-173-CAS-21343224,BuchererBergs.csv,Bucherer–Bergs,medium,0.7,|Inorganic|RCH2-COR|R_acidic-H|Unclassified-Reactant -> R3C-CONHR,N#[C][Na].N.O=C(O)O.C=C(C)CC1CCCCC1=O>>C=C(C)C[C@H]1CCCC[C@@]12NC(=O)NC2=O
41,1,Alkyl-N(R)CO2R|Ar-Alkyl|Ar-CO2H -> Alkyl-NRCOR|Ar-CONR2 || events:none,Alkyl-N(R)CO2R|Ar-Alkyl|Ar-CO2H -> Alkyl-NRCOR|Ar-CONR2,none,62,31-363-CAS-9842582,CDI-mediated_amidation.csv,CDI-mediated amidation,high,0.85,|Alkyl-N(R)CO2R|Ar-Alkyl|Ar-CO2H -> Alkyl-NRCOR|Ar-CONR2 | spectators: Pyrimidine|R3C-NR2|RCH2-NR2|RCH2-OR,Cc1ncnc(C)c1C(=O)O.CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)OCc3ccccc3)CC1)CC2>>CCCCC1CN(CC2CCOCC2)C(=O)OC12CCN(C1(C)CCN(C(=O)c3c(C)ncnc3C)CC1)CC2
42,1,Bn-NH2|Quinoline -> Ar-NHR|Bn-NHR || events:c_n_bond_formation|intermolecular_or_multi_component,Bn-NH2|Quinoline -> Ar-NHR|Bn-NHR,c_n_bond_formation|intermolecular_or_multi_component,65,31-080-CAS-17729681,CH_amination_and_azidation.csv,C–H amination and azidation,high,1.0,|Bn-NH2 -> Ar-NHR | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NHR] | bond_broken: N(ar)-O | spectators: HeteroAr-H|Quinoline,NCc1ccccc1.[O-][n+]1cccc2ccccc21>>c1ccc(CNc2ccc3ccccc3n2)cc1
43,1,Bn-NH2 -> Ar-NHR|Bn-NHR || events:c_n_bond_formation|intermolecular_or_multi_component,Bn-NH2 -> Ar-NHR|Bn-NHR,c_n_bond_formation|intermolecular_or_multi_component,66,31-080-CAS-17729707,CH_amination_and_azidation.csv,C–H amination and azidation,high,1.0,|Bn-NH2 -> Ar-NHR | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N[Ar-NHR] | bond_broken: N(ar)-O | spectators: HeteroAr-H|Isoquinoline,NCc1ccccc1.[O-][n+]1ccc2ccccc2c1>>c1ccc(CNc2nccc3ccccc23)cc1
44,1,RCH2-NHR -> Ar-NR2|RCH2-NR2 || events:c_n_bond_formation|intermolecular_or_multi_component,RCH2-NHR -> Ar-NR2|RCH2-NR2,c_n_bond_formation|intermolecular_or_multi_component,67,31-080-CAS-21045206,CH_amination_and_azidation.csv,C–H amination and azidation,high,0.85,|RCH2-NHR -> Ar-NR2 | spectators: Ar-CF3|Ar-NHCOR|HeteroAr-H|Quinoline|RCH2-OR,C1COCCN1.O=C(Nc1cccc2cccnc12)c1cccc(C(F)(F)F)c1>>O=C(Nc1cccc2cccnc12)c1cc(C(F)(F)F)ccc1N1CCOCC1
45,1,Alkyl-F|R2CH-CONHR -> Ar-NRCOR || events:c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,Alkyl-F|R2CH-CONHR -> Ar-NRCOR,c_n_bond_formation|intermolecular_or_multi_component|leaving_group_displacement,68,31-172-CAS-23172804,C_N_Coupling.csv,original_dataset,high,0.85,|Alkyl-F|R2CH-CONHR -> Ar-NRCOR | spectators: Ar-I|R2CH-LactamN|R_acidic-H,CC(C)[C@@H]1NC(=O)NC1=O.O=S(=O)([O-])C(F)(F)F.c1ccc([I+]c2ccccc2)cc1>>Ic1ccccc1.CC(C)[C@@H]1NC(=O)N(c2ccccc2)C1=O
