cluster_rank,cluster_count,cluster_id,motif_signature,event_signature,original_row_number,reaction_id,source_file,source_reaction_label,quality_level,quality_score,reaction_key,reaction_smiles
15,1,Ar-Alkenyl_terminal -> Ar-Alkyl|R2CH-Br|RCH2-Br || events:intramolecular_likely,Ar-Alkenyl_terminal -> Ar-Alkyl|R2CH-Br|RCH2-Br,intramolecular_likely,9,31-268-CAS-8808756,Addition_of_Halogens_to_Double_or_Triple_Bonds.csv,Addition of Halogens to Double or Triple Bonds,high,1.0,|Ar-Alkenyl_terminal -> Ar-Alkyl|R2CH-Br|RCH2-Br | bond_formed: Br-C; Br-C | bond_formed_labeled: Br-C; Br-C | spectators: Ar-Br|Ar-OR,C=Cc1cc(OC)ccc1Br>>COc1ccc(Br)c(C(Br)CBr)c1
16,1,none -> R2CH-Br|R3C-Br || events:intramolecular_likely,none -> R2CH-Br|R3C-Br,intramolecular_likely,10,31-614-CAS-45708734,Addition_of_Halogens_to_Double_or_Triple_Bonds.csv,Addition of Halogens to Double or Triple Bonds,high,1.0,|[] -> R2CH-Br|R3C-Br | bond_formed: Br-C; Br-C | bond_formed_labeled: Br-C; Br-C | spectators: Alkenyl-COR|Alkyl-CO2R|R3C-OH|R_acidic-H,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]2(C)C(=O)C=C[C@]32O)C1>>CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@]4(C)C(=O)C=C[C@]4(O)[C@@H]3C[C@@H](Br)[C@@]2(Br)C1
17,1,Alkyl-H|Ar-COR|Ar-H -> Ar-C=N || events:c_n_bond_formation|intermolecular_or_multi_component,Alkyl-H|Ar-COR|Ar-H -> Ar-C=N,c_n_bond_formation|intermolecular_or_multi_component,11,31-310-CAS-5199463,Addition_of_Hydrazine_Derivatives_to_Carbonyl_Compounds.csv,Addition of Hydrazine Derivatives to Carbonyl Compounds,high,0.85,|Alkyl-H|Ar-COR|Ar-H -> Ar-C=N,CC(=NO)C(=O)c1ccccc1.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C)c1ccccc1
18,1,RCH2-COR|R_acidic-H -> none || events:c_n_bond_formation|intermolecular_or_multi_component,RCH2-COR|R_acidic-H -> none,c_n_bond_formation|intermolecular_or_multi_component,13,31-614-CAS-45322231,Addition_of_Hydrazine_Derivatives_to_Carbonyl_Compounds.csv,Addition of Hydrazine Derivatives to Carbonyl Compounds,high,0.85,|RCH2-COR|R_acidic-H -> Product_Aryl_S | spectators: Alkyl-F|Ar-Alkyl|Ar-SO2NHR|RCH2-Br,O=C(CBr)C(F)(F)F.Cc1ccc(S(=O)(=O)NN)cc1>>Cc1ccc(S(=O)(=O)NN=C(CBr)C(F)(F)F)cc1
19,1,R2CH-I -> R2CH-Br || events:intramolecular_likely|leaving_group_displacement,R2CH-I -> R2CH-Br,intramolecular_likely|leaving_group_displacement,17,31-046-CAS-10283632,Aliphatic_Halide_Exchange.csv,Aliphatic Halide Exchange,high,1.0,|R2CH-I -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-I,CCCCC(C)I>>CCCCC(C)Br
20,1,Bn-Cl -> Bn-I || events:intramolecular_likely|leaving_group_displacement,Bn-Cl -> Bn-I,intramolecular_likely|leaving_group_displacement,19,31-046-CAS-15841729,Aliphatic_Halide_Exchange.csv,Aliphatic Halide Exchange,high,1.0,|Bn-Cl -> Bn-I | bond_formed: C-I | bond_formed_labeled: C-I | bond_broken: C-Cl | spectators: Ar-Cl,ClCc1ccc(Cl)cc1>>Clc1ccc(CI)cc1
21,1,none -> RCH2-Br || events:intramolecular_likely,none -> RCH2-Br,intramolecular_likely,21,31-203-CAS-15374117,Allylic_Benzylic_and_Vinylic_Halogenations.csv,"Allylic, Benzylic and Vinylic Halogenations",high,1.0,|[] -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | spectators: Alkenyl-COR|Alkenyl-OR|Alkyl-Cl,CO/C(C)=C/C(=O)C(Cl)(Cl)Cl>>CO/C(=C/C(=O)C(Cl)(Cl)Cl)CBr
22,1,AromN-H|R2CH-NH2 -> Ar-CO2H|Ar-Urea || events:c_n_bond_formation|intermolecular_or_multi_component,AromN-H|R2CH-NH2 -> Ar-CO2H|Ar-Urea,c_n_bond_formation|intermolecular_or_multi_component,27,31-366-CAS-12076736,Anhydride_coupling.csv,Anhydride coupling,high,1.0,|AromN-H|R2CH-NH2 -> Ar-CO2H|Ar-Urea | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N | bond_broken: C(ar)-O(ar) | spectators: Ar-Ar|Ar-OR|HeteroAr-H|Thiophene,NC1CCCCCC1.COc1ccc(-c2cc3[nH]c(=O)oc(=O)c3s2)cc1OC>>COc1ccc(-c2cc(NC(=O)NC3CCCCCC3)c(C(=O)O)s2)cc1OC
23,1,AromN-H|RCH2-NH2 -> Ar-CO2H|Ar-Urea || events:c_n_bond_formation|intermolecular_or_multi_component,AromN-H|RCH2-NH2 -> Ar-CO2H|Ar-Urea,c_n_bond_formation|intermolecular_or_multi_component,28,31-366-CAS-15341619,Anhydride_coupling.csv,Anhydride coupling,high,1.0,|AromN-H|RCH2-NH2 -> Ar-CO2H|Ar-Urea | bond_formed: C(ar)-N | bond_formed_labeled: C(ar)-N | bond_broken: C(ar)-O(ar) | spectators: HeteroAr-H|Thiophene,CCCCCCCCCCCN.O=c1[nH]c2ccsc2c(=O)o1>>CCCCCCCCCCCNC(=O)Nc1ccsc1C(=O)O
24,1,RCH2-OH -> RCH2-Br || events:intramolecular_likely,RCH2-OH -> RCH2-Br,intramolecular_likely,29,31-048-CAS-10846910,Appel_halogenation.csv,Appel halogenation,high,1.0,|RCH2-OH -> RCH2-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | bond_broken: C-O | spectators: Ar-Alkyl|Ar-OR|Bn-OR|R2CH-OH,C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@H]2O>>C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CBr)[C@H]2O
25,1,RCH2-OH -> Alkenyl-CO2R|RCH2-I || events:c_c_bond_formation|c_o_bond_formation|intramolecular_likely|ring_closure_or_annulation,RCH2-OH -> Alkenyl-CO2R|RCH2-I,c_c_bond_formation|c_o_bond_formation|intramolecular_likely|ring_closure_or_annulation,30,31-614-CAS-36982017,Appel_halogenation.csv,Appel halogenation,medium,0.7,|RCH2-OH -> Alkenyl-CO2R|RCH2-I | spectators: R2CH-CO2R|R_acidic-H,O=C1OC[C@H](CO)[C@@H]1CO>>C=C1C(=O)OC[C@@H]1CI.O=C1OC[C@H](CI)[C@@H]1CI
26,1,RCH2-OH -> R3C-OR|RCH2-I|RCH2-OR || events:c_c_bond_formation|c_o_bond_formation|intramolecular_likely|ring_closure_or_annulation,RCH2-OH -> R3C-OR|RCH2-I|RCH2-OR,c_c_bond_formation|c_o_bond_formation|intramolecular_likely|ring_closure_or_annulation,31,31-614-CAS-37862188,Appel_halogenation.csv,Appel halogenation,medium,0.7,|RCH2-OH -> R3C-OR|RCH2-I|RCH2-OR | spectators: R3C-OR|RCH2-CO2R|RCH2-OR|R_acidic-H,COC(=O)CCO[C@@H]([C@@H]1OC(C)(C)O[C@@H]1CO)[C@H]1COC(C)(C)O1>>COC(=O)CCO[C@@H]([C@@H]1OC(C)(C)O[C@@H]1CI)[C@H]1COC(C)(C)O1.CC1(C)OC[C@H](C2OC[C@H]3OC(C)(C)O[C@@H]23)O1
27,1,HeteroAr-Br -> HeteroAr-Cl || events:intramolecular_likely|leaving_group_displacement,HeteroAr-Br -> HeteroAr-Cl,intramolecular_likely|leaving_group_displacement,32,31-174-CAS-14812613,Aromatic_Halogen_Exchange.csv,Aromatic Halogen Exchange,high,1.0,|HeteroAr-Br -> HeteroAr-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: Br-C(ar) | spectators: Ar-CHO|AromN-H|HeteroAr-H|Indole,O=Cc1c[nH]c2ccc(Br)cc12>>O=Cc1c[nH]c2ccc(Cl)cc12
28,1,Ar-I -> Ar-Br || events:intramolecular_likely|leaving_group_displacement,Ar-I -> Ar-Br,intramolecular_likely|leaving_group_displacement,33,31-614-CAS-33927300,Aromatic_Halogen_Exchange.csv,Aromatic Halogen Exchange,high,1.0,|Ar-I -> Ar-Br | bond_formed: Br-C(ar) | bond_formed_labeled: Br-C(ar) | bond_broken: C(ar)-I | spectators: Ar-NH2,Nc1ccc(I)cc1>>Nc1ccc(Br)cc1
29,1,Ar-I -> Ar-Cl || events:intramolecular_likely|leaving_group_displacement,Ar-I -> Ar-Cl,intramolecular_likely|leaving_group_displacement,34,31-614-CAS-33927314,Aromatic_Halogen_Exchange.csv,Aromatic Halogen Exchange,high,1.0,|Ar-I -> Ar-Cl | bond_formed: C(ar)-Cl | bond_formed_labeled: C(ar)-Cl | bond_broken: C(ar)-I | spectators: Ar-Alkyl,CC(C)(C)c1ccc(I)cc1>>CC(C)(C)c1ccc(Cl)cc1
30,1,Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H || events:c_c_bond_formation|intermolecular_or_multi_component,Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H,c_c_bond_formation|intermolecular_or_multi_component,35,31-320-CAS-18289052,BAIB.csv,BAIB,high,1.0,|Alkyl-Mg*|Ar-CHO -> Ar-COR|R_acidic-H | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: C-Mg | spectators: Ar-OR,[CH3][Mg][Br].O=Cc1ccc2c(c1)OCO2>>CC(=O)c1ccc2c(c1)OCO2
31,1,Alkyl-OCSSR -> none || events:none,Alkyl-OCSSR -> none,none,41,31-535-CAS-14843757,BartonMcCombie_deoxygenation.csv,Barton–McCombie deoxygenation,low,0.4,|Alkyl-OCSSR -> [] | spectators: Bn-OR|R2CH-OR,C=CCCCC[C@H](OCc1ccccc1)[C@@H]1C[C@H](OC(=S)SC)C[C@H]([C@H]2CC[C@H]([C@@H](CCCCCCCCCCCC)OCc3ccccc3)O2)O1>>C=CCCCC[C@H](OCc1ccccc1)[C@@H]1CCC[C@H]([C@H]2CC[C@H]([C@@H](CCCCCCCCCCCC)OCc3ccccc3)O2)O1
