sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
0,C1CCNCC1.Brc1cnc2ccccc2c1>>c1ccc2ncc(N3CCCCC3)cc2c1,C1CCNCC1.Brc1cnc2ccccc2c1>>c1ccc2ncc(N3CCCCC3)cc2c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-NR2
1,O=Cc1ccc2ccccc2c1Br.O=c1cccc(-c2cccc3c2sc2ccccc23)[nH]1>>O=Cc1ccc2ccccc2c1-n1c(-c2cccc3c2sc2ccccc23)cccc1=O,O=Cc1ccc2ccccc2c1Br.O=c1cccc(-c2cccc3c2sc2ccccc23)[nH]1>>O=Cc1ccc2ccccc2c1-n1c(-c2cccc3c2sc2ccccc23)cccc1=O,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-AromN
2,Clc1cccn2cc(-c3ccccc3)nc12.O=c1ccc2ccc(OCCCCN3CCNCC3)cc2[nH]1>>O=c1ccc2ccc(OCCCCN3CCN(c4cccn5cc(-c6ccccc6)nc45)CC3)cc2[nH]1,Clc1cccn2cc(-c3ccccc3)nc12.O=c1ccc2ccc(OCCCCN3CCNCC3)cc2[nH]1>>O=c1ccc2ccc(OCCCCN3CCN(c4cccn5cc(-c6ccccc6)nc45)CC3)cc2[nH]1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-NR2
3,CC(C)(C)[S@@](=O)N1CC[C@@H]1c1ccccc1.O=[N+]([O-])c1ccc(Cl)cc1Cl>>O=[N+]([O-])c1ccc(N2CC[C@H]2c2ccccc2)c([N+](=O)[O-])c1,CC(C)(C)[S@@](=O)N1CC[C@@H]1c1ccccc1.O=[N+]([O-])c1ccc(Cl)cc1Cl>>O=[N+]([O-])c1ccc(N2CC[C@H]2c2ccccc2)c([N+](=O)[O-])c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-NO2|Ar-NR2
4,COc1ccc(N)cc1.CC(C)(C)[P@@]1(=O)COc2cccc(OS(=O)(=O)C(F)(F)F)c21>>COc1ccc(Nc2cccc3c2[P@@](=O)(C(C)(C)C)CO3)cc1,COc1ccc(N)cc1.CC(C)(C)[P@@]1(=O)COc2cccc(OS(=O)(=O)C(F)(F)F)c21>>COc1ccc(Nc2cccc3c2[P@@](=O)(C(C)(C)C)CO3)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-NHR
5,COc1ccc(N)cc1.O=[N+]([O-])c1ccc(Br)cc1F>>COc1ccc(Nc2cc(Br)ccc2[N+](=O)[O-])cc1,COc1ccc(N)cc1.O=[N+]([O-])c1ccc(Br)cc1F>>COc1ccc(Nc2cc(Br)ccc2[N+](=O)[O-])cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-NHR
6,Brc1cscn1.CCOC1=NO[C@@]2(C)CCNC[C@@H]12>>CCOC1=NO[C@@]2(C)CCN(c3cscn3)C[C@@H]12,Brc1cscn1.CCOC1=NO[C@@]2(C)CCNC[C@@H]12>>CCOC1=NO[C@@]2(C)CCN(c3cscn3)C[C@@H]12,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-NR2
7,NCCc1ccccc1.O=[N+]([O-])c1ccc2nc(Cl)sc2c1>>O=[N+]([O-])c1ccc2nc(NCCc3ccccc3)sc2c1,NCCc1ccccc1.O=[N+]([O-])c1ccc2nc(Cl)sc2c1>>O=[N+]([O-])c1ccc2nc(NCCc3ccccc3)sc2c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,HeteroAr-NHR
8,c1ccc2[nH]ccc2c1.CNc1ccc(C(C)(C)C)cc1I>>CNc1ccc(C(C)(C)C)cc1-n1ccc2ccccc21,c1ccc2[nH]ccc2c1.CNc1ccc(C(C)(C)C)cc1I>>CNc1ccc(C(C)(C)C)cc1-n1ccc2ccccc21,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,Ar-AromN
9,NCCc1ccccc1.CC(C)(C)OC(=O)NCCCNc1nc(Cl)ncc1C#N>>CC(C)(C)OC(=O)NCCCNc1nc(NCCc2ccccc2)ncc1C#N,NCCc1ccccc1.CC(C)(C)OC(=O)NCCCNc1nc(Cl)ncc1C#N>>CC(C)(C)OC(=O)NCCCNc1nc(NCCc2ccccc2)ncc1C#N,0,0,0,eligible_taxonomy_benchmark,0,0,expected_n_formed_motif_present,kept,HeteroAr-NHR
