"source_file","reaction_id","reaction_type","reaction_smiles"
"Acetal_ketal_formation.csv","31-014-CAS-2539897","Acetal ketal formation","CC(C)=O.CC(C)OCC1CO1>>CC(C)OCC1COC(C)(C)O1"
"Acetal_ketal_formation.csv","31-014-CAS-5598461","Acetal ketal formation","CC(C)=O.CCCCCCCCCCC1CO1>>CCCCCCCCCCC1COC(C)(C)O1"
"Acetal_ketal_formation.csv","31-014-CAS-7072862","Acetal ketal formation","c1ccc(C2CO2)cc1.CC(=O)c1ccccc1>>CC1(c2ccccc2)OCC(c2ccccc2)O1"
"Acetal_ketal_formation.csv","31-014-CAS-7449637","Acetal ketal formation","CC(C)=O.C1CCC2OC2C1>>CC1(C)OC2CCCCC2O1"
"Acetal_ketal_formation.csv","31-014-CAS-769146","Acetal ketal formation","CC(C)=O.c1ccc(OCC2CO2)cc1>>CC1(C)OCC(COc2ccccc2)O1"
"Acetal_ketal_formation.csv","31-014-CAS-780422","Acetal ketal formation","CC(C)=O.c1ccc(C2CO2)cc1>>CC1(C)OCC(c2ccccc2)O1"
"Acetal_ketal_formation.csv","31-031-CAS-1041360","Acetal ketal formation","Cc1ccc(N)c(Cl)c1.O=C(CCCl)CCCl.COC(OC)OC>>COC1(OC)CCN(c2ccc(C)cc2Cl)CC1"
"Acetal_ketal_formation.csv","31-031-CAS-14433790","Acetal ketal formation","Nc1ccccc1F.O=C(CCCl)CCCl.COC(OC)OC>>COC1(OC)CCN(c2ccccc2F)CC1"
"Acetal_ketal_formation.csv","31-048-CAS-7335878","Acetal ketal formation","O=Cc1ccccc1.OCCO>>c1ccc(C2OCCO2)cc1.O=C(OCCI)c1ccccc1"
"Acetal_ketal_formation.csv","31-049-CAS-1133251","Acetal ketal formation","O=Cc1ccc2ccccc2c1.C[Si](C)(C)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO[Si](C)(C)C)[C@@H](O[Si](C)(C)C)[C@H](O[Si](C)(C)C)[C@H]2O[Si](C)(C)C)[C@H](O[Si](C)(C)C)[C@@H](O[Si](C)(C)C)[C@@H]1O[Si](C)(C)C>>O[C@@H]1[C@@H](O)[C@@H](O[C@H]2O[C@@H]3CO[C@@H](c4ccc5ccccc5c4)O[C@H]3[C@H](O)[C@H]2O)O[C@@H]2CO[C@@H](c3ccc4ccccc4c3)O[C@@H]12"
"Acetal_ketal_formation.csv","31-084-CAS-14200738","Acetal ketal formation","CCC(=O)c1ccc(OC)cc1.COC(=O)[C@H](O)[C@@H](O)C(=O)OC>>COC(=O)[C@@H]1OC(c2ccc(OC)c(Br)c2)([C@H](C)Br)O[C@H]1C(=O)OC"
"Acetal_ketal_formation.csv","31-084-CAS-20317578","Acetal ketal formation","COc1ccc(C(C)=O)cc1.OCCO>>COc1ccc(C2(CBr)OCCO2)cc1Br"
"Acetal_ketal_formation.csv","31-084-CAS-820392","Acetal ketal formation","COC(=O)[C@H](O)[C@@H](O)C(=O)OC.CCCC(=O)c1ccc(OC)cc1>>CC[C@H](Br)C1(c2ccc(OC)c(Br)c2)O[C@@H](C(=O)OC)[C@H](C(=O)OC)O1"
"Acetal_ketal_formation.csv","31-085-CAS-6823338","Acetal ketal formation","CCOC(OCC)OCC.O=Cc1ccc([N+](=O)[O-])cc1>>CCOC(OCC)c1ccc([N+](=O)[O-])cc1"
"Acetal_ketal_formation.csv","31-087-CAS-1863275","Acetal ketal formation","CO.CCCCC(C=O)Oc1ccccc1>>CCCCc1cc2ccccc2o1.CCCCC(Oc1ccccc1)C(OC)OC"
"Acetal_ketal_formation.csv","31-111-CAS-6547082","Acetal ketal formation","OCCO.COc1ccccc1C=O>>COC1(c2ccccc2)OCCO1"
"Acetal_ketal_formation.csv","31-116-CAS-10096531","Acetal ketal formation","c1ccc(CNCc2ccccc2)cc1.CCCC=O.[2H]OC([2H])([2H])[2H]>>[2H]C([2H])([2H])OC(OC([2H])([2H])[2H])C([2H])(CC)N(Cc1ccccc1)Cc1ccccc1"
"Acetal_ketal_formation.csv","31-117-CAS-14557457","Acetal ketal formation","OCCO.CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C>>CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC5(CC[C@]4(C)[C@H]3CC[C@]12C)OCCO5"
"Acetal_ketal_formation.csv","31-117-CAS-3290552","Acetal ketal formation","CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C.OCCO>>CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CC=C4CC5(CC[C@]4(C)[C@H]3CC[C@]12C)OCCO5"
"Acetal_ketal_formation.csv","31-117-CAS-3549987","Acetal ketal formation","C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12.OCCO>>C[C@]12CCC3(C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12)OCCO3.C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC21OCCO1.C[C@]12CCC3(CC1=CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC21OCCO1)OCCO3"
"Acetal_ketal_formation.csv","31-174-CAS-9828353","Acetal ketal formation","CO.O=Cc1ccccc1F>>COC(OC)c1ccccc1Br"
"Acetal_ketal_formation.csv","31-208-CAS-11186874","Acetal ketal formation","O=Cc1ccccc1.CC(C)O.CC(C)(C)OO>>CC(C)OC(OOC(C)(C)C)c1ccccc1"
"Acetal_ketal_formation.csv","31-208-CAS-164511","Acetal ketal formation","O=Cc1cccc([N+](=O)[O-])c1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1cccc([N+](=O)[O-])c1"
"Acetal_ketal_formation.csv","31-208-CAS-1829707","Acetal ketal formation","O=Cc1ccccc1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1ccccc1"
"Acetal_ketal_formation.csv","31-208-CAS-2047596","Acetal ketal formation","CC(C)C=O.CC(C)(C)OO.OCCCc1ccccc1>>CC(C)C(OCCCc1ccccc1)OOC(C)(C)C"
"Acetal_ketal_formation.csv","31-208-CAS-2338347","Acetal ketal formation","O=Cc1ccc(Cl)cc1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1ccc(Cl)cc1"
"Acetal_ketal_formation.csv","31-208-CAS-4142771","Acetal ketal formation","CCCC=O.CC(C)(C)OO.OCCCc1ccccc1>>CCCC(OCCCc1ccccc1)OOC(C)(C)C"
"Acetal_ketal_formation.csv","31-208-CAS-6311404","Acetal ketal formation","O=Cc1ccc([N+](=O)[O-])cc1.CCCCO.CC(C)(C)OO>>CCCCOC(OOC(C)(C)C)c1ccc([N+](=O)[O-])cc1"
"Acetal_ketal_formation.csv","31-232-CAS-4206579","Acetal ketal formation","CO.O=CCCCBr>>COC(CCCBr)OC"
"Acetal_ketal_formation.csv","31-242-CAS-9532257","Acetal ketal formation","O=C1CCCCC1.CC1(C)OCCO1>>C1CCC2(CC1)OCCO2"
"Acetal_ketal_formation.csv","31-250-CAS-12015781","Acetal ketal formation","O=C1C=C(O)CCC1.C=C(CCO)C(C)=O>>C[C@]12OCC[C@H]1CC1=C(CCCC1=O)O2"
"Acetal_ketal_formation.csv","31-250-CAS-14144851","Acetal ketal formation","O=C1C=C(O)CCC1.C=C(C=O)CCO>>O=C1CCCC2=C1C[C@@H]1CCO[C@@H]1O2"
"Acetal_ketal_formation.csv","31-250-CAS-14307793","Acetal ketal formation","O=C1C=C(O)CC1.C=CC(=O)CCCO[Si](CC)(CC)CC>>O=C1CCC2=C1CCC1(CCCO1)O2"
"Acetal_ketal_formation.csv","31-250-CAS-5271348","Acetal ketal formation","O=C1C=C(O)CC1.C=C(CCCO)C(C)=O>>C[C@]12OCCC[C@H]1CC1=C(CCC1=O)O2"
"Acetal_ketal_formation.csv","31-250-CAS-7297326","Acetal ketal formation","O=C1C=C(O)CC1.CC[Si](CC)(CC)OCCCC(=O)C1=CC(C)OC1=O>>C[C@H]1OC(=O)[C@H]2[C@@H]1C1=C(CCC1=O)O[C@@]21CCCO1"
"Acetal_ketal_formation.csv","31-250-CAS-7416779","Acetal ketal formation","O=C1C=C(O)CC1.C=C(C=O)CCCO>>O=C1CCC2=C1C[C@@H]1CCCO[C@@H]1O2"
"Acetal_ketal_formation.csv","31-266-CAS-11938840","Acetal ketal formation","CC(O)CO.C=CCCCCCC.[C-]#[O+]>>CCCCCCCC.CCCCCCCCC=O.CCCCCCCCC1OCCCO1"
"Acetal_ketal_formation.csv","31-301-CAS-10007848","Acetal ketal formation","OCc1ccccc1.O=CCCc1ccccc1>>c1ccc(CCC(OCc2ccccc2)OCc2ccccc2)cc1"
